date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2015-09-18,Patna,1.0,Moderate,107,PM10
2015-09-19,Patna,1.0,Moderate,136,PM10
2015-09-22,Patna,1.0,Satisfactory,93,PM10
2015-09-23,Patna,1.0,Moderate,102,PM10
2015-09-25,Patna,1.0,Moderate,136,PM10
2015-09-26,Patna,1.0,Moderate,153,PM10
2015-09-28,Patna,1.0,Moderate,163,PM10
2015-09-29,Patna,1.0,Poor,221,PM10
2015-10-01,Patna,1.0,Poor,247,PM10
2015-10-03,Patna,1.0,Moderate,165,PM2.5
2015-10-06,Patna,1.0,Poor,258,PM2.5
2015-10-07,Patna,1.0,Poor,239,PM2.5
2015-10-08,Patna,1.0,Poor,258,PM2.5
2015-10-17,Patna,1.0,Moderate,177,PM2.5
2015-10-21,Patna,1.0,Poor,210,PM2.5
2015-10-23,Patna,1.0,Very Poor,301,PM2.5
2015-10-27,Patna,1.0,Poor,284,PM2.5
2015-10-30,Patna,1.0,Moderate,117,PM2.5
2015-10-31,Patna,1.0,Moderate,197,PM2.5
2015-11-04,Patna,1.0,Poor,266,PM2.5
2015-11-05,Patna,1.0,Poor,271,PM2.5
2015-11-06,Patna,1.0,Very Poor,313,PM2.5
2015-11-07,Patna,1.0,Very Poor,366,PM2.5
2015-11-09,Patna,1.0,Very Poor,342,PM2.5
2015-11-10,Patna,1.0,Very Poor,375,PM2.5
2015-11-11,Patna,1.0,Very Poor,360,PM2.5
2015-11-12,Patna,1.0,Very Poor,386,PM2.5
2015-11-13,Patna,1.0,Very Poor,359,PM2.5
2015-11-14,Patna,1.0,Very Poor,384,PM2.5
2015-11-21,Patna,1.0,Severe,425,PM2.5
2015-11-24,Patna,1.0,Severe,439,PM2.5
2015-11-25,Patna,1.0,Severe,405,PM2.5
2015-11-26,Patna,1.0,Severe,401,PM2.5
2015-12-01,Patna,1.0,Very Poor,396,PM2.5
2015-12-02,Patna,1.0,Severe,403,PM2.5
2015-12-03,Patna,1.0,Poor,245,PM2.5
2015-12-05,Patna,1.0,Severe,410,PM2.5
2015-12-07,Patna,1.0,Very Poor,338,PM2.5
2015-12-09,Patna,1.0,Very Poor,335,PM2.5
2015-12-11,Patna,1.0,Very Poor,340,PM2.5
2015-12-12,Patna,1.0,Very Poor,383,PM2.5
2015-12-14,Patna,1.0,Very Poor,378,PM2.5
2015-12-15,Patna,1.0,Very Poor,336,PM2.5
2015-12-16,Patna,1.0,Severe,405,PM2.5
2015-12-17,Patna,1.0,Severe,402,PM2.5
2015-12-19,Patna,1.0,Severe,406,PM2.5
2015-12-23,Patna,1.0,Severe,415,PM2.5
2015-12-24,Patna,1.0,Severe,421,PM2.5
2015-12-26,Patna,1.0,Very Poor,357,PM2.5
2016-01-01,Patna,1.0,Severe,488,PM2.5
2016-01-02,Patna,1.0,Severe,466,PM2.5
2016-01-04,Patna,1.0,Severe,424,PM2.5
2016-01-05,Patna,1.0,Severe,439,PM2.5
2016-01-06,Patna,1.0,Severe,453,PM2.5
2016-01-07,Patna,1.0,Severe,434,PM2.5
2016-01-09,Patna,1.0,Very Poor,379,PM2.5
2016-01-10,Patna,1.0,Poor,297,PM2.5
2016-01-11,Patna,1.0,Very Poor,347,PM2.5
2016-01-12,Patna,1.0,Severe,404,PM2.5
2016-01-13,Patna,1.0,Severe,429,PM2.5
2016-01-14,Patna,1.0,Severe,440,PM2.5
2016-01-15,Patna,1.0,Severe,443,PM2.5
2016-01-16,Patna,1.0,Very Poor,370,PM2.5
2016-01-18,Patna,1.0,Very Poor,368,PM2.5
2016-01-20,Patna,1.0,Very Poor,348,PM2.5
2016-01-21,Patna,1.0,Very Poor,362,PM2.5
2016-01-22,Patna,1.0,Very Poor,331,PM2.5
2016-01-23,Patna,1.0,Very Poor,349,PM2.5
2016-01-25,Patna,1.0,Severe,421,PM2.5
2016-01-27,Patna,1.0,Very Poor,384,PM2.5
2016-01-30,Patna,1.0,Severe,441,PM2.5
2016-02-01,Patna,1.0,Severe,426,PM2.5
2016-02-03,Patna,1.0,Poor,285,PM2.5
2016-02-04,Patna,1.0,Poor,273,PM2.5
2016-02-12,Patna,1.0,Very Poor,342,PM2.5
2016-02-15,Patna,1.0,Very Poor,327,PM2.5
2016-02-18,Patna,1.0,Poor,287,PM2.5
2016-02-20,Patna,1.0,Poor,270,PM2.5
2016-02-23,Patna,1.0,Moderate,178,PM2.5
2016-02-25,Patna,1.0,Poor,294,PM2.5
2016-02-26,Patna,1.0,Poor,269,PM2.5
2016-02-27,Patna,1.0,Poor,233,PM2.5
2016-02-29,Patna,1.0,Poor,290,PM2.5
2016-03-02,Patna,1.0,Poor,281,PM2.5
2016-03-03,Patna,1.0,Very Poor,321,PM2.5
2016-03-05,Patna,1.0,Very Poor,364,PM2.5
2016-03-08,Patna,1.0,Moderate,123,PM2.5
2016-03-09,Patna,1.0,Moderate,186,PM2.5
2016-03-12,Patna,1.0,Moderate,155,PM2.5
2016-03-14,Patna,1.0,Moderate,116,PM2.5
2016-03-15,Patna,1.0,Moderate,150,PM2.5
2016-03-22,Patna,1.0,Satisfactory,83,PM2.5
2016-03-28,Patna,1.0,Moderate,192,PM2.5
2016-03-29,Patna,1.0,Moderate,159,PM2.5
2016-03-31,Patna,1.0,Poor,246,PM2.5
2016-04-01,Patna,1.0,Poor,246,PM2.5
2016-04-03,Patna,1.0,Moderate,170,PM2.5
2016-04-04,Patna,1.0,Moderate,186,PM2.5
2016-04-05,Patna,1.0,Poor,225,PM2.5
2016-04-07,Patna,1.0,Moderate,115,PM2.5
2016-04-08,Patna,1.0,Moderate,118,PM2.5
2016-04-09,Patna,1.0,Moderate,133,PM2.5
2016-04-11,Patna,1.0,Moderate,126,PM2.5
2016-04-12,Patna,1.0,Moderate,112,PM2.5
2016-04-13,Patna,1.0,Satisfactory,84,PM2.5
2016-04-14,Patna,1.0,Moderate,137,PM2.5
2016-04-16,Patna,1.0,Moderate,167,PM2.5
2016-04-20,Patna,1.0,Moderate,182,PM2.5
2016-04-21,Patna,1.0,Moderate,128,PM2.5
2016-04-22,Patna,1.0,Moderate,126,PM2.5
2016-04-23,Patna,1.0,Moderate,157,PM2.5
2016-04-27,Patna,1.0,Poor,222,PM2.5
2016-04-29,Patna,1.0,Poor,233,PM2.5
2016-04-30,Patna,1.0,Moderate,189,PM2.5
2016-05-02,Patna,1.0,Moderate,199,PM2.5
2016-05-03,Patna,1.0,Moderate,134,PM2.5
2016-05-04,Patna,1.0,Moderate,143,PM2.5
2016-05-05,Patna,1.0,Moderate,115,PM2.5
2016-05-06,Patna,1.0,Poor,260,PM2.5
2016-05-07,Patna,1.0,Moderate,188,PM2.5
2016-05-11,Patna,1.0,Moderate,111,PM2.5
2016-05-12,Patna,1.0,Moderate,114,PM2.5
2016-05-13,Patna,1.0,Moderate,125,PM2.5
2016-05-14,Patna,1.0,Moderate,115,PM2.5
2016-05-16,Patna,1.0,Moderate,120,PM2.5
2016-05-18,Patna,1.0,Moderate,105,PM2.5
2016-05-19,Patna,1.0,Satisfactory,80,PM2.5
2016-05-20,Patna,1.0,Satisfactory,64,PM2.5
2016-05-23,Patna,1.0,Satisfactory,97,PM2.5
2016-05-24,Patna,1.0,Moderate,110,PM2.5
2016-05-28,Patna,1.0,Poor,251,PM2.5
2016-06-02,Patna,1.0,Moderate,147,PM2.5
2016-06-09,Patna,1.0,Moderate,144,PM2.5
2016-06-20,Patna,1.0,Satisfactory,82,PM2.5
2016-06-21,Patna,1.0,Satisfactory,84,PM2.5
2016-06-22,Patna,1.0,Satisfactory,67,PM2.5
2016-06-23,Patna,1.0,Moderate,111,PM2.5
2016-06-24,Patna,1.0,Moderate,104,PM2.5
2016-06-27,Patna,1.0,Moderate,132,PM2.5
2016-06-28,Patna,1.0,Satisfactory,99,PM2.5
2016-06-29,Patna,1.0,Satisfactory,73,PM2.5
2016-07-02,Patna,1.0,Satisfactory,66,PM2.5
2016-07-05,Patna,1.0,Satisfactory,60,PM2.5
2016-07-06,Patna,1.0,Satisfactory,71,PM2.5
2016-07-07,Patna,1.0,Satisfactory,80,PM2.5
2016-07-10,Patna,1.0,Satisfactory,62,PM2.5
2016-07-11,Patna,1.0,Satisfactory,63,PM2.5
2016-07-12,Patna,1.0,Satisfactory,54,PM2.5
2016-07-14,Patna,1.0,Moderate,118,PM2.5
2016-07-15,Patna,1.0,Satisfactory,76,PM2.5
2016-07-18,Patna,1.0,Good,50,PM2.5
2016-07-19,Patna,1.0,Satisfactory,80,PM2.5
