date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-05-16,Pimpri Chinchwad,2.0,Satisfactory,68,PM10
2023-05-17,Pimpri Chinchwad,2.0,Satisfactory,71,PM10
2023-05-18,Pimpri Chinchwad,2.0,Satisfactory,94,"PM10, PM2.5"
2023-05-19,Pimpri Chinchwad,2.0,Moderate,124,PM2.5
2023-05-20,Pimpri Chinchwad,2.0,Satisfactory,98,"PM10, PM2.5"
2023-05-21,Pimpri Chinchwad,2.0,Satisfactory,97,PM2.5
2023-05-22,Pimpri Chinchwad,2.0,Satisfactory,98,"PM10, PM2.5"
2023-05-23,Pimpri Chinchwad,2.0,Moderate,114,PM2.5
2023-05-24,Pimpri Chinchwad,2.0,Moderate,102,PM2.5
2023-05-25,Pimpri Chinchwad,2.0,Satisfactory,88,PM2.5
2023-05-26,Pimpri Chinchwad,1.0,Satisfactory,71,PM10
2023-05-27,Pimpri Chinchwad,1.0,Satisfactory,74,PM10
2023-05-28,Pimpri Chinchwad,1.0,Satisfactory,79,PM10
2023-05-29,Pimpri Chinchwad,1.0,Satisfactory,78,PM2.5
2023-05-30,Pimpri Chinchwad,1.0,Moderate,104,PM2.5
2023-05-31,Pimpri Chinchwad,1.0,Moderate,102,PM2.5
2023-06-01,Pimpri Chinchwad,1.0,Moderate,130,PM2.5
2023-06-02,Pimpri Chinchwad,2.0,Moderate,166,PM2.5
2023-06-03,Pimpri Chinchwad,2.0,Satisfactory,76,"PM10, PM2.5"
2023-06-04,Pimpri Chinchwad,2.0,Satisfactory,70,PM10
2023-06-05,Pimpri Chinchwad,1.0,Satisfactory,77,PM10
2023-06-06,Pimpri Chinchwad,2.0,Satisfactory,69,PM10
2023-06-07,Pimpri Chinchwad,2.0,Satisfactory,74,PM10
2023-06-08,Pimpri Chinchwad,2.0,Satisfactory,64,PM10
2023-06-09,Pimpri Chinchwad,2.0,Good,44,O3
2023-06-10,Pimpri Chinchwad,2.0,Good,46,"CO, PM10"
2023-06-11,Pimpri Chinchwad,2.0,Satisfactory,55,PM10
2023-06-12,Pimpri Chinchwad,2.0,Satisfactory,62,PM10
2023-06-13,Pimpri Chinchwad,2.0,Satisfactory,86,"PM10, PM2.5"
2023-06-14,Pimpri Chinchwad,2.0,Satisfactory,55,PM10
2023-06-15,Pimpri Chinchwad,2.0,Satisfactory,52,PM10
2023-06-16,Pimpri Chinchwad,2.0,Satisfactory,77,PM10
2023-06-17,Pimpri Chinchwad,1.0,Satisfactory,73,PM10
2023-06-18,Pimpri Chinchwad,1.0,Satisfactory,82,PM10
2023-06-19,Pimpri Chinchwad,1.0,Satisfactory,92,PM10
2023-06-20,Pimpri Chinchwad,2.0,Moderate,130,"PM10, PM2.5"
2023-06-21,Pimpri Chinchwad,2.0,Satisfactory,67,PM10
2023-06-22,Pimpri Chinchwad,2.0,Satisfactory,87,PM10
2023-06-23,Pimpri Chinchwad,2.0,Satisfactory,74,PM10
2023-06-24,Pimpri Chinchwad,3.0,Good,45,PM10
2023-06-25,Pimpri Chinchwad,3.0,Good,33,"CO, PM10"
2023-06-26,Pimpri Chinchwad,3.0,Good,38,"NO2, PM10"
2023-06-27,Pimpri Chinchwad,3.0,Good,41,"CO, PM10"
2023-06-28,Pimpri Chinchwad,3.0,Good,41,"CO, PM10"
2023-06-29,Pimpri Chinchwad,3.0,Good,35,"NO2, PM10"
2023-06-30,Pimpri Chinchwad,3.0,Good,39,"NO2, PM10"
2023-07-01,Pimpri Chinchwad,3.0,Good,35,"NO2, PM10"
2023-07-02,Pimpri Chinchwad,3.0,Good,39,"NO2, PM10"
2023-07-03,Pimpri Chinchwad,3.0,Good,41,PM10
2023-07-04,Pimpri Chinchwad,3.0,Good,35,PM10
2023-07-05,Pimpri Chinchwad,3.0,Good,39,PM10
2023-07-06,Pimpri Chinchwad,3.0,Good,44,"CO, PM10"
2023-07-07,Pimpri Chinchwad,2.0,Good,42,"NO2, PM10"
2023-07-08,Pimpri Chinchwad,3.0,Good,42,"CO, PM10"
2023-07-09,Pimpri Chinchwad,3.0,Good,45,PM10
2023-07-10,Pimpri Chinchwad,3.0,Good,47,PM10
2023-07-11,Pimpri Chinchwad,3.0,Good,45,PM10
2023-07-12,Pimpri Chinchwad,3.0,Satisfactory,52,PM10
2023-07-13,Pimpri Chinchwad,3.0,Satisfactory,60,PM10
2023-07-14,Pimpri Chinchwad,3.0,Good,48,PM10
2023-07-15,Pimpri Chinchwad,3.0,Good,35,PM10
2023-07-16,Pimpri Chinchwad,3.0,Good,42,PM10
2023-07-17,Pimpri Chinchwad,3.0,Good,39,"NO2, PM10"
2023-07-18,Pimpri Chinchwad,3.0,Good,32,"NO2, PM10"
2023-07-19,Pimpri Chinchwad,3.0,Good,39,"CO, PM10"
2023-07-20,Pimpri Chinchwad,3.0,Good,36,"NO2, PM10"
2023-07-21,Pimpri Chinchwad,3.0,Good,43,PM10
2023-07-22,Pimpri Chinchwad,3.0,Good,34,PM10
2023-07-23,Pimpri Chinchwad,3.0,Good,36,"NO2, PM10"
2023-07-24,Pimpri Chinchwad,3.0,Good,35,"CO, PM10"
2023-07-25,Pimpri Chinchwad,3.0,Good,34,"NO2, PM10"
2023-07-26,Pimpri Chinchwad,3.0,Satisfactory,58,PM10
2023-07-27,Pimpri Chinchwad,2.0,Good,28,PM10
2023-07-28,Pimpri Chinchwad,2.0,Good,30,PM10
2023-07-29,Pimpri Chinchwad,3.0,Good,33,"CO, PM10"
2023-07-30,Pimpri Chinchwad,3.0,Good,38,PM10
2023-07-31,Pimpri Chinchwad,3.0,Good,43,PM10
2023-08-01,Pimpri Chinchwad,3.0,Good,37,"CO, PM10"
2023-08-02,Pimpri Chinchwad,3.0,Good,41,PM10
2023-08-03,Pimpri Chinchwad,3.0,Good,43,PM10
2023-08-04,Pimpri Chinchwad,3.0,Good,46,"CO, PM10"
2023-08-05,Pimpri Chinchwad,3.0,Good,44,"PM10, PM2.5"
2023-08-06,Pimpri Chinchwad,3.0,Satisfactory,55,"PM10, PM2.5"
2023-08-07,Pimpri Chinchwad,3.0,Satisfactory,56,PM10
2023-08-08,Pimpri Chinchwad,3.0,Satisfactory,69,PM10
