date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-03-13,Pratapgarh,1.0,Satisfactory,85,PM10
2023-03-14,Pratapgarh,1.0,Satisfactory,97,O3
2023-03-16,Pratapgarh,1.0,Satisfactory,95,PM10
2023-03-17,Pratapgarh,1.0,Satisfactory,83,O3
2023-03-18,Pratapgarh,1.0,Satisfactory,69,O3
2023-03-19,Pratapgarh,1.0,Good,47,PM10
2023-03-21,Pratapgarh,1.0,Satisfactory,73,PM10
2023-03-22,Pratapgarh,1.0,Satisfactory,78,PM10
2023-03-23,Pratapgarh,1.0,Satisfactory,82,PM10
2023-03-24,Pratapgarh,1.0,Satisfactory,93,PM10
2023-03-25,Pratapgarh,1.0,Satisfactory,96,PM10
2023-03-26,Pratapgarh,1.0,Satisfactory,87,O3
2023-03-27,Pratapgarh,1.0,Satisfactory,80,O3
2023-03-28,Pratapgarh,1.0,Moderate,105,PM10
2023-03-29,Pratapgarh,1.0,Satisfactory,96,O3
2023-03-30,Pratapgarh,1.0,Moderate,117,PM10
2023-03-31,Pratapgarh,1.0,Satisfactory,67,PM10
2023-04-01,Pratapgarh,1.0,Satisfactory,68,PM10
2023-04-02,Pratapgarh,1.0,Satisfactory,96,PM10
2023-04-03,Pratapgarh,1.0,Satisfactory,76,O3
2023-04-04,Pratapgarh,1.0,Moderate,104,PM10
2023-04-06,Pratapgarh,1.0,Moderate,123,PM10
2023-04-07,Pratapgarh,1.0,Moderate,111,PM10
2023-04-08,Pratapgarh,1.0,Satisfactory,87,PM10
2023-04-09,Pratapgarh,1.0,Satisfactory,77,O3
2023-04-10,Pratapgarh,1.0,Moderate,199,PM10
2023-04-11,Pratapgarh,1.0,Satisfactory,100,PM10
2023-04-12,Pratapgarh,1.0,Moderate,115,PM10
2023-04-13,Pratapgarh,1.0,Satisfactory,76,PM10
2023-04-14,Pratapgarh,1.0,Satisfactory,88,PM10
2023-04-15,Pratapgarh,1.0,Satisfactory,98,PM10
2023-04-16,Pratapgarh,1.0,Moderate,103,PM10
2023-04-17,Pratapgarh,1.0,Satisfactory,93,PM10
2023-04-18,Pratapgarh,1.0,Moderate,122,PM10
2023-04-19,Pratapgarh,1.0,Moderate,102,PM10
2023-04-20,Pratapgarh,1.0,Moderate,120,PM10
2023-04-21,Pratapgarh,1.0,Moderate,113,PM10
2023-04-22,Pratapgarh,1.0,Moderate,104,PM10
2023-04-23,Pratapgarh,1.0,Satisfactory,91,PM10
2023-04-24,Pratapgarh,1.0,Moderate,107,PM10
2023-04-25,Pratapgarh,1.0,Moderate,105,O3
2023-04-26,Pratapgarh,1.0,Moderate,110,PM10
2023-04-27,Pratapgarh,1.0,Satisfactory,89,O3
2023-04-28,Pratapgarh,1.0,Satisfactory,72,O3
2023-04-29,Pratapgarh,1.0,Satisfactory,65,PM10
2023-04-30,Pratapgarh,1.0,Satisfactory,51,O3
2023-05-01,Pratapgarh,1.0,Satisfactory,63,O3
2023-05-02,Pratapgarh,1.0,Satisfactory,77,PM10
2023-05-03,Pratapgarh,1.0,Satisfactory,62,O3
2023-05-04,Pratapgarh,1.0,Satisfactory,78,O3
2023-05-05,Pratapgarh,1.0,Satisfactory,85,O3
2023-05-06,Pratapgarh,1.0,Satisfactory,79,O3
2023-05-08,Pratapgarh,1.0,Satisfactory,88,PM10
2023-05-09,Pratapgarh,1.0,Satisfactory,99,PM10
2023-05-10,Pratapgarh,1.0,Moderate,104,PM10
2023-05-11,Pratapgarh,1.0,Moderate,112,PM10
2023-05-12,Pratapgarh,1.0,Moderate,112,PM10
2023-05-13,Pratapgarh,1.0,Moderate,107,PM10
2023-05-14,Pratapgarh,1.0,Moderate,104,PM10
2023-05-15,Pratapgarh,1.0,Moderate,114,PM10
2023-05-17,Pratapgarh,1.0,Satisfactory,100,PM10
2023-05-19,Pratapgarh,1.0,Satisfactory,95,PM10
2023-05-20,Pratapgarh,1.0,Satisfactory,100,PM10
2023-05-21,Pratapgarh,1.0,Moderate,107,PM10
2023-05-22,Pratapgarh,1.0,Satisfactory,93,PM10
2023-05-23,Pratapgarh,1.0,Moderate,105,PM10
2023-05-24,Pratapgarh,1.0,Moderate,118,PM10
2023-05-25,Pratapgarh,1.0,Moderate,101,PM10
2023-05-27,Pratapgarh,1.0,Moderate,107,PM10
2023-05-28,Pratapgarh,1.0,Satisfactory,87,PM10
2023-05-29,Pratapgarh,1.0,Satisfactory,78,O3
2023-05-30,Pratapgarh,1.0,Satisfactory,76,PM10
2023-06-01,Pratapgarh,1.0,Satisfactory,80,PM10
2023-06-02,Pratapgarh,1.0,Satisfactory,90,PM10
2023-06-03,Pratapgarh,1.0,Moderate,108,PM10
2023-06-04,Pratapgarh,1.0,Satisfactory,79,O3
2023-06-05,Pratapgarh,1.0,Satisfactory,81,O3
2023-06-06,Pratapgarh,1.0,Satisfactory,77,PM10
2023-06-07,Pratapgarh,1.0,Satisfactory,92,PM10
2023-06-08,Pratapgarh,1.0,Satisfactory,92,PM10
2023-06-09,Pratapgarh,1.0,Satisfactory,100,PM10
2023-06-10,Pratapgarh,1.0,Satisfactory,71,PM10
2023-06-11,Pratapgarh,1.0,Satisfactory,56,O3
2023-06-12,Pratapgarh,1.0,Moderate,170,PM10
2023-06-13,Pratapgarh,1.0,Satisfactory,92,PM10
2023-06-14,Pratapgarh,1.0,Moderate,103,PM10
2023-06-15,Pratapgarh,1.0,Moderate,103,PM10
2023-06-16,Pratapgarh,1.0,Moderate,111,PM10
2023-06-17,Pratapgarh,1.0,Moderate,101,PM10
2023-06-18,Pratapgarh,1.0,Moderate,106,PM10
2023-06-19,Pratapgarh,1.0,Satisfactory,83,PM10
2023-06-20,Pratapgarh,1.0,Moderate,105,PM10
2023-06-21,Pratapgarh,1.0,Moderate,110,PM10
2023-06-22,Pratapgarh,1.0,Satisfactory,98,PM10
2023-06-23,Pratapgarh,1.0,Satisfactory,89,PM10
2023-06-24,Pratapgarh,1.0,Moderate,101,PM10
2023-06-25,Pratapgarh,1.0,Satisfactory,69,PM10
2023-06-26,Pratapgarh,1.0,Good,44,PM10
2023-07-01,Pratapgarh,1.0,Good,45,PM10
2023-07-02,Pratapgarh,1.0,Good,45,PM10
2023-07-03,Pratapgarh,1.0,Satisfactory,77,PM10
2023-07-04,Pratapgarh,1.0,Satisfactory,84,PM10
2023-07-05,Pratapgarh,1.0,Satisfactory,72,PM10
2023-07-06,Pratapgarh,1.0,Satisfactory,78,O3
2023-07-07,Pratapgarh,1.0,Satisfactory,62,O3
2023-07-08,Pratapgarh,1.0,Good,46,O3
2023-07-09,Pratapgarh,1.0,Good,46,O3
2023-07-10,Pratapgarh,1.0,Satisfactory,51,O3
2023-07-11,Pratapgarh,1.0,Satisfactory,60,PM10
2023-07-12,Pratapgarh,1.0,Moderate,113,PM10
2023-07-13,Pratapgarh,1.0,Moderate,121,PM10
2023-07-14,Pratapgarh,1.0,Moderate,120,PM10
2023-07-15,Pratapgarh,1.0,Moderate,114,PM10
2023-07-16,Pratapgarh,1.0,Satisfactory,91,PM10
2023-07-18,Pratapgarh,1.0,Satisfactory,67,PM10
2023-07-19,Pratapgarh,1.0,Good,50,O3
2023-07-20,Pratapgarh,1.0,Good,50,O3
2023-07-21,Pratapgarh,1.0,Good,47,PM10
2023-07-22,Pratapgarh,1.0,Satisfactory,67,PM2.5
2023-07-23,Pratapgarh,1.0,Satisfactory,51,O3
2023-07-24,Pratapgarh,1.0,Good,50,O3
2023-07-25,Pratapgarh,1.0,Good,45,O3
2023-07-26,Pratapgarh,1.0,Satisfactory,75,PM10
2023-07-27,Pratapgarh,1.0,Satisfactory,90,PM10
2023-07-28,Pratapgarh,1.0,Good,44,PM10
2023-07-29,Pratapgarh,1.0,Satisfactory,63,PM10
2023-07-30,Pratapgarh,1.0,Good,37,PM10
2023-07-31,Pratapgarh,1.0,Good,47,PM10
2023-08-01,Pratapgarh,1.0,Satisfactory,78,PM10
2023-08-02,Pratapgarh,1.0,Satisfactory,72,PM10
