date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2021-06-03,Prayagraj,1.0,Moderate,169,PM10
2021-06-04,Prayagraj,2.0,Moderate,128,PM10
2021-06-05,Prayagraj,2.0,Moderate,126,"O3, PM10"
2021-06-07,Prayagraj,1.0,Satisfactory,73,PM10
2021-06-08,Prayagraj,2.0,Satisfactory,92,"O3, PM10"
2021-06-09,Prayagraj,2.0,Satisfactory,96,PM10
2021-06-10,Prayagraj,1.0,Poor,297,PM10
2021-06-11,Prayagraj,1.0,Very Poor,387,PM10
2021-06-12,Prayagraj,2.0,Good,49,PM10
2021-06-13,Prayagraj,2.0,Good,29,PM10
2021-06-14,Prayagraj,2.0,Good,26,PM2.5
2021-06-15,Prayagraj,2.0,Good,30,PM10
2021-06-16,Prayagraj,2.0,Good,44,PM10
2021-06-18,Prayagraj,1.0,Good,29,PM2.5
2021-06-19,Prayagraj,2.0,Good,21,CO
2021-06-20,Prayagraj,2.0,Good,40,PM10
2021-06-21,Prayagraj,2.0,Satisfactory,64,"PM10, PM2.5"
2021-06-22,Prayagraj,2.0,Satisfactory,71,PM10
2021-06-23,Prayagraj,2.0,Satisfactory,64,"PM10, PM2.5"
2021-06-24,Prayagraj,2.0,Satisfactory,60,PM2.5
2021-06-25,Prayagraj,1.0,Good,43,PM2.5
2021-06-26,Prayagraj,2.0,Good,42,"PM10, PM2.5"
2021-06-27,Prayagraj,2.0,Good,42,"PM10, PM2.5"
2021-06-28,Prayagraj,2.0,Satisfactory,88,PM2.5
2021-06-29,Prayagraj,2.0,Moderate,120,PM2.5
2021-06-30,Prayagraj,1.0,Satisfactory,85,PM10
2021-07-01,Prayagraj,2.0,Satisfactory,80,PM10
2021-07-02,Prayagraj,2.0,Satisfactory,56,PM10
2021-07-03,Prayagraj,2.0,Satisfactory,60,PM10
2021-07-04,Prayagraj,2.0,Satisfactory,85,PM10
2021-07-05,Prayagraj,2.0,Satisfactory,96,PM10
2021-07-06,Prayagraj,2.0,Satisfactory,80,PM10
2021-07-07,Prayagraj,2.0,Satisfactory,80,PM10
2021-07-08,Prayagraj,2.0,Satisfactory,98,PM10
2021-07-09,Prayagraj,2.0,Satisfactory,64,PM10
2021-07-10,Prayagraj,2.0,Satisfactory,98,"PM10, PM2.5"
2021-07-11,Prayagraj,2.0,Moderate,138,"PM10, PM2.5"
2021-07-12,Prayagraj,2.0,Satisfactory,67,PM2.5
2021-07-13,Prayagraj,2.0,Satisfactory,60,PM10
2021-07-14,Prayagraj,2.0,Satisfactory,51,PM10
2021-07-15,Prayagraj,2.0,Satisfactory,52,PM10
2021-07-16,Prayagraj,2.0,Satisfactory,52,PM10
2021-07-17,Prayagraj,2.0,Satisfactory,62,PM10
2021-07-18,Prayagraj,2.0,Good,36,PM10
2021-07-19,Prayagraj,1.0,Good,40,PM10
2021-07-20,Prayagraj,2.0,Good,26,"CO, PM10"
2021-07-21,Prayagraj,1.0,Good,12,CO
2021-07-22,Prayagraj,1.0,Good,37,PM10
2021-07-24,Prayagraj,1.0,Good,41,PM10
2021-07-25,Prayagraj,2.0,Good,41,PM10
2021-07-26,Prayagraj,2.0,Good,44,PM10
2021-07-27,Prayagraj,3.0,Good,28,PM10
2021-07-28,Prayagraj,3.0,Good,33,PM10
2021-07-29,Prayagraj,3.0,Good,28,PM10
2021-07-30,Prayagraj,3.0,Good,30,PM10
2021-07-31,Prayagraj,3.0,Good,32,PM10
2021-08-01,Prayagraj,1.0,Satisfactory,66,PM10
2021-08-02,Prayagraj,3.0,Good,21,"CO, PM10"
2021-08-03,Prayagraj,3.0,Good,36,PM10
2021-08-04,Prayagraj,3.0,Good,48,PM10
2021-08-05,Prayagraj,3.0,Good,46,PM10
2021-08-06,Prayagraj,3.0,Good,35,"O3, PM10"
2021-08-07,Prayagraj,3.0,Good,48,PM10
2021-08-08,Prayagraj,3.0,Good,44,PM10
2021-08-09,Prayagraj,2.0,Good,29,"CO, PM2.5"
2021-08-10,Prayagraj,2.0,Good,20,CO
2021-08-11,Prayagraj,2.0,Good,30,"NH3, PM10"
2021-08-12,Prayagraj,3.0,Satisfactory,59,PM10
2021-08-13,Prayagraj,3.0,Satisfactory,82,PM10
2021-08-14,Prayagraj,3.0,Satisfactory,77,PM10
2021-08-15,Prayagraj,3.0,Satisfactory,77,PM10
2021-08-16,Prayagraj,3.0,Satisfactory,85,PM10
2021-08-17,Prayagraj,3.0,Satisfactory,76,PM10
2021-08-18,Prayagraj,3.0,Satisfactory,64,PM10
2021-08-19,Prayagraj,2.0,Good,45,"O3, PM2.5"
2021-08-20,Prayagraj,3.0,Good,38,"PM10, PM2.5"
2021-08-21,Prayagraj,3.0,Good,39,"PM10, PM2.5"
2021-08-22,Prayagraj,3.0,Good,37,"PM10, PM2.5"
2021-08-23,Prayagraj,3.0,Good,39,PM10
2021-08-24,Prayagraj,3.0,Satisfactory,53,PM10
2021-08-25,Prayagraj,3.0,Good,34,PM10
2021-08-26,Prayagraj,3.0,Good,44,PM10
2021-08-27,Prayagraj,3.0,Satisfactory,62,PM10
2021-08-28,Prayagraj,3.0,Satisfactory,60,PM10
2021-08-29,Prayagraj,3.0,Satisfactory,66,PM10
2021-08-30,Prayagraj,2.0,Good,26,"O3, PM2.5"
2021-08-31,Prayagraj,2.0,Good,28,PM2.5
2021-09-01,Prayagraj,3.0,Good,45,PM10
2021-09-02,Prayagraj,3.0,Satisfactory,66,"PM10, PM2.5"
2021-09-03,Prayagraj,3.0,Good,49,"PM10, PM2.5"
2021-09-04,Prayagraj,2.0,Good,42,PM10
2021-09-05,Prayagraj,3.0,Good,46,PM10
2021-09-06,Prayagraj,3.0,Moderate,138,PM2.5
2021-09-07,Prayagraj,3.0,Good,39,"PM10, PM2.5"
2021-09-08,Prayagraj,3.0,Good,32,"CO, PM10"
2021-09-09,Prayagraj,3.0,Good,29,"NO2, O3, PM10"
2021-09-10,Prayagraj,3.0,Good,46,PM10
2021-09-11,Prayagraj,3.0,Satisfactory,52,"PM10, PM2.5"
2021-09-12,Prayagraj,2.0,Good,38,PM10
2021-09-13,Prayagraj,3.0,Satisfactory,52,PM10
2021-09-14,Prayagraj,3.0,Good,25,"NO2, PM10"
2021-09-15,Prayagraj,3.0,Good,19,"CO, O3, PM10"
2021-09-16,Prayagraj,3.0,Good,22,"NO2, PM10, SO2"
2021-09-17,Prayagraj,3.0,Good,23,"NO2, PM10"
2021-09-18,Prayagraj,2.0,Good,22,"NO2, PM10"
2021-09-19,Prayagraj,3.0,Satisfactory,70,"PM10, PM2.5"
2021-09-20,Prayagraj,2.0,Satisfactory,54,"PM10, PM2.5"
2021-09-21,Prayagraj,3.0,Satisfactory,52,"PM10, PM2.5"
2021-09-22,Prayagraj,3.0,Satisfactory,61,"PM10, PM2.5"
2021-09-23,Prayagraj,2.0,Satisfactory,52,PM10
2021-09-24,Prayagraj,3.0,Good,36,"PM10, PM2.5"
2021-09-25,Prayagraj,3.0,Good,38,PM10
2021-09-26,Prayagraj,3.0,Satisfactory,54,PM10
