date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2021-01-13,Puducherry,1.0,Satisfactory,86,PM2.5
2021-01-14,Puducherry,1.0,Satisfactory,58,PM2.5
2021-01-15,Puducherry,1.0,Satisfactory,57,PM2.5
2021-01-16,Puducherry,1.0,Satisfactory,55,O3
2021-01-17,Puducherry,1.0,Good,49,PM10
2021-01-18,Puducherry,1.0,Good,46,PM10
2021-01-19,Puducherry,1.0,Satisfactory,59,PM10
2021-01-20,Puducherry,1.0,Satisfactory,80,PM10
2021-01-21,Puducherry,1.0,Satisfactory,81,PM10
2021-01-22,Puducherry,1.0,Good,32,PM10
2021-01-23,Puducherry,1.0,Good,34,CO
2021-01-24,Puducherry,1.0,Satisfactory,54,PM10
2021-01-25,Puducherry,1.0,Satisfactory,52,PM10
2021-01-26,Puducherry,1.0,Satisfactory,58,PM10
2021-01-27,Puducherry,1.0,Satisfactory,69,PM10
2021-01-28,Puducherry,1.0,Moderate,108,PM2.5
2021-01-29,Puducherry,1.0,Moderate,122,PM2.5
2021-01-30,Puducherry,1.0,Moderate,101,PM2.5
2021-01-31,Puducherry,1.0,Satisfactory,74,PM10
2021-02-01,Puducherry,1.0,Good,48,PM10
2021-02-02,Puducherry,1.0,Satisfactory,66,PM10
2021-02-03,Puducherry,1.0,Satisfactory,84,PM10
2021-02-04,Puducherry,1.0,Satisfactory,73,PM10
2021-02-05,Puducherry,1.0,Satisfactory,78,PM10
2021-02-06,Puducherry,1.0,Satisfactory,84,PM10
2021-02-07,Puducherry,1.0,Satisfactory,74,O3
2021-02-08,Puducherry,1.0,Satisfactory,67,O3
2021-02-09,Puducherry,1.0,Satisfactory,73,O3
2021-02-10,Puducherry,1.0,Satisfactory,80,O3
2021-02-11,Puducherry,1.0,Satisfactory,64,O3
2021-02-12,Puducherry,1.0,Satisfactory,53,O3
2021-02-13,Puducherry,1.0,Good,47,PM10
2021-02-14,Puducherry,1.0,Good,43,O3
2021-02-15,Puducherry,1.0,Good,39,O3
2021-02-16,Puducherry,1.0,Good,38,PM10
2021-02-17,Puducherry,1.0,Satisfactory,56,PM10
2021-02-18,Puducherry,1.0,Satisfactory,71,PM10
2021-02-19,Puducherry,1.0,Satisfactory,63,PM2.5
2021-02-20,Puducherry,1.0,Satisfactory,52,O3
2021-02-21,Puducherry,1.0,Satisfactory,51,O3
2021-02-22,Puducherry,1.0,Good,38,O3
2021-02-23,Puducherry,1.0,Good,50,PM10
2021-02-24,Puducherry,1.0,Good,43,PM10
2021-02-25,Puducherry,1.0,Good,49,PM2.5
2021-02-26,Puducherry,1.0,Satisfactory,58,PM2.5
2021-02-27,Puducherry,1.0,Good,49,PM2.5
2021-02-28,Puducherry,1.0,Good,31,PM2.5
2021-03-01,Puducherry,1.0,Good,47,PM2.5
2021-03-02,Puducherry,1.0,Good,46,PM10
2021-03-03,Puducherry,1.0,Moderate,109,PM2.5
2021-03-04,Puducherry,1.0,Satisfactory,52,PM10
2021-03-05,Puducherry,1.0,Good,43,PM10
2021-03-06,Puducherry,1.0,Satisfactory,60,PM10
2021-03-07,Puducherry,1.0,Good,46,PM10
2021-03-08,Puducherry,1.0,Good,27,PM10
2021-03-09,Puducherry,1.0,Good,25,CO
2021-03-10,Puducherry,1.0,Good,22,CO
2021-03-11,Puducherry,1.0,Good,27,O3
2021-03-12,Puducherry,1.0,Good,31,PM10
2021-03-13,Puducherry,1.0,Good,43,PM2.5
2021-03-14,Puducherry,1.0,Good,38,O3
2021-03-15,Puducherry,1.0,Good,39,O3
2021-03-16,Puducherry,1.0,Good,33,O3
2021-03-17,Puducherry,1.0,Good,40,O3
2021-03-18,Puducherry,1.0,Satisfactory,59,PM10
2021-03-19,Puducherry,1.0,Satisfactory,58,PM10
2021-03-20,Puducherry,1.0,Satisfactory,83,PM2.5
2021-03-21,Puducherry,1.0,Satisfactory,78,PM2.5
2021-03-22,Puducherry,1.0,Good,50,PM10
2021-03-23,Puducherry,1.0,Satisfactory,74,PM10
2021-03-24,Puducherry,1.0,Satisfactory,100,PM10
2021-03-25,Puducherry,1.0,Satisfactory,99,PM10
2021-03-26,Puducherry,1.0,Satisfactory,92,PM10
2021-03-27,Puducherry,1.0,Satisfactory,66,PM10
2021-03-28,Puducherry,1.0,Satisfactory,53,PM10
2021-03-29,Puducherry,1.0,Good,38,O3
2021-03-30,Puducherry,1.0,Satisfactory,60,O3
2021-03-31,Puducherry,1.0,Good,45,O3
2021-04-01,Puducherry,1.0,Satisfactory,57,O3
2021-04-02,Puducherry,1.0,Satisfactory,80,O3
2021-04-03,Puducherry,1.0,Satisfactory,75,PM10
2021-04-04,Puducherry,1.0,Satisfactory,76,PM10
2021-04-05,Puducherry,1.0,Satisfactory,76,PM10
2021-04-06,Puducherry,1.0,Satisfactory,68,PM10
2021-04-07,Puducherry,1.0,Satisfactory,67,PM10
2021-04-08,Puducherry,1.0,Satisfactory,80,PM10
2021-04-09,Puducherry,1.0,Satisfactory,67,PM10
2021-04-10,Puducherry,1.0,Satisfactory,60,PM10
2021-04-11,Puducherry,1.0,Satisfactory,57,PM10
2021-04-12,Puducherry,1.0,Good,26,PM10
2021-04-13,Puducherry,1.0,Good,40,PM10
2021-04-14,Puducherry,1.0,Good,33,PM10
2021-04-15,Puducherry,1.0,Good,29,CO
2021-04-16,Puducherry,1.0,Good,45,O3
2021-04-17,Puducherry,1.0,Good,45,O3
2021-04-18,Puducherry,1.0,Good,40,O3
2021-04-19,Puducherry,1.0,Satisfactory,63,O3
2021-04-20,Puducherry,1.0,Good,45,O3
2021-04-21,Puducherry,1.0,Good,47,O3
2021-04-22,Puducherry,1.0,Good,47,O3
2021-04-23,Puducherry,1.0,Satisfactory,54,O3
2021-04-24,Puducherry,1.0,Satisfactory,53,O3
2021-04-25,Puducherry,1.0,Good,44,PM10
2021-04-26,Puducherry,1.0,Good,46,PM10
2021-04-27,Puducherry,1.0,Good,47,PM10
