date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2015-08-20,Pune,1.0,Moderate,130,PM10
2015-08-21,Pune,1.0,Moderate,106,PM10
2015-08-22,Pune,1.0,Satisfactory,96,PM10
2015-08-23,Pune,1.0,Satisfactory,89,PM10
2015-08-24,Pune,1.0,Satisfactory,79,PM10
2015-08-25,Pune,1.0,Satisfactory,85,PM10
2015-08-26,Pune,1.0,Satisfactory,73,PM10
2015-08-27,Pune,1.0,Satisfactory,84,PM10
2015-08-29,Pune,1.0,Satisfactory,73,PM10
2015-08-30,Pune,1.0,Satisfactory,68,PM10
2015-08-31,Pune,1.0,Satisfactory,84,PM10
2015-09-01,Pune,1.0,Satisfactory,100,PM10
2015-09-02,Pune,1.0,Moderate,116,PM10
2015-09-03,Pune,1.0,Moderate,128,PM10
2015-09-04,Pune,1.0,Moderate,128,PM10
2015-09-05,Pune,1.0,Moderate,142,PM10
2015-09-08,Pune,1.0,Moderate,105,PM10
2015-09-09,Pune,1.0,Moderate,107,PM10
2015-09-10,Pune,1.0,Satisfactory,71,PM10
2015-09-11,Pune,1.0,Satisfactory,77,PM10
2015-09-12,Pune,1.0,Satisfactory,90,PM10
2015-09-13,Pune,1.0,Satisfactory,74,PM10
2015-09-14,Pune,1.0,Satisfactory,85,PM10
2015-09-15,Pune,1.0,Satisfactory,89,PM10
2015-09-16,Pune,1.0,Satisfactory,88,PM10
2015-09-17,Pune,1.0,Satisfactory,79,PM10
2015-09-18,Pune,1.0,Satisfactory,74,PM10
2015-09-19,Pune,1.0,Satisfactory,76,PM10
2015-09-20,Pune,1.0,Satisfactory,70,PM10
2015-09-21,Pune,1.0,Satisfactory,93,PM10
2015-09-23,Pune,1.0,Satisfactory,87,PM10
2015-09-25,Pune,1.0,Moderate,121,PM10
2015-09-26,Pune,1.0,Moderate,140,PM10
2015-09-27,Pune,1.0,Moderate,132,PM10
2015-09-28,Pune,1.0,Moderate,132,PM10
2015-09-29,Pune,1.0,Moderate,144,PM10
2015-09-30,Pune,1.0,Poor,237,PM2.5
2015-10-01,Pune,1.0,Poor,204,PM2.5
2015-10-02,Pune,1.0,Satisfactory,93,PM10
2015-10-03,Pune,1.0,Satisfactory,64,NO2
2015-10-04,Pune,1.0,Satisfactory,65,PM10
2015-10-05,Pune,1.0,Satisfactory,94,PM10
2015-10-06,Pune,1.0,Moderate,188,PM2.5
2015-10-07,Pune,1.0,Moderate,197,PM2.5
2015-10-09,Pune,1.0,Moderate,179,PM2.5
2015-10-10,Pune,1.0,Moderate,121,PM2.5
2015-10-11,Pune,1.0,Satisfactory,92,PM10
2015-10-12,Pune,1.0,Satisfactory,74,PM10
2015-10-13,Pune,1.0,Moderate,103,PM10
2015-10-14,Pune,1.0,Moderate,143,PM2.5
2015-10-15,Pune,1.0,Moderate,147,PM2.5
2015-10-16,Pune,1.0,Moderate,182,PM2.5
2015-10-17,Pune,1.0,Moderate,179,PM2.5
2015-10-18,Pune,1.0,Moderate,162,PM2.5
2015-10-19,Pune,1.0,Moderate,155,PM2.5
2015-10-20,Pune,1.0,Moderate,180,PM2.5
2015-10-21,Pune,1.0,Moderate,181,PM2.5
2015-10-23,Pune,1.0,Poor,209,PM2.5
2015-10-24,Pune,1.0,Moderate,174,PM2.5
2015-10-25,Pune,1.0,Moderate,153,PM2.5
2015-10-26,Pune,1.0,Moderate,175,PM2.5
2015-10-27,Pune,1.0,Moderate,168,PM2.5
2015-10-28,Pune,1.0,Poor,210,PM2.5
2015-10-29,Pune,1.0,Moderate,178,PM2.5
2015-10-30,Pune,1.0,Moderate,196,PM2.5
2015-10-31,Pune,1.0,Moderate,188,PM2.5
2015-11-01,Pune,1.0,Poor,223,PM2.5
2015-11-02,Pune,1.0,Poor,206,PM2.5
2015-11-03,Pune,1.0,Moderate,166,PM2.5
2015-11-04,Pune,1.0,Poor,204,PM2.5
2015-11-05,Pune,1.0,Moderate,177,PM2.5
2015-11-06,Pune,1.0,Moderate,177,PM2.5
2015-11-07,Pune,1.0,Moderate,190,PM2.5
2015-11-08,Pune,1.0,Moderate,197,PM2.5
2015-11-09,Pune,1.0,Poor,213,PM2.5
2015-11-10,Pune,1.0,Poor,270,PM2.5
2015-11-11,Pune,1.0,Poor,281,PM2.5
2015-11-12,Pune,1.0,Very Poor,315,PM2.5
2015-11-13,Pune,1.0,Poor,224,PM2.5
2015-11-14,Pune,1.0,Poor,237,PM2.5
2015-11-15,Pune,1.0,Poor,245,PM2.5
2015-11-16,Pune,1.0,Poor,246,PM2.5
2015-11-17,Pune,1.0,Poor,226,PM2.5
2015-11-18,Pune,1.0,Poor,244,PM2.5
2015-11-19,Pune,1.0,Poor,228,PM2.5
2015-11-21,Pune,1.0,Moderate,152,PM2.5
2015-11-22,Pune,1.0,Moderate,117,PM2.5
2015-11-23,Pune,1.0,Satisfactory,86,PM10
2015-11-24,Pune,1.0,Satisfactory,92,PM2.5
2015-11-25,Pune,1.0,Moderate,195,PM2.5
2015-11-26,Pune,1.0,Poor,258,PM2.5
2015-11-27,Pune,1.0,Poor,240,PM2.5
2015-11-28,Pune,1.0,Poor,264,PM2.5
2015-11-29,Pune,1.0,Poor,255,PM2.5
2015-11-30,Pune,1.0,Moderate,200,PM2.5
2015-12-01,Pune,1.0,Poor,244,PM2.5
2015-12-02,Pune,1.0,Moderate,186,PM2.5
2015-12-03,Pune,1.0,Moderate,186,PM2.5
2015-12-04,Pune,1.0,Poor,211,PM2.5
2015-12-05,Pune,1.0,Poor,225,PM2.5
2015-12-06,Pune,1.0,Poor,256,PM2.5
2015-12-07,Pune,1.0,Poor,240,PM2.5
2015-12-08,Pune,1.0,Poor,210,PM2.5
2015-12-09,Pune,1.0,Poor,240,PM2.5
2015-12-10,Pune,1.0,Poor,216,PM2.5
2015-12-11,Pune,1.0,Moderate,154,PM2.5
