date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2021-11-23,Purnia,1.0,Very Poor,384,PM2.5
2021-11-24,Purnia,1.0,Moderate,188,PM10
2021-11-25,Purnia,1.0,Poor,272,PM2.5
2021-11-26,Purnia,1.0,Poor,246,PM2.5
2021-11-27,Purnia,1.0,Very Poor,332,PM2.5
2021-11-28,Purnia,1.0,Very Poor,315,PM2.5
2021-11-29,Purnia,1.0,Very Poor,320,PM2.5
2021-11-30,Purnia,1.0,Very Poor,366,PM2.5
2021-12-01,Purnia,1.0,Very Poor,303,PM2.5
2021-12-02,Purnia,1.0,Poor,294,PM2.5
2021-12-03,Purnia,1.0,Very Poor,303,PM2.5
2021-12-04,Purnia,1.0,Very Poor,323,PM2.5
2021-12-05,Purnia,1.0,Poor,291,PM2.5
2021-12-06,Purnia,1.0,Poor,279,PM2.5
2021-12-07,Purnia,1.0,Poor,295,PM2.5
2021-12-08,Purnia,1.0,Poor,287,PM2.5
2021-12-09,Purnia,1.0,Very Poor,306,PM2.5
2021-12-10,Purnia,1.0,Poor,248,PM2.5
2021-12-12,Purnia,1.0,Very Poor,335,PM2.5
2021-12-13,Purnia,1.0,Very Poor,335,PM2.5
2021-12-14,Purnia,1.0,Very Poor,345,PM2.5
2021-12-17,Purnia,1.0,Very Poor,312,PM2.5
2021-12-18,Purnia,1.0,Very Poor,318,PM2.5
2021-12-21,Purnia,1.0,Very Poor,375,PM2.5
2021-12-22,Purnia,1.0,Very Poor,326,PM2.5
2021-12-23,Purnia,1.0,Very Poor,325,PM2.5
2021-12-24,Purnia,1.0,Very Poor,355,PM2.5
2021-12-25,Purnia,1.0,Poor,239,PM10
2021-12-26,Purnia,1.0,Poor,207,PM10
2021-12-27,Purnia,1.0,Poor,298,PM2.5
2021-12-28,Purnia,1.0,Poor,286,PM2.5
2021-12-30,Purnia,1.0,Satisfactory,84,PM2.5
2021-12-31,Purnia,1.0,Poor,260,PM2.5
2022-01-01,Purnia,1.0,Very Poor,305,PM2.5
2022-01-02,Purnia,1.0,Poor,244,PM2.5
2022-01-03,Purnia,1.0,Poor,287,PM2.5
2022-01-04,Purnia,1.0,Very Poor,302,PM2.5
2022-01-05,Purnia,1.0,Very Poor,305,PM2.5
2022-01-07,Purnia,1.0,Very Poor,380,PM2.5
2022-01-08,Purnia,1.0,Very Poor,350,PM2.5
2022-01-09,Purnia,1.0,Poor,300,PM2.5
2022-01-10,Purnia,1.0,Poor,298,PM2.5
2022-01-11,Purnia,1.0,Very Poor,340,PM2.5
2022-01-12,Purnia,1.0,Very Poor,327,PM2.5
2022-01-13,Purnia,1.0,Poor,202,PM2.5
2022-01-14,Purnia,1.0,Poor,207,PM2.5
2022-01-15,Purnia,1.0,Poor,297,PM2.5
