date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2020-12-17,Raichur,1.0,Satisfactory,76,PM10
2020-12-18,Raichur,1.0,Moderate,112,PM10
2020-12-19,Raichur,1.0,Moderate,130,PM2.5
2020-12-20,Raichur,1.0,Moderate,121,PM2.5
2020-12-21,Raichur,1.0,Moderate,123,PM2.5
2020-12-23,Raichur,1.0,Satisfactory,95,PM2.5
2020-12-24,Raichur,1.0,Moderate,116,PM10
2020-12-25,Raichur,1.0,Moderate,126,PM10
2020-12-26,Raichur,1.0,Moderate,131,PM10
2020-12-28,Raichur,1.0,Moderate,196,PM2.5
2020-12-29,Raichur,1.0,Moderate,194,PM2.5
2020-12-30,Raichur,1.0,Moderate,150,PM2.5
2020-12-31,Raichur,1.0,Moderate,119,PM10
2021-01-01,Raichur,1.0,Moderate,143,PM2.5
2021-01-02,Raichur,1.0,Moderate,151,PM2.5
2021-01-03,Raichur,1.0,Moderate,136,PM2.5
2021-01-05,Raichur,1.0,Satisfactory,94,PM10
2021-01-06,Raichur,1.0,Satisfactory,83,PM10
2021-01-08,Raichur,1.0,Moderate,112,PM10
2021-01-09,Raichur,1.0,Satisfactory,81,PM10
2021-01-10,Raichur,1.0,Satisfactory,90,PM10
2021-01-11,Raichur,1.0,Moderate,111,PM10
2021-01-12,Raichur,1.0,Moderate,124,PM10
2021-01-13,Raichur,1.0,Moderate,124,PM10
2021-01-14,Raichur,1.0,Moderate,110,PM10
2021-01-15,Raichur,1.0,Moderate,108,PM10
2021-01-16,Raichur,1.0,Moderate,123,PM10
2021-01-17,Raichur,1.0,Moderate,141,PM10
2021-01-18,Raichur,1.0,Satisfactory,93,PM10
2021-01-19,Raichur,1.0,Satisfactory,100,PM10
2021-01-20,Raichur,1.0,Moderate,161,PM10
2021-01-21,Raichur,1.0,Poor,212,PM10
2021-01-22,Raichur,1.0,Poor,213,PM10
2021-01-23,Raichur,1.0,Moderate,148,PM10
2021-01-24,Raichur,1.0,Moderate,145,PM10
2021-01-25,Raichur,1.0,Moderate,156,PM10
2021-01-26,Raichur,1.0,Moderate,142,PM10
2021-01-27,Raichur,1.0,Moderate,131,PM10
2021-01-28,Raichur,1.0,Moderate,141,PM10
2021-01-29,Raichur,1.0,Moderate,128,PM10
2021-02-09,Raichur,1.0,Moderate,128,PM10
2021-02-10,Raichur,1.0,Moderate,136,PM10
2021-02-11,Raichur,1.0,Moderate,167,PM10
2021-02-12,Raichur,1.0,Moderate,121,PM10
2021-02-13,Raichur,1.0,Moderate,131,PM10
2021-02-14,Raichur,1.0,Moderate,117,PM10
2021-02-15,Raichur,1.0,Moderate,112,PM10
2021-02-16,Raichur,1.0,Moderate,173,PM10
2021-02-17,Raichur,1.0,Moderate,124,PM10
2021-02-18,Raichur,1.0,Moderate,117,PM10
2021-02-19,Raichur,1.0,Moderate,117,PM10
2021-02-20,Raichur,1.0,Moderate,112,PM10
2021-02-21,Raichur,1.0,Satisfactory,78,PM10
2021-02-23,Raichur,1.0,Satisfactory,58,PM2.5
2021-02-24,Raichur,1.0,Moderate,121,PM10
2021-02-25,Raichur,1.0,Moderate,134,PM10
2021-02-26,Raichur,1.0,Moderate,159,PM10
2021-02-27,Raichur,1.0,Moderate,146,PM10
2021-02-28,Raichur,1.0,Moderate,142,PM10
2021-03-01,Raichur,1.0,Moderate,146,PM10
2021-03-02,Raichur,1.0,Moderate,134,PM10
2021-03-03,Raichur,1.0,Moderate,134,PM10
2021-03-07,Raichur,1.0,Moderate,159,PM10
2021-03-08,Raichur,1.0,Moderate,133,PM10
2021-03-09,Raichur,1.0,Satisfactory,98,PM10
2021-03-10,Raichur,1.0,Moderate,103,PM10
2021-03-11,Raichur,1.0,Moderate,108,PM10
2021-03-12,Raichur,1.0,Satisfactory,71,PM10
2021-03-13,Raichur,1.0,Satisfactory,72,PM10
2021-03-14,Raichur,1.0,Satisfactory,87,PM10
2021-03-15,Raichur,1.0,Moderate,126,PM10
2021-03-16,Raichur,1.0,Moderate,144,PM10
2021-03-17,Raichur,1.0,Moderate,136,PM10
2021-03-18,Raichur,1.0,Moderate,134,PM2.5
2021-03-19,Raichur,1.0,Moderate,121,PM10
2021-03-20,Raichur,1.0,Moderate,135,PM10
2021-03-21,Raichur,1.0,Moderate,123,PM10
2021-03-22,Raichur,1.0,Moderate,134,PM2.5
2021-03-23,Raichur,1.0,Moderate,134,PM10
2021-03-24,Raichur,1.0,Moderate,117,PM10
2021-03-25,Raichur,1.0,Moderate,140,PM2.5
2021-03-26,Raichur,1.0,Moderate,143,PM2.5
2021-03-27,Raichur,1.0,Moderate,145,PM2.5
2021-03-28,Raichur,1.0,Moderate,187,PM2.5
2021-03-29,Raichur,1.0,Moderate,134,PM2.5
2021-03-30,Raichur,1.0,Moderate,137,PM2.5
2021-03-31,Raichur,1.0,Moderate,106,PM2.5
2021-04-01,Raichur,1.0,Moderate,104,PM10
2021-04-02,Raichur,1.0,Satisfactory,83,PM10
2021-04-03,Raichur,1.0,Moderate,113,PM10
2021-04-04,Raichur,1.0,Satisfactory,90,PM10
2021-04-05,Raichur,1.0,Moderate,189,PM2.5
2021-04-06,Raichur,1.0,Moderate,133,PM2.5
2021-04-07,Raichur,1.0,Moderate,113,PM2.5
2021-04-08,Raichur,1.0,Moderate,102,PM10
2021-04-09,Raichur,1.0,Moderate,110,PM10
2021-04-20,Raichur,1.0,Satisfactory,89,PM10
2021-04-21,Raichur,1.0,Satisfactory,72,PM10
2021-04-22,Raichur,1.0,Satisfactory,71,PM10
2021-04-25,Raichur,1.0,Satisfactory,70,PM10
2021-04-26,Raichur,1.0,Satisfactory,74,PM10
2021-04-27,Raichur,1.0,Satisfactory,72,PM10
2021-04-30,Raichur,1.0,Satisfactory,76,PM10
2021-05-01,Raichur,1.0,Satisfactory,93,PM10
2021-05-02,Raichur,1.0,Satisfactory,79,PM10
2021-05-03,Raichur,1.0,Satisfactory,71,PM10
2021-05-04,Raichur,1.0,Satisfactory,70,PM10
2021-05-06,Raichur,1.0,Satisfactory,58,PM10
2021-05-07,Raichur,1.0,Satisfactory,63,PM10
2021-05-08,Raichur,1.0,Satisfactory,60,PM10
2021-05-09,Raichur,1.0,Satisfactory,63,PM10
2021-05-14,Raichur,1.0,Satisfactory,63,PM10
2021-05-18,Raichur,1.0,Good,29,PM10
2021-05-19,Raichur,1.0,Good,32,PM10
2021-05-21,Raichur,1.0,Satisfactory,69,PM10
2021-05-22,Raichur,1.0,Satisfactory,57,PM10
2021-05-23,Raichur,1.0,Satisfactory,71,PM10
2021-05-24,Raichur,1.0,Satisfactory,60,PM10
2021-05-25,Raichur,1.0,Satisfactory,70,PM10
2021-05-26,Raichur,1.0,Satisfactory,67,PM10
2021-05-27,Raichur,1.0,Satisfactory,63,PM10
2021-05-28,Raichur,1.0,Satisfactory,61,PM10
2021-05-29,Raichur,1.0,Satisfactory,52,PM10
2021-05-30,Raichur,1.0,Good,49,PM10
2021-05-31,Raichur,1.0,Good,38,PM10
2021-06-01,Raichur,1.0,Good,30,PM10
2021-06-02,Raichur,1.0,Good,41,PM10
2021-06-03,Raichur,1.0,Good,34,PM10
2021-06-04,Raichur,1.0,Good,24,PM10
2021-06-05,Raichur,1.0,Good,27,PM10
2021-06-06,Raichur,1.0,Good,22,PM10
2021-06-07,Raichur,1.0,Good,33,PM10
2021-06-08,Raichur,1.0,Satisfactory,56,PM10
2021-06-09,Raichur,1.0,Good,26,PM10
2021-06-10,Raichur,1.0,Good,29,PM10
2021-06-11,Raichur,1.0,Good,38,PM10
2021-06-12,Raichur,1.0,Good,32,PM10
2021-06-14,Raichur,1.0,Good,30,PM10
2021-06-15,Raichur,1.0,Good,26,PM10
2021-06-16,Raichur,1.0,Good,24,PM10
2021-06-17,Raichur,1.0,Good,36,PM10
2021-06-18,Raichur,1.0,Satisfactory,58,PM10
2021-06-19,Raichur,1.0,Satisfactory,54,PM10
2021-06-20,Raichur,1.0,Good,45,PM10
2021-06-21,Raichur,1.0,Moderate,112,PM10
2021-06-22,Raichur,1.0,Moderate,111,PM10
2021-06-23,Raichur,1.0,Satisfactory,96,PM10
2021-06-24,Raichur,1.0,Satisfactory,73,PM10
2021-06-25,Raichur,1.0,Good,45,PM10
2021-06-27,Raichur,1.0,Good,28,PM10
2021-06-29,Raichur,1.0,Satisfactory,75,PM10
2021-06-30,Raichur,1.0,Satisfactory,57,PM10
2021-07-01,Raichur,1.0,Good,40,PM10
2021-07-02,Raichur,1.0,Good,30,PM10
2021-07-03,Raichur,1.0,Good,48,PM10
2021-07-04,Raichur,1.0,Good,41,PM10
2021-07-05,Raichur,1.0,Good,49,PM10
2021-07-06,Raichur,1.0,Satisfactory,52,PM10
2021-07-07,Raichur,1.0,Good,43,PM10
2021-07-08,Raichur,1.0,Good,42,PM10
2021-07-09,Raichur,1.0,Good,33,PM10
2021-07-12,Raichur,1.0,Good,26,PM10
2021-07-13,Raichur,1.0,Good,32,PM10
2021-07-14,Raichur,1.0,Good,17,NO2
2021-07-15,Raichur,1.0,Good,17,CO
2021-07-17,Raichur,1.0,Good,23,PM10
2021-07-18,Raichur,1.0,Good,32,PM10
2021-07-20,Raichur,1.0,Good,36,PM10
