date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2022-10-26,Raipur,3.0,Moderate,132,"PM10, PM2.5"
2022-10-27,Raipur,3.0,Moderate,150,"PM10, PM2.5"
2022-10-28,Raipur,3.0,Moderate,116,"NO2, PM10"
2023-01-04,Raipur,4.0,Moderate,112,"PM10, PM2.5"
2023-01-05,Raipur,4.0,Moderate,112,"PM10, PM2.5"
2023-01-06,Raipur,4.0,Moderate,101,"NO2, PM2.5"
2023-01-07,Raipur,4.0,Moderate,106,"NO2, PM10"
2023-01-08,Raipur,3.0,Moderate,106,"NO2, PM10"
2023-01-09,Raipur,4.0,Moderate,114,"NO2, PM10"
2023-01-10,Raipur,4.0,Moderate,128,"NO2, PM10"
2023-01-12,Raipur,4.0,Satisfactory,96,"NO2, PM10"
2023-01-13,Raipur,4.0,Moderate,125,"NO2, PM2.5"
2023-01-14,Raipur,4.0,Satisfactory,98,"NO2, PM2.5"
2023-01-15,Raipur,4.0,Satisfactory,90,PM10
2023-01-16,Raipur,4.0,Satisfactory,86,"NO2, PM10"
2023-01-17,Raipur,4.0,Moderate,112,PM10
2023-01-18,Raipur,4.0,Moderate,103,PM10
2023-01-19,Raipur,4.0,Moderate,107,PM10
2023-01-20,Raipur,4.0,Satisfactory,98,PM10
2023-01-22,Raipur,4.0,Satisfactory,88,"NO2, PM10"
2023-01-23,Raipur,3.0,Satisfactory,89,PM10
2023-01-24,Raipur,4.0,Satisfactory,93,PM10
2023-01-25,Raipur,4.0,Moderate,108,PM10
2023-01-26,Raipur,4.0,Moderate,106,PM10
2023-01-27,Raipur,4.0,Moderate,102,PM10
2023-01-28,Raipur,4.0,Moderate,103,PM10
2023-01-29,Raipur,4.0,Satisfactory,99,PM10
2023-01-30,Raipur,4.0,Satisfactory,95,"NO2, PM10"
2023-01-31,Raipur,4.0,Moderate,105,PM10
2023-02-01,Raipur,4.0,Satisfactory,88,"NO2, PM10"
2023-02-02,Raipur,4.0,Satisfactory,89,"NO2, PM10"
2023-02-03,Raipur,4.0,Satisfactory,97,"NO2, PM10"
2023-02-04,Raipur,4.0,Satisfactory,93,"PM10, PM2.5"
2023-02-05,Raipur,4.0,Moderate,113,"NO2, PM2.5"
2023-02-06,Raipur,4.0,Moderate,118,"NO2, PM10"
2023-02-07,Raipur,4.0,Moderate,102,"PM10, PM2.5"
2023-02-08,Raipur,4.0,Satisfactory,98,"NO2, PM10"
2023-02-09,Raipur,4.0,Satisfactory,81,"NO2, PM10"
2023-02-10,Raipur,4.0,Moderate,111,"PM10, PM2.5"
2023-02-11,Raipur,4.0,Moderate,106,"NO2, PM2.5"
2023-02-12,Raipur,4.0,Satisfactory,84,"NO2, PM10"
2023-02-13,Raipur,3.0,Satisfactory,87,"NO2, PM10"
2023-02-14,Raipur,4.0,Satisfactory,92,"NO2, PM10"
2023-02-15,Raipur,4.0,Moderate,114,"NO2, PM2.5"
2023-02-16,Raipur,4.0,Satisfactory,95,"NO2, PM10"
2023-02-17,Raipur,3.0,Moderate,114,"PM10, PM2.5"
2023-02-18,Raipur,4.0,Moderate,114,PM10
2023-02-19,Raipur,4.0,Moderate,146,"PM10, PM2.5"
2023-02-20,Raipur,4.0,Moderate,116,"PM10, PM2.5"
2023-02-21,Raipur,4.0,Moderate,106,"PM10, PM2.5"
2023-02-22,Raipur,4.0,Moderate,113,"NO2, PM2.5"
2023-02-23,Raipur,4.0,Moderate,108,"NO2, PM2.5"
2023-02-24,Raipur,4.0,Moderate,109,"NO2, PM10"
2023-02-25,Raipur,4.0,Moderate,101,"NO2, PM10"
2023-02-26,Raipur,4.0,Moderate,115,"NO2, PM10"
2023-02-27,Raipur,4.0,Moderate,117,PM10
2023-02-28,Raipur,4.0,Moderate,126,"PM10, PM2.5"
2023-03-01,Raipur,4.0,Moderate,136,"PM10, PM2.5"
2023-03-02,Raipur,4.0,Moderate,117,"NO2, PM10"
2023-03-03,Raipur,4.0,Moderate,119,"NO2, PM10"
2023-03-04,Raipur,4.0,Moderate,119,"NO2, PM10"
