date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2022-11-27,Rairangpur,1.0,Moderate,128,PM2.5
2022-11-28,Rairangpur,1.0,Moderate,160,PM2.5
2022-11-29,Rairangpur,1.0,Moderate,198,PM2.5
2022-11-30,Rairangpur,1.0,Moderate,178,PM2.5
2022-12-01,Rairangpur,1.0,Moderate,145,PM2.5
2022-12-02,Rairangpur,1.0,Moderate,181,PM2.5
2022-12-03,Rairangpur,1.0,Moderate,172,PM2.5
2022-12-04,Rairangpur,1.0,Poor,280,PM2.5
2022-12-05,Rairangpur,1.0,Poor,285,PM2.5
2022-12-06,Rairangpur,1.0,Poor,295,PM2.5
2022-12-07,Rairangpur,1.0,Poor,294,PM2.5
2022-12-08,Rairangpur,1.0,Poor,260,PM2.5
2022-12-09,Rairangpur,1.0,Poor,289,PM2.5
2022-12-10,Rairangpur,1.0,Poor,253,PM2.5
2022-12-11,Rairangpur,1.0,Poor,296,PM2.5
2022-12-12,Rairangpur,1.0,Moderate,190,PM2.5
2022-12-13,Rairangpur,1.0,Moderate,161,PM2.5
2022-12-14,Rairangpur,1.0,Moderate,117,PM10
2022-12-15,Rairangpur,1.0,Moderate,116,PM10
2022-12-16,Rairangpur,1.0,Moderate,122,PM10
2022-12-17,Rairangpur,1.0,Moderate,123,PM10
2022-12-18,Rairangpur,1.0,Moderate,183,PM2.5
2022-12-19,Rairangpur,1.0,Poor,250,PM2.5
2022-12-20,Rairangpur,1.0,Poor,232,PM2.5
2022-12-21,Rairangpur,1.0,Poor,217,PM2.5
2022-12-22,Rairangpur,1.0,Poor,250,PM2.5
2022-12-23,Rairangpur,1.0,Moderate,114,PM2.5
2022-12-24,Rairangpur,1.0,Moderate,106,PM10
2022-12-25,Rairangpur,1.0,Satisfactory,97,PM10
2022-12-26,Rairangpur,1.0,Satisfactory,75,PM10
2022-12-27,Rairangpur,1.0,Moderate,110,PM2.5
2022-12-28,Rairangpur,1.0,Moderate,191,PM2.5
2022-12-29,Rairangpur,1.0,Poor,260,PM2.5
2022-12-30,Rairangpur,1.0,Moderate,118,PM2.5
2022-12-31,Rairangpur,1.0,Satisfactory,95,PM10
2023-01-01,Rairangpur,1.0,Poor,219,PM2.5
2023-01-02,Rairangpur,1.0,Poor,282,PM2.5
2023-01-03,Rairangpur,1.0,Very Poor,319,PM2.5
2023-01-04,Rairangpur,1.0,Poor,295,PM2.5
2023-01-05,Rairangpur,1.0,Very Poor,314,PM2.5
2023-01-06,Rairangpur,1.0,Poor,272,PM2.5
2023-01-07,Rairangpur,1.0,Moderate,147,PM2.5
2023-01-08,Rairangpur,1.0,Moderate,163,PM2.5
2023-01-09,Rairangpur,1.0,Moderate,135,PM2.5
2023-01-10,Rairangpur,1.0,Moderate,105,PM2.5
2023-01-13,Rairangpur,1.0,Poor,207,PM2.5
2023-01-14,Rairangpur,1.0,Poor,239,PM2.5
2023-01-15,Rairangpur,1.0,Moderate,135,PM2.5
2023-01-16,Rairangpur,1.0,Moderate,181,PM2.5
2023-01-17,Rairangpur,1.0,Moderate,192,PM2.5
2023-01-18,Rairangpur,1.0,Poor,207,PM2.5
2023-01-19,Rairangpur,1.0,Moderate,198,PM2.5
2023-01-20,Rairangpur,1.0,Moderate,187,PM2.5
2023-01-22,Rairangpur,1.0,Poor,292,PM2.5
2023-01-23,Rairangpur,1.0,Poor,270,PM2.5
2023-01-24,Rairangpur,1.0,Poor,231,PM2.5
2023-01-25,Rairangpur,1.0,Poor,246,PM2.5
