date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2021-11-24,Rajgir,1.0,Moderate,200,PM2.5
2021-11-25,Rajgir,1.0,Poor,245,PM2.5
2021-11-26,Rajgir,1.0,Poor,279,PM2.5
2021-11-27,Rajgir,1.0,Very Poor,342,PM2.5
2021-11-28,Rajgir,1.0,Very Poor,359,PM2.5
2021-11-29,Rajgir,1.0,Very Poor,360,PM2.5
2021-11-30,Rajgir,1.0,Very Poor,332,PM2.5
2021-12-01,Rajgir,1.0,Poor,247,PM2.5
2021-12-02,Rajgir,1.0,Poor,261,PM2.5
2021-12-03,Rajgir,1.0,Very Poor,324,PM2.5
2021-12-04,Rajgir,1.0,Poor,295,PM2.5
2021-12-05,Rajgir,1.0,Moderate,139,PM10
2021-12-06,Rajgir,1.0,Moderate,126,PM10
2021-12-07,Rajgir,1.0,Poor,206,PM2.5
2021-12-23,Rajgir,1.0,Very Poor,342,PM2.5
2021-12-24,Rajgir,1.0,Very Poor,326,PM2.5
2021-12-25,Rajgir,1.0,Very Poor,365,PM2.5
2021-12-26,Rajgir,1.0,Very Poor,400,PM2.5
2021-12-27,Rajgir,1.0,Very Poor,390,PM2.5
2021-12-28,Rajgir,1.0,Very Poor,340,PM2.5
2021-12-30,Rajgir,1.0,Moderate,148,PM2.5
2021-12-31,Rajgir,1.0,Moderate,185,PM2.5
2022-01-01,Rajgir,1.0,Poor,229,PM2.5
2022-01-02,Rajgir,1.0,Poor,237,PM2.5
2022-01-03,Rajgir,1.0,Very Poor,331,PM2.5
2022-01-04,Rajgir,1.0,Very Poor,327,PM2.5
2022-01-05,Rajgir,1.0,Poor,297,PM2.5
2022-01-06,Rajgir,1.0,Very Poor,354,PM2.5
2022-01-07,Rajgir,1.0,Very Poor,356,PM2.5
2022-01-08,Rajgir,1.0,Poor,259,PM2.5
2022-01-09,Rajgir,1.0,Poor,232,PM2.5
2022-01-10,Rajgir,1.0,Poor,229,PM2.5
2022-01-11,Rajgir,1.0,Very Poor,348,PM2.5
2022-01-12,Rajgir,1.0,Poor,217,PM2.5
2022-01-13,Rajgir,1.0,Moderate,160,PM2.5
2022-01-14,Rajgir,1.0,Poor,228,PM2.5
