date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-03-14,Rajsamand,1.0,Satisfactory,70,PM10
2023-03-15,Rajsamand,1.0,Satisfactory,98,PM2.5
2023-03-17,Rajsamand,1.0,Satisfactory,58,PM10
2023-03-19,Rajsamand,1.0,Satisfactory,53,PM2.5
2023-03-20,Rajsamand,1.0,Good,43,PM10
2023-03-21,Rajsamand,1.0,Satisfactory,53,O3
2023-03-22,Rajsamand,1.0,Satisfactory,64,O3
2023-03-23,Rajsamand,1.0,Satisfactory,54,PM10
2023-03-24,Rajsamand,1.0,Good,46,PM10
2023-03-25,Rajsamand,1.0,Satisfactory,62,PM10
2023-03-26,Rajsamand,1.0,Satisfactory,86,PM10
2023-03-27,Rajsamand,1.0,Moderate,104,PM10
2023-03-28,Rajsamand,1.0,Satisfactory,85,PM10
2023-03-29,Rajsamand,1.0,Satisfactory,85,PM10
2023-03-30,Rajsamand,1.0,Satisfactory,90,PM10
2023-03-31,Rajsamand,1.0,Good,44,PM10
2023-04-01,Rajsamand,1.0,Satisfactory,53,O3
2023-04-02,Rajsamand,1.0,Satisfactory,53,PM10
2023-04-03,Rajsamand,1.0,Good,47,O3
2023-04-04,Rajsamand,1.0,Satisfactory,70,PM10
2023-04-05,Rajsamand,1.0,Satisfactory,76,PM10
2023-04-06,Rajsamand,1.0,Moderate,133,PM10
2023-04-07,Rajsamand,1.0,Moderate,129,PM10
2023-04-09,Rajsamand,1.0,Satisfactory,74,PM10
2023-04-10,Rajsamand,1.0,Moderate,107,PM10
2023-04-11,Rajsamand,1.0,Satisfactory,100,PM10
2023-04-12,Rajsamand,1.0,Satisfactory,84,PM10
2023-04-13,Rajsamand,1.0,Good,48,PM10
2023-04-14,Rajsamand,1.0,Satisfactory,53,PM10
2023-04-16,Rajsamand,1.0,Satisfactory,56,PM10
2023-04-17,Rajsamand,1.0,Satisfactory,62,PM10
2023-04-18,Rajsamand,1.0,Satisfactory,69,PM10
2023-04-19,Rajsamand,1.0,Moderate,107,PM10
2023-04-20,Rajsamand,1.0,Satisfactory,73,PM10
2023-04-21,Rajsamand,1.0,Satisfactory,76,PM10
2023-04-22,Rajsamand,1.0,Satisfactory,80,O3
2023-04-23,Rajsamand,1.0,Satisfactory,74,O3
2023-04-24,Rajsamand,1.0,Moderate,101,O3
2023-04-25,Rajsamand,1.0,Moderate,127,O3
2023-04-28,Rajsamand,1.0,Satisfactory,58,PM2.5
2023-04-29,Rajsamand,1.0,Good,45,PM10
2023-04-30,Rajsamand,1.0,Good,50,PM10
2023-05-01,Rajsamand,1.0,Good,38,O3
2023-05-02,Rajsamand,1.0,Satisfactory,52,PM10
2023-05-03,Rajsamand,1.0,Satisfactory,57,PM10
2023-05-04,Rajsamand,1.0,Satisfactory,77,PM10
2023-05-05,Rajsamand,1.0,Satisfactory,97,PM10
2023-05-06,Rajsamand,1.0,Satisfactory,80,PM10
2023-05-07,Rajsamand,1.0,Satisfactory,88,PM10
2023-05-08,Rajsamand,1.0,Satisfactory,73,PM10
2023-05-09,Rajsamand,1.0,Satisfactory,91,PM10
2023-05-10,Rajsamand,1.0,Moderate,110,PM10
2023-05-11,Rajsamand,1.0,Satisfactory,79,PM10
2023-05-12,Rajsamand,1.0,Satisfactory,88,PM10
2023-05-13,Rajsamand,1.0,Satisfactory,85,PM10
2023-05-14,Rajsamand,1.0,Satisfactory,76,PM10
2023-05-15,Rajsamand,1.0,Satisfactory,98,PM10
2023-05-16,Rajsamand,1.0,Satisfactory,94,PM10
2023-05-18,Rajsamand,1.0,Satisfactory,81,PM10
2023-05-19,Rajsamand,1.0,Satisfactory,75,PM10
2023-05-20,Rajsamand,1.0,Moderate,109,PM10
2023-05-21,Rajsamand,1.0,Moderate,106,CO
2023-05-22,Rajsamand,1.0,Satisfactory,88,CO
2023-05-24,Rajsamand,1.0,Moderate,103,PM10
2023-05-25,Rajsamand,1.0,Satisfactory,82,PM10
2023-05-26,Rajsamand,1.0,Moderate,149,PM10
2023-05-27,Rajsamand,1.0,Moderate,141,PM10
2023-05-28,Rajsamand,1.0,Moderate,161,PM10
2023-05-29,Rajsamand,1.0,Satisfactory,71,CO
2023-05-30,Rajsamand,1.0,Moderate,115,PM10
2023-05-31,Rajsamand,1.0,Satisfactory,96,PM10
2023-06-01,Rajsamand,1.0,Moderate,134,PM10
2023-06-03,Rajsamand,1.0,Moderate,126,PM10
2023-06-04,Rajsamand,1.0,Satisfactory,54,O3
2023-06-05,Rajsamand,1.0,Satisfactory,70,PM10
2023-06-06,Rajsamand,1.0,Moderate,178,O3
2023-06-07,Rajsamand,1.0,Satisfactory,83,PM10
2023-06-08,Rajsamand,1.0,Satisfactory,98,PM10
2023-06-09,Rajsamand,1.0,Satisfactory,96,PM10
2023-06-10,Rajsamand,1.0,Satisfactory,67,CO
2023-06-11,Rajsamand,1.0,Satisfactory,60,CO
2023-06-12,Rajsamand,1.0,Good,50,PM10
2023-06-13,Rajsamand,1.0,Satisfactory,69,PM10
2023-06-14,Rajsamand,1.0,Satisfactory,86,PM10
2023-06-15,Rajsamand,1.0,Satisfactory,82,PM10
2023-06-16,Rajsamand,1.0,Satisfactory,74,PM10
2023-06-17,Rajsamand,1.0,Moderate,190,O3
2023-06-18,Rajsamand,1.0,Satisfactory,62,CO
2023-06-19,Rajsamand,1.0,Satisfactory,79,CO
2023-06-20,Rajsamand,1.0,Satisfactory,93,PM10
2023-06-21,Rajsamand,1.0,Moderate,112,PM10
2023-06-22,Rajsamand,1.0,Moderate,112,PM10
2023-06-23,Rajsamand,1.0,Moderate,122,PM10
2023-06-24,Rajsamand,1.0,Moderate,136,PM10
2023-06-25,Rajsamand,1.0,Satisfactory,84,PM10
2023-06-26,Rajsamand,1.0,Satisfactory,78,PM10
2023-06-27,Rajsamand,1.0,Moderate,103,PM10
2023-06-28,Rajsamand,1.0,Moderate,139,PM10
2023-06-29,Rajsamand,1.0,Satisfactory,98,PM10
2023-06-30,Rajsamand,1.0,Satisfactory,79,CO
2023-07-01,Rajsamand,1.0,Moderate,159,CO
2023-07-02,Rajsamand,1.0,Satisfactory,96,CO
2023-07-03,Rajsamand,1.0,Satisfactory,92,CO
2023-07-04,Rajsamand,1.0,Satisfactory,87,CO
2023-07-05,Rajsamand,1.0,Moderate,140,PM2.5
2023-07-06,Rajsamand,1.0,Satisfactory,91,PM10
2023-07-07,Rajsamand,1.0,Satisfactory,91,CO
2023-07-08,Rajsamand,1.0,Satisfactory,92,CO
2023-07-09,Rajsamand,1.0,Moderate,130,PM2.5
2023-07-10,Rajsamand,1.0,Satisfactory,97,PM2.5
2023-07-11,Rajsamand,1.0,Moderate,135,PM2.5
2023-07-12,Rajsamand,1.0,Moderate,128,PM2.5
2023-07-14,Rajsamand,1.0,Satisfactory,78,PM10
2023-07-16,Rajsamand,1.0,Moderate,143,PM10
2023-07-17,Rajsamand,1.0,Moderate,132,PM10
2023-07-18,Rajsamand,1.0,Moderate,128,PM10
2023-07-19,Rajsamand,1.0,Moderate,126,PM10
2023-07-20,Rajsamand,1.0,Moderate,168,PM10
2023-07-21,Rajsamand,1.0,Moderate,151,PM10
2023-07-22,Rajsamand,1.0,Moderate,103,PM10
2023-07-23,Rajsamand,1.0,Satisfactory,69,PM10
2023-07-24,Rajsamand,1.0,Moderate,180,PM2.5
2023-07-25,Rajsamand,1.0,Satisfactory,96,PM10
2023-07-26,Rajsamand,1.0,Satisfactory,86,PM10
2023-07-27,Rajsamand,1.0,Moderate,126,PM10
2023-07-28,Rajsamand,1.0,Satisfactory,68,CO
2023-07-29,Rajsamand,1.0,Satisfactory,65,CO
2023-07-30,Rajsamand,1.0,Good,49,CO
2023-07-31,Rajsamand,1.0,Satisfactory,60,PM10
2023-08-01,Rajsamand,1.0,Satisfactory,77,CO
2023-08-02,Rajsamand,1.0,Satisfactory,61,PM10
2023-08-03,Rajsamand,1.0,Satisfactory,80,PM10
2023-08-04,Rajsamand,1.0,Satisfactory,82,PM10
2023-08-05,Rajsamand,1.0,Satisfactory,98,PM10
2023-08-06,Rajsamand,1.0,Satisfactory,75,PM10
2023-08-07,Rajsamand,1.0,Satisfactory,76,PM10
2023-08-08,Rajsamand,1.0,Satisfactory,82,PM10
2023-08-09,Rajsamand,1.0,Satisfactory,96,PM10
2023-08-10,Rajsamand,1.0,Moderate,101,PM10
2023-08-11,Rajsamand,1.0,Satisfactory,78,PM10
2023-08-12,Rajsamand,1.0,Satisfactory,80,PM10
2023-08-13,Rajsamand,1.0,Satisfactory,77,PM10
2023-08-14,Rajsamand,1.0,Moderate,101,PM10
2023-08-15,Rajsamand,1.0,Moderate,107,PM10
2023-08-16,Rajsamand,1.0,Moderate,122,PM10
2023-08-17,Rajsamand,1.0,Moderate,123,PM10
2023-08-18,Rajsamand,1.0,Moderate,140,PM2.5
2023-08-19,Rajsamand,1.0,Moderate,135,PM10
2023-08-20,Rajsamand,1.0,Satisfactory,98,PM10
2023-08-21,Rajsamand,1.0,Satisfactory,79,PM10
2023-08-22,Rajsamand,1.0,Satisfactory,87,PM10
2023-08-23,Rajsamand,1.0,Satisfactory,84,PM10
2023-08-24,Rajsamand,1.0,Satisfactory,84,PM10
2023-08-26,Rajsamand,1.0,Moderate,102,PM10
2023-08-27,Rajsamand,1.0,Moderate,173,PM10
2023-08-28,Rajsamand,1.0,Poor,230,PM10
2023-08-29,Rajsamand,1.0,Moderate,195,PM10
2023-08-30,Rajsamand,1.0,Moderate,180,CO
2023-08-31,Rajsamand,1.0,Poor,240,PM10
2023-09-01,Rajsamand,1.0,Moderate,112,PM10
2023-09-02,Rajsamand,1.0,Moderate,104,PM10
2023-09-03,Rajsamand,1.0,Satisfactory,80,PM10
2023-09-04,Rajsamand,1.0,Good,35,O3
2023-09-05,Rajsamand,1.0,Good,34,O3
2023-09-06,Rajsamand,1.0,Good,39,O3
2023-09-07,Rajsamand,1.0,Good,43,O3
2023-09-08,Rajsamand,1.0,Good,42,O3
2023-09-09,Rajsamand,1.0,Good,41,PM10
2023-09-10,Rajsamand,1.0,Satisfactory,90,CO
2023-09-11,Rajsamand,1.0,Satisfactory,56,PM10
2023-09-12,Rajsamand,1.0,Good,49,PM10
2023-09-13,Rajsamand,1.0,Good,46,PM10
2023-09-14,Rajsamand,1.0,Good,42,CO
2023-09-15,Rajsamand,1.0,Satisfactory,64,CO
2023-09-16,Rajsamand,1.0,Good,45,PM10
2023-09-17,Rajsamand,1.0,Good,45,CO
2023-09-18,Rajsamand,1.0,Good,50,CO
2023-09-19,Rajsamand,1.0,Good,38,CO
2023-09-20,Rajsamand,1.0,Good,35,CO
2023-09-21,Rajsamand,1.0,Satisfactory,54,CO
2023-09-22,Rajsamand,1.0,Satisfactory,75,PM10
2023-09-23,Rajsamand,1.0,Satisfactory,56,PM10
2023-09-24,Rajsamand,1.0,Satisfactory,57,CO
2023-09-25,Rajsamand,1.0,Satisfactory,56,PM10
2023-09-26,Rajsamand,1.0,Satisfactory,53,PM10
2023-09-27,Rajsamand,1.0,Satisfactory,82,PM10
