date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2019-09-23,Ramanagara,1.0,Good,31,OZONE
2019-09-24,Ramanagara,1.0,Good,28,OZONE
2019-09-25,Ramanagara,1.0,Good,27,OZONE
2019-09-26,Ramanagara,1.0,Good,22,OZONE
2019-09-27,Ramanagara,1.0,Good,34,PM10
2019-09-28,Ramanagara,1.0,Good,39,PM10
2019-09-29,Ramanagara,1.0,Satisfactory,51,PM2.5
2019-09-30,Ramanagara,1.0,Good,48,PM10
2019-10-01,Ramanagara,1.0,Good,49,PM2.5
2019-10-04,Ramanagara,1.0,Good,40,OZONE
2019-10-05,Ramanagara,1.0,Good,45,OZONE
2019-10-06,Ramanagara,1.0,Good,40,OZONE
2019-10-10,Ramanagara,1.0,Good,41,PM2.5
2019-10-11,Ramanagara,1.0,Satisfactory,55,PM2.5
2019-10-12,Ramanagara,1.0,Satisfactory,56,PM2.5
2019-10-16,Ramanagara,1.0,Good,39,PM10
2019-10-17,Ramanagara,1.0,Good,27,PM10
2019-10-18,Ramanagara,1.0,Good,32,PM10
2019-10-19,Ramanagara,1.0,Good,29,PM10
2019-10-20,Ramanagara,1.0,Good,30,PM10
2019-10-21,Ramanagara,1.0,Good,39,OZONE
2019-10-26,Ramanagara,1.0,Good,41,SO2
2019-10-27,Ramanagara,1.0,Good,44,SO2
2019-10-28,Ramanagara,1.0,Good,42,PM10
2019-10-29,Ramanagara,1.0,Good,50,PM10
2019-10-30,Ramanagara,1.0,Good,39,PM10
2019-10-31,Ramanagara,1.0,Good,34,SO2
2019-11-01,Ramanagara,1.0,Good,39,SO2
2019-11-02,Ramanagara,1.0,Satisfactory,51,PM10
2019-11-03,Ramanagara,1.0,Satisfactory,68,PM10
2019-11-04,Ramanagara,1.0,Satisfactory,79,PM10
2019-11-05,Ramanagara,1.0,Satisfactory,99,PM10
2019-11-06,Ramanagara,1.0,Satisfactory,96,PM10
2019-11-07,Ramanagara,1.0,Satisfactory,87,PM2.5
