date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2022-08-09,Ramanathapuram,1.0,Moderate,123,CO
2022-08-10,Ramanathapuram,1.0,Moderate,120,CO
2022-08-11,Ramanathapuram,1.0,Moderate,103,CO
2022-08-12,Ramanathapuram,1.0,Moderate,110,CO
2022-08-13,Ramanathapuram,1.0,Moderate,106,CO
2022-08-14,Ramanathapuram,1.0,Satisfactory,97,CO
2022-08-15,Ramanathapuram,1.0,Satisfactory,74,CO
2022-08-16,Ramanathapuram,1.0,Satisfactory,78,CO
2022-08-17,Ramanathapuram,1.0,Moderate,122,CO
2022-08-18,Ramanathapuram,1.0,Moderate,110,CO
2022-08-19,Ramanathapuram,1.0,Moderate,124,CO
2022-08-20,Ramanathapuram,1.0,Moderate,156,CO
2022-08-21,Ramanathapuram,1.0,Moderate,134,CO
2022-08-22,Ramanathapuram,1.0,Moderate,143,CO
2022-08-23,Ramanathapuram,1.0,Moderate,133,CO
2022-08-24,Ramanathapuram,1.0,Moderate,140,CO
2022-08-25,Ramanathapuram,1.0,Moderate,156,CO
2022-08-26,Ramanathapuram,1.0,Moderate,107,CO
2022-08-27,Ramanathapuram,1.0,Good,28,PM10
2022-08-28,Ramanathapuram,1.0,Good,36,PM10
2022-08-29,Ramanathapuram,1.0,Good,45,PM10
2022-08-30,Ramanathapuram,1.0,Good,47,PM10
2022-08-31,Ramanathapuram,1.0,Good,30,PM10
2022-09-01,Ramanathapuram,1.0,Good,19,PM10
2022-09-02,Ramanathapuram,1.0,Good,24,PM10
2022-09-03,Ramanathapuram,1.0,Good,29,PM10
2022-09-04,Ramanathapuram,1.0,Good,26,CO
2022-09-05,Ramanathapuram,1.0,Good,34,PM10
2022-09-06,Ramanathapuram,1.0,Good,22,PM10
2022-09-07,Ramanathapuram,1.0,Good,27,PM10
2022-09-08,Ramanathapuram,1.0,Good,30,PM10
2022-09-09,Ramanathapuram,1.0,Satisfactory,68,CO
2022-09-11,Ramanathapuram,1.0,Good,49,PM10
2022-09-13,Ramanathapuram,1.0,Good,45,PM10
2022-09-14,Ramanathapuram,1.0,Good,45,PM10
2022-09-15,Ramanathapuram,1.0,Good,39,PM10
2022-09-16,Ramanathapuram,1.0,Good,46,PM10
2022-09-17,Ramanathapuram,1.0,Good,50,PM10
2022-09-18,Ramanathapuram,1.0,Good,47,PM10
2022-09-19,Ramanathapuram,1.0,Good,31,PM10
2022-09-20,Ramanathapuram,1.0,Good,37,PM10
2022-09-21,Ramanathapuram,1.0,Good,43,PM10
2022-09-22,Ramanathapuram,1.0,Good,44,PM10
2022-09-23,Ramanathapuram,1.0,Good,46,PM10
2022-09-24,Ramanathapuram,1.0,Satisfactory,51,PM10
2022-09-25,Ramanathapuram,1.0,Satisfactory,51,PM10
2022-09-26,Ramanathapuram,1.0,Good,46,PM10
2022-09-27,Ramanathapuram,1.0,Satisfactory,52,PM10
2022-09-28,Ramanathapuram,1.0,Satisfactory,55,PM10
2022-09-29,Ramanathapuram,1.0,Good,47,PM10
2022-09-30,Ramanathapuram,1.0,Good,37,PM10
2022-10-01,Ramanathapuram,1.0,Good,34,PM10
2022-10-02,Ramanathapuram,1.0,Good,37,PM10
2022-10-03,Ramanathapuram,1.0,Good,23,PM10
2022-10-04,Ramanathapuram,1.0,Good,34,PM10
2022-10-05,Ramanathapuram,1.0,Good,47,PM10
2022-10-06,Ramanathapuram,1.0,Satisfactory,60,PM10
2022-10-07,Ramanathapuram,1.0,Satisfactory,57,PM10
2022-10-08,Ramanathapuram,1.0,Good,48,PM10
2022-10-09,Ramanathapuram,1.0,Good,37,PM10
2022-10-10,Ramanathapuram,1.0,Good,31,PM2.5
2022-10-12,Ramanathapuram,1.0,Good,14,O3
2022-10-13,Ramanathapuram,1.0,Good,34,PM10
2022-10-14,Ramanathapuram,1.0,Good,28,PM10
2022-10-15,Ramanathapuram,1.0,Good,18,CO
2022-10-16,Ramanathapuram,1.0,Good,16,PM10
2022-10-17,Ramanathapuram,1.0,Good,16,CO
2022-10-18,Ramanathapuram,1.0,Good,25,CO
2022-10-19,Ramanathapuram,1.0,Good,34,PM10
2022-10-20,Ramanathapuram,1.0,Good,22,PM10
2022-10-21,Ramanathapuram,1.0,Good,21,PM10
2022-10-22,Ramanathapuram,1.0,Good,41,PM10
2022-10-23,Ramanathapuram,1.0,Good,38,PM10
2022-10-24,Ramanathapuram,1.0,Good,33,PM10
2022-10-25,Ramanathapuram,1.0,Moderate,196,PM2.5
2022-10-26,Ramanathapuram,1.0,Satisfactory,56,PM10
2022-10-27,Ramanathapuram,1.0,Satisfactory,98,PM10
2022-10-28,Ramanathapuram,1.0,Satisfactory,95,PM10
2022-10-29,Ramanathapuram,1.0,Satisfactory,52,PM10
2022-10-30,Ramanathapuram,1.0,Good,36,PM10
2022-10-31,Ramanathapuram,1.0,Satisfactory,67,PM2.5
2022-11-01,Ramanathapuram,1.0,Satisfactory,68,PM2.5
2022-11-02,Ramanathapuram,1.0,Good,37,PM10
2022-11-04,Ramanathapuram,1.0,Good,28,PM10
2022-11-05,Ramanathapuram,1.0,Good,14,O3
2022-11-06,Ramanathapuram,1.0,Good,21,PM10
2022-11-07,Ramanathapuram,1.0,Good,36,PM10
2022-11-08,Ramanathapuram,1.0,Good,40,PM10
2022-11-09,Ramanathapuram,1.0,Good,37,PM10
2022-11-10,Ramanathapuram,1.0,Good,38,PM10
