date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-02-10,Rishikesh,1.0,Satisfactory,89,PM10
2023-02-11,Rishikesh,1.0,Satisfactory,71,PM10
2023-02-12,Rishikesh,1.0,Moderate,109,PM10
2023-02-13,Rishikesh,1.0,Satisfactory,80,PM10
2023-02-14,Rishikesh,1.0,Satisfactory,90,PM10
2023-02-15,Rishikesh,1.0,Moderate,106,PM10
2023-02-16,Rishikesh,1.0,Moderate,107,PM10
2023-02-17,Rishikesh,1.0,Satisfactory,71,PM10
2023-02-18,Rishikesh,1.0,Satisfactory,70,PM10
2023-02-19,Rishikesh,1.0,Satisfactory,82,PM10
2023-02-20,Rishikesh,1.0,Satisfactory,98,PM10
2023-02-21,Rishikesh,1.0,Satisfactory,86,PM10
2023-02-22,Rishikesh,1.0,Satisfactory,71,PM10
2023-02-23,Rishikesh,1.0,Satisfactory,53,PM10
2023-02-24,Rishikesh,1.0,Satisfactory,54,PM10
2023-02-25,Rishikesh,1.0,Satisfactory,62,PM10
2023-02-26,Rishikesh,1.0,Satisfactory,71,PM10
2023-02-27,Rishikesh,1.0,Satisfactory,77,PM10
2023-02-28,Rishikesh,1.0,Satisfactory,67,PM10
2023-03-01,Rishikesh,1.0,Good,50,PM10
2023-03-02,Rishikesh,1.0,Good,42,PM10
2023-03-03,Rishikesh,1.0,Satisfactory,54,PM10
2023-03-04,Rishikesh,1.0,Satisfactory,54,PM10
2023-03-05,Rishikesh,1.0,Satisfactory,54,PM10
2023-03-06,Rishikesh,1.0,Satisfactory,55,PM10
2023-03-07,Rishikesh,1.0,Satisfactory,68,PM10
2023-03-08,Rishikesh,1.0,Satisfactory,69,PM10
2023-03-09,Rishikesh,1.0,Satisfactory,51,PM10
2023-03-10,Rishikesh,1.0,Satisfactory,58,PM10
2023-03-11,Rishikesh,1.0,Satisfactory,73,PM10
2023-03-12,Rishikesh,1.0,Satisfactory,83,PM10
2023-03-13,Rishikesh,1.0,Satisfactory,84,PM10
2023-03-14,Rishikesh,1.0,Satisfactory,85,PM10
2023-03-15,Rishikesh,1.0,Satisfactory,52,PM10
2023-03-16,Rishikesh,1.0,Good,47,PM10
2023-03-17,Rishikesh,1.0,Good,44,PM10
2023-03-19,Rishikesh,1.0,Good,34,PM10
2023-03-20,Rishikesh,1.0,Good,39,PM10
2023-03-21,Rishikesh,1.0,Good,33,PM10
2023-03-22,Rishikesh,1.0,Good,21,PM10
2023-03-23,Rishikesh,1.0,Satisfactory,61,O3
2023-03-24,Rishikesh,1.0,Good,45,PM10
2023-03-25,Rishikesh,1.0,Good,47,PM10
2023-03-26,Rishikesh,1.0,Good,34,O3
2023-03-30,Rishikesh,1.0,Good,47,PM10
2023-03-31,Rishikesh,1.0,Good,47,PM10
2023-04-01,Rishikesh,1.0,Good,24,PM10
2023-04-02,Rishikesh,1.0,Good,24,PM10
2023-04-03,Rishikesh,1.0,Good,36,O3
2023-04-04,Rishikesh,1.0,Good,40,PM10
2023-04-05,Rishikesh,1.0,Good,42,PM10
2023-04-06,Rishikesh,1.0,Good,45,PM10
2023-04-07,Rishikesh,1.0,Good,45,PM10
2023-04-08,Rishikesh,1.0,Good,48,PM10
2023-04-09,Rishikesh,1.0,Satisfactory,58,PM10
2023-04-10,Rishikesh,1.0,Satisfactory,53,PM10
2023-04-11,Rishikesh,1.0,Satisfactory,52,PM10
2023-04-12,Rishikesh,1.0,Satisfactory,61,PM10
2023-04-13,Rishikesh,1.0,Satisfactory,66,PM10
2023-04-14,Rishikesh,1.0,Satisfactory,70,PM10
2023-04-15,Rishikesh,1.0,Satisfactory,71,PM10
2023-04-16,Rishikesh,1.0,Satisfactory,54,O3
2023-04-17,Rishikesh,1.0,Satisfactory,79,PM10
2023-04-18,Rishikesh,1.0,Satisfactory,93,PM10
2023-04-19,Rishikesh,1.0,Satisfactory,85,PM10
2023-04-20,Rishikesh,1.0,Good,35,PM10
2023-04-21,Rishikesh,1.0,Good,45,O3
2023-04-22,Rishikesh,1.0,Good,46,PM10
2023-04-23,Rishikesh,1.0,Good,42,PM10
2023-04-24,Rishikesh,1.0,Good,49,PM10
2023-04-25,Rishikesh,1.0,Satisfactory,66,PM10
2023-04-26,Rishikesh,1.0,Satisfactory,60,O3
2023-04-27,Rishikesh,1.0,Satisfactory,63,PM10
2023-04-28,Rishikesh,1.0,Good,50,O3
2023-04-29,Rishikesh,1.0,Satisfactory,66,PM10
2023-04-30,Rishikesh,1.0,Satisfactory,61,PM10
2023-05-01,Rishikesh,1.0,Good,37,PM10
2023-05-02,Rishikesh,1.0,Good,23,PM10
2023-05-03,Rishikesh,1.0,Good,25,PM10
2023-05-04,Rishikesh,1.0,Good,33,O3
2023-05-05,Rishikesh,1.0,Good,41,O3
2023-05-06,Rishikesh,1.0,Good,46,PM10
2023-05-07,Rishikesh,1.0,Satisfactory,53,PM10
2023-05-08,Rishikesh,1.0,Good,49,O3
2023-05-09,Rishikesh,1.0,Satisfactory,55,O3
2023-05-10,Rishikesh,1.0,Satisfactory,55,O3
2023-05-11,Rishikesh,1.0,Satisfactory,73,O3
2023-05-12,Rishikesh,1.0,Satisfactory,79,O3
2023-05-13,Rishikesh,1.0,Satisfactory,83,O3
2023-05-14,Rishikesh,1.0,Satisfactory,70,PM10
2023-05-15,Rishikesh,1.0,Satisfactory,68,PM10
2023-05-16,Rishikesh,1.0,Satisfactory,67,PM10
2023-05-17,Rishikesh,1.0,Moderate,158,PM2.5
2023-05-18,Rishikesh,1.0,Satisfactory,90,PM2.5
2023-05-19,Rishikesh,1.0,Satisfactory,58,O3
2023-05-20,Rishikesh,1.0,Satisfactory,62,O3
2023-05-21,Rishikesh,1.0,Satisfactory,61,O3
2023-05-22,Rishikesh,1.0,Satisfactory,79,O3
2023-05-23,Rishikesh,1.0,Satisfactory,82,PM10
2023-05-24,Rishikesh,1.0,Satisfactory,52,PM10
2023-05-25,Rishikesh,1.0,Good,31,O3
2023-05-26,Rishikesh,1.0,Good,50,O3
2023-05-27,Rishikesh,1.0,Good,41,O3
2023-05-28,Rishikesh,1.0,Good,47,O3
2023-05-29,Rishikesh,1.0,Satisfactory,58,O3
2023-05-30,Rishikesh,1.0,Good,36,PM10
2023-05-31,Rishikesh,1.0,Satisfactory,51,PM10
2023-06-02,Rishikesh,1.0,Good,39,PM10
2023-06-03,Rishikesh,1.0,Good,38,PM10
2023-06-04,Rishikesh,1.0,Good,46,PM10
2023-06-05,Rishikesh,1.0,Satisfactory,55,PM10
2023-06-06,Rishikesh,1.0,Good,33,PM10
2023-06-07,Rishikesh,1.0,Good,37,O3
