date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2022-11-27,Rourkela,1.0,Poor,269,PM10
2022-11-28,Rourkela,1.0,Poor,227,PM10
2022-11-29,Rourkela,1.0,Poor,256,PM10
2022-11-30,Rourkela,1.0,Poor,248,PM10
2022-12-01,Rourkela,1.0,Poor,285,PM10
2022-12-02,Rourkela,1.0,Poor,269,PM10
2022-12-03,Rourkela,1.0,Poor,261,PM2.5
2022-12-04,Rourkela,1.0,Poor,225,PM2.5
2022-12-05,Rourkela,1.0,Poor,232,PM2.5
2022-12-06,Rourkela,1.0,Poor,210,PM10
2022-12-07,Rourkela,1.0,Poor,220,PM10
2022-12-08,Rourkela,1.0,Poor,248,PM10
2022-12-09,Rourkela,1.0,Moderate,199,PM10
2022-12-14,Rourkela,1.0,Poor,234,PM10
2022-12-15,Rourkela,1.0,Poor,215,PM10
2022-12-16,Rourkela,1.0,Moderate,198,PM10
2022-12-17,Rourkela,1.0,Moderate,174,PM10
2022-12-18,Rourkela,1.0,Poor,221,PM10
2022-12-19,Rourkela,1.0,Poor,210,PM10
2022-12-20,Rourkela,1.0,Poor,251,PM2.5
2022-12-21,Rourkela,1.0,Poor,220,PM2.5
2022-12-22,Rourkela,1.0,Poor,264,PM2.5
2022-12-23,Rourkela,1.0,Poor,250,PM10
2022-12-24,Rourkela,1.0,Moderate,198,PM10
2022-12-25,Rourkela,1.0,Poor,237,PM2.5
2022-12-26,Rourkela,1.0,Moderate,167,PM10
2022-12-27,Rourkela,1.0,Moderate,196,PM10
2022-12-28,Rourkela,1.0,Poor,218,PM10
2022-12-29,Rourkela,1.0,Poor,222,PM10
2022-12-30,Rourkela,1.0,Moderate,193,PM10
2022-12-31,Rourkela,1.0,Poor,206,PM10
2023-01-01,Rourkela,1.0,Poor,251,PM2.5
2023-01-02,Rourkela,1.0,Poor,288,PM2.5
2023-01-03,Rourkela,1.0,Very Poor,322,PM2.5
2023-01-04,Rourkela,1.0,Poor,291,PM2.5
2023-01-05,Rourkela,1.0,Poor,286,PM2.5
2023-01-06,Rourkela,1.0,Poor,242,PM2.5
2023-01-07,Rourkela,1.0,Moderate,147,PM10
2023-01-08,Rourkela,1.0,Moderate,132,PM10
2023-01-09,Rourkela,1.0,Moderate,121,PM10
2023-01-10,Rourkela,1.0,Moderate,173,PM10
2023-01-12,Rourkela,1.0,Moderate,167,PM10
2023-01-13,Rourkela,3.0,Poor,224,PM2.5
2023-01-14,Rourkela,3.0,Moderate,168,PM2.5
2023-01-15,Rourkela,3.0,Moderate,168,PM2.5
2023-01-16,Rourkela,3.0,Moderate,149,"PM10, PM2.5"
2023-01-17,Rourkela,3.0,Moderate,190,PM2.5
2023-01-18,Rourkela,3.0,Poor,247,PM2.5
2023-01-19,Rourkela,3.0,Poor,272,PM2.5
2023-01-20,Rourkela,3.0,Poor,257,PM2.5
2023-01-22,Rourkela,3.0,Poor,211,PM2.5
2023-01-23,Rourkela,3.0,Moderate,179,PM2.5
2023-01-24,Rourkela,3.0,Moderate,147,PM2.5
2023-01-25,Rourkela,3.0,Moderate,145,PM2.5
2023-01-26,Rourkela,3.0,Moderate,171,PM2.5
2023-01-27,Rourkela,3.0,Moderate,169,PM2.5
2023-01-28,Rourkela,3.0,Moderate,184,PM2.5
2023-01-29,Rourkela,3.0,Moderate,196,PM2.5
2023-01-30,Rourkela,3.0,Moderate,146,PM2.5
2023-01-31,Rourkela,3.0,Moderate,134,PM2.5
2023-02-01,Rourkela,3.0,Moderate,130,PM2.5
2023-02-02,Rourkela,3.0,Moderate,115,PM10
2023-02-03,Rourkela,3.0,Moderate,115,PM10
2023-02-04,Rourkela,3.0,Moderate,130,PM2.5
2023-02-05,Rourkela,3.0,Moderate,168,PM2.5
2023-02-06,Rourkela,3.0,Moderate,132,PM2.5
2023-02-07,Rourkela,3.0,Moderate,132,PM10
2023-02-08,Rourkela,3.0,Moderate,179,PM10
2023-02-09,Rourkela,3.0,Moderate,111,PM10
2023-02-10,Rourkela,3.0,Moderate,167,PM10
2023-02-11,Rourkela,3.0,Poor,214,PM10
2023-02-12,Rourkela,2.0,Poor,234,PM10
2023-02-13,Rourkela,2.0,Moderate,167,PM10
2023-02-14,Rourkela,2.0,Moderate,183,PM10
