date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2018-05-03,Rupnagar,1.0,Good,41,PM2.5
2018-05-04,Rupnagar,1.0,Satisfactory,56,PM10
2018-05-06,Rupnagar,1.0,Satisfactory,85,PM10
2018-05-07,Rupnagar,1.0,Satisfactory,56,PM10
2018-05-08,Rupnagar,1.0,Satisfactory,64,PM10
2018-05-09,Rupnagar,1.0,Good,35,PM10
2018-05-10,Rupnagar,1.0,Satisfactory,67,PM10
2018-05-11,Rupnagar,1.0,Satisfactory,88,PM2.5
2018-05-12,Rupnagar,1.0,Moderate,111,PM10
2018-05-13,Rupnagar,1.0,Moderate,138,PM10
2018-05-14,Rupnagar,1.0,Satisfactory,76,PM10
2018-05-15,Rupnagar,1.0,Satisfactory,98,PM10
2018-05-16,Rupnagar,1.0,Moderate,122,PM10
2018-05-17,Rupnagar,1.0,Moderate,160,PM2.5
2018-05-18,Rupnagar,1.0,Moderate,158,PM2.5
2018-05-20,Rupnagar,1.0,Moderate,147,PM10
2018-05-21,Rupnagar,1.0,Moderate,142,PM10
2018-05-22,Rupnagar,1.0,Moderate,138,PM10
2018-05-23,Rupnagar,1.0,Moderate,150,PM10
2018-05-24,Rupnagar,1.0,Moderate,133,PM10
2018-05-25,Rupnagar,1.0,Moderate,135,PM10
2018-05-26,Rupnagar,1.0,Moderate,137,PM2.5
2018-05-27,Rupnagar,1.0,Moderate,181,PM10
2018-05-28,Rupnagar,1.0,Moderate,163,PM10
2018-05-29,Rupnagar,1.0,Moderate,150,PM10
2018-06-01,Rupnagar,1.0,Moderate,123,PM10
2018-06-02,Rupnagar,1.0,Moderate,128,PM10
2018-06-03,Rupnagar,1.0,Satisfactory,73,PM10
2018-06-04,Rupnagar,1.0,Satisfactory,99,PM10
2018-06-05,Rupnagar,1.0,Satisfactory,95,PM10
2018-06-06,Rupnagar,1.0,Satisfactory,82,PM10
2018-06-07,Rupnagar,1.0,Moderate,105,PM10
2018-06-09,Rupnagar,1.0,Satisfactory,68,PM10
2018-06-10,Rupnagar,1.0,Satisfactory,87,PM10
2018-06-11,Rupnagar,1.0,Satisfactory,78,PM10
2018-06-12,Rupnagar,1.0,Moderate,106,PM10
2018-06-13,Rupnagar,1.0,Moderate,125,PM10
2018-06-14,Rupnagar,1.0,Severe,417,PM10
2018-06-15,Rupnagar,1.0,Very Poor,313,PM10
2018-06-16,Rupnagar,1.0,Very Poor,319,PM2.5
2018-06-17,Rupnagar,1.0,Moderate,145,PM2.5
2018-06-18,Rupnagar,1.0,Moderate,121,PM2.5
2018-06-19,Rupnagar,1.0,Moderate,106,PM2.5
2018-06-20,Rupnagar,1.0,Moderate,110,PM10
2018-06-21,Rupnagar,1.0,Moderate,102,PM2.5
2018-06-22,Rupnagar,1.0,Moderate,145,PM10
2018-06-23,Rupnagar,1.0,Moderate,132,PM10
2018-06-24,Rupnagar,1.0,Moderate,101,PM10
2018-06-25,Rupnagar,1.0,Moderate,121,PM10
2018-06-26,Rupnagar,1.0,Moderate,124,PM2.5
2018-06-27,Rupnagar,1.0,Satisfactory,69,PM2.5
2018-06-28,Rupnagar,1.0,Good,35,PM2.5
2018-06-29,Rupnagar,1.0,Satisfactory,74,PM10
2018-06-30,Rupnagar,1.0,Satisfactory,96,PM10
2018-07-01,Rupnagar,1.0,Satisfactory,88,PM10
2018-07-02,Rupnagar,1.0,Satisfactory,84,PM10
2018-07-06,Rupnagar,1.0,Moderate,105,PM10
2018-07-07,Rupnagar,1.0,Satisfactory,74,PM10
2018-07-08,Rupnagar,1.0,Moderate,112,PM10
2018-07-09,Rupnagar,1.0,Moderate,130,PM10
2018-07-10,Rupnagar,1.0,Satisfactory,84,PM10
2018-07-11,Rupnagar,1.0,Satisfactory,74,PM10
2018-07-12,Rupnagar,1.0,Satisfactory,78,PM10
2018-07-13,Rupnagar,1.0,Good,49,PM10
2018-07-14,Rupnagar,1.0,Good,34,PM10
2018-07-15,Rupnagar,1.0,Satisfactory,64,PM10
2018-07-16,Rupnagar,1.0,Satisfactory,58,PM10
2018-07-17,Rupnagar,1.0,Satisfactory,67,PM2.5
2018-07-18,Rupnagar,1.0,Satisfactory,82,PM2.5
2018-07-19,Rupnagar,1.0,Good,27,PM2.5
2018-07-20,Rupnagar,1.0,Satisfactory,76,PM10
2018-07-21,Rupnagar,1.0,Satisfactory,81,PM10
2018-07-24,Rupnagar,1.0,Good,27,CO
2018-07-25,Rupnagar,1.0,Good,45,PM2.5
2018-07-26,Rupnagar,1.0,Good,33,PM2.5
2018-07-27,Rupnagar,1.0,Good,27,CO
2018-07-28,Rupnagar,1.0,Good,28,CO
2018-07-29,Rupnagar,1.0,Poor,258,PM2.5
2018-07-30,Rupnagar,1.0,Very Poor,324,PM2.5
2018-08-01,Rupnagar,1.0,Satisfactory,64,PM2.5
2018-08-05,Rupnagar,1.0,Moderate,155,PM2.5
2018-08-06,Rupnagar,1.0,Satisfactory,93,PM2.5
2018-08-07,Rupnagar,1.0,Good,24,CO
2018-08-08,Rupnagar,1.0,Satisfactory,50,PM10
2018-08-09,Rupnagar,1.0,Satisfactory,56,PM10
2018-08-10,Rupnagar,1.0,Good,42,PM2.5
2018-08-11,Rupnagar,1.0,Good,44,PM2.5
2018-08-12,Rupnagar,1.0,Good,33,PM2.5
2018-08-13,Rupnagar,1.0,Good,39,PM2.5
2018-08-14,Rupnagar,1.0,Good,44,PM2.5
2018-08-15,Rupnagar,1.0,Good,49,PM2.5
2018-08-16,Rupnagar,1.0,Satisfactory,78,PM2.5
2018-08-17,Rupnagar,1.0,Satisfactory,68,PM2.5
2018-08-18,Rupnagar,1.0,Satisfactory,58,PM10
2018-08-21,Rupnagar,1.0,Good,33,PM2.5
2018-08-22,Rupnagar,1.0,Good,39,PM2.5
2018-08-23,Rupnagar,1.0,Good,45,PM2.5
2018-08-25,Rupnagar,1.0,Good,42,PM2.5
2018-08-28,Rupnagar,1.0,Satisfactory,57,PM2.5
2018-08-30,Rupnagar,1.0,Moderate,141,PM10
2018-08-31,Rupnagar,1.0,Satisfactory,93,PM10
2018-09-01,Rupnagar,1.0,Moderate,198,PM10
2018-09-02,Rupnagar,1.0,Good,46,PM2.5
2018-09-03,Rupnagar,1.0,Good,45,PM2.5
2018-09-04,Rupnagar,1.0,Good,36,PM2.5
2018-09-05,Rupnagar,1.0,Good,47,PM2.5
2018-09-06,Rupnagar,1.0,Satisfactory,73,PM2.5
2018-09-07,Rupnagar,1.0,Good,41,PM2.5
2018-09-08,Rupnagar,1.0,Good,28,PM2.5
2018-09-09,Rupnagar,1.0,Satisfactory,54,PM2.5
2018-09-10,Rupnagar,1.0,Good,28,PM2.5
2018-09-11,Rupnagar,1.0,Good,35,PM2.5
2018-09-12,Rupnagar,1.0,Good,47,PM2.5
2018-09-13,Rupnagar,1.0,Satisfactory,55,PM10
2018-09-14,Rupnagar,1.0,Satisfactory,69,PM10
2018-09-15,Rupnagar,1.0,Satisfactory,70,PM10
2018-09-16,Rupnagar,1.0,Satisfactory,83,PM10
2018-09-17,Rupnagar,1.0,Satisfactory,78,PM10
2018-09-18,Rupnagar,1.0,Satisfactory,81,PM10
2018-09-19,Rupnagar,1.0,Satisfactory,84,PM10
2018-09-20,Rupnagar,1.0,Moderate,104,PM10
2018-09-21,Rupnagar,1.0,Satisfactory,96,PM10
2018-09-25,Rupnagar,1.0,Good,41,PM10
2018-09-26,Rupnagar,1.0,Satisfactory,75,PM10
2018-09-27,Rupnagar,1.0,Moderate,124,PM10
2018-09-28,Rupnagar,1.0,Moderate,101,PM10
2018-09-30,Rupnagar,1.0,Moderate,123,PM10
2018-10-01,Rupnagar,1.0,Very Poor,348,PM10
2018-10-04,Rupnagar,1.0,Satisfactory,88,PM10
2018-10-06,Rupnagar,1.0,Satisfactory,99,PM10
2018-10-07,Rupnagar,1.0,Satisfactory,95,PM10
2018-10-10,Rupnagar,1.0,Moderate,148,PM10
2018-10-11,Rupnagar,1.0,Satisfactory,69,PM10
2018-10-12,Rupnagar,1.0,Satisfactory,56,PM10
2018-10-13,Rupnagar,1.0,Satisfactory,66,PM10
2018-10-15,Rupnagar,1.0,Satisfactory,68,PM2.5
2018-10-16,Rupnagar,1.0,Satisfactory,73,PM10
2018-10-18,Rupnagar,1.0,Moderate,125,PM2.5
2018-10-21,Rupnagar,1.0,Satisfactory,85,PM2.5
2018-10-22,Rupnagar,1.0,Satisfactory,78,PM2.5
2018-10-23,Rupnagar,1.0,Moderate,115,PM10
2018-10-25,Rupnagar,1.0,Satisfactory,91,PM10
2018-10-30,Rupnagar,1.0,Moderate,142,PM10
2018-10-31,Rupnagar,1.0,Moderate,115,PM2.5
2018-11-01,Rupnagar,1.0,Moderate,120,PM10
2018-11-02,Rupnagar,1.0,Moderate,143,PM2.5
2018-11-04,Rupnagar,1.0,Satisfactory,81,PM10
2018-11-05,Rupnagar,1.0,Moderate,103,PM10
2018-11-07,Rupnagar,1.0,Satisfactory,83,PM10
2018-11-08,Rupnagar,1.0,Moderate,146,PM2.5
2018-11-09,Rupnagar,1.0,Moderate,121,PM2.5
2018-11-10,Rupnagar,1.0,Moderate,115,PM2.5
2018-11-11,Rupnagar,1.0,Moderate,162,PM2.5
2018-11-12,Rupnagar,1.0,Moderate,134,PM10
2018-11-13,Rupnagar,1.0,Moderate,134,PM2.5
2018-11-15,Rupnagar,1.0,Satisfactory,78,PM10
2018-11-16,Rupnagar,1.0,Satisfactory,78,PM10
2018-11-21,Rupnagar,1.0,Moderate,107,PM10
2018-11-22,Rupnagar,1.0,Moderate,135,PM10
2018-11-23,Rupnagar,1.0,Moderate,143,PM2.5
2018-11-25,Rupnagar,1.0,Moderate,141,PM2.5
2018-11-26,Rupnagar,1.0,Moderate,131,PM2.5
2018-11-27,Rupnagar,1.0,Moderate,142,PM2.5
2018-11-28,Rupnagar,1.0,Moderate,149,PM2.5
2018-11-29,Rupnagar,1.0,Moderate,185,PM2.5
2018-12-01,Rupnagar,1.0,Moderate,116,PM2.5
2018-12-02,Rupnagar,1.0,Moderate,128,PM10
2018-12-03,Rupnagar,1.0,Moderate,120,PM2.5
2018-12-04,Rupnagar,1.0,Moderate,110,PM10
2018-12-05,Rupnagar,1.0,Moderate,129,PM2.5
2018-12-06,Rupnagar,1.0,Moderate,128,PM2.5
2018-12-07,Rupnagar,1.0,Moderate,116,PM2.5
2018-12-08,Rupnagar,1.0,Moderate,115,PM2.5
2018-12-09,Rupnagar,1.0,Moderate,133,PM2.5
2018-12-10,Rupnagar,1.0,Moderate,114,PM2.5
2018-12-11,Rupnagar,1.0,Moderate,127,PM10
2018-12-12,Rupnagar,1.0,Moderate,124,PM2.5
2018-12-13,Rupnagar,1.0,Satisfactory,64,PM10
2018-12-15,Rupnagar,1.0,Satisfactory,91,PM10
2018-12-16,Rupnagar,1.0,Moderate,112,PM10
2018-12-18,Rupnagar,1.0,Moderate,128,PM10
2018-12-19,Rupnagar,1.0,Moderate,134,PM2.5
2018-12-20,Rupnagar,1.0,Moderate,140,PM2.5
2018-12-21,Rupnagar,1.0,Moderate,144,PM10
2018-12-22,Rupnagar,1.0,Moderate,150,PM2.5
2018-12-23,Rupnagar,1.0,Moderate,180,PM2.5
2018-12-24,Rupnagar,1.0,Moderate,144,PM2.5
2018-12-25,Rupnagar,1.0,Moderate,133,PM2.5
2018-12-26,Rupnagar,1.0,Moderate,155,PM10
2018-12-27,Rupnagar,1.0,Moderate,148,PM2.5
2018-12-28,Rupnagar,1.0,Moderate,101,PM2.5
2018-12-29,Rupnagar,1.0,Moderate,191,PM2.5
2018-12-30,Rupnagar,1.0,Moderate,163,PM2.5
2018-12-31,Rupnagar,1.0,Moderate,158,PM2.5
2019-01-01,Rupnagar,1.0,Moderate,162,PM2.5
2019-01-03,Rupnagar,1.0,Moderate,192,PM2.5
2019-01-04,Rupnagar,1.0,Moderate,127,PM2.5
2019-01-05,Rupnagar,1.0,Moderate,200,PM2.5
2019-01-06,Rupnagar,1.0,Moderate,115,PM2.5
2019-01-08,Rupnagar,1.0,Satisfactory,90,PM2.5
2019-01-09,Rupnagar,1.0,Satisfactory,100,PM10
2019-01-10,Rupnagar,1.0,Moderate,154,PM2.5
2019-01-11,Rupnagar,1.0,Moderate,146,PM2.5
2019-01-12,Rupnagar,1.0,Moderate,171,PM2.5
2019-01-13,Rupnagar,1.0,Satisfactory,97,PM2.5
2019-01-14,Rupnagar,1.0,Satisfactory,52,PM10
2019-01-15,Rupnagar,1.0,Satisfactory,79,PM10
2019-01-17,Rupnagar,1.0,Moderate,192,PM2.5
2019-01-19,Rupnagar,1.0,Moderate,131,PM2.5
2019-01-20,Rupnagar,1.0,Moderate,151,PM2.5
2019-01-21,Rupnagar,1.0,Moderate,174,PM2.5
2019-01-22,Rupnagar,1.0,Good,49,PM2.5
2019-01-23,Rupnagar,1.0,Good,38,PM10
2019-01-24,Rupnagar,1.0,Moderate,127,PM10
2019-01-25,Rupnagar,1.0,Moderate,123,PM2.5
2019-01-26,Rupnagar,1.0,Moderate,115,PM2.5
2019-01-27,Rupnagar,1.0,Satisfactory,88,PM2.5
2019-01-28,Rupnagar,1.0,Satisfactory,75,PM2.5
2019-01-29,Rupnagar,1.0,Satisfactory,94,PM2.5
2019-01-30,Rupnagar,1.0,Moderate,140,PM2.5
2019-01-31,Rupnagar,1.0,Moderate,134,PM2.5
2019-02-01,Rupnagar,1.0,Satisfactory,95,PM2.5
2019-02-02,Rupnagar,1.0,Good,45,PM10
2019-02-03,Rupnagar,1.0,Satisfactory,86,PM2.5
2019-02-04,Rupnagar,1.0,Moderate,120,PM2.5
2019-02-05,Rupnagar,1.0,Moderate,117,PM2.5
2019-02-06,Rupnagar,1.0,Moderate,123,PM2.5
2019-02-07,Rupnagar,1.0,Satisfactory,53,PM2.5
2019-02-08,Rupnagar,1.0,Good,30,PM10
2019-02-09,Rupnagar,1.0,Satisfactory,70,PM10
2019-02-12,Rupnagar,1.0,Satisfactory,96,PM2.5
2019-02-13,Rupnagar,1.0,Satisfactory,85,PM10
2019-02-14,Rupnagar,1.0,Moderate,120,PM2.5
2019-02-16,Rupnagar,1.0,Satisfactory,53,PM2.5
