date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2020-02-05,Sagar,1.0,Satisfactory,65,PM2.5
2020-02-06,Sagar,1.0,Satisfactory,61,PM10
2020-02-07,Sagar,1.0,Satisfactory,64,PM10
2020-02-08,Sagar,1.0,Satisfactory,70,PM10
2020-02-09,Sagar,1.0,Satisfactory,62,PM10
2020-02-10,Sagar,1.0,Satisfactory,77,PM10
2020-02-11,Sagar,1.0,Satisfactory,66,CO
2020-02-12,Sagar,1.0,Satisfactory,58,PM10
2020-02-13,Sagar,1.0,Moderate,101,PM10
2020-02-14,Sagar,1.0,Satisfactory,83,PM10
2020-02-15,Sagar,1.0,Satisfactory,71,PM10
2020-02-16,Sagar,1.0,Satisfactory,94,PM10
2020-02-17,Sagar,1.0,Moderate,124,PM10
2020-02-18,Sagar,1.0,Moderate,110,PM10
2020-02-19,Sagar,1.0,Moderate,101,PM10
2020-02-20,Sagar,1.0,Satisfactory,65,PM10
2020-02-21,Sagar,1.0,Satisfactory,79,PM10
2020-02-22,Sagar,1.0,Satisfactory,75,CO
2020-02-23,Sagar,1.0,Satisfactory,70,PM2.5
2020-02-24,Sagar,1.0,Satisfactory,57,PM10
2020-02-25,Sagar,1.0,Satisfactory,70,PM10
2020-02-26,Sagar,1.0,Satisfactory,93,PM10
2020-02-27,Sagar,1.0,Satisfactory,83,PM10
2020-03-01,Sagar,1.0,Satisfactory,65,PM10
2020-03-03,Sagar,1.0,Satisfactory,55,PM10
2020-03-04,Sagar,1.0,Satisfactory,51,PM10
2020-03-05,Sagar,1.0,Satisfactory,74,PM10
2020-03-06,Sagar,1.0,Satisfactory,79,PM10
2020-03-07,Sagar,1.0,Satisfactory,86,PM10
2020-03-08,Sagar,1.0,Satisfactory,81,PM10
2020-03-09,Sagar,1.0,Satisfactory,52,PM10
2020-03-10,Sagar,1.0,Satisfactory,53,PM10
2020-03-11,Sagar,1.0,Good,31,CO
2020-03-12,Sagar,1.0,Satisfactory,58,PM10
2020-03-13,Sagar,1.0,Satisfactory,55,PM10
2020-03-14,Sagar,1.0,Satisfactory,67,PM10
2020-03-15,Sagar,1.0,Satisfactory,86,PM10
2020-03-16,Sagar,1.0,Satisfactory,66,PM10
2020-03-17,Sagar,1.0,Satisfactory,78,PM10
2020-03-18,Sagar,1.0,Satisfactory,76,PM10
2020-03-19,Sagar,1.0,Satisfactory,72,PM10
2020-03-20,Sagar,1.0,Satisfactory,56,PM10
2020-03-21,Sagar,1.0,Satisfactory,76,PM10
2020-03-22,Sagar,1.0,Satisfactory,69,PM10
2020-03-23,Sagar,1.0,Satisfactory,68,PM10
2020-03-24,Sagar,1.0,Satisfactory,80,PM10
2020-03-25,Sagar,1.0,Satisfactory,69,PM10
2020-03-27,Sagar,1.0,Good,34,CO
2020-03-29,Sagar,1.0,Good,22,PM10
2020-03-30,Sagar,1.0,Good,31,PM10
2020-03-31,Sagar,1.0,Good,32,PM10
2020-04-01,Sagar,1.0,Good,45,PM10
2020-04-02,Sagar,1.0,Satisfactory,51,PM10
2020-04-03,Sagar,1.0,Good,43,PM10
2020-04-04,Sagar,1.0,Good,42,PM10
2020-04-05,Sagar,1.0,Good,45,PM10
2020-04-06,Sagar,1.0,Good,44,PM10
2020-04-07,Sagar,1.0,Satisfactory,65,PM10
2020-04-08,Sagar,1.0,Satisfactory,63,PM10
2020-04-09,Sagar,1.0,Satisfactory,67,PM10
2020-04-10,Sagar,1.0,Satisfactory,68,PM10
2020-04-11,Sagar,1.0,Good,48,PM10
2020-04-12,Sagar,1.0,Satisfactory,72,PM10
2020-04-13,Sagar,1.0,Satisfactory,61,PM10
2020-04-14,Sagar,1.0,Satisfactory,78,PM10
2020-04-15,Sagar,1.0,Good,50,PM10
2020-04-16,Sagar,1.0,Satisfactory,60,PM10
2020-04-26,Sagar,1.0,Satisfactory,64,PM10
2020-04-29,Sagar,1.0,Satisfactory,57,PM10
2020-04-30,Sagar,1.0,Satisfactory,72,PM10
2020-05-01,Sagar,1.0,Satisfactory,62,PM10
2020-05-02,Sagar,1.0,Satisfactory,82,PM10
2020-05-03,Sagar,1.0,Satisfactory,93,PM10
2020-05-04,Sagar,1.0,Satisfactory,66,PM10
2020-05-05,Sagar,1.0,Satisfactory,54,PM10
2020-05-06,Sagar,1.0,Satisfactory,60,PM10
2020-05-08,Sagar,1.0,Satisfactory,57,PM10
2020-05-09,Sagar,1.0,Satisfactory,98,PM10
2020-05-10,Sagar,1.0,Satisfactory,66,PM10
2020-05-11,Sagar,1.0,Good,49,PM10
2020-05-12,Sagar,1.0,Satisfactory,56,PM10
2020-05-13,Sagar,1.0,Satisfactory,77,PM10
2020-05-14,Sagar,1.0,Satisfactory,78,PM10
2020-05-15,Sagar,1.0,Satisfactory,58,PM10
2020-05-16,Sagar,1.0,Good,44,PM10
2020-05-17,Sagar,1.0,Good,48,PM10
2020-05-18,Sagar,1.0,Good,46,PM10
2020-05-19,Sagar,1.0,Satisfactory,63,PM10
2020-05-20,Sagar,1.0,Moderate,123,PM10
2020-05-21,Sagar,1.0,Moderate,110,PM10
2020-05-22,Sagar,1.0,Satisfactory,97,PM10
2020-05-23,Sagar,1.0,Moderate,105,PM10
2020-05-24,Sagar,1.0,Satisfactory,100,PM10
2020-05-25,Sagar,1.0,Satisfactory,98,PM10
2020-05-26,Sagar,1.0,Satisfactory,91,PM10
2020-05-27,Sagar,1.0,Satisfactory,90,PM10
2020-05-28,Sagar,1.0,Moderate,101,PM10
2020-05-29,Sagar,1.0,Moderate,110,PM10
2020-05-30,Sagar,1.0,Satisfactory,90,PM10
2020-05-31,Sagar,1.0,Moderate,103,PM10
2020-06-01,Sagar,1.0,Satisfactory,99,PM10
2020-06-04,Sagar,1.0,Satisfactory,59,CO
2020-06-06,Sagar,1.0,Good,50,CO
2020-06-07,Sagar,1.0,Good,47,NO2
2020-06-08,Sagar,1.0,Good,38,PM10
2020-06-09,Sagar,1.0,Satisfactory,56,PM10
2020-06-10,Sagar,1.0,Satisfactory,75,CO
2020-06-11,Sagar,1.0,Satisfactory,75,PM10
2020-06-12,Sagar,1.0,Satisfactory,94,PM10
2020-06-13,Sagar,1.0,Satisfactory,51,PM10
2020-06-14,Sagar,1.0,Good,40,PM10
2020-06-15,Sagar,1.0,Good,25,PM10
2020-06-16,Sagar,1.0,Good,30,PM10
2020-06-17,Sagar,1.0,Satisfactory,59,PM10
2020-06-18,Sagar,1.0,Good,49,PM10
2020-06-20,Sagar,1.0,Good,31,PM10
2020-06-21,Sagar,1.0,Satisfactory,52,PM10
2020-06-22,Sagar,1.0,Satisfactory,68,PM10
2020-06-23,Sagar,1.0,Good,46,CO
2020-06-24,Sagar,1.0,Good,50,PM10
2020-06-25,Sagar,1.0,Satisfactory,53,PM10
2020-06-26,Sagar,1.0,Satisfactory,64,PM10
2020-06-27,Sagar,1.0,Good,24,PM10
2020-06-28,Sagar,1.0,Good,45,PM10
2020-06-29,Sagar,1.0,Satisfactory,55,PM10
2020-06-30,Sagar,1.0,Good,44,PM10
2020-07-01,Sagar,1.0,Good,44,PM10
2020-07-02,Sagar,1.0,Good,42,PM10
2020-07-03,Sagar,1.0,Satisfactory,52,PM10
2020-07-04,Sagar,1.0,Good,28,PM10
2020-07-05,Sagar,1.0,Good,40,PM10
2020-07-06,Sagar,1.0,Good,32,CO
2020-07-07,Sagar,1.0,Good,37,CO
2020-07-08,Sagar,1.0,Good,46,CO
2020-07-09,Sagar,1.0,Satisfactory,55,PM10
2020-07-10,Sagar,1.0,Satisfactory,66,PM10
2020-07-11,Sagar,1.0,Satisfactory,66,PM10
2020-07-12,Sagar,1.0,Good,39,PM10
2020-07-13,Sagar,1.0,Good,39,CO
2020-07-14,Sagar,1.0,Satisfactory,52,PM10
2020-07-15,Sagar,1.0,Good,28,PM10
2020-07-16,Sagar,1.0,Good,43,PM10
2020-07-17,Sagar,1.0,Satisfactory,51,PM10
2020-07-18,Sagar,1.0,Good,33,CO
2020-07-19,Sagar,1.0,Good,33,CO
2020-07-20,Sagar,1.0,Good,32,PM10
2020-07-21,Sagar,1.0,Good,27,PM10
2020-07-22,Sagar,1.0,Good,49,PM10
2020-07-23,Sagar,1.0,Satisfactory,55,PM10
2020-07-24,Sagar,1.0,Good,23,PM10
2020-07-25,Sagar,1.0,Good,35,PM10
2020-07-26,Sagar,1.0,Good,20,CO
2020-07-27,Sagar,1.0,Good,34,CO
2020-07-28,Sagar,1.0,Good,44,PM10
2020-07-29,Sagar,1.0,Good,32,PM10
2020-07-30,Sagar,1.0,Good,32,CO
2020-07-31,Sagar,1.0,Good,38,PM10
2020-08-01,Sagar,1.0,Good,41,CO
2020-08-02,Sagar,1.0,Good,25,CO
2020-08-03,Sagar,1.0,Good,23,CO
2020-08-04,Sagar,1.0,Good,44,CO
2020-08-05,Sagar,1.0,Good,17,CO
2020-08-06,Sagar,1.0,Good,32,CO
2020-08-07,Sagar,1.0,Good,17,CO
2020-08-08,Sagar,1.0,Good,25,CO
2020-08-09,Sagar,1.0,Good,21,CO
2020-08-11,Sagar,1.0,Good,37,PM10
2020-08-12,Sagar,1.0,Good,27,CO
2020-08-13,Sagar,1.0,Good,18,PM10
2020-08-20,Sagar,1.0,Good,35,CO
2020-08-21,Sagar,1.0,Good,15,CO
2020-08-22,Sagar,1.0,Good,17,CO
2020-08-23,Sagar,1.0,Good,18,CO
2020-08-24,Sagar,1.0,Good,19,CO
2020-08-25,Sagar,1.0,Good,20,PM2.5
2020-08-26,Sagar,1.0,Good,24,PM2.5
2020-08-27,Sagar,1.0,Good,26,CO
2020-08-28,Sagar,1.0,Good,22,CO
2020-08-29,Sagar,1.0,Good,24,CO
2020-08-30,Sagar,1.0,Good,20,CO
2020-08-31,Sagar,1.0,Good,24,CO
2020-09-01,Sagar,1.0,Good,27,PM2.5
2020-09-02,Sagar,1.0,Good,47,CO
2020-09-03,Sagar,1.0,Good,26,PM2.5
2020-09-04,Sagar,1.0,Good,50,CO
2020-09-05,Sagar,1.0,Satisfactory,73,PM10
2020-09-06,Sagar,1.0,Satisfactory,79,PM10
2020-09-07,Sagar,1.0,Satisfactory,81,PM10
2020-09-08,Sagar,1.0,Good,42,PM2.5
2020-09-09,Sagar,1.0,Good,39,PM2.5
2020-09-10,Sagar,1.0,Good,36,CO
2020-09-11,Sagar,1.0,Good,32,PM2.5
2020-09-12,Sagar,1.0,Satisfactory,69,PM2.5
