date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2021-11-23,Saharsa,1.0,Very Poor,333,PM10
2021-11-24,Saharsa,1.0,Very Poor,374,PM10
2021-12-01,Saharsa,1.0,Very Poor,311,PM10
2021-12-02,Saharsa,1.0,Poor,275,PM10
2021-12-03,Saharsa,1.0,Very Poor,318,PM10
2021-12-04,Saharsa,1.0,Very Poor,326,PM10
2021-12-05,Saharsa,1.0,Very Poor,376,PM10
2021-12-06,Saharsa,1.0,Poor,266,PM10
2021-12-07,Saharsa,1.0,Very Poor,358,PM10
2021-12-08,Saharsa,1.0,Poor,290,PM10
2021-12-09,Saharsa,1.0,Very Poor,322,PM10
2021-12-10,Saharsa,1.0,Poor,268,PM10
2021-12-11,Saharsa,1.0,Poor,240,PM10
2021-12-12,Saharsa,1.0,Poor,289,PM10
2021-12-13,Saharsa,1.0,Very Poor,352,PM10
2021-12-14,Saharsa,1.0,Very Poor,385,PM10
2021-12-15,Saharsa,1.0,Poor,241,PM10
2021-12-16,Saharsa,1.0,Poor,208,PM2.5
2021-12-17,Saharsa,1.0,Poor,229,PM2.5
2021-12-21,Saharsa,1.0,Poor,283,PM2.5
2021-12-22,Saharsa,1.0,Poor,222,PM2.5
2021-12-23,Saharsa,1.0,Poor,264,PM2.5
2021-12-24,Saharsa,1.0,Poor,259,PM2.5
2021-12-25,Saharsa,1.0,Poor,258,PM2.5
2021-12-26,Saharsa,1.0,Poor,201,PM2.5
2021-12-27,Saharsa,1.0,Poor,261,PM10
2021-12-28,Saharsa,1.0,Poor,256,PM10
2021-12-29,Saharsa,1.0,Moderate,116,PM10
2021-12-31,Saharsa,1.0,Moderate,176,PM10
2022-01-01,Saharsa,1.0,Poor,222,PM10
2022-01-02,Saharsa,1.0,Poor,202,PM2.5
2022-01-03,Saharsa,1.0,Poor,267,PM2.5
2022-01-04,Saharsa,1.0,Poor,300,PM10
2022-01-05,Saharsa,1.0,Poor,296,PM10
2022-01-07,Saharsa,1.0,Very Poor,397,PM10
2022-01-08,Saharsa,1.0,Moderate,193,PM2.5
2022-01-09,Saharsa,1.0,Poor,239,PM2.5
2022-01-10,Saharsa,1.0,Poor,267,PM2.5
2022-01-11,Saharsa,1.0,Very Poor,333,PM10
2022-01-12,Saharsa,1.0,Very Poor,301,PM2.5
2022-01-13,Saharsa,1.0,Moderate,126,PM10
2022-01-14,Saharsa,1.0,Poor,212,PM2.5
2022-01-15,Saharsa,1.0,Poor,249,PM10
2022-01-16,Saharsa,1.0,Poor,259,PM2.5
2022-01-17,Saharsa,1.0,Poor,246,PM2.5
2022-01-18,Saharsa,1.0,Poor,269,PM2.5
2022-01-19,Saharsa,1.0,Poor,289,PM10
2022-01-20,Saharsa,1.0,Very Poor,313,PM10
2022-01-21,Saharsa,1.0,Very Poor,342,PM10
2022-01-22,Saharsa,1.0,Very Poor,353,PM10
2022-01-23,Saharsa,1.0,Very Poor,393,PM10
2022-01-24,Saharsa,1.0,Poor,243,PM10
2022-01-25,Saharsa,1.0,Very Poor,312,PM10
2022-01-26,Saharsa,1.0,Poor,248,PM10
2022-01-27,Saharsa,1.0,Moderate,189,PM10
2022-01-28,Saharsa,1.0,Poor,254,PM2.5
2022-01-30,Saharsa,1.0,Very Poor,365,PM10
2022-01-31,Saharsa,1.0,Very Poor,385,PM10
2022-02-01,Saharsa,1.0,Poor,266,PM2.5
2022-02-02,Saharsa,1.0,Very Poor,352,PM2.5
2022-02-03,Saharsa,1.0,Very Poor,367,PM2.5
2022-02-06,Saharsa,1.0,Moderate,133,PM2.5
2022-02-07,Saharsa,1.0,Poor,265,PM2.5
2022-02-08,Saharsa,1.0,Very Poor,316,PM2.5
2022-02-09,Saharsa,1.0,Very Poor,370,PM2.5
2022-02-10,Saharsa,1.0,Very Poor,356,PM2.5
2022-02-11,Saharsa,1.0,Poor,249,PM2.5
