date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2022-09-03,Salem,1.0,Satisfactory,97,SO2
2022-09-04,Salem,1.0,Satisfactory,96,SO2
2022-09-08,Salem,1.0,Satisfactory,58,SO2
2022-09-10,Salem,1.0,Satisfactory,63,SO2
2022-09-11,Salem,1.0,Satisfactory,66,SO2
2022-09-12,Salem,1.0,Good,22,PM10
2022-09-13,Salem,1.0,Good,26,SO2
2022-09-14,Salem,1.0,Good,36,PM10
2022-09-15,Salem,1.0,Good,47,SO2
2022-09-16,Salem,1.0,Good,34,PM10
2022-09-23,Salem,1.0,Satisfactory,53,PM10
2022-09-27,Salem,1.0,Good,39,PM10
2022-10-25,Salem,1.0,Moderate,181,PM2.5
2022-10-26,Salem,1.0,Moderate,111,PM2.5
2022-10-27,Salem,1.0,Satisfactory,87,SO2
2022-11-01,Salem,1.0,Satisfactory,97,PM2.5
2022-11-02,Salem,1.0,Good,29,SO2
2022-11-03,Salem,1.0,Satisfactory,56,SO2
2022-11-04,Salem,1.0,Good,24,CO
2022-11-05,Salem,1.0,Satisfactory,67,SO2
2022-11-06,Salem,1.0,Good,38,PM10
2022-11-07,Salem,1.0,Satisfactory,69,PM10
2022-11-08,Salem,1.0,Satisfactory,67,PM10
2022-11-12,Salem,1.0,Satisfactory,71,SO2
2022-11-13,Salem,1.0,Good,25,CO
2022-11-14,Salem,1.0,Good,25,PM10
2022-11-19,Salem,1.0,Satisfactory,84,PM10
2022-11-20,Salem,1.0,Satisfactory,86,PM2.5
2022-11-21,Salem,1.0,Moderate,112,PM2.5
2022-11-22,Salem,1.0,Satisfactory,90,PM2.5
2022-11-23,Salem,1.0,Satisfactory,81,SO2
2022-11-24,Salem,1.0,Satisfactory,85,SO2
2022-11-26,Salem,1.0,Satisfactory,64,SO2
2022-11-27,Salem,1.0,Satisfactory,53,PM10
2022-11-28,Salem,1.0,Satisfactory,82,PM2.5
2022-11-29,Salem,1.0,Moderate,112,PM2.5
2022-11-30,Salem,1.0,Moderate,138,PM2.5
2022-12-01,Salem,1.0,Moderate,116,PM2.5
2022-12-03,Salem,1.0,Good,37,PM10
2022-12-08,Salem,1.0,Moderate,149,PM2.5
2022-12-13,Salem,1.0,Good,38,SO2
2022-12-14,Salem,1.0,Good,25,PM10
2022-12-15,Salem,1.0,Good,35,SO2
2022-12-16,Salem,1.0,Satisfactory,76,SO2
2022-12-17,Salem,1.0,Satisfactory,82,SO2
2022-12-18,Salem,1.0,Moderate,137,PM2.5
2022-12-19,Salem,1.0,Satisfactory,92,PM2.5
2022-12-20,Salem,1.0,Satisfactory,75,SO2
2022-12-21,Salem,1.0,Satisfactory,76,PM2.5
2022-12-22,Salem,1.0,Satisfactory,75,SO2
2022-12-23,Salem,1.0,Moderate,113,PM2.5
2022-12-24,Salem,1.0,Moderate,106,PM2.5
2022-12-27,Salem,1.0,Satisfactory,72,SO2
2022-12-28,Salem,1.0,Satisfactory,71,SO2
2022-12-29,Salem,1.0,Satisfactory,70,SO2
2022-12-30,Salem,1.0,Satisfactory,70,SO2
2022-12-31,Salem,1.0,Satisfactory,71,SO2
2023-01-01,Salem,1.0,Satisfactory,70,SO2
2023-01-02,Salem,1.0,Satisfactory,71,SO2
2023-01-04,Salem,1.0,Satisfactory,71,SO2
2023-01-05,Salem,1.0,Satisfactory,73,SO2
2023-01-06,Salem,1.0,Satisfactory,79,PM2.5
2023-01-08,Salem,1.0,Moderate,111,PM2.5
2023-01-10,Salem,1.0,Satisfactory,83,SO2
2023-01-12,Salem,1.0,Satisfactory,90,SO2
2023-01-13,Salem,1.0,Satisfactory,90,SO2
2023-01-14,Salem,1.0,Satisfactory,90,SO2
2023-01-17,Salem,1.0,Satisfactory,90,SO2
2023-01-19,Salem,1.0,Satisfactory,60,PM10
2023-01-20,Salem,1.0,Satisfactory,60,PM2.5
2023-01-24,Salem,1.0,Satisfactory,98,SO2
2023-01-25,Salem,1.0,Satisfactory,98,SO2
2023-01-26,Salem,1.0,Satisfactory,97,SO2
2023-01-27,Salem,1.0,Moderate,110,PM2.5
2023-01-31,Salem,1.0,Moderate,101,PM2.5
2023-02-01,Salem,1.0,Satisfactory,97,SO2
2023-02-02,Salem,1.0,Satisfactory,95,SO2
2023-02-03,Salem,1.0,Satisfactory,95,SO2
2023-02-04,Salem,1.0,Satisfactory,91,SO2
2023-02-08,Salem,1.0,Satisfactory,96,SO2
2023-02-09,Salem,1.0,Satisfactory,93,SO2
2023-02-15,Salem,1.0,Satisfactory,95,SO2
2023-02-16,Salem,1.0,Satisfactory,97,SO2
2023-02-17,Salem,1.0,Satisfactory,97,SO2
2023-02-18,Salem,1.0,Satisfactory,99,SO2
2023-02-19,Salem,1.0,Moderate,102,SO2
2023-02-20,Salem,1.0,Moderate,101,SO2
2023-02-21,Salem,1.0,Moderate,101,SO2
2023-02-24,Salem,1.0,Satisfactory,100,SO2
2023-03-01,Salem,1.0,Satisfactory,93,SO2
2023-03-07,Salem,1.0,Satisfactory,58,PM10
2023-03-08,Salem,1.0,Satisfactory,65,PM10
2023-03-09,Salem,1.0,Satisfactory,64,PM10
2023-03-10,Salem,1.0,Satisfactory,75,PM10
2023-03-11,Salem,1.0,Satisfactory,79,PM10
2023-03-12,Salem,1.0,Satisfactory,59,PM10
2023-03-13,Salem,1.0,Satisfactory,60,PM10
2023-03-14,Salem,1.0,Satisfactory,81,SO2
2023-03-17,Salem,1.0,Good,36,CO
2023-03-21,Salem,1.0,Satisfactory,98,SO2
2023-03-22,Salem,1.0,Satisfactory,98,SO2
2023-03-25,Salem,1.0,Satisfactory,99,SO2
2023-03-26,Salem,1.0,Satisfactory,99,SO2
2023-03-27,Salem,1.0,Satisfactory,99,SO2
2023-03-29,Salem,1.0,Satisfactory,79,SO2
2023-04-01,Salem,1.0,Satisfactory,83,SO2
2023-04-03,Salem,1.0,Good,40,PM10
2023-04-04,Salem,1.0,Satisfactory,81,SO2
2023-04-06,Salem,1.0,Good,34,CO
2023-04-07,Salem,1.0,Satisfactory,81,SO2
2023-04-08,Salem,1.0,Satisfactory,88,SO2
2023-04-09,Salem,1.0,Satisfactory,99,SO2
2023-04-10,Salem,1.0,Satisfactory,89,SO2
2023-04-11,Salem,1.0,Satisfactory,99,SO2
2023-04-12,Salem,1.0,Moderate,116,PM2.5
2023-04-13,Salem,1.0,Moderate,134,PM2.5
2023-04-14,Salem,1.0,Satisfactory,94,SO2
2023-04-29,Salem,1.0,Satisfactory,88,SO2
2023-04-30,Salem,1.0,Satisfactory,88,SO2
2023-05-05,Salem,1.0,Satisfactory,91,SO2
2023-05-07,Salem,1.0,Satisfactory,92,SO2
2023-05-10,Salem,1.0,Satisfactory,93,SO2
2023-05-11,Salem,1.0,Satisfactory,96,SO2
2023-05-15,Salem,1.0,Satisfactory,59,PM2.5
2023-05-18,Salem,1.0,Satisfactory,77,SO2
2023-05-19,Salem,1.0,Satisfactory,71,SO2
2023-05-20,Salem,1.0,Satisfactory,51,PM2.5
2023-05-22,Salem,1.0,Satisfactory,81,SO2
2023-05-26,Salem,1.0,Good,50,CO
2023-06-07,Salem,1.0,Satisfactory,62,CO
2023-06-15,Salem,1.0,Satisfactory,94,SO2
2023-06-21,Salem,1.0,Satisfactory,96,SO2
2023-06-22,Salem,1.0,Satisfactory,98,SO2
2023-06-23,Salem,1.0,Satisfactory,97,SO2
2023-06-27,Salem,1.0,Satisfactory,98,SO2
2023-07-04,Salem,1.0,Satisfactory,59,SO2
2023-07-08,Salem,1.0,Moderate,103,SO2
2023-07-09,Salem,1.0,Moderate,103,SO2
2023-07-11,Salem,1.0,Moderate,103,SO2
2023-07-12,Salem,1.0,Moderate,103,SO2
2023-07-18,Salem,1.0,Good,29,SO2
2023-07-19,Salem,1.0,Good,38,SO2
2023-07-20,Salem,1.0,Satisfactory,82,SO2
2023-07-21,Salem,1.0,Satisfactory,83,SO2
2023-07-22,Salem,1.0,Satisfactory,81,SO2
2023-07-23,Salem,1.0,Satisfactory,70,SO2
2023-07-24,Salem,1.0,Good,28,SO2
2023-07-25,Salem,1.0,Good,33,SO2
2023-07-28,Salem,1.0,Good,28,PM10
2023-07-29,Salem,1.0,Good,33,PM10
2023-08-01,Salem,1.0,Good,34,PM10
2023-08-02,Salem,1.0,Good,43,SO2
2023-08-03,Salem,1.0,Satisfactory,80,SO2
2023-08-11,Salem,1.0,Satisfactory,78,SO2
2023-08-12,Salem,1.0,Satisfactory,78,SO2
2023-08-17,Salem,1.0,Satisfactory,80,SO2
2023-08-19,Salem,1.0,Satisfactory,79,SO2
2023-08-21,Salem,1.0,Satisfactory,80,SO2
2023-08-25,Salem,1.0,Satisfactory,78,SO2
2023-08-30,Salem,1.0,Good,30,PM10
2023-08-31,Salem,1.0,Good,42,PM2.5
2023-09-03,Salem,1.0,Good,30,PM2.5
2023-09-05,Salem,1.0,Satisfactory,79,SO2
2023-09-06,Salem,1.0,Satisfactory,80,SO2
2023-09-09,Salem,1.0,Satisfactory,77,SO2
2023-09-10,Salem,1.0,Good,26,SO2
2023-09-11,Salem,1.0,Good,26,SO2
2023-09-12,Salem,1.0,Satisfactory,69,SO2
2023-09-14,Salem,1.0,Good,33,PM2.5
2023-09-16,Salem,1.0,Satisfactory,79,SO2
2023-09-17,Salem,1.0,Good,28,PM2.5
2023-09-19,Salem,1.0,Satisfactory,80,SO2
2023-09-20,Salem,1.0,Satisfactory,77,SO2
2023-09-22,Salem,1.0,Good,41,SO2
2023-09-23,Salem,1.0,Good,31,SO2
2023-09-24,Salem,1.0,Good,31,PM2.5
2023-09-25,Salem,1.0,Good,30,PM2.5
2023-09-26,Salem,1.0,Good,40,SO2
2023-09-28,Salem,1.0,Good,32,PM2.5
2023-09-29,Salem,1.0,Good,27,SO2
2023-09-30,Salem,1.0,Good,26,SO2
2023-10-01,Salem,1.0,Good,26,SO2
2023-10-02,Salem,1.0,Good,26,SO2
2023-10-04,Salem,1.0,Satisfactory,74,PM10
2023-10-05,Salem,1.0,Satisfactory,61,PM2.5
2023-10-06,Salem,1.0,Satisfactory,80,SO2
2023-10-07,Salem,1.0,Satisfactory,80,SO2
2023-10-10,Salem,1.0,Satisfactory,75,SO2
2023-10-11,Salem,1.0,Good,46,PM2.5
2023-10-13,Salem,1.0,Satisfactory,94,PM2.5
2023-10-14,Salem,1.0,Satisfactory,79,PM2.5
2023-10-17,Salem,1.0,Good,39,SO2
2023-10-18,Salem,1.0,Satisfactory,78,PM2.5
2023-10-19,Salem,1.0,Moderate,114,PM2.5
2023-10-21,Salem,1.0,Satisfactory,84,PM2.5
2023-10-22,Salem,1.0,Moderate,103,PM2.5
2023-10-26,Salem,1.0,Satisfactory,92,PM2.5
2023-10-27,Salem,1.0,Moderate,111,PM2.5
2023-10-28,Salem,1.0,Satisfactory,65,PM2.5
2023-10-31,Salem,1.0,Satisfactory,54,PM2.5
2023-11-03,Salem,1.0,Satisfactory,81,SO2
2023-11-04,Salem,1.0,Satisfactory,80,SO2
2023-11-05,Salem,1.0,Satisfactory,61,SO2
2023-11-06,Salem,1.0,Good,30,CO
2023-11-07,Salem,1.0,Good,35,SO2
2023-11-10,Salem,1.0,Satisfactory,80,SO2
2023-11-11,Salem,1.0,Satisfactory,99,PM2.5
2023-11-12,Salem,1.0,Moderate,142,PM2.5
2023-11-14,Salem,1.0,Moderate,146,PM2.5
2023-11-15,Salem,1.0,Satisfactory,91,PM2.5
2023-11-16,Salem,1.0,Moderate,108,PM2.5
2023-11-18,Salem,1.0,Satisfactory,60,PM2.5
2023-11-20,Salem,1.0,Satisfactory,80,SO2
2023-11-22,Salem,1.0,Good,33,PM10
2023-11-23,Salem,1.0,Satisfactory,81,SO2
2023-11-24,Salem,1.0,Satisfactory,81,SO2
2023-11-25,Salem,1.0,Satisfactory,81,SO2
2023-11-28,Salem,1.0,Good,32,CO
2023-11-29,Salem,1.0,Satisfactory,80,SO2
2023-11-30,Salem,1.0,Satisfactory,80,SO2
2023-12-01,Salem,1.0,Good,32,PM2.5
2023-12-02,Salem,1.0,Satisfactory,69,SO2
2023-12-03,Salem,1.0,Satisfactory,81,SO2
2023-12-05,Salem,1.0,Satisfactory,73,SO2
2023-12-06,Salem,1.0,Satisfactory,82,PM2.5
2023-12-08,Salem,1.0,Satisfactory,68,SO2
2023-12-13,Salem,1.0,Satisfactory,83,PM2.5
2023-12-14,Salem,1.0,Satisfactory,88,PM2.5
2023-12-15,Salem,1.0,Satisfactory,88,PM2.5
2023-12-16,Salem,1.0,Satisfactory,83,PM2.5
2023-12-17,Salem,1.0,Good,48,PM2.5
2023-12-18,Salem,1.0,Satisfactory,56,PM2.5
2023-12-19,Salem,1.0,Moderate,109,PM2.5
2023-12-20,Salem,1.0,Moderate,122,PM2.5
2023-12-21,Salem,1.0,Moderate,151,PM2.5
2023-12-22,Salem,1.0,Moderate,126,PM2.5
2023-12-23,Salem,1.0,Moderate,188,PM2.5
2023-12-24,Salem,1.0,Moderate,145,PM2.5
2023-12-27,Salem,1.0,Satisfactory,98,SO2
2023-12-28,Salem,1.0,Satisfactory,99,SO2
2023-12-29,Salem,1.0,Satisfactory,99,SO2
2023-12-31,Salem,1.0,Satisfactory,65,PM2.5
