date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2022-03-24,Samastipur,1.0,Very Poor,320,PM10
2022-03-25,Samastipur,1.0,Poor,286,PM10
2022-03-26,Samastipur,1.0,Poor,232,PM10
2022-03-27,Samastipur,1.0,Poor,282,PM10
2022-03-28,Samastipur,1.0,Very Poor,363,PM2.5
2022-03-29,Samastipur,1.0,Very Poor,304,PM10
2022-03-30,Samastipur,1.0,Poor,289,PM10
2022-03-31,Samastipur,1.0,Poor,240,PM10
2022-04-02,Samastipur,1.0,Moderate,196,PM10
2022-04-03,Samastipur,1.0,Moderate,173,PM10
2022-04-04,Samastipur,1.0,Poor,234,PM10
2022-04-05,Samastipur,1.0,Poor,281,PM2.5
2022-04-06,Samastipur,1.0,Very Poor,318,PM2.5
2022-04-08,Samastipur,1.0,Moderate,188,PM10
2022-04-12,Samastipur,1.0,Moderate,193,PM2.5
2022-04-15,Samastipur,1.0,Poor,287,PM10
2022-04-16,Samastipur,1.0,Very Poor,309,PM10
2022-04-17,Samastipur,1.0,Very Poor,386,PM10
2022-04-18,Samastipur,1.0,Very Poor,367,PM10
2022-04-19,Samastipur,1.0,Poor,265,PM10
2022-04-20,Samastipur,1.0,Poor,288,PM10
2022-04-21,Samastipur,1.0,Moderate,176,PM10
2022-04-23,Samastipur,1.0,Poor,260,PM10
2022-04-24,Samastipur,1.0,Poor,287,PM2.5
2022-04-25,Samastipur,1.0,Very Poor,347,PM10
2022-04-26,Samastipur,1.0,Poor,289,PM2.5
2022-04-27,Samastipur,1.0,Very Poor,340,PM2.5
2022-04-28,Samastipur,1.0,Moderate,188,PM2.5
2022-04-29,Samastipur,1.0,Poor,259,PM2.5
2022-05-02,Samastipur,1.0,Moderate,141,PM10
2022-05-04,Samastipur,1.0,Satisfactory,92,PM10
2022-05-06,Samastipur,1.0,Moderate,178,PM10
2022-05-07,Samastipur,1.0,Moderate,189,PM10
2022-05-08,Samastipur,1.0,Poor,253,PM10
2022-05-09,Samastipur,1.0,Moderate,183,PM10
2022-05-10,Samastipur,1.0,Moderate,126,PM10
2022-05-11,Samastipur,1.0,Moderate,128,PM10
2022-05-12,Samastipur,1.0,Moderate,137,PM10
2022-05-13,Samastipur,1.0,Poor,281,PM10
2022-05-15,Samastipur,1.0,Moderate,126,PM10
2022-05-16,Samastipur,1.0,Moderate,147,PM10
2022-05-17,Samastipur,1.0,Moderate,131,PM10
2022-05-18,Samastipur,1.0,Moderate,136,PM10
2022-05-19,Samastipur,1.0,Moderate,199,PM10
2022-05-21,Samastipur,1.0,Moderate,142,PM10
2022-05-23,Samastipur,1.0,Moderate,150,PM10
2022-05-24,Samastipur,1.0,Moderate,157,PM10
2022-05-25,Samastipur,1.0,Moderate,166,PM10
2022-05-26,Samastipur,1.0,Satisfactory,96,PM2.5
2022-05-27,Samastipur,1.0,Poor,235,PM10
2022-05-28,Samastipur,1.0,Poor,210,PM10
