date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-06-13,Sangli,1.0,Satisfactory,53,PM10
2023-06-14,Sangli,1.0,Good,48,PM10
2023-06-15,Sangli,1.0,Good,45,PM10
2023-06-16,Sangli,1.0,Satisfactory,54,PM10
2023-06-17,Sangli,1.0,Good,50,PM10
2023-06-19,Sangli,1.0,Satisfactory,67,PM10
2023-06-20,Sangli,1.0,Satisfactory,80,PM10
2023-06-21,Sangli,1.0,Satisfactory,71,PM10
2023-06-22,Sangli,1.0,Satisfactory,67,PM10
2023-06-23,Sangli,1.0,Good,50,PM10
2023-06-24,Sangli,1.0,Good,28,O3
2023-06-25,Sangli,1.0,Good,26,O3
2023-06-26,Sangli,1.0,Good,30,PM10
2023-06-27,Sangli,1.0,Good,31,PM10
2023-06-28,Sangli,1.0,Good,27,O3
2023-06-29,Sangli,1.0,Good,29,O3
2023-06-30,Sangli,1.0,Good,29,O3
2023-07-01,Sangli,1.0,Good,25,O3
2023-07-02,Sangli,1.0,Good,23,O3
2023-07-03,Sangli,1.0,Good,24,O3
2023-07-04,Sangli,1.0,Good,25,O3
2023-07-05,Sangli,1.0,Good,41,PM10
2023-07-06,Sangli,1.0,Good,39,O3
2023-07-07,Sangli,1.0,Good,33,O3
2023-07-08,Sangli,1.0,Good,26,O3
2023-07-09,Sangli,1.0,Good,25,O3
2023-07-10,Sangli,1.0,Good,32,PM10
2023-07-11,Sangli,1.0,Good,39,PM10
2023-07-12,Sangli,1.0,Good,45,PM10
2023-07-13,Sangli,1.0,Good,40,PM10
2023-07-14,Sangli,1.0,Good,28,O3
2023-07-15,Sangli,1.0,Good,21,PM10
2023-07-16,Sangli,1.0,Good,29,PM10
2023-07-17,Sangli,1.0,Good,25,PM10
2023-07-18,Sangli,1.0,Good,25,CO
2023-07-19,Sangli,1.0,Good,25,O3
2023-07-20,Sangli,1.0,Good,24,PM10
2023-07-21,Sangli,1.0,Good,23,O3
2023-07-22,Sangli,1.0,Good,25,PM10
2023-07-23,Sangli,1.0,Good,20,O3
2023-07-24,Sangli,1.0,Good,18,O3
2023-07-25,Sangli,1.0,Good,18,O3
2023-07-26,Sangli,1.0,Good,23,O3
2023-07-27,Sangli,1.0,Good,18,O3
2023-07-28,Sangli,1.0,Good,20,PM10
