date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2021-11-13,Sasaram,1.0,Moderate,148,PM10
2021-11-14,Sasaram,1.0,Moderate,171,PM2.5
2021-11-15,Sasaram,1.0,Poor,202,PM2.5
2021-11-16,Sasaram,1.0,Poor,217,PM2.5
2021-11-17,Sasaram,1.0,Moderate,183,PM2.5
2021-11-18,Sasaram,1.0,Moderate,168,PM2.5
2021-11-19,Sasaram,1.0,Poor,213,PM2.5
2021-11-20,Sasaram,1.0,Poor,243,PM2.5
2021-11-21,Sasaram,1.0,Poor,268,PM2.5
2021-11-24,Sasaram,1.0,Moderate,187,PM2.5
2021-11-25,Sasaram,1.0,Poor,219,PM2.5
2021-11-26,Sasaram,1.0,Poor,281,PM2.5
2021-11-27,Sasaram,1.0,Very Poor,360,PM2.5
2021-11-28,Sasaram,1.0,Severe,401,PM2.5
2021-11-29,Sasaram,1.0,Very Poor,390,PM2.5
2021-11-30,Sasaram,1.0,Very Poor,361,PM2.5
2021-12-01,Sasaram,1.0,Very Poor,358,PM2.5
2021-12-02,Sasaram,1.0,Very Poor,325,PM2.5
2021-12-03,Sasaram,1.0,Very Poor,394,PM2.5
2021-12-05,Sasaram,1.0,Very Poor,370,PM2.5
2021-12-06,Sasaram,1.0,Poor,250,PM2.5
2021-12-07,Sasaram,1.0,Very Poor,304,PM2.5
2021-12-08,Sasaram,1.0,Moderate,196,PM2.5
2021-12-09,Sasaram,1.0,Very Poor,314,PM2.5
2021-12-10,Sasaram,1.0,Very Poor,329,PM2.5
2021-12-11,Sasaram,1.0,Very Poor,314,PM2.5
2021-12-12,Sasaram,1.0,Poor,270,PM2.5
2021-12-13,Sasaram,1.0,Very Poor,319,PM2.5
2021-12-14,Sasaram,1.0,Very Poor,331,PM2.5
2021-12-15,Sasaram,1.0,Very Poor,340,PM2.5
2021-12-16,Sasaram,1.0,Very Poor,307,PM2.5
2021-12-17,Sasaram,1.0,Poor,239,PM2.5
2021-12-18,Sasaram,1.0,Poor,257,PM2.5
2021-12-19,Sasaram,1.0,Moderate,183,PM2.5
2021-12-20,Sasaram,1.0,Poor,267,PM2.5
2021-12-21,Sasaram,1.0,Poor,269,PM2.5
2021-12-22,Sasaram,1.0,Very Poor,309,PM2.5
2021-12-23,Sasaram,1.0,Poor,299,PM2.5
2021-12-25,Sasaram,1.0,Very Poor,339,PM2.5
2021-12-26,Sasaram,1.0,Very Poor,337,PM2.5
2021-12-27,Sasaram,1.0,Very Poor,356,PM2.5
2021-12-28,Sasaram,1.0,Very Poor,367,PM2.5
2021-12-29,Sasaram,1.0,Moderate,164,PM2.5
2021-12-30,Sasaram,1.0,Moderate,166,PM2.5
2021-12-31,Sasaram,1.0,Satisfactory,94,PM10
2022-01-01,Sasaram,1.0,Poor,232,PM2.5
2022-01-02,Sasaram,1.0,Poor,287,PM2.5
2022-01-03,Sasaram,1.0,Poor,294,PM2.5
2022-01-04,Sasaram,1.0,Very Poor,355,PM2.5
2022-01-05,Sasaram,1.0,Very Poor,389,PM2.5
2022-01-06,Sasaram,1.0,Very Poor,394,PM2.5
