date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2018-02-04,Satna,1.0,Moderate,151,PM10
2018-02-07,Satna,1.0,Moderate,132,PM10
2018-02-08,Satna,1.0,Moderate,119,PM10
2018-02-09,Satna,1.0,Moderate,117,PM10
2018-02-10,Satna,1.0,Poor,201,PM10
2018-02-11,Satna,1.0,Moderate,135,PM10
2018-02-12,Satna,1.0,Satisfactory,61,CO
2018-02-13,Satna,1.0,Satisfactory,92,PM10
2018-02-14,Satna,1.0,Satisfactory,66,CO
2018-02-15,Satna,1.0,Satisfactory,70,PM10
2018-02-16,Satna,1.0,Moderate,111,PM10
2018-02-17,Satna,1.0,Moderate,132,PM10
2018-02-18,Satna,1.0,Poor,225,PM10
2018-02-19,Satna,1.0,Moderate,132,PM10
2018-02-20,Satna,1.0,Moderate,164,PM10
2018-02-21,Satna,1.0,Moderate,110,PM10
2018-02-22,Satna,1.0,Moderate,121,PM10
2018-02-23,Satna,1.0,Moderate,176,PM10
2018-02-24,Satna,1.0,Moderate,116,PM10
2018-02-25,Satna,1.0,Moderate,137,PM10
2018-02-26,Satna,1.0,Moderate,115,PM10
2018-02-27,Satna,1.0,Moderate,124,PM10
2018-02-28,Satna,1.0,Moderate,142,PM10
2018-03-01,Satna,1.0,Moderate,106,PM10
2018-03-02,Satna,1.0,Moderate,107,PM10
2018-03-03,Satna,1.0,Moderate,100,PM10
2018-03-04,Satna,1.0,Moderate,109,PM10
2018-03-05,Satna,1.0,Moderate,134,PM10
2018-03-06,Satna,1.0,Satisfactory,94,PM10
2018-03-07,Satna,1.0,Satisfactory,92,PM10
2018-03-08,Satna,1.0,Moderate,127,PM10
2018-03-09,Satna,1.0,Moderate,116,PM10
2018-03-10,Satna,1.0,Moderate,110,PM10
2018-03-11,Satna,1.0,Moderate,108,PM10
2018-03-12,Satna,1.0,Moderate,123,PM10
2018-03-13,Satna,1.0,Poor,259,PM10
2018-03-14,Satna,1.0,Poor,247,PM10
