date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-03-13,Sawai Madhopur,1.0,Moderate,172,PM10
2023-03-14,Sawai Madhopur,1.0,Moderate,153,PM10
2023-03-15,Sawai Madhopur,1.0,Moderate,152,O3
2023-03-16,Sawai Madhopur,1.0,Moderate,133,PM10
2023-03-17,Sawai Madhopur,1.0,Moderate,128,PM10
2023-03-18,Sawai Madhopur,1.0,Satisfactory,63,O3
2023-03-19,Sawai Madhopur,1.0,Satisfactory,99,PM2.5
2023-03-20,Sawai Madhopur,1.0,Satisfactory,51,O3
2023-03-21,Sawai Madhopur,1.0,Satisfactory,76,PM10
2023-03-23,Sawai Madhopur,1.0,Satisfactory,74,PM10
2023-03-24,Sawai Madhopur,1.0,Satisfactory,78,PM10
2023-03-25,Sawai Madhopur,1.0,Satisfactory,91,PM10
2023-03-26,Sawai Madhopur,1.0,Moderate,110,PM10
2023-03-27,Sawai Madhopur,1.0,Moderate,144,PM10
2023-03-28,Sawai Madhopur,1.0,Moderate,129,PM10
2023-03-29,Sawai Madhopur,1.0,Moderate,118,PM10
2023-03-30,Sawai Madhopur,1.0,Moderate,139,PM10
2023-03-31,Sawai Madhopur,1.0,Satisfactory,60,O3
2023-04-01,Sawai Madhopur,1.0,Satisfactory,69,O3
2023-04-02,Sawai Madhopur,1.0,Satisfactory,69,PM10
2023-04-04,Sawai Madhopur,1.0,Satisfactory,89,PM10
2023-04-05,Sawai Madhopur,1.0,Moderate,107,PM10
2023-04-07,Sawai Madhopur,1.0,Moderate,121,PM10
2023-04-08,Sawai Madhopur,1.0,Moderate,125,PM10
2023-04-09,Sawai Madhopur,1.0,Satisfactory,75,PM10
2023-04-10,Sawai Madhopur,1.0,Moderate,150,PM10
2023-04-12,Sawai Madhopur,1.0,Moderate,127,PM10
2023-04-13,Sawai Madhopur,1.0,Satisfactory,100,PM10
2023-04-14,Sawai Madhopur,1.0,Moderate,114,PM10
2023-04-15,Sawai Madhopur,1.0,Moderate,118,PM10
2023-04-16,Sawai Madhopur,1.0,Satisfactory,92,PM10
2023-04-17,Sawai Madhopur,1.0,Moderate,114,PM10
2023-04-18,Sawai Madhopur,1.0,Moderate,123,PM10
2023-04-20,Sawai Madhopur,1.0,Moderate,129,PM10
2023-04-21,Sawai Madhopur,1.0,Moderate,134,PM10
2023-04-22,Sawai Madhopur,1.0,Satisfactory,94,PM10
2023-04-23,Sawai Madhopur,1.0,Moderate,124,PM10
2023-04-24,Sawai Madhopur,1.0,Satisfactory,74,PM10
2023-04-25,Sawai Madhopur,1.0,Satisfactory,98,O3
2023-04-26,Sawai Madhopur,1.0,Moderate,114,O3
2023-04-27,Sawai Madhopur,1.0,Satisfactory,99,O3
2023-04-28,Sawai Madhopur,1.0,Satisfactory,79,O3
2023-04-29,Sawai Madhopur,1.0,Satisfactory,69,PM10
2023-05-02,Sawai Madhopur,1.0,Satisfactory,59,O3
2023-05-03,Sawai Madhopur,1.0,Satisfactory,76,O3
2023-05-05,Sawai Madhopur,1.0,Satisfactory,93,O3
2023-05-06,Sawai Madhopur,1.0,Satisfactory,84,O3
2023-05-09,Sawai Madhopur,1.0,Moderate,112,PM10
2023-05-10,Sawai Madhopur,1.0,Moderate,103,O3
2023-05-11,Sawai Madhopur,1.0,Satisfactory,97,PM10
2023-05-13,Sawai Madhopur,1.0,Moderate,107,PM10
2023-05-14,Sawai Madhopur,1.0,Moderate,132,PM10
2023-05-28,Sawai Madhopur,1.0,Satisfactory,67,PM10
2023-05-30,Sawai Madhopur,1.0,Satisfactory,77,PM10
2023-05-31,Sawai Madhopur,1.0,Satisfactory,74,PM10
2023-06-01,Sawai Madhopur,1.0,Satisfactory,82,PM10
2023-06-02,Sawai Madhopur,1.0,Satisfactory,86,PM10
2023-06-03,Sawai Madhopur,1.0,Moderate,108,PM10
2023-06-04,Sawai Madhopur,1.0,Satisfactory,77,PM10
2023-06-05,Sawai Madhopur,1.0,Satisfactory,91,PM10
2023-06-06,Sawai Madhopur,1.0,Satisfactory,90,PM10
2023-06-07,Sawai Madhopur,1.0,Poor,243,PM10
2023-06-08,Sawai Madhopur,1.0,Moderate,106,PM10
2023-06-09,Sawai Madhopur,1.0,Satisfactory,85,PM10
2023-06-10,Sawai Madhopur,1.0,Satisfactory,95,PM10
2023-06-12,Sawai Madhopur,1.0,Satisfactory,74,PM10
2023-06-13,Sawai Madhopur,1.0,Satisfactory,76,PM10
2023-06-14,Sawai Madhopur,1.0,Satisfactory,92,PM10
2023-06-15,Sawai Madhopur,1.0,Satisfactory,90,PM10
2023-06-16,Sawai Madhopur,1.0,Satisfactory,86,PM10
2023-06-17,Sawai Madhopur,1.0,Satisfactory,87,PM10
2023-06-18,Sawai Madhopur,1.0,Satisfactory,81,PM10
2023-06-20,Sawai Madhopur,1.0,Good,47,PM10
2023-06-21,Sawai Madhopur,1.0,Moderate,121,PM2.5
2023-06-22,Sawai Madhopur,1.0,Moderate,153,PM10
2023-06-23,Sawai Madhopur,1.0,Moderate,160,PM2.5
2023-06-24,Sawai Madhopur,1.0,Moderate,156,PM2.5
2023-06-27,Sawai Madhopur,1.0,Satisfactory,79,PM2.5
2023-06-28,Sawai Madhopur,1.0,Satisfactory,97,PM2.5
2023-06-29,Sawai Madhopur,1.0,Satisfactory,74,PM2.5
2023-06-30,Sawai Madhopur,1.0,Satisfactory,74,PM2.5
2023-07-01,Sawai Madhopur,1.0,Satisfactory,70,PM2.5
2023-07-02,Sawai Madhopur,1.0,Satisfactory,89,PM2.5
2023-07-03,Sawai Madhopur,1.0,Satisfactory,89,PM10
2023-07-04,Sawai Madhopur,1.0,Moderate,104,PM2.5
2023-07-05,Sawai Madhopur,1.0,Satisfactory,99,PM2.5
2023-07-06,Sawai Madhopur,1.0,Satisfactory,96,PM2.5
2023-07-07,Sawai Madhopur,1.0,Satisfactory,90,PM2.5
2023-07-08,Sawai Madhopur,1.0,Good,42,PM10
2023-07-09,Sawai Madhopur,1.0,Satisfactory,70,PM10
2023-07-11,Sawai Madhopur,1.0,Satisfactory,96,PM2.5
2023-07-12,Sawai Madhopur,1.0,Moderate,171,PM2.5
2023-07-13,Sawai Madhopur,1.0,Moderate,135,PM2.5
2023-07-14,Sawai Madhopur,1.0,Satisfactory,95,PM2.5
2023-07-15,Sawai Madhopur,1.0,Moderate,120,PM10
2023-07-16,Sawai Madhopur,1.0,Satisfactory,84,PM2.5
2023-07-17,Sawai Madhopur,1.0,Satisfactory,83,PM2.5
2023-07-18,Sawai Madhopur,1.0,Moderate,136,PM2.5
2023-07-19,Sawai Madhopur,1.0,Satisfactory,65,PM10
2023-07-20,Sawai Madhopur,1.0,Satisfactory,67,PM10
2023-07-21,Sawai Madhopur,1.0,Satisfactory,65,PM10
2023-07-22,Sawai Madhopur,1.0,Satisfactory,69,PM10
