date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2019-09-17,Shillong,1.0,Good,32,OZONE
2019-09-18,Shillong,1.0,Good,40,OZONE
2019-09-19,Shillong,1.0,Good,33,OZONE
2019-09-20,Shillong,1.0,Good,27,OZONE
2019-09-21,Shillong,1.0,Good,31,PM2.5
2019-09-22,Shillong,1.0,Good,28,PM2.5
2019-09-23,Shillong,1.0,Good,29,OZONE
2019-09-24,Shillong,1.0,Good,28,OZONE
2019-09-25,Shillong,1.0,Good,31,CO
2019-09-26,Shillong,1.0,Good,27,CO
2019-09-27,Shillong,1.0,Good,28,CO
2019-09-28,Shillong,1.0,Good,44,OZONE
2019-09-29,Shillong,1.0,Good,29,OZONE
2019-09-30,Shillong,1.0,Good,34,OZONE
2019-10-01,Shillong,1.0,Good,35,OZONE
2019-10-02,Shillong,1.0,Good,41,OZONE
2019-10-03,Shillong,1.0,Good,36,CO
2019-10-04,Shillong,1.0,Good,43,OZONE
2019-10-10,Shillong,1.0,Good,35,OZONE
2019-10-11,Shillong,1.0,Good,33,OZONE
2019-10-12,Shillong,1.0,Good,43,OZONE
2019-10-13,Shillong,1.0,Good,40,OZONE
2019-10-14,Shillong,1.0,Good,34,OZONE
2019-10-15,Shillong,1.0,Good,31,OZONE
2019-10-16,Shillong,1.0,Good,31,PM2.5
2019-10-17,Shillong,1.0,Good,35,PM2.5
2019-10-18,Shillong,1.0,Good,34,PM2.5
2019-10-19,Shillong,1.0,Satisfactory,52,OZONE
2019-10-20,Shillong,1.0,Satisfactory,56,PM2.5
2019-10-21,Shillong,1.0,Satisfactory,82,OZONE
2019-10-22,Shillong,1.0,Satisfactory,57,OZONE
2019-10-23,Shillong,1.0,Good,49,PM10
2019-10-24,Shillong,1.0,Satisfactory,53,PM2.5
2019-10-25,Shillong,1.0,Good,29,CO
2019-11-24,Shillong,1.0,Good,15,OZONE
2019-11-25,Shillong,1.0,Good,17,PM2.5
2019-11-26,Shillong,1.0,Good,27,PM2.5
2019-11-27,Shillong,1.0,Good,24,PM2.5
2019-11-28,Shillong,1.0,Good,16,OZONE
2020-01-11,Shillong,1.0,Good,40,PM2.5
2020-01-12,Shillong,1.0,Good,36,PM2.5
2020-01-13,Shillong,1.0,Good,32,O3
2020-01-14,Shillong,1.0,Satisfactory,79,PM2.5
2020-01-15,Shillong,1.0,Satisfactory,71,PM2.5
2020-01-18,Shillong,1.0,Good,48,PM2.5
2020-01-19,Shillong,1.0,Satisfactory,64,O3
2020-01-20,Shillong,1.0,Satisfactory,71,O3
2020-01-21,Shillong,1.0,Good,39,O3
2020-01-23,Shillong,1.0,Satisfactory,52,O3
2020-01-24,Shillong,1.0,Good,46,PM2.5
2020-01-25,Shillong,1.0,Satisfactory,73,PM2.5
