date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2020-11-10,Shivamogga,1.0,Satisfactory,82,PM10
2020-11-12,Shivamogga,1.0,Satisfactory,78,PM10
2020-11-13,Shivamogga,1.0,Satisfactory,56,PM10
2020-11-14,Shivamogga,1.0,Good,45,PM10
2020-11-15,Shivamogga,1.0,Satisfactory,53,PM10
2020-11-16,Shivamogga,1.0,Satisfactory,60,PM10
2020-11-17,Shivamogga,1.0,Good,38,PM10
2020-11-18,Shivamogga,1.0,Good,34,CO
2020-11-19,Shivamogga,1.0,Satisfactory,89,PM2.5
2020-11-20,Shivamogga,1.0,Satisfactory,51,PM10
2020-11-21,Shivamogga,1.0,Good,35,NO2
2020-11-26,Shivamogga,1.0,Satisfactory,68,PM10
2020-11-27,Shivamogga,1.0,Good,50,PM10
2020-11-28,Shivamogga,1.0,Good,32,CO
2020-11-29,Shivamogga,1.0,Good,37,PM10
2020-11-30,Shivamogga,1.0,Satisfactory,53,O3
2020-12-01,Shivamogga,1.0,Satisfactory,67,PM10
2020-12-02,Shivamogga,1.0,Satisfactory,78,PM10
2020-12-03,Shivamogga,1.0,Satisfactory,79,PM10
2020-12-04,Shivamogga,1.0,Satisfactory,77,O3
2020-12-05,Shivamogga,1.0,Satisfactory,59,O3
2020-12-06,Shivamogga,1.0,Satisfactory,76,O3
2020-12-10,Shivamogga,1.0,Satisfactory,57,PM10
2020-12-11,Shivamogga,1.0,Satisfactory,61,O3
2020-12-12,Shivamogga,1.0,Satisfactory,70,PM10
2020-12-13,Shivamogga,1.0,Satisfactory,84,PM10
2020-12-14,Shivamogga,1.0,Satisfactory,62,PM10
2020-12-15,Shivamogga,1.0,Satisfactory,79,PM10
2020-12-16,Shivamogga,1.0,Moderate,107,PM2.5
2020-12-17,Shivamogga,1.0,Satisfactory,92,PM10
2020-12-18,Shivamogga,1.0,Satisfactory,74,PM10
2020-12-19,Shivamogga,1.0,Satisfactory,84,PM10
2020-12-20,Shivamogga,1.0,Satisfactory,84,PM10
2020-12-21,Shivamogga,1.0,Satisfactory,84,PM10
2020-12-22,Shivamogga,1.0,Satisfactory,97,PM10
2020-12-23,Shivamogga,1.0,Moderate,106,PM2.5
2020-12-24,Shivamogga,1.0,Satisfactory,88,PM10
2020-12-25,Shivamogga,1.0,Satisfactory,81,PM2.5
2020-12-26,Shivamogga,1.0,Satisfactory,71,PM10
2020-12-27,Shivamogga,1.0,Satisfactory,94,PM10
2020-12-28,Shivamogga,1.0,Moderate,107,PM10
2020-12-29,Shivamogga,1.0,Moderate,148,PM2.5
2020-12-30,Shivamogga,1.0,Moderate,135,PM2.5
2020-12-31,Shivamogga,1.0,Satisfactory,66,PM10
2021-01-01,Shivamogga,1.0,Satisfactory,60,PM10
2021-01-02,Shivamogga,1.0,Satisfactory,66,O3
2021-01-03,Shivamogga,1.0,Satisfactory,61,O3
2021-01-04,Shivamogga,1.0,Satisfactory,57,PM10
2021-01-05,Shivamogga,1.0,Satisfactory,60,PM10
2021-01-06,Shivamogga,1.0,Satisfactory,57,PM10
2021-01-07,Shivamogga,1.0,Satisfactory,61,PM10
2021-01-08,Shivamogga,1.0,Good,42,PM10
2021-01-09,Shivamogga,1.0,Good,35,PM10
2021-01-10,Shivamogga,1.0,Satisfactory,62,PM10
2021-01-11,Shivamogga,1.0,Satisfactory,54,PM10
2021-01-14,Shivamogga,1.0,Satisfactory,58,PM10
2021-01-15,Shivamogga,1.0,Satisfactory,51,PM10
2021-01-16,Shivamogga,1.0,Good,48,PM10
2021-01-17,Shivamogga,1.0,Satisfactory,61,PM10
