date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-03-13,Sikar,1.0,Moderate,196,PM10
2023-03-14,Sikar,1.0,Moderate,184,PM10
2023-03-15,Sikar,1.0,Moderate,163,PM10
2023-03-16,Sikar,1.0,Moderate,134,PM10
2023-03-17,Sikar,1.0,Satisfactory,77,O3
2023-03-18,Sikar,1.0,Moderate,122,PM10
2023-03-19,Sikar,1.0,Satisfactory,98,PM10
2023-03-20,Sikar,1.0,Satisfactory,77,O3
2023-03-21,Sikar,1.0,Satisfactory,87,O3
2023-03-22,Sikar,1.0,Satisfactory,96,PM10
2023-03-23,Sikar,1.0,Satisfactory,95,O3
2023-03-24,Sikar,1.0,Satisfactory,63,O3
2023-03-25,Sikar,1.0,Moderate,116,PM10
2023-03-26,Sikar,1.0,Moderate,182,PM10
2023-03-27,Sikar,1.0,Moderate,130,PM10
2023-03-28,Sikar,1.0,Moderate,120,PM10
2023-03-29,Sikar,1.0,Moderate,153,PM10
2023-03-30,Sikar,1.0,Moderate,177,PM10
2023-03-31,Sikar,1.0,Satisfactory,61,O3
2023-04-01,Sikar,1.0,Satisfactory,73,O3
2023-04-02,Sikar,1.0,Satisfactory,77,O3
2023-04-03,Sikar,1.0,Moderate,103,PM10
2023-04-04,Sikar,1.0,Satisfactory,88,PM10
2023-04-05,Sikar,1.0,Satisfactory,82,O3
2023-04-06,Sikar,1.0,Moderate,176,PM10
2023-04-07,Sikar,1.0,Moderate,112,PM10
2023-04-08,Sikar,1.0,Moderate,131,PM10
2023-04-09,Sikar,1.0,Moderate,179,PM10
2023-04-10,Sikar,1.0,Moderate,144,PM10
2023-04-11,Sikar,1.0,Moderate,168,PM10
2023-04-12,Sikar,1.0,Moderate,135,PM10
2023-04-13,Sikar,1.0,Moderate,168,PM10
2023-04-14,Sikar,1.0,Poor,212,PM10
2023-04-15,Sikar,1.0,Moderate,171,PM10
2023-04-16,Sikar,1.0,Moderate,132,PM10
2023-04-17,Sikar,1.0,Moderate,180,PM10
2023-04-18,Sikar,1.0,Moderate,134,PM10
2023-04-19,Sikar,1.0,Moderate,167,PM2.5
2023-04-20,Sikar,1.0,Moderate,154,PM10
2023-04-21,Sikar,1.0,Moderate,194,PM10
2023-04-22,Sikar,1.0,Poor,208,PM10
2023-04-23,Sikar,1.0,Moderate,132,PM10
2023-04-24,Sikar,1.0,Moderate,128,O3
2023-04-25,Sikar,1.0,Moderate,162,O3
2023-04-26,Sikar,1.0,Moderate,167,O3
2023-04-27,Sikar,1.0,Moderate,188,PM10
2023-04-28,Sikar,1.0,Moderate,126,PM10
2023-04-29,Sikar,1.0,Moderate,104,PM10
2023-04-30,Sikar,1.0,Satisfactory,70,O3
2023-05-01,Sikar,1.0,Satisfactory,81,O3
2023-05-02,Sikar,1.0,Satisfactory,91,O3
2023-05-03,Sikar,1.0,Moderate,112,O3
2023-05-04,Sikar,1.0,Moderate,117,O3
2023-05-05,Sikar,1.0,Moderate,124,O3
2023-05-06,Sikar,1.0,Moderate,129,O3
2023-05-07,Sikar,1.0,Moderate,103,PM10
2023-05-09,Sikar,1.0,Moderate,178,PM10
2023-05-10,Sikar,1.0,Moderate,139,O3
2023-05-11,Sikar,1.0,Moderate,158,PM10
2023-05-12,Sikar,1.0,Moderate,164,PM10
2023-05-13,Sikar,1.0,Moderate,166,PM10
2023-05-14,Sikar,1.0,Poor,244,PM10
2023-05-15,Sikar,1.0,Satisfactory,86,PM10
2023-05-16,Sikar,1.0,Moderate,123,PM10
2023-05-17,Sikar,1.0,Moderate,159,PM10
2023-05-18,Sikar,1.0,Moderate,192,PM10
2023-05-19,Sikar,1.0,Moderate,162,PM10
2023-05-20,Sikar,1.0,Moderate,162,PM10
2023-05-21,Sikar,1.0,Moderate,171,PM10
2023-05-22,Sikar,1.0,Moderate,133,PM10
2023-05-23,Sikar,1.0,Moderate,115,PM10
2023-05-24,Sikar,1.0,Satisfactory,86,PM10
2023-05-25,Sikar,1.0,Satisfactory,83,O3
2023-05-27,Sikar,1.0,Satisfactory,86,PM10
2023-05-28,Sikar,1.0,Satisfactory,72,O3
2023-05-29,Sikar,1.0,Satisfactory,65,O3
2023-05-30,Sikar,1.0,Moderate,123,PM2.5
2023-06-01,Sikar,1.0,Satisfactory,89,O3
2023-06-02,Sikar,1.0,Satisfactory,73,O3
2023-06-03,Sikar,1.0,Satisfactory,91,PM10
2023-06-04,Sikar,1.0,Moderate,133,PM10
2023-06-05,Sikar,1.0,Moderate,110,O3
2023-06-06,Sikar,1.0,Satisfactory,93,O3
2023-06-07,Sikar,1.0,Moderate,106,O3
2023-06-08,Sikar,1.0,Moderate,172,PM10
2023-06-10,Sikar,1.0,Moderate,120,PM10
2023-06-11,Sikar,1.0,Poor,210,PM10
2023-06-12,Sikar,1.0,Moderate,151,PM10
2023-06-13,Sikar,1.0,Moderate,107,PM10
2023-06-14,Sikar,1.0,Moderate,122,PM10
2023-06-15,Sikar,1.0,Moderate,111,PM10
2023-06-16,Sikar,1.0,Satisfactory,71,PM10
2023-06-17,Sikar,1.0,Satisfactory,62,PM10
2023-06-18,Sikar,1.0,Good,48,PM10
2023-06-19,Sikar,1.0,Good,50,O3
2023-06-20,Sikar,1.0,Satisfactory,78,PM10
2023-06-21,Sikar,1.0,Satisfactory,84,PM10
2023-06-22,Sikar,1.0,Satisfactory,95,PM10
2023-06-23,Sikar,1.0,Satisfactory,96,PM10
2023-06-24,Sikar,1.0,Satisfactory,98,PM10
2023-06-25,Sikar,1.0,Satisfactory,55,O3
2023-06-26,Sikar,1.0,Satisfactory,69,O3
2023-06-27,Sikar,1.0,Satisfactory,74,O3
2023-06-28,Sikar,1.0,Satisfactory,62,O3
2023-06-30,Sikar,1.0,Moderate,132,O3
2023-07-01,Sikar,1.0,Good,43,PM10
2023-07-02,Sikar,1.0,Good,50,PM10
2023-07-03,Sikar,1.0,Good,38,PM10
2023-07-04,Sikar,1.0,Moderate,104,O3
2023-07-05,Sikar,1.0,Satisfactory,89,O3
2023-07-07,Sikar,1.0,Satisfactory,74,O3
2023-07-08,Sikar,1.0,Satisfactory,89,O3
