date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-03-13,Silchar,1.0,Satisfactory,76,PM10
2023-03-14,Silchar,1.0,Satisfactory,78,PM10
2023-03-15,Silchar,1.0,Satisfactory,80,PM10
2023-03-16,Silchar,1.0,Satisfactory,65,PM10
2023-03-17,Silchar,1.0,Good,48,PM10
2023-03-18,Silchar,1.0,Good,38,CO
2023-03-19,Silchar,1.0,Good,43,PM10
2023-03-20,Silchar,1.0,Good,44,CO
2023-03-21,Silchar,1.0,Good,33,CO
2023-03-22,Silchar,1.0,Good,25,CO
2023-03-23,Silchar,1.0,Good,31,CO
2023-03-24,Silchar,1.0,Good,30,CO
2023-03-25,Silchar,1.0,Good,43,PM10
2023-03-26,Silchar,1.0,Good,29,PM10
2023-03-27,Silchar,1.0,Good,40,CO
2023-03-28,Silchar,1.0,Good,35,PM10
2023-03-29,Silchar,1.0,Good,27,CO
2023-03-30,Silchar,1.0,Good,39,CO
2023-03-31,Silchar,1.0,Good,28,PM10
2023-04-01,Silchar,1.0,Good,32,CO
2023-04-02,Silchar,1.0,Good,41,CO
2023-04-03,Silchar,1.0,Good,50,CO
2023-04-04,Silchar,1.0,Good,42,CO
2023-04-05,Silchar,1.0,Good,27,CO
2023-04-06,Silchar,1.0,Good,25,CO
2023-04-07,Silchar,1.0,Good,41,PM10
2023-04-08,Silchar,1.0,Good,42,PM10
2023-04-09,Silchar,1.0,Good,44,PM10
2023-04-10,Silchar,1.0,Satisfactory,59,CO
2023-04-11,Silchar,1.0,Satisfactory,62,PM10
2023-04-12,Silchar,1.0,Satisfactory,65,PM10
2023-04-13,Silchar,1.0,Satisfactory,63,PM10
2023-04-14,Silchar,1.0,Satisfactory,70,PM10
2023-04-15,Silchar,1.0,Satisfactory,69,PM10
2023-04-16,Silchar,1.0,Satisfactory,65,PM10
2023-04-17,Silchar,1.0,Satisfactory,67,PM10
2023-04-19,Silchar,1.0,Good,49,PM10
2023-04-21,Silchar,1.0,Good,31,CO
2023-04-22,Silchar,1.0,Good,30,CO
2023-04-23,Silchar,1.0,Satisfactory,52,CO
2023-04-24,Silchar,1.0,Good,34,CO
2023-04-25,Silchar,1.0,Good,37,CO
2023-04-26,Silchar,1.0,Satisfactory,75,CO
2023-04-27,Silchar,1.0,Good,38,CO
2023-04-28,Silchar,1.0,Good,38,CO
2023-04-29,Silchar,1.0,Satisfactory,89,CO
2023-04-30,Silchar,1.0,Good,40,CO
2023-05-01,Silchar,1.0,Good,32,CO
2023-05-02,Silchar,1.0,Good,28,PM10
2023-05-03,Silchar,1.0,Good,32,PM10
2023-05-04,Silchar,1.0,Good,39,CO
2023-05-05,Silchar,1.0,Good,22,CO
2023-05-06,Silchar,1.0,Good,23,CO
2023-05-07,Silchar,1.0,Good,48,CO
2023-05-08,Silchar,1.0,Good,38,CO
2023-05-09,Silchar,1.0,Good,42,PM10
2023-05-10,Silchar,1.0,Good,49,PM10
2023-05-11,Silchar,1.0,Good,32,CO
2023-05-12,Silchar,1.0,Good,35,CO
2023-05-13,Silchar,1.0,Good,35,PM10
2023-05-14,Silchar,1.0,Good,26,CO
2023-05-15,Silchar,1.0,Satisfactory,52,CO
2023-05-16,Silchar,1.0,Good,44,CO
2023-05-17,Silchar,1.0,Good,25,CO
2023-05-18,Silchar,1.0,Good,29,CO
2023-05-19,Silchar,1.0,Good,43,CO
2023-05-20,Silchar,1.0,Good,26,CO
2023-05-21,Silchar,1.0,Good,31,CO
2023-05-22,Silchar,1.0,Satisfactory,60,CO
2023-05-23,Silchar,1.0,Satisfactory,62,CO
2023-05-24,Silchar,1.0,Good,49,CO
2023-05-25,Silchar,1.0,Good,47,CO
2023-05-27,Silchar,1.0,Good,36,CO
2023-05-28,Silchar,1.0,Good,39,CO
2023-05-29,Silchar,1.0,Good,43,CO
2023-05-30,Silchar,1.0,Good,38,CO
2023-05-31,Silchar,1.0,Good,30,PM10
2023-06-01,Silchar,1.0,Good,33,CO
2023-06-02,Silchar,1.0,Good,36,PM10
2023-06-03,Silchar,1.0,Good,35,PM10
2023-06-04,Silchar,1.0,Good,32,PM10
2023-06-05,Silchar,1.0,Good,32,CO
2023-06-06,Silchar,1.0,Good,46,CO
2023-06-09,Silchar,1.0,Good,22,CO
2023-06-10,Silchar,1.0,Good,35,CO
2023-06-11,Silchar,1.0,Good,3,PM10
2023-06-13,Silchar,1.0,Good,39,CO
2023-06-14,Silchar,1.0,Good,33,CO
2023-06-15,Silchar,1.0,Good,38,CO
2023-06-16,Silchar,1.0,Good,28,CO
2023-06-17,Silchar,1.0,Good,32,CO
2023-06-18,Silchar,1.0,Good,29,CO
2023-06-19,Silchar,1.0,Good,28,CO
2023-06-20,Silchar,1.0,Good,27,CO
2023-06-21,Silchar,1.0,Good,16,CO
2023-06-22,Silchar,1.0,Good,21,CO
2023-06-23,Silchar,1.0,Good,21,CO
2023-06-24,Silchar,1.0,Good,5,NO2
2023-06-25,Silchar,1.0,Good,37,CO
2023-06-26,Silchar,1.0,Good,28,CO
2023-06-27,Silchar,1.0,Good,25,CO
2023-06-28,Silchar,1.0,Good,21,CO
2023-06-29,Silchar,1.0,Good,28,CO
2023-06-30,Silchar,1.0,Satisfactory,53,CO
2023-07-01,Silchar,1.0,Good,27,CO
2023-07-02,Silchar,1.0,Good,31,CO
2023-07-03,Silchar,1.0,Good,29,CO
2023-07-04,Silchar,1.0,Good,41,CO
2023-07-05,Silchar,1.0,Good,38,CO
2023-07-06,Silchar,1.0,Good,32,CO
2023-07-07,Silchar,1.0,Good,32,CO
2023-07-08,Silchar,1.0,Good,29,CO
2023-07-09,Silchar,1.0,Good,43,CO
2023-07-10,Silchar,1.0,Good,43,CO
2023-07-11,Silchar,1.0,Good,42,CO
2023-07-12,Silchar,1.0,Good,39,CO
2023-07-13,Silchar,1.0,Good,25,CO
2023-07-14,Silchar,1.0,Good,33,CO
2023-07-15,Silchar,1.0,Good,40,CO
2023-07-16,Silchar,1.0,Good,25,CO
2023-07-17,Silchar,1.0,Good,43,CO
2023-07-18,Silchar,1.0,Good,35,CO
2023-07-19,Silchar,1.0,Good,39,CO
2023-07-20,Silchar,1.0,Good,38,CO
2023-07-21,Silchar,1.0,Good,26,CO
2023-07-22,Silchar,1.0,Good,36,CO
2023-07-23,Silchar,1.0,Good,28,CO
2023-07-24,Silchar,1.0,Good,28,CO
2023-07-25,Silchar,1.0,Good,27,CO
2023-07-26,Silchar,1.0,Satisfactory,54,CO
2023-07-27,Silchar,1.0,Good,26,CO
2023-07-28,Silchar,1.0,Good,31,CO
2023-07-29,Silchar,1.0,Good,30,CO
2023-07-30,Silchar,1.0,Good,19,CO
2023-07-31,Silchar,1.0,Good,32,CO
2023-08-01,Silchar,1.0,Good,41,CO
2023-08-02,Silchar,1.0,Good,24,CO
2023-08-03,Silchar,1.0,Good,24,CO
2023-08-04,Silchar,1.0,Good,33,CO
2023-08-05,Silchar,1.0,Good,32,CO
2023-08-06,Silchar,1.0,Good,33,CO
2023-08-07,Silchar,1.0,Good,39,CO
2023-08-08,Silchar,1.0,Good,30,CO
2023-08-09,Silchar,1.0,Good,38,CO
2023-08-10,Silchar,1.0,Good,28,CO
2023-08-11,Silchar,1.0,Good,35,CO
2023-08-12,Silchar,1.0,Good,20,CO
2023-08-13,Silchar,1.0,Good,43,CO
2023-08-14,Silchar,1.0,Good,42,CO
2023-08-15,Silchar,1.0,Good,42,CO
2023-08-16,Silchar,1.0,Good,41,CO
2023-08-17,Silchar,1.0,Good,36,CO
2023-08-18,Silchar,1.0,Good,30,CO
2023-08-19,Silchar,1.0,Good,35,CO
2023-08-20,Silchar,1.0,Good,29,CO
2023-08-22,Silchar,1.0,Good,36,CO
2023-08-23,Silchar,1.0,Good,32,CO
2023-08-24,Silchar,1.0,Good,28,CO
2023-08-25,Silchar,1.0,Good,36,CO
2023-08-26,Silchar,1.0,Good,29,CO
2023-08-27,Silchar,1.0,Good,32,CO
2023-08-28,Silchar,1.0,Good,32,CO
2023-08-29,Silchar,1.0,Good,21,CO
2023-08-30,Silchar,1.0,Good,38,CO
2023-08-31,Silchar,1.0,Good,30,CO
2023-09-01,Silchar,1.0,Satisfactory,52,CO
2023-09-02,Silchar,1.0,Good,43,CO
2023-09-03,Silchar,1.0,Good,15,PM10
2023-09-04,Silchar,1.0,Good,29,CO
2023-09-05,Silchar,1.0,Good,33,CO
2023-09-06,Silchar,1.0,Good,37,CO
2023-09-07,Silchar,1.0,Good,26,CO
2023-09-08,Silchar,1.0,Good,36,CO
2023-09-09,Silchar,1.0,Good,24,CO
2023-09-10,Silchar,1.0,Good,42,CO
2023-09-11,Silchar,1.0,Good,18,CO
2023-09-12,Silchar,1.0,Good,44,CO
2023-09-13,Silchar,1.0,Good,37,CO
2023-09-14,Silchar,1.0,Good,39,CO
2023-09-15,Silchar,1.0,Good,22,CO
2023-09-17,Silchar,1.0,Good,22,PM10
2023-09-18,Silchar,1.0,Good,48,CO
2023-09-20,Silchar,1.0,Good,31,CO
2023-09-21,Silchar,1.0,Good,46,CO
2023-09-22,Silchar,1.0,Good,39,CO
2023-09-23,Silchar,1.0,Good,23,CO
2023-09-24,Silchar,1.0,Good,35,CO
2023-09-25,Silchar,1.0,Good,24,CO
2023-09-26,Silchar,1.0,Good,28,CO
2023-09-27,Silchar,1.0,Good,24,CO
2023-09-28,Silchar,1.0,Good,31,CO
2023-09-29,Silchar,1.0,Good,32,CO
2023-09-30,Silchar,1.0,Good,21,CO
2023-10-01,Silchar,1.0,Good,33,CO
2023-10-02,Silchar,1.0,Good,34,CO
2023-10-04,Silchar,1.0,Satisfactory,79,CO
2023-10-05,Silchar,1.0,Good,24,CO
2023-10-06,Silchar,1.0,Good,36,CO
2023-10-07,Silchar,1.0,Good,26,CO
2023-10-08,Silchar,1.0,Good,37,CO
2023-10-09,Silchar,1.0,Good,40,CO
2023-10-10,Silchar,1.0,Good,48,CO
2023-10-11,Silchar,1.0,Good,38,CO
2023-10-12,Silchar,1.0,Good,38,CO
2023-10-13,Silchar,1.0,Good,39,CO
2023-10-14,Silchar,1.0,Good,19,PM10
2023-10-16,Silchar,1.0,Good,21,CO
2023-10-17,Silchar,1.0,Good,28,CO
2023-10-18,Silchar,1.0,Good,30,CO
2023-10-19,Silchar,1.0,Good,27,CO
2023-10-20,Silchar,1.0,Good,29,CO
2023-10-21,Silchar,1.0,Satisfactory,52,CO
2023-10-22,Silchar,1.0,Good,38,CO
2023-10-23,Silchar,1.0,Good,29,CO
2023-10-24,Silchar,1.0,Good,30,CO
2023-10-25,Silchar,1.0,Good,22,CO
2023-10-26,Silchar,1.0,Good,28,CO
2023-10-27,Silchar,1.0,Good,33,CO
2023-10-28,Silchar,1.0,Good,29,PM10
2023-10-29,Silchar,1.0,Good,28,CO
2023-10-30,Silchar,1.0,Good,36,CO
2023-10-31,Silchar,1.0,Good,44,CO
2023-11-01,Silchar,1.0,Good,24,CO
2023-11-02,Silchar,1.0,Good,29,CO
2023-11-03,Silchar,1.0,Good,39,CO
2023-11-04,Silchar,1.0,Good,35,PM10
2023-11-05,Silchar,1.0,Good,46,CO
2023-11-06,Silchar,1.0,Good,34,CO
2023-11-07,Silchar,1.0,Good,29,CO
2023-11-08,Silchar,1.0,Good,32,CO
2023-11-09,Silchar,1.0,Good,32,CO
2023-11-10,Silchar,1.0,Good,46,CO
2023-11-11,Silchar,1.0,Good,48,PM10
2023-11-12,Silchar,1.0,Good,34,PM10
2023-11-13,Silchar,1.0,Good,40,PM2.5
2023-11-14,Silchar,1.0,Good,41,CO
2023-11-15,Silchar,1.0,Good,43,CO
2023-11-16,Silchar,1.0,Good,43,PM10
2023-11-17,Silchar,1.0,Good,41,CO
2023-11-18,Silchar,1.0,Good,37,CO
2023-11-19,Silchar,1.0,Good,42,PM10
2023-11-20,Silchar,1.0,Good,42,PM10
2023-11-21,Silchar,1.0,Good,44,PM10
2023-11-22,Silchar,1.0,Good,44,PM10
2023-11-23,Silchar,1.0,Good,44,PM10
2023-11-24,Silchar,1.0,Good,32,PM10
2023-11-25,Silchar,1.0,Good,33,CO
2023-11-26,Silchar,1.0,Good,38,CO
2023-11-27,Silchar,1.0,Good,31,CO
2023-11-28,Silchar,1.0,Good,38,PM10
2023-11-29,Silchar,1.0,Good,41,PM10
