date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2018-02-08,Siliguri,1.0,Severe,415,PM2.5
2018-02-09,Siliguri,1.0,Very Poor,399,PM2.5
2018-02-10,Siliguri,1.0,Very Poor,368,PM2.5
2018-02-11,Siliguri,1.0,Very Poor,327,PM2.5
2018-02-12,Siliguri,1.0,Poor,284,PM2.5
2018-02-13,Siliguri,1.0,Poor,269,PM2.5
2018-02-14,Siliguri,1.0,Very Poor,348,PM2.5
2018-02-15,Siliguri,1.0,Moderate,180,PM2.5
2018-02-16,Siliguri,1.0,Poor,291,PM2.5
2018-02-17,Siliguri,1.0,Poor,282,PM2.5
2018-02-18,Siliguri,1.0,Very Poor,343,PM2.5
2018-02-19,Siliguri,1.0,Very Poor,338,PM2.5
2018-02-20,Siliguri,1.0,Very Poor,337,PM2.5
2018-02-21,Siliguri,1.0,Very Poor,312,PM2.5
2018-02-22,Siliguri,1.0,Very Poor,324,PM2.5
2018-02-23,Siliguri,1.0,Poor,260,PM2.5
2018-02-24,Siliguri,1.0,Moderate,198,PM2.5
2018-02-25,Siliguri,1.0,Poor,240,PM2.5
2018-02-26,Siliguri,1.0,Poor,219,PM2.5
2018-02-27,Siliguri,1.0,Satisfactory,79,PM2.5
2018-02-28,Siliguri,1.0,Moderate,156,PM2.5
2018-03-02,Siliguri,1.0,Moderate,158,PM10
2018-03-03,Siliguri,1.0,Moderate,140,PM2.5
2018-03-04,Siliguri,1.0,Moderate,184,PM2.5
2018-03-05,Siliguri,1.0,Moderate,131,PM2.5
2018-03-06,Siliguri,1.0,Moderate,163,PM2.5
2018-03-07,Siliguri,1.0,Poor,207,PM2.5
2018-03-08,Siliguri,1.0,Poor,249,PM2.5
2018-03-09,Siliguri,1.0,Poor,278,PM2.5
2018-03-10,Siliguri,1.0,Poor,201,PM2.5
2018-03-11,Siliguri,1.0,Poor,263,PM2.5
2018-03-12,Siliguri,1.0,Moderate,127,PM2.5
2018-03-13,Siliguri,1.0,Satisfactory,73,PM2.5
2018-03-14,Siliguri,1.0,Moderate,183,PM2.5
2018-03-15,Siliguri,1.0,Poor,269,PM2.5
2018-03-16,Siliguri,1.0,Very Poor,319,PM2.5
2018-03-17,Siliguri,1.0,Poor,291,PM2.5
2018-03-18,Siliguri,1.0,Poor,280,PM2.5
2018-03-19,Siliguri,1.0,Very Poor,336,PM2.5
2018-03-20,Siliguri,1.0,Very Poor,359,PM2.5
2018-03-21,Siliguri,1.0,Very Poor,376,PM2.5
2018-03-22,Siliguri,1.0,Very Poor,325,PM2.5
2018-03-23,Siliguri,1.0,Poor,228,PM2.5
2018-03-24,Siliguri,1.0,Poor,220,PM2.5
2018-03-25,Siliguri,1.0,Poor,203,PM2.5
2018-03-26,Siliguri,1.0,Poor,295,PM2.5
2018-03-27,Siliguri,1.0,Moderate,178,PM2.5
2018-03-28,Siliguri,1.0,Moderate,196,PM2.5
2018-03-29,Siliguri,1.0,Poor,282,PM2.5
2018-03-30,Siliguri,1.0,Moderate,110,PM2.5
2018-03-31,Siliguri,1.0,Satisfactory,81,OZONE
2018-04-01,Siliguri,1.0,Satisfactory,87,OZONE
2018-04-02,Siliguri,1.0,Poor,221,PM2.5
2018-04-03,Siliguri,1.0,Poor,252,PM2.5
2018-04-04,Siliguri,1.0,Poor,272,PM2.5
2018-04-05,Siliguri,1.0,Poor,236,PM2.5
2018-04-06,Siliguri,1.0,Moderate,176,PM2.5
2018-04-07,Siliguri,1.0,Poor,214,PM2.5
2018-04-08,Siliguri,1.0,Satisfactory,90,PM2.5
2018-04-09,Siliguri,1.0,Satisfactory,75,PM2.5
2018-04-10,Siliguri,1.0,Moderate,107,PM2.5
2018-04-11,Siliguri,1.0,Satisfactory,68,OZONE
2018-04-12,Siliguri,1.0,Satisfactory,65,OZONE
2018-04-13,Siliguri,1.0,Satisfactory,72,OZONE
2018-04-14,Siliguri,1.0,Satisfactory,81,OZONE
2018-04-15,Siliguri,1.0,Satisfactory,82,PM10
2018-04-16,Siliguri,1.0,Satisfactory,68,OZONE
2018-04-17,Siliguri,1.0,Satisfactory,85,PM10
2018-04-18,Siliguri,1.0,Satisfactory,66,OZONE
2018-04-24,Siliguri,1.0,Moderate,104,PM10
2018-04-25,Siliguri,1.0,Satisfactory,95,PM10
2018-04-26,Siliguri,1.0,Satisfactory,88,OZONE
2018-04-27,Siliguri,1.0,Satisfactory,83,OZONE
2018-04-28,Siliguri,1.0,Moderate,104,PM10
2018-04-29,Siliguri,1.0,Moderate,106,PM10
2018-05-03,Siliguri,1.0,Satisfactory,55,OZONE
2018-05-04,Siliguri,1.0,Satisfactory,58,OZONE
2018-05-05,Siliguri,1.0,Satisfactory,66,OZONE
2018-05-06,Siliguri,1.0,Satisfactory,63,PM10
2018-05-07,Siliguri,1.0,Satisfactory,52,PM10
2018-05-08,Siliguri,1.0,Satisfactory,65,PM10
2018-05-09,Siliguri,1.0,Satisfactory,74,OZONE
2018-05-10,Siliguri,1.0,Satisfactory,59,OZONE
2018-05-11,Siliguri,1.0,Satisfactory,75,OZONE
2018-05-12,Siliguri,1.0,Satisfactory,73,PM10
2018-05-13,Siliguri,1.0,Satisfactory,94,PM10
2018-05-14,Siliguri,1.0,Satisfactory,60,OZONE
2018-05-15,Siliguri,1.0,Satisfactory,65,OZONE
2018-05-16,Siliguri,1.0,Satisfactory,72,OZONE
2018-05-17,Siliguri,1.0,Satisfactory,70,PM10
2018-05-18,Siliguri,1.0,Satisfactory,72,PM10
2018-05-19,Siliguri,1.0,Satisfactory,64,PM10
2018-05-20,Siliguri,1.0,Satisfactory,81,PM10
2018-05-21,Siliguri,1.0,Satisfactory,55,PM10
2018-05-22,Siliguri,1.0,Moderate,100,PM2.5
2018-05-23,Siliguri,1.0,Satisfactory,61,PM2.5
2018-05-24,Siliguri,1.0,Good,45,CO
2018-05-25,Siliguri,1.0,Satisfactory,50,PM10
2018-05-26,Siliguri,1.0,Satisfactory,59,PM10
2018-05-27,Siliguri,1.0,Satisfactory,54,OZONE
2018-05-28,Siliguri,1.0,Satisfactory,77,OZONE
2018-05-29,Siliguri,1.0,Satisfactory,74,OZONE
2018-05-30,Siliguri,1.0,Satisfactory,65,PM10
2018-05-31,Siliguri,1.0,Satisfactory,62,PM10
2018-06-02,Siliguri,1.0,Satisfactory,63,OZONE
2018-06-03,Siliguri,1.0,Satisfactory,53,PM2.5
2018-06-04,Siliguri,1.0,Satisfactory,55,PM10
2018-06-05,Siliguri,1.0,Satisfactory,70,PM10
2018-06-06,Siliguri,1.0,Satisfactory,89,PM2.5
2018-06-07,Siliguri,1.0,Satisfactory,50,PM2.5
2018-06-08,Siliguri,1.0,Good,46,CO
2018-06-09,Siliguri,1.0,Satisfactory,61,PM2.5
2018-06-10,Siliguri,1.0,Satisfactory,58,PM10
