date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-03-13,Sirohi,1.0,Satisfactory,91,O3
2023-03-15,Sirohi,1.0,Satisfactory,97,O3
2023-03-16,Sirohi,1.0,Satisfactory,74,PM10
2023-03-17,Sirohi,1.0,Moderate,112,O3
2023-03-18,Sirohi,1.0,Satisfactory,91,PM10
2023-03-19,Sirohi,1.0,Satisfactory,82,O3
2023-03-21,Sirohi,1.0,Satisfactory,73,O3
2023-03-22,Sirohi,1.0,Satisfactory,62,O3
2023-03-23,Sirohi,1.0,Satisfactory,59,O3
2023-03-24,Sirohi,1.0,Satisfactory,68,O3
2023-03-25,Sirohi,1.0,Satisfactory,73,O3
2023-03-26,Sirohi,1.0,Satisfactory,81,O3
2023-03-27,Sirohi,1.0,Moderate,113,PM10
2023-04-01,Sirohi,1.0,Moderate,128,O3
2023-04-02,Sirohi,1.0,Moderate,101,O3
2023-04-03,Sirohi,1.0,Satisfactory,81,O3
2023-04-04,Sirohi,1.0,Satisfactory,59,PM10
2023-04-29,Sirohi,1.0,Satisfactory,67,O3
2023-04-30,Sirohi,1.0,Satisfactory,83,O3
2023-05-01,Sirohi,1.0,Satisfactory,68,O3
2023-05-02,Sirohi,1.0,Satisfactory,72,PM10
2023-05-05,Sirohi,1.0,Moderate,179,PM10
2023-05-06,Sirohi,1.0,Moderate,116,O3
2023-05-07,Sirohi,1.0,Satisfactory,86,O3
2023-05-08,Sirohi,1.0,Satisfactory,91,O3
2023-05-09,Sirohi,1.0,Satisfactory,100,O3
2023-06-08,Sirohi,1.0,Satisfactory,95,PM10
2023-06-09,Sirohi,1.0,Satisfactory,85,PM10
2023-06-10,Sirohi,1.0,Satisfactory,68,PM10
2023-06-11,Sirohi,1.0,Satisfactory,63,O3
2023-06-12,Sirohi,1.0,Satisfactory,75,O3
2023-06-13,Sirohi,1.0,Satisfactory,72,PM10
2023-06-14,Sirohi,1.0,Satisfactory,84,PM10
2023-06-15,Sirohi,1.0,Satisfactory,74,PM10
2023-06-16,Sirohi,1.0,Satisfactory,53,PM10
2023-06-23,Sirohi,1.0,Satisfactory,94,PM10
2023-06-24,Sirohi,1.0,Satisfactory,85,PM10
2023-06-25,Sirohi,1.0,Satisfactory,83,PM10
2023-06-26,Sirohi,1.0,Satisfactory,64,PM10
2023-06-27,Sirohi,1.0,Satisfactory,53,PM10
2023-06-28,Sirohi,1.0,Satisfactory,69,PM10
