date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2022-09-30,Sivasagar,1.0,Satisfactory,55,CO
2022-10-01,Sivasagar,1.0,Good,38,CO
2022-10-02,Sivasagar,1.0,Good,23,PM10
2022-10-03,Sivasagar,1.0,Good,23,PM10
2022-10-04,Sivasagar,1.0,Good,15,PM10
2022-10-05,Sivasagar,1.0,Good,12,PM10
2022-10-06,Sivasagar,1.0,Good,12,CO
2022-10-07,Sivasagar,1.0,Good,12,CO
2022-10-08,Sivasagar,1.0,Good,14,CO
2022-10-09,Sivasagar,1.0,Good,13,CO
2022-10-10,Sivasagar,1.0,Good,16,CO
2022-10-11,Sivasagar,1.0,Good,15,CO
2022-10-12,Sivasagar,1.0,Good,18,PM10
2022-10-13,Sivasagar,1.0,Good,12,CO
2022-10-14,Sivasagar,1.0,Good,19,PM10
2022-10-15,Sivasagar,1.0,Good,16,PM10
2022-10-16,Sivasagar,1.0,Good,30,PM10
2022-10-17,Sivasagar,1.0,Good,20,PM10
2022-10-18,Sivasagar,1.0,Good,26,PM10
2022-10-19,Sivasagar,1.0,Good,24,PM10
2022-10-20,Sivasagar,1.0,Good,24,PM10
2022-10-21,Sivasagar,1.0,Good,30,PM10
2022-10-22,Sivasagar,1.0,Good,29,PM10
2022-10-23,Sivasagar,1.0,Good,39,PM10
2022-10-24,Sivasagar,1.0,Good,30,PM10
2022-10-25,Sivasagar,1.0,Good,9,PM2.5
2022-10-26,Sivasagar,1.0,Good,9,PM10
2022-10-27,Sivasagar,1.0,Good,14,PM10
2022-10-28,Sivasagar,1.0,Good,22,PM10
2022-10-29,Sivasagar,1.0,Good,23,PM10
2022-10-30,Sivasagar,1.0,Good,23,PM10
2022-10-31,Sivasagar,1.0,Good,21,PM10
2022-11-01,Sivasagar,1.0,Good,22,PM10
2022-11-02,Sivasagar,1.0,Good,37,PM10
2022-11-03,Sivasagar,1.0,Good,27,PM10
2022-11-04,Sivasagar,1.0,Good,27,PM10
2022-11-05,Sivasagar,1.0,Good,31,PM10
2022-11-06,Sivasagar,1.0,Good,36,PM10
2022-11-07,Sivasagar,1.0,Good,27,PM10
2022-11-08,Sivasagar,1.0,Good,32,PM10
2022-11-09,Sivasagar,1.0,Good,34,PM10
2022-11-10,Sivasagar,1.0,Good,40,PM10
2022-11-11,Sivasagar,1.0,Good,46,PM10
2022-11-12,Sivasagar,1.0,Good,42,PM10
2022-11-13,Sivasagar,1.0,Good,37,PM10
2022-11-14,Sivasagar,1.0,Good,32,PM10
2022-11-15,Sivasagar,1.0,Good,37,PM10
2022-11-16,Sivasagar,1.0,Good,40,PM10
2022-11-17,Sivasagar,1.0,Good,40,PM10
2022-11-18,Sivasagar,1.0,Good,47,PM10
2022-11-19,Sivasagar,1.0,Good,47,PM10
2022-11-20,Sivasagar,1.0,Good,46,PM10
2022-11-21,Sivasagar,1.0,Good,45,PM10
2022-11-22,Sivasagar,1.0,Satisfactory,51,PM10
2022-11-23,Sivasagar,1.0,Satisfactory,53,PM10
2022-11-24,Sivasagar,1.0,Good,41,PM10
2022-11-25,Sivasagar,1.0,Good,46,PM10
2022-11-26,Sivasagar,1.0,Good,47,PM10
2022-11-29,Sivasagar,1.0,Good,46,PM10
2022-11-30,Sivasagar,1.0,Satisfactory,53,PM10
2022-12-01,Sivasagar,1.0,Satisfactory,56,PM10
2022-12-02,Sivasagar,1.0,Satisfactory,62,PM10
2022-12-03,Sivasagar,1.0,Satisfactory,59,PM10
2022-12-04,Sivasagar,1.0,Satisfactory,60,PM10
2022-12-05,Sivasagar,1.0,Satisfactory,70,PM10
2022-12-09,Sivasagar,1.0,Good,45,PM10
2022-12-10,Sivasagar,1.0,Satisfactory,51,PM10
2022-12-11,Sivasagar,1.0,Satisfactory,53,PM10
2022-12-12,Sivasagar,1.0,Satisfactory,54,PM10
2022-12-13,Sivasagar,1.0,Satisfactory,53,PM2.5
2022-12-14,Sivasagar,1.0,Good,50,PM10
2022-12-15,Sivasagar,1.0,Satisfactory,52,PM10
2022-12-16,Sivasagar,1.0,Satisfactory,56,PM2.5
2022-12-17,Sivasagar,1.0,Satisfactory,58,PM2.5
2022-12-18,Sivasagar,1.0,Good,48,PM2.5
2022-12-19,Sivasagar,1.0,Good,49,PM10
2022-12-20,Sivasagar,1.0,Good,43,PM2.5
2022-12-21,Sivasagar,1.0,Good,37,PM2.5
2022-12-22,Sivasagar,1.0,Good,33,PM2.5
2022-12-24,Sivasagar,1.0,Good,42,PM2.5
2022-12-25,Sivasagar,1.0,Good,40,PM2.5
2022-12-26,Sivasagar,1.0,Good,21,PM10
2022-12-27,Sivasagar,1.0,Good,29,PM2.5
2022-12-28,Sivasagar,1.0,Good,29,PM2.5
2022-12-29,Sivasagar,1.0,Good,36,PM2.5
2022-12-30,Sivasagar,1.0,Good,42,PM2.5
2022-12-31,Sivasagar,1.0,Good,39,PM10
2023-01-01,Sivasagar,1.0,Good,44,PM10
2023-01-02,Sivasagar,1.0,Good,42,PM2.5
2023-01-03,Sivasagar,1.0,Good,40,PM10
2023-01-04,Sivasagar,1.0,Good,35,PM10
2023-01-05,Sivasagar,1.0,Good,43,PM10
2023-01-06,Sivasagar,1.0,Good,48,PM2.5
2023-01-08,Sivasagar,1.0,Good,43,PM10
2023-01-09,Sivasagar,1.0,Satisfactory,51,PM10
2023-01-10,Sivasagar,1.0,Good,43,PM2.5
2023-01-12,Sivasagar,1.0,Satisfactory,51,PM2.5
2023-01-13,Sivasagar,1.0,Good,43,PM2.5
2023-01-14,Sivasagar,1.0,Good,35,PM2.5
2023-01-15,Sivasagar,1.0,Good,31,PM10
2023-01-16,Sivasagar,1.0,Good,40,PM10
2023-01-17,Sivasagar,1.0,Good,44,PM2.5
2023-01-18,Sivasagar,1.0,Satisfactory,54,PM2.5
2023-01-19,Sivasagar,1.0,Satisfactory,52,PM2.5
