date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2019-01-09,Sonipat,1.0,Moderate,134,PM2.5
2019-01-10,Sonipat,1.0,Poor,230,PM2.5
2019-01-11,Sonipat,1.0,Very Poor,301,PM2.5
2019-01-12,Sonipat,1.0,Very Poor,392,PM2.5
2019-01-13,Sonipat,1.0,Very Poor,368,PM2.5
2019-01-14,Sonipat,1.0,Poor,203,PM2.5
2019-01-15,Sonipat,1.0,Moderate,160,PM2.5
2019-01-16,Sonipat,1.0,Poor,295,PM2.5
2019-01-17,Sonipat,1.0,Very Poor,344,PM2.5
2019-01-18,Sonipat,1.0,Very Poor,343,PM2.5
2019-01-19,Sonipat,1.0,Poor,274,PM2.5
2019-01-22,Sonipat,1.0,Satisfactory,91,PM2.5
2019-01-23,Sonipat,1.0,Moderate,102,PM2.5
2019-01-24,Sonipat,1.0,Poor,231,PM2.5
2019-01-25,Sonipat,1.0,Moderate,124,PM2.5
2019-01-26,Sonipat,1.0,Moderate,162,PM2.5
2019-01-27,Sonipat,1.0,Moderate,164,PM2.5
2019-01-28,Sonipat,1.0,Moderate,135,PM2.5
2019-01-29,Sonipat,1.0,Moderate,129,PM2.5
2019-01-30,Sonipat,1.0,Moderate,167,PM2.5
2019-01-31,Sonipat,1.0,Poor,292,PM2.5
2019-02-01,Sonipat,1.0,Poor,298,PM2.5
2019-02-02,Sonipat,1.0,Poor,223,PM2.5
2019-02-03,Sonipat,1.0,Moderate,196,PM2.5
2019-02-04,Sonipat,1.0,Moderate,189,PM2.5
2019-02-05,Sonipat,1.0,Poor,263,PM2.5
2019-02-06,Sonipat,1.0,Very Poor,391,PM2.5
2019-02-07,Sonipat,1.0,Poor,262,PM2.5
2019-02-08,Sonipat,1.0,Moderate,101,PM10
2019-02-09,Sonipat,1.0,Satisfactory,98,PM2.5
2019-02-10,Sonipat,1.0,Moderate,155,PM2.5
2019-02-11,Sonipat,1.0,Poor,242,PM2.5
2019-02-12,Sonipat,1.0,Poor,257,PM2.5
2019-02-13,Sonipat,1.0,Poor,279,PM2.5
2019-02-14,Sonipat,1.0,Very Poor,327,PM2.5
2019-02-16,Sonipat,1.0,Moderate,172,PM2.5
2019-02-17,Sonipat,1.0,Satisfactory,97,PM2.5
2019-02-18,Sonipat,1.0,Moderate,117,PM2.5
2019-02-19,Sonipat,1.0,Moderate,154,PM2.5
