date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-03-13,Sri Ganganagar,1.0,Moderate,194,PM10
2023-03-14,Sri Ganganagar,1.0,Poor,223,PM2.5
2023-03-15,Sri Ganganagar,1.0,Poor,246,PM2.5
2023-03-16,Sri Ganganagar,1.0,Poor,240,PM2.5
2023-03-17,Sri Ganganagar,1.0,Moderate,167,PM2.5
2023-03-18,Sri Ganganagar,1.0,Moderate,126,PM10
2023-03-19,Sri Ganganagar,1.0,Moderate,126,PM10
2023-03-20,Sri Ganganagar,1.0,Moderate,149,PM10
2023-03-21,Sri Ganganagar,1.0,Moderate,131,PM10
2023-03-22,Sri Ganganagar,1.0,Poor,288,PM10
2023-03-23,Sri Ganganagar,1.0,Poor,230,PM10
2023-03-24,Sri Ganganagar,1.0,Moderate,162,PM10
2023-03-26,Sri Ganganagar,1.0,Satisfactory,70,PM2.5
2023-03-27,Sri Ganganagar,1.0,Moderate,162,PM10
2023-03-28,Sri Ganganagar,1.0,Poor,271,PM10
2023-03-29,Sri Ganganagar,1.0,Very Poor,341,PM10
2023-03-30,Sri Ganganagar,1.0,Moderate,180,PM10
2023-03-31,Sri Ganganagar,1.0,Satisfactory,68,PM10
2023-04-01,Sri Ganganagar,1.0,Moderate,101,PM10
2023-04-02,Sri Ganganagar,1.0,Moderate,188,PM10
2023-04-03,Sri Ganganagar,1.0,Moderate,151,PM10
2023-04-04,Sri Ganganagar,1.0,Moderate,183,PM10
2023-04-05,Sri Ganganagar,1.0,Poor,220,PM10
2023-04-06,Sri Ganganagar,1.0,Moderate,136,PM10
2023-04-07,Sri Ganganagar,1.0,Moderate,154,PM10
2023-04-08,Sri Ganganagar,1.0,Poor,215,PM10
2023-04-09,Sri Ganganagar,1.0,Poor,267,PM10
2023-04-10,Sri Ganganagar,1.0,Poor,266,PM10
2023-04-11,Sri Ganganagar,1.0,Poor,250,PM10
2023-04-12,Sri Ganganagar,1.0,Poor,240,PM10
2023-04-13,Sri Ganganagar,1.0,Poor,250,PM10
2023-04-14,Sri Ganganagar,1.0,Poor,282,PM10
2023-04-15,Sri Ganganagar,1.0,Very Poor,305,PM10
2023-04-16,Sri Ganganagar,1.0,Moderate,108,PM2.5
2023-04-17,Sri Ganganagar,1.0,Poor,229,PM10
2023-04-18,Sri Ganganagar,1.0,Very Poor,338,PM10
2023-04-21,Sri Ganganagar,1.0,Poor,210,PM10
2023-04-22,Sri Ganganagar,1.0,Poor,202,PM10
2023-04-23,Sri Ganganagar,1.0,Moderate,132,PM10
2023-04-24,Sri Ganganagar,1.0,Very Poor,337,PM10
2023-04-25,Sri Ganganagar,1.0,Poor,264,PM10
2023-04-26,Sri Ganganagar,1.0,Poor,270,PM10
2023-04-27,Sri Ganganagar,1.0,Very Poor,313,PM10
2023-04-28,Sri Ganganagar,1.0,Poor,276,PM10
2023-04-29,Sri Ganganagar,1.0,Moderate,167,PM10
2023-04-30,Sri Ganganagar,1.0,Poor,235,PM10
2023-05-01,Sri Ganganagar,1.0,Poor,210,PM10
2023-05-02,Sri Ganganagar,1.0,Moderate,162,PM2.5
2023-05-03,Sri Ganganagar,1.0,Moderate,158,PM10
2023-05-04,Sri Ganganagar,1.0,Moderate,165,PM10
2023-05-05,Sri Ganganagar,1.0,Moderate,182,PM10
2023-05-06,Sri Ganganagar,1.0,Poor,224,PM10
2023-05-07,Sri Ganganagar,1.0,Poor,292,PM10
2023-05-08,Sri Ganganagar,1.0,Moderate,179,PM10
2023-05-09,Sri Ganganagar,1.0,Moderate,168,PM10
2023-05-10,Sri Ganganagar,1.0,Poor,223,PM10
2023-05-11,Sri Ganganagar,1.0,Poor,294,PM10
2023-05-12,Sri Ganganagar,1.0,Poor,250,PM10
2023-05-13,Sri Ganganagar,1.0,Very Poor,318,PM10
2023-05-14,Sri Ganganagar,1.0,Poor,259,PM10
2023-05-15,Sri Ganganagar,1.0,Poor,206,PM10
2023-05-16,Sri Ganganagar,1.0,Poor,271,PM10
2023-05-19,Sri Ganganagar,1.0,Moderate,139,PM2.5
2023-05-20,Sri Ganganagar,1.0,Moderate,124,PM2.5
2023-05-21,Sri Ganganagar,1.0,Moderate,187,PM10
2023-05-22,Sri Ganganagar,1.0,Poor,235,PM10
2023-05-23,Sri Ganganagar,1.0,Poor,217,PM10
2023-05-24,Sri Ganganagar,1.0,Poor,269,PM10
2023-05-25,Sri Ganganagar,1.0,Moderate,184,PM10
2023-05-26,Sri Ganganagar,1.0,Moderate,109,PM10
2023-05-27,Sri Ganganagar,1.0,Moderate,122,PM10
2023-05-28,Sri Ganganagar,1.0,Poor,227,PM10
2023-05-29,Sri Ganganagar,1.0,Moderate,120,PM10
2023-05-30,Sri Ganganagar,1.0,Moderate,172,PM10
