date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2021-02-10,Srinagar,1.0,Poor,277,PM2.5
2021-02-12,Srinagar,1.0,Moderate,194,PM2.5
2021-02-14,Srinagar,1.0,Poor,236,PM2.5
2021-02-15,Srinagar,1.0,Moderate,174,PM2.5
2021-02-16,Srinagar,1.0,Moderate,170,PM2.5
2021-02-17,Srinagar,1.0,Moderate,121,PM10
2021-02-18,Srinagar,1.0,Moderate,130,PM10
2021-02-19,Srinagar,1.0,Moderate,146,PM10
2021-02-20,Srinagar,1.0,Satisfactory,80,PM10
2021-02-21,Srinagar,1.0,Moderate,193,PM2.5
2021-02-22,Srinagar,1.0,Moderate,171,PM2.5
2021-02-25,Srinagar,1.0,Satisfactory,96,PM10
2021-02-26,Srinagar,1.0,Good,48,PM2.5
2021-02-27,Srinagar,1.0,Good,35,SO2
2021-02-28,Srinagar,1.0,Good,25,PM10
2021-03-01,Srinagar,1.0,Satisfactory,78,PM10
2021-03-02,Srinagar,1.0,Satisfactory,87,PM10
2021-03-03,Srinagar,1.0,Moderate,155,PM10
2021-03-05,Srinagar,1.0,Satisfactory,79,PM10
2021-03-06,Srinagar,1.0,Satisfactory,84,PM10
2021-03-07,Srinagar,1.0,Moderate,104,PM2.5
2021-03-08,Srinagar,1.0,Good,44,PM2.5
2021-03-09,Srinagar,1.0,Satisfactory,59,PM2.5
2021-03-13,Srinagar,1.0,Good,29,CO
2021-03-14,Srinagar,1.0,Satisfactory,58,PM2.5
2021-03-15,Srinagar,1.0,Good,43,PM2.5
2021-03-16,Srinagar,1.0,Moderate,120,PM10
2021-03-17,Srinagar,1.0,Moderate,117,PM10
2021-03-19,Srinagar,1.0,Moderate,125,PM10
2021-03-20,Srinagar,1.0,Satisfactory,92,PM10
2021-03-21,Srinagar,1.0,Moderate,129,PM10
2021-03-25,Srinagar,1.0,Good,26,PM10
2021-03-26,Srinagar,1.0,Moderate,105,PM10
2021-03-27,Srinagar,1.0,Moderate,118,PM10
2021-03-29,Srinagar,1.0,Satisfactory,52,PM10
2021-03-30,Srinagar,1.0,Good,44,NO2
2021-03-31,Srinagar,1.0,Satisfactory,51,PM10
2021-04-01,Srinagar,1.0,Satisfactory,86,PM10
2021-04-02,Srinagar,1.0,Satisfactory,62,PM10
2021-04-03,Srinagar,1.0,Satisfactory,63,PM10
2021-04-04,Srinagar,1.0,Satisfactory,91,PM10
2021-04-05,Srinagar,1.0,Good,37,NO2
2021-04-06,Srinagar,1.0,Good,40,NO2
2021-04-07,Srinagar,1.0,Good,36,NO2
2021-04-08,Srinagar,1.0,Good,48,PM10
2021-04-09,Srinagar,1.0,Satisfactory,55,PM10
2021-04-10,Srinagar,1.0,Satisfactory,82,PM10
2021-04-11,Srinagar,1.0,Satisfactory,83,PM10
2021-04-12,Srinagar,1.0,Good,36,NO2
2021-04-13,Srinagar,1.0,Satisfactory,72,PM10
2021-04-14,Srinagar,1.0,Moderate,102,PM10
2021-04-15,Srinagar,1.0,Good,49,PM10
2021-04-16,Srinagar,1.0,Good,36,NO2
2021-04-18,Srinagar,1.0,Good,34,NO2
2021-04-19,Srinagar,1.0,Good,34,NO2
2021-04-20,Srinagar,1.0,Satisfactory,100,PM10
2021-04-21,Srinagar,1.0,Satisfactory,68,PM10
