date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2022-11-27,Suakati,1.0,Moderate,123,PM2.5
2022-11-28,Suakati,1.0,Moderate,186,O3
2022-11-29,Suakati,1.0,Poor,231,PM2.5
2022-11-30,Suakati,1.0,Poor,231,PM2.5
2022-12-01,Suakati,1.0,Moderate,177,PM2.5
2022-12-02,Suakati,1.0,Poor,220,PM2.5
2022-12-03,Suakati,1.0,Poor,251,PM2.5
2022-12-04,Suakati,1.0,Poor,256,PM2.5
2022-12-05,Suakati,1.0,Poor,294,PM2.5
2022-12-06,Suakati,1.0,Poor,267,PM2.5
2022-12-07,Suakati,1.0,Poor,249,PM2.5
2022-12-08,Suakati,1.0,Poor,217,PM2.5
2022-12-09,Suakati,1.0,Poor,263,PM2.5
2022-12-10,Suakati,1.0,Poor,263,PM2.5
2022-12-11,Suakati,1.0,Poor,250,PM2.5
2022-12-12,Suakati,1.0,Moderate,168,PM2.5
2022-12-13,Suakati,1.0,Moderate,145,PM2.5
2022-12-14,Suakati,1.0,Moderate,137,PM2.5
2022-12-15,Suakati,1.0,Moderate,111,PM10
2022-12-16,Suakati,1.0,Satisfactory,96,PM10
2022-12-17,Suakati,1.0,Moderate,130,PM10
2022-12-18,Suakati,1.0,Moderate,140,PM2.5
2022-12-19,Suakati,1.0,Poor,206,PM2.5
2022-12-20,Suakati,1.0,Moderate,166,PM2.5
2022-12-21,Suakati,1.0,Moderate,183,PM2.5
2022-12-22,Suakati,1.0,Moderate,185,PM2.5
2022-12-24,Suakati,1.0,Moderate,138,PM10
2022-12-25,Suakati,1.0,Moderate,103,PM10
2022-12-26,Suakati,1.0,Satisfactory,89,PM10
2022-12-27,Suakati,1.0,Satisfactory,75,PM10
2022-12-28,Suakati,1.0,Moderate,137,PM2.5
2022-12-29,Suakati,1.0,Moderate,177,PM2.5
2022-12-30,Suakati,1.0,Satisfactory,94,PM10
2022-12-31,Suakati,1.0,Moderate,119,O3
2023-01-01,Suakati,1.0,Moderate,197,PM2.5
2023-01-02,Suakati,1.0,Poor,255,PM2.5
2023-01-03,Suakati,1.0,Poor,286,PM2.5
2023-01-04,Suakati,1.0,Poor,288,PM2.5
2023-01-06,Suakati,1.0,Poor,225,PM2.5
2023-01-07,Suakati,1.0,Moderate,115,PM10
2023-01-08,Suakati,1.0,Moderate,125,PM10
2023-01-09,Suakati,1.0,Moderate,118,PM10
2023-01-10,Suakati,1.0,Moderate,114,PM2.5
2023-01-12,Suakati,1.0,Moderate,178,O3
2023-01-13,Suakati,1.0,Poor,267,O3
2023-01-14,Suakati,1.0,Moderate,160,O3
2023-01-15,Suakati,1.0,Moderate,124,PM10
2023-01-16,Suakati,1.0,Moderate,129,PM10
2023-01-17,Suakati,1.0,Poor,228,PM2.5
2023-01-18,Suakati,1.0,Poor,267,PM2.5
2023-01-19,Suakati,1.0,Poor,286,PM2.5
2023-01-20,Suakati,1.0,Poor,295,PM2.5
2023-01-22,Suakati,1.0,Very Poor,309,PM2.5
2023-01-23,Suakati,1.0,Poor,233,PM2.5
2023-01-24,Suakati,1.0,Poor,236,PM2.5
2023-01-25,Suakati,1.0,Moderate,161,PM10
2023-01-26,Suakati,1.0,Moderate,193,PM2.5
2023-01-27,Suakati,1.0,Poor,252,PM2.5
2023-01-28,Suakati,1.0,Poor,294,PM2.5
2023-01-29,Suakati,1.0,Poor,268,PM2.5
2023-01-30,Suakati,1.0,Poor,227,PM2.5
2023-01-31,Suakati,1.0,Moderate,174,PM2.5
2023-02-01,Suakati,1.0,Moderate,128,PM2.5
2023-02-02,Suakati,1.0,Moderate,127,PM10
2023-02-03,Suakati,1.0,Moderate,101,PM10
2023-02-04,Suakati,1.0,Moderate,114,PM10
2023-02-05,Suakati,1.0,Satisfactory,97,PM10
2023-02-06,Suakati,1.0,Satisfactory,97,PM10
2023-02-07,Suakati,1.0,Moderate,130,PM2.5
2023-02-08,Suakati,1.0,Moderate,193,PM2.5
2023-02-09,Suakati,1.0,Moderate,136,PM10
2023-02-10,Suakati,1.0,Moderate,121,PM10
2023-02-11,Suakati,1.0,Moderate,122,O3
2023-02-12,Suakati,1.0,Moderate,123,PM10
2023-02-13,Suakati,1.0,Satisfactory,99,PM10
2023-02-14,Suakati,1.0,Moderate,124,PM10
2023-02-15,Suakati,1.0,Moderate,110,PM10
2023-02-16,Suakati,1.0,Moderate,115,PM2.5
2023-02-17,Suakati,1.0,Moderate,188,PM2.5
2023-02-18,Suakati,1.0,Moderate,118,PM2.5
2023-02-19,Suakati,1.0,Moderate,153,PM2.5
2023-02-20,Suakati,1.0,Moderate,138,PM2.5
2023-02-21,Suakati,1.0,Moderate,147,PM2.5
2023-02-22,Suakati,1.0,Moderate,149,PM2.5
2023-02-23,Suakati,1.0,Moderate,152,PM2.5
2023-02-24,Suakati,1.0,Moderate,158,PM2.5
2023-02-25,Suakati,1.0,Moderate,110,PM10
2023-02-26,Suakati,1.0,Moderate,151,PM2.5
2023-02-28,Suakati,1.0,Moderate,150,PM2.5
2023-03-01,Suakati,1.0,Moderate,196,PM2.5
2023-03-02,Suakati,1.0,Moderate,184,PM2.5
2023-03-03,Suakati,1.0,Moderate,187,PM2.5
