date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2022-11-04,Surat,1.0,Poor,251,PM2.5
2022-11-05,Surat,1.0,Poor,247,PM2.5
2022-11-06,Surat,1.0,Poor,247,PM2.5
2022-11-09,Surat,1.0,Poor,299,PM2.5
2022-11-10,Surat,1.0,Poor,224,PM2.5
2022-11-11,Surat,1.0,Poor,213,PM2.5
2022-11-12,Surat,1.0,Moderate,142,PM10
2022-11-13,Surat,1.0,Moderate,154,PM10
2022-11-14,Surat,1.0,Moderate,154,PM10
2022-11-15,Surat,1.0,Moderate,154,PM10
2022-11-16,Surat,1.0,Moderate,154,PM10
2022-11-17,Surat,1.0,Moderate,154,PM10
2022-11-18,Surat,1.0,Moderate,154,PM10
2022-11-19,Surat,1.0,Moderate,154,PM10
2022-11-20,Surat,1.0,Moderate,188,PM2.5
2022-11-21,Surat,1.0,Poor,209,PM2.5
2022-11-23,Surat,1.0,Poor,274,PM2.5
2022-11-24,Surat,1.0,Moderate,196,PM2.5
2022-11-25,Surat,1.0,Poor,210,PM2.5
2022-11-26,Surat,1.0,Poor,211,PM2.5
2022-11-27,Surat,1.0,Moderate,165,PM2.5
2022-11-28,Surat,1.0,Poor,259,PM2.5
2022-11-29,Surat,1.0,Poor,231,PM2.5
2022-11-30,Surat,1.0,Moderate,179,PM2.5
2022-12-01,Surat,1.0,Poor,254,PM2.5
2022-12-02,Surat,1.0,Poor,243,PM2.5
2022-12-03,Surat,1.0,Poor,293,PM2.5
2022-12-04,Surat,1.0,Poor,281,PM2.5
2022-12-05,Surat,1.0,Poor,273,PM2.5
2022-12-06,Surat,1.0,Very Poor,325,PM2.5
2022-12-07,Surat,1.0,Very Poor,342,PM2.5
2022-12-08,Surat,1.0,Poor,280,PM2.5
2022-12-09,Surat,1.0,Moderate,158,PM2.5
2022-12-10,Surat,1.0,Moderate,188,PM2.5
2022-12-11,Surat,1.0,Poor,222,PM2.5
2022-12-12,Surat,1.0,Poor,278,PM2.5
2022-12-13,Surat,1.0,Poor,264,PM2.5
2022-12-14,Surat,1.0,Moderate,184,PM2.5
2022-12-15,Surat,1.0,Moderate,159,PM2.5
2022-12-16,Surat,1.0,Poor,258,PM2.5
2022-12-17,Surat,1.0,Poor,287,PM2.5
2022-12-18,Surat,1.0,Moderate,156,PM2.5
2022-12-19,Surat,1.0,Moderate,147,PM2.5
2022-12-21,Surat,1.0,Poor,201,PM2.5
