date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2022-11-27,Tensa,1.0,Moderate,116,NO2
2022-11-28,Tensa,1.0,Moderate,140,PM2.5
2022-11-29,Tensa,1.0,Poor,220,PM2.5
2022-11-30,Tensa,1.0,Moderate,190,PM2.5
2022-12-02,Tensa,1.0,Moderate,185,PM2.5
2022-12-03,Tensa,1.0,Moderate,194,PM2.5
2022-12-04,Tensa,1.0,Poor,259,PM2.5
2022-12-05,Tensa,1.0,Poor,240,PM2.5
2022-12-09,Tensa,1.0,Moderate,175,PM2.5
2022-12-13,Tensa,1.0,Satisfactory,79,PM10
2022-12-14,Tensa,1.0,Satisfactory,79,PM10
2022-12-15,Tensa,1.0,Satisfactory,79,PM10
2022-12-16,Tensa,1.0,Satisfactory,65,PM10
2022-12-17,Tensa,1.0,Satisfactory,82,PM10
2022-12-18,Tensa,1.0,Moderate,105,PM10
2022-12-19,Tensa,1.0,Moderate,156,PM2.5
2022-12-20,Tensa,1.0,Satisfactory,82,PM10
2022-12-21,Tensa,1.0,Satisfactory,87,PM10
2022-12-22,Tensa,1.0,Moderate,144,PM2.5
2022-12-23,Tensa,1.0,Moderate,110,PM10
2022-12-24,Tensa,1.0,Satisfactory,83,PM10
2022-12-25,Tensa,1.0,Satisfactory,55,PM10
2022-12-30,Tensa,1.0,Satisfactory,85,PM10
2022-12-31,Tensa,1.0,Satisfactory,85,PM2.5
2023-01-01,Tensa,1.0,Moderate,152,PM2.5
2023-01-02,Tensa,1.0,Poor,240,PM2.5
2023-01-03,Tensa,1.0,Poor,295,PM2.5
2023-01-04,Tensa,1.0,Poor,279,PM2.5
2023-01-05,Tensa,1.0,Very Poor,325,PM2.5
2023-01-06,Tensa,1.0,Poor,250,PM2.5
2023-01-10,Tensa,1.0,Satisfactory,72,PM10
2023-01-12,Tensa,1.0,Satisfactory,90,PM2.5
2023-01-17,Tensa,1.0,Moderate,192,PM2.5
2023-01-18,Tensa,1.0,Poor,251,PM2.5
2023-01-19,Tensa,1.0,Poor,281,PM2.5
2023-01-20,Tensa,1.0,Poor,287,PM2.5
2023-01-23,Tensa,1.0,Moderate,155,PM2.5
2023-01-24,Tensa,1.0,Satisfactory,100,PM2.5
2023-01-25,Tensa,1.0,Satisfactory,80,PM2.5
2023-01-26,Tensa,1.0,Moderate,113,PM2.5
2023-01-27,Tensa,1.0,Moderate,169,PM2.5
2023-01-28,Tensa,1.0,Poor,224,PM2.5
2023-01-29,Tensa,1.0,Moderate,180,PM2.5
2023-01-30,Tensa,1.0,Moderate,143,PM2.5
2023-01-31,Tensa,1.0,Moderate,115,PM10
2023-02-01,Tensa,1.0,Moderate,105,PM10
2023-02-02,Tensa,1.0,Satisfactory,72,PM10
2023-02-03,Tensa,1.0,Satisfactory,79,PM10
2023-02-04,Tensa,1.0,Satisfactory,74,PM10
2023-02-05,Tensa,1.0,Satisfactory,86,PM10
2023-02-06,Tensa,1.0,Satisfactory,68,PM10
2023-02-07,Tensa,1.0,Satisfactory,85,PM10
2023-02-08,Tensa,1.0,Satisfactory,87,PM10
2023-02-09,Tensa,1.0,Moderate,101,PM10
2023-02-11,Tensa,1.0,Satisfactory,98,PM10
2023-02-12,Tensa,1.0,Satisfactory,91,PM10
2023-02-13,Tensa,1.0,Moderate,102,PM10
2023-02-14,Tensa,1.0,Moderate,109,PM10
2023-02-15,Tensa,1.0,Moderate,101,PM10
2023-02-16,Tensa,1.0,Moderate,114,PM10
2023-02-19,Tensa,1.0,Moderate,104,PM10
2023-02-20,Tensa,1.0,Moderate,147,PM2.5
2023-02-21,Tensa,1.0,Moderate,106,PM10
2023-02-22,Tensa,1.0,Moderate,111,PM2.5
2023-02-23,Tensa,1.0,Satisfactory,100,PM10
2023-02-24,Tensa,1.0,Moderate,121,PM10
2023-02-25,Tensa,1.0,Moderate,114,PM10
2023-02-26,Tensa,1.0,Moderate,103,PM10
2023-02-27,Tensa,1.0,Moderate,112,PM10
2023-02-28,Tensa,1.0,Moderate,106,PM10
2023-03-01,Tensa,1.0,Moderate,113,PM10
2023-03-02,Tensa,1.0,Moderate,146,PM2.5
2023-03-05,Tensa,1.0,Satisfactory,91,PM10
2023-03-11,Tensa,1.0,Moderate,196,PM2.5
2023-03-12,Tensa,1.0,Poor,223,PM2.5
2023-03-13,Tensa,1.0,Poor,261,PM2.5
2023-03-14,Tensa,1.0,Very Poor,337,PM2.5
2023-03-16,Tensa,1.0,Poor,245,PM2.5
2023-03-17,Tensa,1.0,Poor,248,PM2.5
2023-03-18,Tensa,1.0,Poor,212,PM2.5
2023-03-19,Tensa,1.0,Satisfactory,79,PM10
2023-03-20,Tensa,1.0,Good,39,PM10
2023-03-21,Tensa,1.0,Good,39,PM10
2023-03-22,Tensa,1.0,Satisfactory,57,PM10
2023-03-23,Tensa,1.0,Satisfactory,60,PM10
2023-03-24,Tensa,1.0,Satisfactory,87,PM10
2023-03-25,Tensa,1.0,Satisfactory,87,PM2.5
2023-03-26,Tensa,1.0,Satisfactory,85,PM10
2023-03-27,Tensa,1.0,Satisfactory,100,PM2.5
2023-03-28,Tensa,1.0,Satisfactory,85,PM10
2023-03-29,Tensa,1.0,Satisfactory,79,PM10
2023-03-30,Tensa,1.0,Satisfactory,67,PM10
2023-04-04,Tensa,1.0,Satisfactory,69,PM10
2023-04-05,Tensa,1.0,Satisfactory,74,PM10
2023-04-06,Tensa,1.0,Moderate,107,PM10
2023-04-07,Tensa,1.0,Satisfactory,93,PM10
2023-04-08,Tensa,1.0,Moderate,105,PM10
2023-04-09,Tensa,1.0,Satisfactory,99,PM10
2023-04-10,Tensa,1.0,Moderate,110,PM10
2023-04-11,Tensa,1.0,Moderate,108,PM10
2023-04-12,Tensa,1.0,Moderate,105,PM10
2023-04-18,Tensa,1.0,Moderate,104,PM10
2023-04-19,Tensa,1.0,Moderate,124,PM10
