date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2017-07-13,Thiruvananthapuram,1.0,Good,50,PM10
2017-07-14,Thiruvananthapuram,1.0,Good,42,PM10
2017-07-15,Thiruvananthapuram,1.0,Satisfactory,62,PM10
2017-07-16,Thiruvananthapuram,1.0,Good,48,PM10
2017-07-17,Thiruvananthapuram,1.0,Good,50,PM10
2017-07-18,Thiruvananthapuram,1.0,Satisfactory,55,PM10
2017-07-19,Thiruvananthapuram,1.0,Good,43,PM10
2017-07-20,Thiruvananthapuram,1.0,Good,41,PM10
2017-07-25,Thiruvananthapuram,1.0,Satisfactory,54,PM10
2017-07-27,Thiruvananthapuram,1.0,Satisfactory,52,PM10
2017-07-28,Thiruvananthapuram,1.0,Good,38,PM10
2017-07-29,Thiruvananthapuram,1.0,Good,33,PM10
2017-07-30,Thiruvananthapuram,1.0,Good,50,PM10
2017-07-31,Thiruvananthapuram,1.0,Satisfactory,60,PM10
2017-08-01,Thiruvananthapuram,1.0,Good,37,CO
2017-08-02,Thiruvananthapuram,1.0,Good,50,PM10
2017-08-03,Thiruvananthapuram,1.0,Good,49,CO
2017-08-04,Thiruvananthapuram,1.0,Good,48,CO
2017-08-05,Thiruvananthapuram,1.0,Good,46,CO
2017-08-06,Thiruvananthapuram,1.0,Good,44,CO
2017-08-07,Thiruvananthapuram,1.0,Good,44,CO
2017-08-08,Thiruvananthapuram,1.0,Satisfactory,53,CO
2017-08-09,Thiruvananthapuram,1.0,Satisfactory,51,CO
2017-08-10,Thiruvananthapuram,1.0,Satisfactory,54,CO
2017-08-11,Thiruvananthapuram,1.0,Satisfactory,53,CO
2017-08-12,Thiruvananthapuram,1.0,Good,49,CO
2017-08-13,Thiruvananthapuram,1.0,Satisfactory,59,PM10
2017-08-14,Thiruvananthapuram,1.0,Satisfactory,76,PM10
2017-08-15,Thiruvananthapuram,1.0,Satisfactory,63,PM10
2017-08-16,Thiruvananthapuram,1.0,Satisfactory,51,CO
