date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2020-11-09,Thoothukudi,1.0,Satisfactory,84,O3
2020-11-10,Thoothukudi,1.0,Satisfactory,90,O3
2020-11-11,Thoothukudi,1.0,Satisfactory,82,O3
2020-11-12,Thoothukudi,1.0,Satisfactory,57,O3
2020-11-13,Thoothukudi,1.0,Good,31,O3
2020-11-14,Thoothukudi,1.0,Good,48,O3
2020-11-15,Thoothukudi,1.0,Satisfactory,53,O3
2020-11-16,Thoothukudi,1.0,Good,31,O3
2020-11-17,Thoothukudi,1.0,Good,34,O3
2020-11-18,Thoothukudi,1.0,Good,35,O3
2020-11-19,Thoothukudi,1.0,Good,33,O3
2020-11-20,Thoothukudi,1.0,Good,36,O3
2020-11-21,Thoothukudi,1.0,Good,46,O3
2020-11-22,Thoothukudi,1.0,Satisfactory,54,O3
2020-11-23,Thoothukudi,1.0,Satisfactory,53,O3
2020-11-24,Thoothukudi,1.0,Satisfactory,60,PM10
2020-11-25,Thoothukudi,1.0,Moderate,112,PM10
2020-11-26,Thoothukudi,1.0,Satisfactory,87,PM10
2020-11-27,Thoothukudi,1.0,Satisfactory,70,PM10
2020-11-28,Thoothukudi,1.0,Satisfactory,62,PM10
2020-11-29,Thoothukudi,1.0,Good,39,O3
2020-11-30,Thoothukudi,1.0,Good,46,O3
2020-12-01,Thoothukudi,1.0,Satisfactory,62,O3
2020-12-02,Thoothukudi,1.0,Good,50,O3
2020-12-09,Thoothukudi,1.0,Satisfactory,53,O3
2020-12-10,Thoothukudi,1.0,Satisfactory,54,O3
2020-12-11,Thoothukudi,1.0,Satisfactory,58,O3
2020-12-12,Thoothukudi,1.0,Satisfactory,67,PM10
2020-12-13,Thoothukudi,1.0,Satisfactory,70,PM10
2020-12-14,Thoothukudi,1.0,Satisfactory,65,O3
2020-12-15,Thoothukudi,1.0,Satisfactory,74,O3
2020-12-16,Thoothukudi,1.0,Satisfactory,64,O3
2020-12-17,Thoothukudi,1.0,Satisfactory,52,O3
2020-12-18,Thoothukudi,1.0,Satisfactory,58,O3
2020-12-19,Thoothukudi,1.0,Satisfactory,64,O3
2020-12-20,Thoothukudi,1.0,Satisfactory,83,O3
2020-12-21,Thoothukudi,1.0,Satisfactory,90,O3
2020-12-22,Thoothukudi,1.0,Satisfactory,86,O3
2020-12-23,Thoothukudi,1.0,Satisfactory,79,O3
2020-12-24,Thoothukudi,1.0,Satisfactory,82,O3
2020-12-25,Thoothukudi,1.0,Satisfactory,71,O3
2020-12-26,Thoothukudi,1.0,Satisfactory,71,O3
2020-12-27,Thoothukudi,1.0,Satisfactory,79,O3
2020-12-28,Thoothukudi,1.0,Satisfactory,76,PM10
2020-12-29,Thoothukudi,1.0,Satisfactory,72,PM10
2020-12-30,Thoothukudi,1.0,Satisfactory,80,O3
2020-12-31,Thoothukudi,1.0,Good,46,O3
2021-01-01,Thoothukudi,1.0,Satisfactory,81,O3
2021-01-02,Thoothukudi,1.0,Satisfactory,75,O3
2021-01-03,Thoothukudi,1.0,Satisfactory,65,O3
2021-01-04,Thoothukudi,1.0,Satisfactory,61,O3
2021-01-05,Thoothukudi,1.0,Satisfactory,52,O3
2021-01-06,Thoothukudi,1.0,Good,42,O3
2021-01-07,Thoothukudi,1.0,Good,36,O3
2021-01-08,Thoothukudi,1.0,Good,30,O3
2021-01-09,Thoothukudi,1.0,Good,30,O3
2021-01-10,Thoothukudi,1.0,Good,44,O3
2021-01-11,Thoothukudi,1.0,Satisfactory,53,O3
2021-01-12,Thoothukudi,1.0,Satisfactory,57,O3
2021-01-13,Thoothukudi,1.0,Good,46,O3
2021-01-14,Thoothukudi,1.0,Good,41,O3
2021-01-15,Thoothukudi,1.0,Good,46,O3
2021-01-16,Thoothukudi,1.0,Good,45,O3
2021-01-17,Thoothukudi,1.0,Good,42,O3
2021-01-18,Thoothukudi,1.0,Satisfactory,54,O3
2021-01-19,Thoothukudi,1.0,Satisfactory,52,O3
2021-01-20,Thoothukudi,1.0,Satisfactory,61,PM10
2021-01-21,Thoothukudi,1.0,Satisfactory,55,PM10
2021-01-22,Thoothukudi,1.0,Good,37,O3
2021-01-23,Thoothukudi,1.0,Good,44,O3
2021-01-24,Thoothukudi,1.0,Satisfactory,56,O3
2021-01-25,Thoothukudi,1.0,Satisfactory,58,O3
2021-01-26,Thoothukudi,1.0,Satisfactory,74,O3
2021-01-28,Thoothukudi,1.0,Satisfactory,80,PM10
2021-01-29,Thoothukudi,1.0,Satisfactory,85,PM10
2021-01-30,Thoothukudi,1.0,Satisfactory,88,PM10
2021-01-31,Thoothukudi,1.0,Satisfactory,58,PM10
2021-02-01,Thoothukudi,1.0,Good,38,PM10
2021-02-02,Thoothukudi,1.0,Good,49,PM10
2021-02-03,Thoothukudi,1.0,Satisfactory,67,PM10
2021-02-04,Thoothukudi,1.0,Satisfactory,55,PM10
2021-02-05,Thoothukudi,1.0,Satisfactory,62,PM10
2021-02-06,Thoothukudi,1.0,Satisfactory,69,PM10
2021-02-07,Thoothukudi,1.0,Satisfactory,65,PM10
2021-02-08,Thoothukudi,1.0,Satisfactory,56,O3
2021-02-09,Thoothukudi,1.0,Satisfactory,60,O3
2021-02-10,Thoothukudi,1.0,Satisfactory,60,PM10
2021-02-11,Thoothukudi,1.0,Satisfactory,54,PM10
2021-02-12,Thoothukudi,1.0,Good,45,O3
2021-02-13,Thoothukudi,1.0,Satisfactory,63,PM10
2021-02-14,Thoothukudi,1.0,Satisfactory,55,PM10
2021-02-15,Thoothukudi,1.0,Satisfactory,59,PM10
2021-02-16,Thoothukudi,1.0,Satisfactory,53,PM10
2021-02-17,Thoothukudi,1.0,Satisfactory,68,PM10
2021-02-18,Thoothukudi,1.0,Satisfactory,61,PM10
2021-02-19,Thoothukudi,1.0,Satisfactory,72,PM10
2021-02-20,Thoothukudi,1.0,Good,45,PM10
2021-02-21,Thoothukudi,1.0,Good,33,PM10
2021-02-23,Thoothukudi,1.0,Satisfactory,56,PM10
2021-02-24,Thoothukudi,1.0,Good,50,PM10
2021-02-25,Thoothukudi,1.0,Satisfactory,52,PM10
2021-02-26,Thoothukudi,1.0,Satisfactory,72,PM10
2021-02-27,Thoothukudi,1.0,Satisfactory,81,PM10
2021-02-28,Thoothukudi,1.0,Satisfactory,67,PM10
2021-03-01,Thoothukudi,1.0,Satisfactory,61,PM10
2021-03-02,Thoothukudi,1.0,Satisfactory,80,PM10
2021-03-03,Thoothukudi,1.0,Satisfactory,79,PM10
2021-03-04,Thoothukudi,1.0,Satisfactory,73,PM10
2021-03-05,Thoothukudi,1.0,Satisfactory,62,PM10
2021-03-06,Thoothukudi,1.0,Satisfactory,67,PM10
2021-03-07,Thoothukudi,1.0,Satisfactory,78,PM10
2021-03-08,Thoothukudi,1.0,Good,45,PM10
2021-03-09,Thoothukudi,1.0,Good,39,PM10
2021-03-10,Thoothukudi,1.0,Good,45,PM10
2021-03-11,Thoothukudi,1.0,Satisfactory,51,PM10
2021-03-12,Thoothukudi,1.0,Good,47,PM10
2021-03-13,Thoothukudi,1.0,Good,49,PM10
2021-03-14,Thoothukudi,1.0,Good,44,PM10
2021-03-15,Thoothukudi,1.0,Good,39,PM10
2021-03-16,Thoothukudi,1.0,Good,39,PM10
2021-03-17,Thoothukudi,1.0,Good,48,PM10
2021-03-18,Thoothukudi,1.0,Satisfactory,62,PM10
2021-03-19,Thoothukudi,1.0,Satisfactory,73,PM10
2021-03-20,Thoothukudi,1.0,Satisfactory,88,PM10
2021-03-21,Thoothukudi,1.0,Satisfactory,100,PM10
2021-03-22,Thoothukudi,1.0,Satisfactory,75,PM10
2021-03-23,Thoothukudi,1.0,Satisfactory,68,PM10
2021-03-24,Thoothukudi,1.0,Satisfactory,84,PM10
2021-03-25,Thoothukudi,1.0,Satisfactory,75,PM10
2021-03-26,Thoothukudi,1.0,Satisfactory,66,PM10
2021-03-27,Thoothukudi,1.0,Satisfactory,51,PM10
2021-03-28,Thoothukudi,1.0,Satisfactory,66,PM10
2021-03-29,Thoothukudi,1.0,Good,36,PM10
2021-03-30,Thoothukudi,1.0,Satisfactory,63,PM10
2021-03-31,Thoothukudi,1.0,Good,43,PM10
2021-04-01,Thoothukudi,1.0,Satisfactory,87,PM10
2021-04-02,Thoothukudi,1.0,Satisfactory,96,PM10
2021-04-03,Thoothukudi,1.0,Satisfactory,85,PM10
2021-04-04,Thoothukudi,1.0,Satisfactory,89,PM10
2021-04-05,Thoothukudi,1.0,Satisfactory,82,PM10
2021-04-06,Thoothukudi,1.0,Satisfactory,86,PM10
2021-04-07,Thoothukudi,1.0,Satisfactory,83,PM10
2021-04-08,Thoothukudi,1.0,Moderate,104,PM10
2021-04-09,Thoothukudi,1.0,Satisfactory,91,PM10
2021-04-10,Thoothukudi,1.0,Moderate,102,PM10
2021-04-11,Thoothukudi,1.0,Moderate,103,PM10
2021-04-12,Thoothukudi,1.0,Satisfactory,59,PM10
2021-04-13,Thoothukudi,1.0,Good,35,O3
2021-04-14,Thoothukudi,1.0,Satisfactory,64,PM10
2021-04-15,Thoothukudi,1.0,Satisfactory,61,PM10
2021-04-16,Thoothukudi,1.0,Satisfactory,54,PM10
2021-04-17,Thoothukudi,1.0,Satisfactory,58,PM10
2021-04-18,Thoothukudi,1.0,Good,50,PM10
2021-04-19,Thoothukudi,1.0,Good,42,PM10
2021-04-20,Thoothukudi,1.0,Satisfactory,54,PM10
2021-04-21,Thoothukudi,1.0,Satisfactory,71,PM10
2021-04-22,Thoothukudi,1.0,Moderate,110,PM10
2021-04-23,Thoothukudi,1.0,Satisfactory,84,PM10
2021-05-20,Thoothukudi,1.0,Good,35,O3
2021-05-21,Thoothukudi,1.0,Satisfactory,77,PM10
2021-05-22,Thoothukudi,1.0,Good,42,PM10
2021-05-23,Thoothukudi,1.0,Good,37,O3
2021-05-24,Thoothukudi,1.0,Satisfactory,56,PM10
2021-05-25,Thoothukudi,1.0,Satisfactory,68,O3
