date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2020-10-13,Thrissur,1.0,Satisfactory,51,PM10
2020-10-14,Thrissur,1.0,Good,49,PM10
2020-10-15,Thrissur,1.0,Good,48,PM10
2020-10-16,Thrissur,1.0,Good,49,CO
2020-10-17,Thrissur,1.0,Satisfactory,64,PM10
2020-10-18,Thrissur,1.0,Satisfactory,78,PM10
2020-10-19,Thrissur,1.0,Satisfactory,64,PM10
2020-10-20,Thrissur,1.0,Satisfactory,65,PM10
2020-10-21,Thrissur,1.0,Good,48,PM10
2020-10-22,Thrissur,1.0,Satisfactory,56,PM10
2020-10-23,Thrissur,1.0,Satisfactory,52,PM10
2020-10-24,Thrissur,1.0,Satisfactory,66,PM10
2020-10-25,Thrissur,1.0,Satisfactory,61,PM10
2020-10-28,Thrissur,1.0,Satisfactory,56,PM10
2020-10-29,Thrissur,1.0,Satisfactory,68,PM10
2020-10-30,Thrissur,1.0,Satisfactory,91,PM10
2020-10-31,Thrissur,1.0,Moderate,109,PM2.5
2020-11-01,Thrissur,1.0,Satisfactory,94,PM2.5
2020-11-02,Thrissur,1.0,Satisfactory,94,PM2.5
2020-11-03,Thrissur,1.0,Satisfactory,88,PM10
2020-11-04,Thrissur,1.0,Moderate,165,PM2.5
2020-11-05,Thrissur,1.0,Satisfactory,84,PM2.5
2020-11-06,Thrissur,1.0,Satisfactory,51,PM10
2020-11-07,Thrissur,1.0,Good,46,O3
2020-11-08,Thrissur,1.0,Satisfactory,52,PM10
2020-11-09,Thrissur,1.0,Satisfactory,97,O3
2020-11-10,Thrissur,1.0,Moderate,115,O3
2020-11-11,Thrissur,1.0,Moderate,122,O3
2020-11-12,Thrissur,1.0,Moderate,109,PM10
2020-11-13,Thrissur,1.0,Satisfactory,90,PM10
2020-11-14,Thrissur,1.0,Satisfactory,56,O3
2020-11-15,Thrissur,1.0,Satisfactory,62,O3
2020-11-16,Thrissur,1.0,Good,45,O3
2020-11-17,Thrissur,1.0,Good,46,O3
2020-11-18,Thrissur,1.0,Good,39,O3
2020-11-19,Thrissur,1.0,Good,45,O3
2020-11-20,Thrissur,1.0,Satisfactory,54,PM10
2020-11-21,Thrissur,1.0,Satisfactory,65,PM10
2020-11-22,Thrissur,1.0,Satisfactory,90,O3
2020-11-23,Thrissur,1.0,Satisfactory,99,O3
2020-11-24,Thrissur,1.0,Satisfactory,96,PM10
2020-11-25,Thrissur,1.0,Satisfactory,97,PM10
2020-11-26,Thrissur,1.0,Satisfactory,98,PM10
2020-11-27,Thrissur,1.0,Satisfactory,83,PM10
2020-11-28,Thrissur,1.0,Satisfactory,68,PM10
2020-11-29,Thrissur,1.0,Satisfactory,52,O3
2020-11-30,Thrissur,1.0,Satisfactory,63,O3
2020-12-01,Thrissur,1.0,Satisfactory,81,O3
2020-12-02,Thrissur,1.0,Satisfactory,80,O3
2020-12-03,Thrissur,1.0,Satisfactory,86,PM10
2020-12-04,Thrissur,1.0,Satisfactory,53,PM10
2020-12-05,Thrissur,1.0,Good,49,O3
2020-12-06,Thrissur,1.0,Satisfactory,54,O3
2020-12-07,Thrissur,1.0,Good,45,CO
2020-12-08,Thrissur,1.0,Good,47,O3
2020-12-09,Thrissur,1.0,Good,49,O3
2020-12-10,Thrissur,1.0,Satisfactory,62,O3
2020-12-11,Thrissur,1.0,Satisfactory,59,PM2.5
2020-12-12,Thrissur,1.0,Satisfactory,89,PM10
2020-12-13,Thrissur,1.0,Moderate,110,PM2.5
2020-12-14,Thrissur,1.0,Moderate,125,PM2.5
2020-12-15,Thrissur,1.0,Moderate,116,PM2.5
2020-12-16,Thrissur,1.0,Satisfactory,84,O3
2020-12-17,Thrissur,1.0,Satisfactory,65,O3
2020-12-18,Thrissur,1.0,Satisfactory,70,O3
2020-12-19,Thrissur,1.0,Satisfactory,80,O3
2020-12-20,Thrissur,1.0,Moderate,106,O3
2020-12-21,Thrissur,1.0,Moderate,111,O3
2020-12-22,Thrissur,1.0,Moderate,104,O3
2020-12-23,Thrissur,1.0,Satisfactory,85,O3
2020-12-24,Thrissur,1.0,Satisfactory,93,O3
2020-12-25,Thrissur,1.0,Moderate,112,O3
2020-12-26,Thrissur,1.0,Satisfactory,96,O3
2020-12-27,Thrissur,1.0,Moderate,112,O3
2020-12-28,Thrissur,1.0,Moderate,103,PM2.5
2020-12-29,Thrissur,1.0,Moderate,148,PM2.5
2020-12-30,Thrissur,1.0,Satisfactory,88,O3
2020-12-31,Thrissur,1.0,Satisfactory,67,O3
2021-01-01,Thrissur,1.0,Satisfactory,84,O3
2021-01-02,Thrissur,1.0,Satisfactory,91,O3
2021-01-03,Thrissur,1.0,Satisfactory,80,O3
2021-01-04,Thrissur,1.0,Satisfactory,70,O3
2021-01-05,Thrissur,1.0,Good,42,PM10
2021-01-06,Thrissur,1.0,Satisfactory,67,O3
2021-01-07,Thrissur,1.0,Good,47,O3
2021-01-08,Thrissur,1.0,Good,44,O3
2021-01-09,Thrissur,1.0,Good,40,O3
2021-01-10,Thrissur,1.0,Satisfactory,57,PM2.5
2021-01-11,Thrissur,1.0,Satisfactory,81,PM2.5
2021-01-14,Thrissur,1.0,Good,50,O3
2021-01-15,Thrissur,1.0,Good,50,O3
2021-01-16,Thrissur,1.0,Satisfactory,58,O3
2021-01-17,Thrissur,1.0,Satisfactory,63,PM2.5
2021-01-18,Thrissur,1.0,Satisfactory,77,O3
2021-01-19,Thrissur,1.0,Satisfactory,54,PM2.5
2021-01-24,Thrissur,1.0,Satisfactory,74,PM2.5
2021-01-26,Thrissur,1.0,Satisfactory,83,PM2.5
2021-01-27,Thrissur,1.0,Moderate,111,PM2.5
2021-01-28,Thrissur,1.0,Moderate,130,PM2.5
2021-01-29,Thrissur,1.0,Moderate,110,PM2.5
2021-01-30,Thrissur,1.0,Moderate,157,PM2.5
2021-01-31,Thrissur,1.0,Moderate,125,PM2.5
2021-02-01,Thrissur,1.0,Moderate,103,PM2.5
2021-02-02,Thrissur,1.0,Satisfactory,80,O3
2021-02-03,Thrissur,1.0,Moderate,102,O3
2021-02-04,Thrissur,1.0,Moderate,111,O3
2021-02-05,Thrissur,1.0,Moderate,157,O3
2021-02-06,Thrissur,1.0,Moderate,129,O3
2021-02-07,Thrissur,1.0,Moderate,177,O3
2021-02-08,Thrissur,1.0,Moderate,171,O3
2021-02-09,Thrissur,1.0,Moderate,125,O3
2021-02-10,Thrissur,1.0,Moderate,139,O3
2021-02-11,Thrissur,1.0,Moderate,162,O3
2021-02-12,Thrissur,1.0,Moderate,112,O3
2021-02-13,Thrissur,1.0,Moderate,157,O3
2021-02-14,Thrissur,1.0,Moderate,121,PM2.5
2021-02-15,Thrissur,1.0,Moderate,151,O3
2021-02-16,Thrissur,1.0,Moderate,101,PM2.5
2021-02-17,Thrissur,1.0,Moderate,105,PM2.5
2021-02-18,Thrissur,1.0,Satisfactory,75,PM2.5
2021-02-19,Thrissur,1.0,Satisfactory,98,PM2.5
2021-02-20,Thrissur,1.0,Satisfactory,78,PM10
2021-02-21,Thrissur,1.0,Satisfactory,65,O3
2021-02-22,Thrissur,1.0,Satisfactory,76,O3
2021-02-23,Thrissur,1.0,Satisfactory,79,O3
2021-02-24,Thrissur,1.0,Moderate,106,O3
2021-02-25,Thrissur,1.0,Satisfactory,98,O3
2021-02-26,Thrissur,1.0,Satisfactory,84,O3
2021-02-27,Thrissur,1.0,Moderate,103,PM2.5
2021-02-28,Thrissur,1.0,Satisfactory,94,PM2.5
2021-03-01,Thrissur,1.0,Satisfactory,92,PM2.5
2021-03-02,Thrissur,1.0,Satisfactory,97,O3
2021-03-03,Thrissur,1.0,Moderate,150,O3
2021-03-04,Thrissur,1.0,Satisfactory,92,PM2.5
2021-03-05,Thrissur,1.0,Satisfactory,92,PM2.5
2021-03-06,Thrissur,1.0,Moderate,101,O3
2021-03-07,Thrissur,1.0,Satisfactory,92,PM2.5
2021-03-08,Thrissur,1.0,Satisfactory,89,PM2.5
2021-03-09,Thrissur,1.0,Satisfactory,77,PM10
2021-03-11,Thrissur,1.0,Good,49,PM10
2021-03-12,Thrissur,1.0,Satisfactory,56,O3
2021-03-13,Thrissur,1.0,Satisfactory,69,O3
2021-03-14,Thrissur,1.0,Satisfactory,73,O3
2021-03-15,Thrissur,1.0,Satisfactory,77,O3
2021-03-16,Thrissur,1.0,Satisfactory,81,O3
2021-03-17,Thrissur,1.0,Satisfactory,77,O3
2021-03-18,Thrissur,1.0,Satisfactory,98,O3
2021-03-19,Thrissur,1.0,Satisfactory,80,PM10
2021-03-20,Thrissur,1.0,Satisfactory,90,PM10
2021-03-21,Thrissur,1.0,Satisfactory,77,PM10
2021-03-22,Thrissur,1.0,Satisfactory,67,O3
2021-03-23,Thrissur,1.0,Satisfactory,80,PM10
2021-03-25,Thrissur,1.0,Satisfactory,81,PM10
2021-03-26,Thrissur,1.0,Satisfactory,88,PM10
2021-03-27,Thrissur,1.0,Satisfactory,85,PM10
2021-03-28,Thrissur,1.0,Satisfactory,67,SO2
2021-03-29,Thrissur,1.0,Satisfactory,81,O3
2021-03-30,Thrissur,1.0,Satisfactory,80,O3
2021-03-31,Thrissur,1.0,Satisfactory,75,SO2
2021-04-01,Thrissur,1.0,Satisfactory,79,SO2
2021-04-02,Thrissur,1.0,Satisfactory,83,SO2
2021-04-03,Thrissur,1.0,Satisfactory,85,SO2
2021-04-04,Thrissur,1.0,Moderate,103,PM10
2021-04-05,Thrissur,1.0,Moderate,115,PM10
2021-04-06,Thrissur,1.0,Satisfactory,99,PM10
2021-04-07,Thrissur,1.0,Satisfactory,99,SO2
2021-04-08,Thrissur,1.0,Satisfactory,79,O3
2021-04-09,Thrissur,1.0,Satisfactory,69,PM10
2021-04-10,Thrissur,1.0,Satisfactory,80,PM10
2021-04-11,Thrissur,1.0,Satisfactory,80,PM10
2021-04-12,Thrissur,1.0,Satisfactory,60,PM10
2021-04-13,Thrissur,1.0,Satisfactory,57,O3
2021-04-14,Thrissur,1.0,Satisfactory,95,PM10
2021-04-15,Thrissur,1.0,Satisfactory,71,O3
2021-04-16,Thrissur,1.0,Satisfactory,54,O3
2021-04-17,Thrissur,1.0,Satisfactory,65,O3
2021-04-18,Thrissur,1.0,Satisfactory,61,O3
2021-04-19,Thrissur,1.0,Satisfactory,52,CO
2021-04-20,Thrissur,1.0,Satisfactory,64,O3
2021-04-21,Thrissur,1.0,Satisfactory,78,O3
2021-04-22,Thrissur,1.0,Satisfactory,57,O3
