date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2016-07-12,Tirupati,1.0,Good,47,PM10
2016-07-13,Tirupati,1.0,Satisfactory,54,NO2
2016-07-14,Tirupati,1.0,Satisfactory,54,NO2
2016-07-15,Tirupati,1.0,Satisfactory,58,NO2
2016-07-16,Tirupati,1.0,Good,49,PM10
2016-07-17,Tirupati,1.0,Satisfactory,67,NO2
2016-07-18,Tirupati,1.0,Satisfactory,59,NO2
2016-07-19,Tirupati,1.0,Satisfactory,55,NO2
2016-07-20,Tirupati,1.0,Satisfactory,59,NO2
2016-07-26,Tirupati,1.0,Satisfactory,69,NO2
2016-07-27,Tirupati,1.0,Satisfactory,65,NO2
2016-07-28,Tirupati,1.0,Satisfactory,75,NO2
2016-07-29,Tirupati,1.0,Satisfactory,65,NO2
2016-07-30,Tirupati,1.0,Satisfactory,55,NO2
2016-07-31,Tirupati,1.0,Good,50,NO2
2016-08-01,Tirupati,1.0,Good,46,NO2
2016-08-02,Tirupati,1.0,Good,46,PM10
2016-08-03,Tirupati,1.0,Good,42,NO2
2016-08-05,Tirupati,1.0,Good,43,NO2
2016-08-06,Tirupati,1.0,Good,48,NO2
2016-08-07,Tirupati,1.0,Satisfactory,54,NO2
2016-08-08,Tirupati,1.0,Satisfactory,62,NO2
2016-08-09,Tirupati,1.0,Satisfactory,57,NO2
2016-08-10,Tirupati,1.0,Satisfactory,59,NO2
2016-08-11,Tirupati,1.0,Satisfactory,61,NO2
2016-08-12,Tirupati,1.0,Satisfactory,62,NO2
2016-08-13,Tirupati,1.0,Satisfactory,67,NO2
2016-08-14,Tirupati,1.0,Satisfactory,63,NO2
2016-08-15,Tirupati,1.0,Satisfactory,66,PM10
2016-08-16,Tirupati,1.0,Satisfactory,59,NO2
2016-08-17,Tirupati,1.0,Satisfactory,67,NO2
2016-08-18,Tirupati,1.0,Satisfactory,61,NO2
2016-08-19,Tirupati,1.0,Satisfactory,62,NO2
2016-08-20,Tirupati,1.0,Satisfactory,65,NO2
2016-08-21,Tirupati,1.0,Satisfactory,72,NO2
2016-08-22,Tirupati,1.0,Satisfactory,67,NO2
2016-08-23,Tirupati,1.0,Satisfactory,67,NO2
2016-08-24,Tirupati,1.0,Satisfactory,52,NO2
2016-08-25,Tirupati,1.0,Satisfactory,62,NO2
2016-08-26,Tirupati,1.0,Satisfactory,62,NO2
2016-08-27,Tirupati,1.0,Satisfactory,60,PM10
2016-08-28,Tirupati,1.0,Satisfactory,56,NO2
2016-08-29,Tirupati,1.0,Satisfactory,58,NO2
2016-08-30,Tirupati,1.0,Satisfactory,58,NO2
2016-08-31,Tirupati,1.0,Satisfactory,60,NO2
2016-09-01,Tirupati,1.0,Satisfactory,57,NO2
2016-09-09,Tirupati,1.0,Satisfactory,75,NO2
2016-09-10,Tirupati,1.0,Satisfactory,77,NO2
2016-09-11,Tirupati,1.0,Satisfactory,73,NO2
2016-09-12,Tirupati,1.0,Satisfactory,60,NO2
2016-09-13,Tirupati,1.0,Satisfactory,60,NO2
2016-09-14,Tirupati,1.0,Satisfactory,61,NO2
