date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2022-08-27,Tirupur,1.0,Satisfactory,92,PM10
2022-08-28,Tirupur,1.0,Satisfactory,71,PM10
2022-08-29,Tirupur,1.0,Satisfactory,63,PM10
2022-08-30,Tirupur,1.0,Satisfactory,73,PM10
2022-08-31,Tirupur,1.0,Satisfactory,89,PM2.5
2022-09-01,Tirupur,1.0,Good,29,O3
2022-09-02,Tirupur,1.0,Satisfactory,71,PM10
2022-09-03,Tirupur,1.0,Moderate,104,PM10
2022-09-04,Tirupur,1.0,Satisfactory,98,PM10
2022-09-05,Tirupur,1.0,Good,32,O3
2022-09-06,Tirupur,1.0,Moderate,124,PM10
2022-09-08,Tirupur,1.0,Satisfactory,94,PM10
2022-09-09,Tirupur,1.0,Moderate,104,PM10
2022-09-10,Tirupur,1.0,Moderate,103,PM10
2022-09-11,Tirupur,1.0,Moderate,103,PM10
2022-09-12,Tirupur,1.0,Satisfactory,95,PM10
2022-09-13,Tirupur,1.0,Moderate,134,PM10
2022-09-14,Tirupur,1.0,Moderate,185,PM10
2022-09-15,Tirupur,1.0,Moderate,166,PM10
2022-09-16,Tirupur,1.0,Moderate,161,PM10
2022-09-17,Tirupur,1.0,Moderate,166,PM10
2022-09-18,Tirupur,1.0,Moderate,137,PM10
2022-09-19,Tirupur,1.0,Moderate,112,PM10
2022-09-20,Tirupur,1.0,Moderate,121,PM10
2022-09-21,Tirupur,1.0,Moderate,138,PM10
2022-09-22,Tirupur,1.0,Moderate,163,PM10
2022-09-23,Tirupur,1.0,Moderate,150,PM10
2022-09-24,Tirupur,1.0,Moderate,165,PM10
2022-09-25,Tirupur,1.0,Moderate,138,PM10
2022-09-26,Tirupur,1.0,Moderate,123,PM10
2022-09-27,Tirupur,1.0,Poor,229,PM10
2022-09-28,Tirupur,1.0,Poor,260,PM10
2022-09-29,Tirupur,1.0,Poor,225,PM10
2022-09-30,Tirupur,1.0,Poor,245,PM10
2022-10-01,Tirupur,1.0,Moderate,187,PM10
2022-10-02,Tirupur,1.0,Moderate,190,PM10
2022-10-03,Tirupur,1.0,Moderate,117,PM10
2022-10-04,Tirupur,1.0,Moderate,106,PM10
2022-10-05,Tirupur,1.0,Moderate,104,PM10
2022-10-06,Tirupur,1.0,Moderate,106,PM10
2022-10-07,Tirupur,1.0,Poor,202,PM10
2022-10-08,Tirupur,1.0,Moderate,192,PM10
2022-10-09,Tirupur,1.0,Poor,263,PM10
2022-10-10,Tirupur,1.0,Moderate,127,PM10
2022-10-11,Tirupur,1.0,Moderate,137,PM10
2022-10-12,Tirupur,1.0,Moderate,178,PM10
2022-10-13,Tirupur,1.0,Poor,211,PM10
2022-10-14,Tirupur,1.0,Moderate,176,PM10
2022-10-15,Tirupur,1.0,Satisfactory,100,PM10
2022-10-16,Tirupur,1.0,Moderate,108,PM10
2022-10-17,Tirupur,1.0,Satisfactory,64,PM10
2022-10-18,Tirupur,1.0,Moderate,124,PM10
2022-10-21,Tirupur,1.0,Satisfactory,96,PM2.5
2022-10-22,Tirupur,1.0,Moderate,102,PM10
2022-10-23,Tirupur,1.0,Moderate,138,PM2.5
2022-10-26,Tirupur,1.0,Moderate,110,PM10
2022-10-27,Tirupur,1.0,Moderate,191,PM10
2022-10-28,Tirupur,1.0,Poor,237,PM2.5
2022-10-29,Tirupur,1.0,Moderate,114,PM10
2022-11-01,Tirupur,1.0,Moderate,190,PM2.5
2022-11-02,Tirupur,1.0,Satisfactory,75,PM10
2022-11-03,Tirupur,1.0,Good,47,PM10
2022-11-04,Tirupur,1.0,Satisfactory,77,PM10
2022-11-05,Tirupur,1.0,Satisfactory,79,PM10
2022-11-06,Tirupur,1.0,Moderate,153,PM10
2022-11-07,Tirupur,1.0,Moderate,114,PM10
2022-11-08,Tirupur,1.0,Poor,267,PM2.5
2022-11-09,Tirupur,1.0,Moderate,136,PM2.5
2022-11-10,Tirupur,1.0,Moderate,180,PM2.5
2022-11-11,Tirupur,1.0,Moderate,114,PM2.5
2022-11-12,Tirupur,1.0,Satisfactory,58,PM10
2022-11-13,Tirupur,1.0,Satisfactory,72,PM10
2022-11-24,Tirupur,1.0,Satisfactory,98,PM2.5
2022-11-25,Tirupur,1.0,Satisfactory,97,PM10
2022-11-26,Tirupur,1.0,Moderate,106,PM10
2022-11-27,Tirupur,1.0,Moderate,105,PM10
2022-11-28,Tirupur,1.0,Satisfactory,85,PM10
2022-11-30,Tirupur,1.0,Moderate,110,PM10
2022-12-01,Tirupur,1.0,Poor,213,PM10
2022-12-02,Tirupur,1.0,Satisfactory,95,PM10
2022-12-03,Tirupur,1.0,Satisfactory,70,PM10
2022-12-04,Tirupur,1.0,Satisfactory,51,PM10
2022-12-05,Tirupur,1.0,Satisfactory,53,PM2.5
2022-12-08,Tirupur,1.0,Moderate,171,PM10
2022-12-10,Tirupur,1.0,Satisfactory,72,PM10
2022-12-13,Tirupur,1.0,Satisfactory,93,PM10
2022-12-14,Tirupur,1.0,Satisfactory,55,PM10
2022-12-15,Tirupur,1.0,Satisfactory,97,PM10
2022-12-16,Tirupur,1.0,Moderate,135,PM2.5
2022-12-17,Tirupur,1.0,Moderate,153,PM2.5
2022-12-18,Tirupur,1.0,Moderate,129,PM2.5
2022-12-19,Tirupur,1.0,Satisfactory,96,PM10
2022-12-20,Tirupur,1.0,Satisfactory,53,PM10
2022-12-21,Tirupur,1.0,Satisfactory,58,PM2.5
2022-12-22,Tirupur,1.0,Good,45,PM10
2022-12-23,Tirupur,1.0,Satisfactory,97,PM10
2022-12-24,Tirupur,1.0,Moderate,110,PM10
2022-12-25,Tirupur,1.0,Satisfactory,63,PM10
2022-12-26,Tirupur,1.0,Good,27,SO2
2022-12-27,Tirupur,1.0,Good,28,SO2
2022-12-28,Tirupur,1.0,Good,28,PM10
2022-12-29,Tirupur,1.0,Satisfactory,69,PM10
2022-12-30,Tirupur,1.0,Good,50,PM2.5
2022-12-31,Tirupur,1.0,Satisfactory,63,PM10
2023-01-01,Tirupur,1.0,Satisfactory,70,PM10
2023-01-02,Tirupur,1.0,Good,39,PM10
2023-01-03,Tirupur,1.0,Satisfactory,51,PM10
2023-01-04,Tirupur,1.0,Satisfactory,74,PM2.5
2023-01-05,Tirupur,1.0,Satisfactory,62,PM10
2023-01-06,Tirupur,1.0,Satisfactory,69,PM10
2023-01-07,Tirupur,1.0,Satisfactory,60,PM10
2023-01-08,Tirupur,1.0,Satisfactory,68,PM10
2023-01-09,Tirupur,1.0,Satisfactory,82,PM2.5
2023-01-10,Tirupur,1.0,Satisfactory,65,PM10
2023-01-12,Tirupur,1.0,Satisfactory,85,PM10
2023-01-13,Tirupur,1.0,Satisfactory,99,PM10
2023-01-14,Tirupur,1.0,Satisfactory,88,PM10
2023-01-15,Tirupur,1.0,Satisfactory,98,PM2.5
2023-01-16,Tirupur,1.0,Good,45,PM10
2023-01-17,Tirupur,1.0,Good,38,O3
2023-01-18,Tirupur,1.0,Good,44,PM2.5
2023-01-19,Tirupur,1.0,Good,50,PM10
2023-01-20,Tirupur,1.0,Satisfactory,57,PM10
2023-01-22,Tirupur,1.0,Satisfactory,90,PM10
