date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-03-13,Tonk,1.0,Moderate,189,PM10
2023-03-14,Tonk,1.0,Moderate,181,PM10
2023-03-15,Tonk,1.0,Moderate,163,PM10
2023-03-16,Tonk,1.0,Poor,218,PM10
2023-03-17,Tonk,1.0,Moderate,105,PM10
2023-03-18,Tonk,1.0,Satisfactory,68,PM10
2023-03-19,Tonk,1.0,Moderate,106,PM10
2023-03-20,Tonk,1.0,Satisfactory,57,O3
2023-03-21,Tonk,1.0,Satisfactory,74,PM10
2023-03-22,Tonk,1.0,Satisfactory,99,PM10
2023-03-23,Tonk,1.0,Satisfactory,80,PM10
2023-03-24,Tonk,1.0,Satisfactory,91,PM10
2023-03-25,Tonk,1.0,Moderate,103,PM10
2023-03-26,Tonk,1.0,Moderate,104,PM10
2023-03-27,Tonk,1.0,Moderate,153,PM10
2023-03-28,Tonk,1.0,Moderate,175,PM10
2023-03-29,Tonk,1.0,Moderate,136,PM10
2023-03-30,Tonk,1.0,Moderate,174,PM10
2023-03-31,Tonk,1.0,Satisfactory,67,PM10
2023-04-01,Tonk,1.0,Satisfactory,58,O3
2023-04-02,Tonk,1.0,Satisfactory,83,PM10
2023-04-03,Tonk,1.0,Moderate,122,PM10
2023-04-04,Tonk,1.0,Moderate,106,PM10
2023-04-05,Tonk,1.0,Moderate,132,PM10
2023-04-06,Tonk,1.0,Moderate,133,PM10
2023-04-07,Tonk,1.0,Moderate,147,PM10
2023-04-08,Tonk,1.0,Moderate,134,PM10
2023-04-09,Tonk,1.0,Moderate,127,PM10
2023-04-10,Tonk,1.0,Moderate,169,PM10
2023-04-11,Tonk,1.0,Moderate,200,PM10
2023-04-12,Tonk,1.0,Moderate,148,PM10
2023-04-14,Tonk,1.0,Moderate,179,PM10
2023-04-15,Tonk,1.0,Moderate,176,PM10
2023-04-16,Tonk,1.0,Moderate,134,PM10
2023-04-17,Tonk,1.0,Moderate,153,PM10
2023-04-18,Tonk,1.0,Moderate,164,PM10
2023-04-19,Tonk,1.0,Poor,239,PM10
2023-04-20,Tonk,1.0,Moderate,187,PM10
2023-04-21,Tonk,1.0,Moderate,190,PM10
2023-04-22,Tonk,1.0,Moderate,160,PM10
2023-04-23,Tonk,1.0,Moderate,174,PM10
2023-04-24,Tonk,1.0,Moderate,104,PM10
2023-04-25,Tonk,1.0,Satisfactory,100,O3
2023-04-26,Tonk,1.0,Moderate,120,O3
2023-04-27,Tonk,1.0,Moderate,115,PM10
2023-04-28,Tonk,1.0,Satisfactory,98,PM10
2023-04-29,Tonk,1.0,Moderate,111,PM10
2023-04-30,Tonk,1.0,Satisfactory,70,PM10
2023-05-01,Tonk,1.0,Satisfactory,72,O3
2023-05-02,Tonk,1.0,Satisfactory,75,PM10
2023-05-03,Tonk,1.0,Satisfactory,82,O3
2023-05-04,Tonk,1.0,Satisfactory,93,O3
2023-05-05,Tonk,1.0,Satisfactory,98,O3
2023-05-06,Tonk,1.0,Moderate,104,PM10
2023-05-07,Tonk,1.0,Moderate,121,PM10
2023-05-08,Tonk,1.0,Moderate,129,PM10
2023-05-09,Tonk,1.0,Moderate,136,PM10
2023-05-10,Tonk,1.0,Moderate,133,PM10
2023-05-11,Tonk,1.0,Moderate,134,PM10
2023-05-12,Tonk,1.0,Moderate,192,PM10
2023-05-13,Tonk,1.0,Moderate,154,PM10
2023-05-14,Tonk,1.0,Moderate,147,PM10
2023-05-15,Tonk,1.0,Moderate,112,PM10
2023-05-16,Tonk,1.0,Moderate,175,PM10
2023-05-17,Tonk,1.0,Moderate,167,PM10
2023-05-18,Tonk,1.0,Moderate,179,PM10
2023-05-19,Tonk,1.0,Moderate,174,PM10
2023-05-20,Tonk,1.0,Moderate,162,PM10
2023-05-21,Tonk,1.0,Moderate,138,PM10
2023-05-22,Tonk,1.0,Moderate,131,PM10
2023-05-23,Tonk,1.0,Moderate,124,PM10
2023-05-24,Tonk,1.0,Moderate,155,PM10
2023-05-25,Tonk,1.0,Good,50,O3
2023-05-28,Tonk,1.0,Satisfactory,56,PM10
2023-05-29,Tonk,1.0,Satisfactory,63,PM10
2023-05-30,Tonk,1.0,Good,42,O3
2023-06-10,Tonk,1.0,Moderate,129,PM10
2023-06-11,Tonk,1.0,Moderate,119,PM10
2023-06-12,Tonk,1.0,Moderate,113,PM10
2023-06-13,Tonk,1.0,Moderate,111,PM10
2023-06-14,Tonk,1.0,Moderate,124,PM10
2023-06-15,Tonk,1.0,Moderate,136,PM10
2023-06-16,Tonk,1.0,Satisfactory,99,PM10
2023-06-17,Tonk,1.0,Moderate,136,PM10
2023-06-20,Tonk,1.0,Satisfactory,77,PM10
2023-06-21,Tonk,1.0,Moderate,148,PM10
2023-06-22,Tonk,1.0,Moderate,135,PM10
2023-06-23,Tonk,1.0,Moderate,131,PM10
2023-06-24,Tonk,1.0,Moderate,155,PM10
2023-06-26,Tonk,1.0,Satisfactory,51,PM10
2023-06-27,Tonk,1.0,Satisfactory,82,PM10
2023-06-28,Tonk,1.0,Satisfactory,55,PM10
2023-06-29,Tonk,1.0,Satisfactory,64,PM10
2023-06-30,Tonk,1.0,Moderate,134,PM2.5
2023-07-01,Tonk,1.0,Moderate,122,PM2.5
2023-07-02,Tonk,1.0,Satisfactory,98,PM2.5
2023-07-04,Tonk,1.0,Moderate,174,PM2.5
2023-07-11,Tonk,1.0,Moderate,144,PM2.5
2023-07-12,Tonk,1.0,Moderate,189,PM10
2023-07-13,Tonk,1.0,Moderate,144,PM10
2023-07-14,Tonk,1.0,Satisfactory,94,PM10
2023-07-15,Tonk,1.0,Satisfactory,96,PM10
2023-07-19,Tonk,1.0,Good,47,PM10
2023-07-20,Tonk,1.0,Moderate,130,PM2.5
2023-07-21,Tonk,1.0,Satisfactory,95,PM2.5
2023-07-22,Tonk,1.0,Satisfactory,82,PM10
