date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-04-02,Tumakuru,1.0,Moderate,151,PM10
2023-04-04,Tumakuru,1.0,Moderate,154,CO
2023-04-05,Tumakuru,1.0,Moderate,127,CO
2023-04-06,Tumakuru,1.0,Moderate,140,CO
2023-04-07,Tumakuru,1.0,Moderate,140,CO
2023-04-08,Tumakuru,1.0,Moderate,125,CO
2023-04-09,Tumakuru,1.0,Moderate,122,CO
2023-04-10,Tumakuru,1.0,Moderate,164,CO
2023-04-11,Tumakuru,1.0,Moderate,150,CO
2023-04-16,Tumakuru,1.0,Moderate,146,CO
2023-04-18,Tumakuru,1.0,Good,45,CO
2023-04-19,Tumakuru,1.0,Satisfactory,79,CO
2023-04-21,Tumakuru,1.0,Satisfactory,66,CO
2023-04-22,Tumakuru,1.0,Satisfactory,78,CO
2023-04-24,Tumakuru,1.0,Satisfactory,65,CO
2023-04-25,Tumakuru,1.0,Satisfactory,58,CO
2023-04-26,Tumakuru,1.0,Moderate,102,PM10
2023-04-27,Tumakuru,1.0,Moderate,113,PM10
2023-04-28,Tumakuru,1.0,Moderate,108,PM10
2023-04-29,Tumakuru,1.0,Moderate,113,PM10
2023-04-30,Tumakuru,1.0,Satisfactory,81,PM10
2023-05-01,Tumakuru,1.0,Satisfactory,77,PM10
2023-05-02,Tumakuru,1.0,Satisfactory,61,PM10
2023-05-03,Tumakuru,1.0,Satisfactory,75,PM10
2023-05-04,Tumakuru,1.0,Moderate,105,PM10
2023-05-05,Tumakuru,1.0,Satisfactory,77,PM10
2023-05-07,Tumakuru,1.0,Satisfactory,74,PM10
2023-05-08,Tumakuru,1.0,Moderate,106,PM10
2023-05-09,Tumakuru,1.0,Satisfactory,70,PM10
2023-05-10,Tumakuru,1.0,Satisfactory,85,PM10
2023-05-11,Tumakuru,1.0,Satisfactory,92,PM10
2023-05-12,Tumakuru,1.0,Satisfactory,97,PM10
2023-05-13,Tumakuru,1.0,Moderate,104,PM10
2023-05-14,Tumakuru,1.0,Satisfactory,98,PM10
2023-05-15,Tumakuru,1.0,Satisfactory,100,PM10
2023-05-16,Tumakuru,1.0,Moderate,112,PM10
2023-05-18,Tumakuru,1.0,Moderate,145,PM10
2023-05-19,Tumakuru,1.0,Moderate,142,PM10
2023-05-20,Tumakuru,1.0,Moderate,130,PM10
2023-05-21,Tumakuru,1.0,Satisfactory,96,PM10
2023-05-24,Tumakuru,1.0,Satisfactory,87,CO
2023-05-25,Tumakuru,1.0,Satisfactory,79,PM10
2023-05-26,Tumakuru,1.0,Satisfactory,65,PM10
2023-05-27,Tumakuru,1.0,Moderate,105,PM10
2023-05-28,Tumakuru,1.0,Moderate,131,PM10
2023-05-29,Tumakuru,1.0,Moderate,112,PM10
2023-05-30,Tumakuru,1.0,Moderate,108,PM10
2023-05-31,Tumakuru,1.0,Satisfactory,82,PM10
2023-06-01,Tumakuru,1.0,Satisfactory,94,PM10
2023-06-02,Tumakuru,1.0,Moderate,107,PM10
2023-06-03,Tumakuru,1.0,Moderate,116,PM10
2023-06-04,Tumakuru,1.0,Moderate,137,PM10
2023-06-05,Tumakuru,1.0,Moderate,118,PM10
2023-06-06,Tumakuru,1.0,Moderate,122,PM10
2023-06-07,Tumakuru,1.0,Satisfactory,92,PM10
2023-06-08,Tumakuru,1.0,Satisfactory,80,PM10
2023-06-09,Tumakuru,1.0,Satisfactory,61,CO
2023-06-10,Tumakuru,1.0,Satisfactory,69,PM10
2023-06-11,Tumakuru,1.0,Satisfactory,76,PM10
2023-06-12,Tumakuru,1.0,Satisfactory,98,PM10
2023-06-13,Tumakuru,1.0,Moderate,108,PM10
2023-06-14,Tumakuru,1.0,Moderate,142,PM10
2023-06-15,Tumakuru,1.0,Satisfactory,100,PM10
2023-06-16,Tumakuru,1.0,Moderate,116,PM10
2023-06-17,Tumakuru,1.0,Moderate,102,PM10
2023-06-18,Tumakuru,1.0,Moderate,146,PM10
2023-06-19,Tumakuru,1.0,Satisfactory,84,PM10
2023-06-20,Tumakuru,1.0,Moderate,105,PM10
2023-06-21,Tumakuru,1.0,Moderate,124,PM10
2023-06-22,Tumakuru,1.0,Satisfactory,71,PM10
2023-06-23,Tumakuru,1.0,Satisfactory,98,PM10
2023-06-24,Tumakuru,1.0,Satisfactory,81,CO
