date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-03-13,Tumidih,1.0,Moderate,123,PM2.5
2023-03-14,Tumidih,1.0,Moderate,171,O3
2023-03-15,Tumidih,1.0,Moderate,126,O3
2023-03-16,Tumidih,1.0,Poor,235,PM2.5
2023-03-17,Tumidih,1.0,Satisfactory,90,PM10
2023-03-18,Tumidih,1.0,Satisfactory,95,PM10
2023-03-19,Tumidih,1.0,Satisfactory,86,PM10
2023-03-20,Tumidih,1.0,Satisfactory,51,PM10
2023-03-22,Tumidih,1.0,Satisfactory,56,PM2.5
2023-03-23,Tumidih,1.0,Satisfactory,68,O3
2023-03-24,Tumidih,1.0,Satisfactory,91,PM2.5
2023-03-25,Tumidih,1.0,Satisfactory,86,PM2.5
2023-03-26,Tumidih,1.0,Satisfactory,78,PM2.5
2023-03-27,Tumidih,1.0,Satisfactory,67,PM2.5
2023-03-29,Tumidih,1.0,Moderate,164,PM2.5
2023-03-30,Tumidih,1.0,Moderate,142,PM10
2023-03-31,Tumidih,1.0,Satisfactory,69,O3
2023-04-04,Tumidih,1.0,Poor,207,PM10
2023-04-05,Tumidih,1.0,Moderate,132,PM10
2023-04-06,Tumidih,1.0,Moderate,119,PM10
2023-04-07,Tumidih,1.0,Moderate,159,O3
2023-04-08,Tumidih,1.0,Moderate,142,PM10
2023-04-09,Tumidih,1.0,Satisfactory,73,PM10
2023-04-11,Tumidih,1.0,Moderate,104,O3
2023-04-12,Tumidih,1.0,Moderate,167,O3
2023-04-13,Tumidih,1.0,Moderate,141,PM10
2023-04-14,Tumidih,1.0,Poor,208,PM10
2023-04-16,Tumidih,1.0,Moderate,165,O3
2023-04-19,Tumidih,1.0,Moderate,152,PM10
2023-04-20,Tumidih,1.0,Satisfactory,80,PM10
2023-04-21,Tumidih,1.0,Satisfactory,82,PM10
2023-04-22,Tumidih,1.0,Satisfactory,88,PM10
2023-04-23,Tumidih,1.0,Satisfactory,56,PM10
2023-04-24,Tumidih,1.0,Satisfactory,71,PM10
2023-04-26,Tumidih,1.0,Good,47,O3
2023-04-27,Tumidih,1.0,Satisfactory,59,PM10
2023-04-28,Tumidih,1.0,Satisfactory,56,PM10
2023-04-29,Tumidih,1.0,Good,36,NO2
2023-04-30,Tumidih,1.0,Good,36,PM10
2023-05-01,Tumidih,1.0,Good,33,CO
2023-05-03,Tumidih,1.0,Satisfactory,58,PM10
2023-05-04,Tumidih,1.0,Satisfactory,66,PM10
2023-05-06,Tumidih,1.0,Good,50,O3
2023-05-07,Tumidih,1.0,Moderate,105,PM10
2023-05-09,Tumidih,1.0,Satisfactory,67,PM10
2023-05-10,Tumidih,1.0,Satisfactory,66,PM10
2023-05-11,Tumidih,1.0,Moderate,111,PM10
2023-05-12,Tumidih,1.0,Moderate,155,PM10
2023-05-13,Tumidih,1.0,Moderate,181,PM10
2023-05-14,Tumidih,1.0,Poor,209,PM10
2023-05-16,Tumidih,1.0,Poor,237,PM10
2023-05-17,Tumidih,1.0,Moderate,180,PM2.5
2023-05-18,Tumidih,1.0,Moderate,193,PM10
2023-05-19,Tumidih,1.0,Poor,206,PM10
2023-05-20,Tumidih,1.0,Moderate,176,PM10
2023-05-23,Tumidih,1.0,Moderate,106,PM10
2023-05-24,Tumidih,1.0,Moderate,130,PM10
2023-05-25,Tumidih,1.0,Moderate,160,PM10
2023-05-26,Tumidih,1.0,Satisfactory,95,PM10
2023-05-27,Tumidih,1.0,Satisfactory,93,PM10
2023-06-02,Tumidih,1.0,Poor,208,PM10
2023-06-08,Tumidih,1.0,Moderate,140,PM2.5
2023-06-12,Tumidih,1.0,Moderate,134,PM2.5
2023-06-14,Tumidih,1.0,Satisfactory,53,PM10
2023-06-15,Tumidih,1.0,Satisfactory,86,PM10
2023-06-17,Tumidih,1.0,Satisfactory,77,PM10
2023-06-18,Tumidih,1.0,Satisfactory,79,PM10
2023-06-19,Tumidih,1.0,Moderate,120,PM10
2023-06-20,Tumidih,1.0,Moderate,116,PM10
2023-06-23,Tumidih,1.0,Good,47,O3
2023-06-24,Tumidih,1.0,Good,41,O3
2023-06-25,Tumidih,1.0,Satisfactory,51,PM10
2023-06-26,Tumidih,1.0,Good,31,O3
2023-06-27,Tumidih,1.0,Good,36,PM10
2023-06-28,Tumidih,1.0,Satisfactory,55,PM10
2023-06-30,Tumidih,1.0,Satisfactory,53,PM10
2023-07-01,Tumidih,1.0,Good,43,PM10
2023-07-02,Tumidih,1.0,Good,36,PM10
2023-07-03,Tumidih,1.0,Good,36,PM10
2023-07-04,Tumidih,1.0,Satisfactory,79,PM10
2023-07-05,Tumidih,1.0,Satisfactory,64,PM10
2023-07-06,Tumidih,1.0,Satisfactory,62,PM10
2023-07-07,Tumidih,1.0,Good,39,PM10
2023-07-08,Tumidih,1.0,Satisfactory,56,PM10
2023-07-09,Tumidih,1.0,Satisfactory,79,PM10
2023-07-10,Tumidih,1.0,Good,41,PM10
2023-07-11,Tumidih,1.0,Satisfactory,58,PM10
2023-07-12,Tumidih,1.0,Satisfactory,58,PM10
2023-07-16,Tumidih,1.0,Good,24,CO
2023-07-17,Tumidih,1.0,Good,24,O3
2023-07-18,Tumidih,1.0,Good,29,PM10
2023-07-19,Tumidih,1.0,Good,25,PM10
2023-07-20,Tumidih,1.0,Good,25,PM10
2023-07-21,Tumidih,1.0,Good,23,PM10
2023-07-22,Tumidih,1.0,Good,18,O3
2023-07-23,Tumidih,1.0,Good,31,PM10
2023-07-24,Tumidih,1.0,Good,29,PM10
2023-07-25,Tumidih,1.0,Good,30,PM10
2023-07-26,Tumidih,1.0,Good,27,PM10
2023-07-27,Tumidih,1.0,Good,33,PM10
2023-07-28,Tumidih,1.0,Good,37,PM10
2023-07-29,Tumidih,1.0,Good,29,O3
2023-07-30,Tumidih,1.0,Good,30,PM10
2023-08-04,Tumidih,1.0,Good,31,PM2.5
2023-08-05,Tumidih,1.0,Good,17,CO
2023-08-06,Tumidih,1.0,Good,19,PM10
2023-08-07,Tumidih,1.0,Good,21,O3
2023-08-09,Tumidih,1.0,Good,35,PM10
2023-08-10,Tumidih,1.0,Good,42,PM10
2023-08-11,Tumidih,1.0,Good,48,PM10
2023-08-12,Tumidih,1.0,Good,39,PM10
2023-08-13,Tumidih,1.0,Good,32,PM10
2023-08-14,Tumidih,1.0,Satisfactory,83,PM10
2023-08-19,Tumidih,1.0,Good,41,PM10
2023-08-20,Tumidih,1.0,Satisfactory,51,PM10
2023-08-21,Tumidih,1.0,Good,29,PM10
2023-08-22,Tumidih,1.0,Good,39,PM10
2023-08-23,Tumidih,1.0,Good,48,PM10
2023-08-24,Tumidih,1.0,Good,24,PM10
2023-08-26,Tumidih,1.0,Good,33,PM10
2023-08-27,Tumidih,1.0,Satisfactory,57,PM10
2023-08-28,Tumidih,1.0,Satisfactory,58,PM10
2023-08-29,Tumidih,1.0,Satisfactory,81,PM10
2023-08-30,Tumidih,1.0,Satisfactory,58,PM10
2023-08-31,Tumidih,1.0,Good,39,PM10
2023-09-01,Tumidih,1.0,Satisfactory,62,PM10
2023-09-05,Tumidih,1.0,Good,30,CO
2023-09-06,Tumidih,1.0,Good,25,CO
2023-09-07,Tumidih,1.0,Good,25,CO
2023-09-08,Tumidih,1.0,Good,44,PM10
2023-09-12,Tumidih,1.0,Good,39,PM10
2023-09-13,Tumidih,1.0,Good,26,O3
2023-09-14,Tumidih,1.0,Good,23,O3
2023-09-15,Tumidih,1.0,Good,48,PM10
2023-09-17,Tumidih,1.0,Good,24,CO
2023-09-26,Tumidih,1.0,Good,38,PM10
2023-09-27,Tumidih,1.0,Good,36,O3
2023-09-28,Tumidih,1.0,Satisfactory,71,PM10
2023-09-29,Tumidih,1.0,Good,32,O3
2023-09-30,Tumidih,1.0,Good,36,PM2.5
2023-10-01,Tumidih,1.0,Good,29,PM10
2023-10-02,Tumidih,1.0,Good,23,CO
2023-10-03,Tumidih,1.0,Good,22,O3
2023-10-05,Tumidih,1.0,Good,43,O3
2023-10-08,Tumidih,1.0,Good,50,O3
2023-10-09,Tumidih,1.0,Satisfactory,62,PM10
2023-10-12,Tumidih,1.0,Satisfactory,69,PM10
2023-10-13,Tumidih,1.0,Satisfactory,81,PM10
2023-10-14,Tumidih,1.0,Satisfactory,96,PM10
2023-10-15,Tumidih,1.0,Satisfactory,82,PM10
2023-10-16,Tumidih,1.0,Satisfactory,93,PM10
2023-10-17,Tumidih,1.0,Satisfactory,73,PM10
2023-10-18,Tumidih,1.0,Satisfactory,53,PM10
2023-10-19,Tumidih,1.0,Satisfactory,66,PM10
2023-10-22,Tumidih,1.0,Satisfactory,83,PM10
2023-10-28,Tumidih,1.0,Moderate,118,PM10
2023-10-29,Tumidih,1.0,Satisfactory,89,PM10
2023-10-30,Tumidih,1.0,Moderate,126,PM10
2023-10-31,Tumidih,1.0,Satisfactory,99,PM10
2023-11-03,Tumidih,1.0,Moderate,117,PM10
2023-11-04,Tumidih,1.0,Satisfactory,59,PM10
2023-11-05,Tumidih,1.0,Satisfactory,72,PM10
2023-11-06,Tumidih,1.0,Satisfactory,88,PM10
2023-11-07,Tumidih,1.0,Satisfactory,91,PM10
2023-11-08,Tumidih,1.0,Satisfactory,78,PM10
2023-11-10,Tumidih,1.0,Moderate,115,PM10
2023-11-11,Tumidih,1.0,Moderate,131,PM10
2023-11-12,Tumidih,1.0,Moderate,131,PM10
2023-11-13,Tumidih,1.0,Moderate,116,PM10
2023-11-14,Tumidih,1.0,Moderate,101,PM10
2023-11-15,Tumidih,1.0,Moderate,105,PM2.5
2023-11-16,Tumidih,1.0,Satisfactory,93,PM10
2023-11-17,Tumidih,1.0,Moderate,116,PM10
2023-11-24,Tumidih,1.0,Moderate,128,PM10
2023-11-25,Tumidih,1.0,Moderate,114,PM10
2023-11-26,Tumidih,1.0,Moderate,116,PM10
2023-11-27,Tumidih,1.0,Moderate,103,PM10
2023-11-28,Tumidih,1.0,Satisfactory,92,PM10
2023-11-29,Tumidih,1.0,Satisfactory,67,PM10
2023-11-30,Tumidih,1.0,Satisfactory,65,PM10
2023-12-01,Tumidih,1.0,Satisfactory,77,PM10
2023-12-02,Tumidih,1.0,Satisfactory,86,PM10
2023-12-03,Tumidih,1.0,Satisfactory,80,PM10
2023-12-04,Tumidih,1.0,Satisfactory,62,PM10
2023-12-05,Tumidih,1.0,Satisfactory,68,PM10
2023-12-07,Tumidih,1.0,Good,26,CO
2023-12-08,Tumidih,1.0,Good,29,O3
2023-12-10,Tumidih,1.0,Good,48,PM10
2023-12-13,Tumidih,1.0,Satisfactory,84,PM10
2023-12-14,Tumidih,1.0,Satisfactory,68,PM10
2023-12-15,Tumidih,1.0,Moderate,106,PM10
2023-12-17,Tumidih,1.0,Moderate,116,PM10
2023-12-18,Tumidih,1.0,Moderate,112,PM10
2023-12-19,Tumidih,1.0,Satisfactory,71,PM10
2023-12-20,Tumidih,1.0,Satisfactory,87,PM10
2023-12-21,Tumidih,1.0,Moderate,110,PM10
