date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2021-02-11,Udupi,1.0,Moderate,184,O3
2021-02-12,Udupi,1.0,Poor,216,O3
2021-02-13,Udupi,1.0,Poor,222,O3
2021-02-14,Udupi,1.0,Moderate,155,O3
2021-02-15,Udupi,1.0,Moderate,151,O3
2021-02-16,Udupi,1.0,Poor,233,O3
2021-02-17,Udupi,1.0,Poor,216,O3
2021-02-18,Udupi,1.0,Moderate,170,O3
2021-02-19,Udupi,1.0,Satisfactory,87,O3
2021-02-20,Udupi,1.0,Satisfactory,70,CO
2021-02-21,Udupi,1.0,Moderate,134,O3
2021-02-23,Udupi,1.0,Poor,222,O3
2021-02-24,Udupi,1.0,Moderate,189,O3
2021-02-25,Udupi,1.0,Poor,221,O3
2021-02-26,Udupi,1.0,Poor,270,O3
2021-03-03,Udupi,1.0,Satisfactory,66,CO
2021-03-04,Udupi,1.0,Moderate,186,O3
2021-03-05,Udupi,1.0,Satisfactory,86,O3
2021-03-07,Udupi,1.0,Poor,244,O3
2021-03-10,Udupi,1.0,Poor,242,O3
2021-03-11,Udupi,1.0,Moderate,156,O3
2021-03-12,Udupi,1.0,Moderate,174,O3
2021-03-18,Udupi,1.0,Satisfactory,77,PM10
2021-03-19,Udupi,1.0,Satisfactory,70,CO
2021-03-20,Udupi,1.0,Satisfactory,68,O3
2021-03-23,Udupi,1.0,Moderate,132,O3
2021-03-24,Udupi,1.0,Satisfactory,71,CO
2021-03-25,Udupi,1.0,Poor,255,O3
2021-03-27,Udupi,1.0,Moderate,186,O3
2021-03-28,Udupi,1.0,Severe,500,PM10
2021-03-29,Udupi,1.0,Severe,403,PM10
2021-03-30,Udupi,1.0,Satisfactory,80,O3
2021-04-02,Udupi,1.0,Satisfactory,79,O3
2021-04-03,Udupi,1.0,Moderate,107,O3
2021-04-04,Udupi,1.0,Moderate,127,O3
2021-04-06,Udupi,1.0,Moderate,192,O3
2021-04-07,Udupi,1.0,Moderate,155,O3
2021-04-08,Udupi,1.0,Poor,228,O3
2021-04-09,Udupi,1.0,Poor,206,O3
2021-04-10,Udupi,1.0,Moderate,130,O3
2021-04-16,Udupi,1.0,Poor,273,O3
2021-04-18,Udupi,1.0,Satisfactory,67,CO
2021-04-28,Udupi,1.0,Satisfactory,90,O3
2021-05-01,Udupi,1.0,Moderate,174,O3
2021-05-04,Udupi,1.0,Satisfactory,72,CO
2021-05-05,Udupi,1.0,Satisfactory,76,CO
2021-05-08,Udupi,1.0,Satisfactory,74,CO
2021-05-12,Udupi,1.0,Moderate,118,O3
2021-05-14,Udupi,1.0,Satisfactory,95,O3
2021-05-22,Udupi,1.0,Satisfactory,76,CO
2021-05-23,Udupi,1.0,Satisfactory,75,CO
2021-05-24,Udupi,1.0,Satisfactory,70,CO
2021-05-26,Udupi,1.0,Satisfactory,80,CO
2021-05-27,Udupi,1.0,Satisfactory,78,CO
2021-06-03,Udupi,1.0,Satisfactory,79,CO
2021-06-04,Udupi,1.0,Satisfactory,78,CO
2021-06-08,Udupi,1.0,Satisfactory,78,CO
2021-06-20,Udupi,1.0,Moderate,177,O3
2021-06-23,Udupi,1.0,Satisfactory,82,CO
2021-06-26,Udupi,1.0,Satisfactory,87,CO
2021-06-28,Udupi,1.0,Satisfactory,81,CO
2021-06-30,Udupi,1.0,Satisfactory,81,CO
2021-07-01,Udupi,1.0,Satisfactory,75,CO
2021-07-02,Udupi,1.0,Satisfactory,84,CO
2021-07-03,Udupi,1.0,Satisfactory,81,O3
2021-07-05,Udupi,1.0,Moderate,121,O3
2021-07-12,Udupi,1.0,Satisfactory,87,CO
2021-07-21,Udupi,1.0,Satisfactory,84,CO
2021-07-22,Udupi,1.0,Satisfactory,79,CO
2021-07-23,Udupi,1.0,Satisfactory,79,CO
2021-07-24,Udupi,1.0,Satisfactory,79,CO
2021-07-26,Udupi,1.0,Satisfactory,92,CO
2021-07-28,Udupi,1.0,Moderate,110,O3
2021-07-29,Udupi,1.0,Moderate,133,O3
2021-07-30,Udupi,1.0,Moderate,174,O3
2021-08-01,Udupi,1.0,Poor,227,O3
2021-08-02,Udupi,1.0,Poor,274,O3
2021-08-03,Udupi,1.0,Moderate,134,O3
2021-08-06,Udupi,1.0,Satisfactory,87,CO
2021-08-07,Udupi,1.0,Satisfactory,87,CO
2021-08-09,Udupi,1.0,Satisfactory,96,CO
2021-08-10,Udupi,1.0,Satisfactory,99,CO
2021-08-11,Udupi,1.0,Moderate,188,O3
2021-08-12,Udupi,1.0,Poor,265,O3
2021-08-13,Udupi,1.0,Satisfactory,93,CO
2021-08-14,Udupi,1.0,Satisfactory,88,CO
2021-08-15,Udupi,1.0,Satisfactory,94,CO
2021-08-16,Udupi,1.0,Satisfactory,95,CO
2021-08-17,Udupi,1.0,Moderate,101,CO
2021-08-18,Udupi,1.0,Satisfactory,96,CO
2021-08-20,Udupi,1.0,Satisfactory,99,CO
2021-08-22,Udupi,1.0,Moderate,145,O3
2021-08-23,Udupi,1.0,Moderate,103,O3
2021-08-26,Udupi,1.0,Satisfactory,98,CO
2021-08-27,Udupi,1.0,Moderate,112,O3
2021-08-31,Udupi,1.0,Poor,206,O3
2021-09-01,Udupi,1.0,Satisfactory,100,CO
2021-09-03,Udupi,1.0,Moderate,101,CO
2021-09-04,Udupi,1.0,Satisfactory,97,CO
2021-09-07,Udupi,1.0,Satisfactory,94,CO
2021-09-08,Udupi,1.0,Satisfactory,99,CO
2021-09-09,Udupi,1.0,Satisfactory,96,CO
2021-09-10,Udupi,1.0,Satisfactory,94,CO
2021-09-16,Udupi,1.0,Satisfactory,96,CO
2021-09-17,Udupi,1.0,Satisfactory,99,CO
2021-09-20,Udupi,1.0,Moderate,103,CO
2021-09-22,Udupi,1.0,Moderate,104,CO
2021-09-23,Udupi,1.0,Moderate,104,CO
2021-09-25,Udupi,1.0,Poor,223,O3
2021-09-26,Udupi,1.0,Satisfactory,99,CO
2021-09-28,Udupi,1.0,Moderate,106,CO
2021-09-30,Udupi,1.0,Moderate,102,CO
2021-10-01,Udupi,1.0,Moderate,103,CO
2021-10-02,Udupi,1.0,Moderate,103,CO
2021-10-05,Udupi,1.0,Poor,205,O3
2021-10-06,Udupi,1.0,Poor,226,O3
2021-10-14,Udupi,1.0,Moderate,106,CO
2021-10-15,Udupi,1.0,Moderate,104,CO
2021-10-16,Udupi,1.0,Moderate,110,CO
2021-10-19,Udupi,1.0,Moderate,108,CO
2021-10-20,Udupi,1.0,Satisfactory,100,CO
2021-10-21,Udupi,1.0,Moderate,123,O3
2021-10-23,Udupi,1.0,Moderate,111,CO
2021-10-29,Udupi,1.0,Moderate,109,CO
2021-10-30,Udupi,1.0,Moderate,143,O3
2021-11-02,Udupi,1.0,Moderate,159,O3
2021-11-03,Udupi,1.0,Poor,214,O3
2021-11-07,Udupi,1.0,Good,46,O3
2021-11-08,Udupi,1.0,Good,48,O3
2021-11-09,Udupi,1.0,Satisfactory,60,O3
2021-11-10,Udupi,1.0,Good,36,CO
2021-11-13,Udupi,1.0,Poor,272,O3
2021-11-16,Udupi,1.0,Satisfactory,67,O3
2021-11-22,Udupi,1.0,Moderate,122,O3
2021-11-23,Udupi,1.0,Good,35,O3
2021-11-24,Udupi,1.0,Good,41,O3
2021-11-25,Udupi,1.0,Good,41,O3
2021-12-02,Udupi,1.0,Satisfactory,70,O3
2021-12-10,Udupi,1.0,Satisfactory,76,O3
2021-12-11,Udupi,1.0,Satisfactory,53,O3
2021-12-12,Udupi,1.0,Satisfactory,77,O3
2021-12-14,Udupi,1.0,Satisfactory,79,O3
2021-12-15,Udupi,1.0,Satisfactory,59,O3
2021-12-17,Udupi,1.0,Moderate,158,O3
2021-12-18,Udupi,1.0,Moderate,169,O3
2021-12-19,Udupi,1.0,Good,45,NO2
2021-12-22,Udupi,1.0,Good,49,O3
2021-12-23,Udupi,1.0,Good,43,NO2
2021-12-24,Udupi,1.0,Satisfactory,51,O3
2021-12-25,Udupi,1.0,Good,46,O3
2021-12-26,Udupi,1.0,Good,35,O3
2021-12-27,Udupi,1.0,Good,46,O3
2021-12-29,Udupi,1.0,Good,39,CO
2021-12-30,Udupi,1.0,Good,32,O3
2021-12-31,Udupi,1.0,Good,32,NO2
2022-01-01,Udupi,1.0,Good,37,O3
2022-01-04,Udupi,1.0,Good,35,NO2
2022-01-12,Udupi,1.0,Satisfactory,52,CO
2022-01-20,Udupi,1.0,Good,46,CO
2022-01-22,Udupi,1.0,Good,35,O3
2022-01-23,Udupi,1.0,Good,26,O3
2022-01-24,Udupi,1.0,Good,48,CO
2022-01-26,Udupi,1.0,Good,50,O3
2022-01-27,Udupi,1.0,Good,42,O3
2022-01-28,Udupi,1.0,Good,39,O3
2022-01-29,Udupi,1.0,Good,39,O3
2022-02-10,Udupi,1.0,Good,47,O3
2022-02-11,Udupi,1.0,Satisfactory,52,SO2
2022-02-13,Udupi,1.0,Satisfactory,52,O3
2022-02-14,Udupi,1.0,Good,44,O3
2022-02-15,Udupi,1.0,Satisfactory,56,O3
2022-02-16,Udupi,1.0,Satisfactory,88,SO2
2022-02-18,Udupi,1.0,Good,48,O3
2022-02-23,Udupi,1.0,Satisfactory,59,O3
2022-02-24,Udupi,1.0,Good,38,CO
2022-02-26,Udupi,1.0,Satisfactory,52,O3
2022-03-01,Udupi,1.0,Satisfactory,56,O3
2022-03-02,Udupi,1.0,Satisfactory,62,O3
2022-03-03,Udupi,1.0,Moderate,199,O3
2022-03-04,Udupi,1.0,Satisfactory,70,O3
2022-03-05,Udupi,1.0,Satisfactory,72,O3
2022-03-08,Udupi,1.0,Satisfactory,84,O3
2022-03-09,Udupi,1.0,Satisfactory,84,O3
2022-03-11,Udupi,1.0,Good,41,CO
2022-03-12,Udupi,1.0,Good,46,O3
2022-03-15,Udupi,1.0,Poor,237,O3
2022-03-16,Udupi,1.0,Satisfactory,53,O3
2022-03-17,Udupi,1.0,Satisfactory,53,O3
2022-03-18,Udupi,1.0,Satisfactory,54,CO
2022-03-22,Udupi,1.0,Satisfactory,62,CO
2022-03-27,Udupi,1.0,Satisfactory,89,O3
2022-03-29,Udupi,1.0,Satisfactory,52,O3
2022-03-30,Udupi,1.0,Satisfactory,68,O3
2022-04-01,Udupi,1.0,Good,42,CO
2022-04-03,Udupi,1.0,Poor,222,O3
2022-04-04,Udupi,1.0,Satisfactory,66,O3
2022-04-07,Udupi,1.0,Good,48,O3
2022-04-08,Udupi,1.0,Satisfactory,60,O3
2022-04-09,Udupi,1.0,Good,44,O3
2022-04-10,Udupi,1.0,Good,47,O3
2022-04-13,Udupi,1.0,Satisfactory,74,O3
2022-04-15,Udupi,1.0,Satisfactory,71,O3
2022-04-19,Udupi,1.0,Good,49,CO
2022-04-21,Udupi,1.0,Satisfactory,70,O3
2022-04-22,Udupi,1.0,Satisfactory,64,O3
2022-04-23,Udupi,1.0,Satisfactory,68,O3
2022-04-24,Udupi,1.0,Good,48,CO
2022-04-26,Udupi,1.0,Satisfactory,56,O3
2022-05-11,Udupi,1.0,Satisfactory,80,O3
2022-05-15,Udupi,1.0,Satisfactory,56,CO
2022-05-18,Udupi,1.0,Satisfactory,69,CO
2022-05-19,Udupi,1.0,Poor,206,O3
2022-05-25,Udupi,1.0,Satisfactory,60,CO
2022-06-03,Udupi,1.0,Good,49,CO
2022-07-30,Udupi,1.0,Good,40,CO
2022-08-11,Udupi,1.0,Good,37,CO
2022-08-13,Udupi,1.0,Satisfactory,57,CO
2022-08-27,Udupi,1.0,Satisfactory,61,CO
2022-08-28,Udupi,1.0,Satisfactory,70,O3
2022-08-29,Udupi,1.0,Moderate,114,O3
2022-08-30,Udupi,1.0,Satisfactory,88,O3
2022-08-31,Udupi,1.0,Poor,215,O3
2022-09-01,Udupi,1.0,Satisfactory,62,CO
2022-09-05,Udupi,1.0,Satisfactory,64,CO
2022-09-06,Udupi,1.0,Satisfactory,78,O3
2022-09-18,Udupi,1.0,Satisfactory,61,CO
2022-09-24,Udupi,1.0,Satisfactory,72,CO
2022-09-25,Udupi,1.0,Satisfactory,69,CO
2022-09-26,Udupi,1.0,Satisfactory,72,CO
2022-10-01,Udupi,1.0,Satisfactory,72,CO
2022-10-02,Udupi,1.0,Satisfactory,70,CO
2022-10-08,Udupi,1.0,Satisfactory,73,CO
2022-10-09,Udupi,1.0,Satisfactory,72,CO
2022-10-13,Udupi,1.0,Satisfactory,83,O3
2022-10-14,Udupi,1.0,Satisfactory,78,CO
2022-10-15,Udupi,1.0,Satisfactory,74,CO
2022-10-18,Udupi,1.0,Satisfactory,77,CO
2022-10-19,Udupi,1.0,Satisfactory,74,CO
2022-10-20,Udupi,1.0,Satisfactory,80,CO
2022-10-21,Udupi,1.0,Satisfactory,78,CO
2022-10-22,Udupi,1.0,Satisfactory,79,CO
2022-10-24,Udupi,1.0,Moderate,196,O3
2022-10-25,Udupi,1.0,Poor,219,O3
2022-10-28,Udupi,1.0,Poor,217,O3
2022-10-29,Udupi,1.0,Moderate,175,O3
2022-10-30,Udupi,1.0,Satisfactory,90,CO
2022-11-02,Udupi,1.0,Satisfactory,94,CO
2022-11-09,Udupi,1.0,Satisfactory,98,O3
2022-11-10,Udupi,1.0,Satisfactory,93,CO
2022-11-11,Udupi,1.0,Moderate,103,O3
2022-11-15,Udupi,1.0,Satisfactory,94,CO
2022-11-17,Udupi,1.0,Satisfactory,99,CO
2022-11-18,Udupi,1.0,Satisfactory,96,CO
2022-11-19,Udupi,1.0,Poor,232,O3
2022-11-20,Udupi,1.0,Satisfactory,94,CO
2022-11-29,Udupi,1.0,Moderate,101,CO
2022-12-04,Udupi,1.0,Satisfactory,96,CO
2022-12-05,Udupi,1.0,Satisfactory,94,CO
2022-12-06,Udupi,1.0,Satisfactory,100,CO
2022-12-08,Udupi,1.0,Poor,204,O3
2022-12-13,Udupi,1.0,Moderate,102,CO
2022-12-18,Udupi,1.0,Moderate,148,O3
2022-12-20,Udupi,1.0,Moderate,102,CO
2022-12-22,Udupi,1.0,Moderate,186,O3
2022-12-23,Udupi,1.0,Moderate,103,CO
2022-12-24,Udupi,1.0,Moderate,101,CO
2022-12-25,Udupi,1.0,Satisfactory,99,CO
2022-12-26,Udupi,1.0,Satisfactory,98,CO
2022-12-27,Udupi,1.0,Moderate,106,CO
2022-12-29,Udupi,1.0,Moderate,104,CO
2022-12-31,Udupi,1.0,Satisfactory,99,CO
2023-01-03,Udupi,1.0,Moderate,108,CO
