date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2023-07-23,Ulhasnagar,1.0,Good,45,PM10
2023-07-24,Ulhasnagar,1.0,Good,36,PM10
2023-07-25,Ulhasnagar,1.0,Good,44,PM10
2023-07-26,Ulhasnagar,1.0,Good,34,PM10
2023-07-27,Ulhasnagar,1.0,Good,32,PM10
2023-07-28,Ulhasnagar,1.0,Good,45,PM10
2023-07-29,Ulhasnagar,1.0,Good,38,PM10
2023-07-30,Ulhasnagar,1.0,Satisfactory,54,PM10
2023-07-31,Ulhasnagar,1.0,Satisfactory,52,PM10
2023-08-01,Ulhasnagar,1.0,Satisfactory,51,PM10
2023-08-02,Ulhasnagar,1.0,Satisfactory,59,PM10
2023-08-03,Ulhasnagar,1.0,Satisfactory,54,PM10
2023-08-04,Ulhasnagar,1.0,Good,43,PM10
2023-08-05,Ulhasnagar,1.0,Good,45,PM10
2023-08-06,Ulhasnagar,1.0,Satisfactory,54,PM10
2023-08-07,Ulhasnagar,1.0,Satisfactory,57,PM10
2023-08-08,Ulhasnagar,1.0,Satisfactory,67,PM10
2023-08-09,Ulhasnagar,1.0,Satisfactory,60,PM10
2023-08-10,Ulhasnagar,1.0,Satisfactory,68,PM10
2023-08-11,Ulhasnagar,1.0,Satisfactory,58,PM10
2023-08-12,Ulhasnagar,1.0,Satisfactory,68,PM10
2023-08-13,Ulhasnagar,1.0,Satisfactory,54,PM10
2023-08-14,Ulhasnagar,1.0,Satisfactory,59,PM10
2023-08-15,Ulhasnagar,1.0,Satisfactory,64,PM10
2023-08-16,Ulhasnagar,1.0,Satisfactory,54,PM10
2023-08-17,Ulhasnagar,1.0,Satisfactory,62,PM10
2023-08-18,Ulhasnagar,1.0,Satisfactory,52,PM10
2023-08-19,Ulhasnagar,1.0,Satisfactory,64,PM10
2023-08-20,Ulhasnagar,1.0,Satisfactory,64,PM10
2023-08-22,Ulhasnagar,1.0,Satisfactory,53,PM10
2023-08-23,Ulhasnagar,1.0,Good,33,PM2.5
2023-08-24,Ulhasnagar,1.0,Good,41,PM10
2023-08-25,Ulhasnagar,1.0,Good,39,PM10
2023-08-26,Ulhasnagar,1.0,Good,36,PM10
2023-08-27,Ulhasnagar,1.0,Good,38,PM2.5
2023-08-29,Ulhasnagar,1.0,Satisfactory,68,PM10
2023-08-30,Ulhasnagar,1.0,Satisfactory,91,PM10
2023-08-31,Ulhasnagar,1.0,Satisfactory,95,PM10
2023-09-01,Ulhasnagar,1.0,Satisfactory,90,PM10
2023-09-02,Ulhasnagar,1.0,Satisfactory,87,PM10
2023-09-03,Ulhasnagar,1.0,Satisfactory,65,PM10
2023-09-04,Ulhasnagar,1.0,Satisfactory,82,PM10
2023-09-05,Ulhasnagar,1.0,Moderate,102,PM10
2023-09-06,Ulhasnagar,1.0,Moderate,101,PM10
2023-09-07,Ulhasnagar,1.0,Satisfactory,69,PM10
2023-09-08,Ulhasnagar,1.0,Good,46,PM2.5
2023-09-09,Ulhasnagar,1.0,Satisfactory,56,PM2.5
2023-09-10,Ulhasnagar,1.0,Satisfactory,57,PM10
2023-09-11,Ulhasnagar,1.0,Satisfactory,61,PM10
2023-09-12,Ulhasnagar,1.0,Satisfactory,72,PM10
2023-09-14,Ulhasnagar,1.0,Satisfactory,62,PM10
2023-09-15,Ulhasnagar,1.0,Satisfactory,57,NO2
2023-09-16,Ulhasnagar,1.0,Good,46,PM10
2023-09-17,Ulhasnagar,1.0,Satisfactory,52,PM10
2023-09-18,Ulhasnagar,1.0,Good,48,PM10
2023-09-19,Ulhasnagar,1.0,Satisfactory,52,PM10
2023-09-20,Ulhasnagar,1.0,Good,43,PM10
2023-09-21,Ulhasnagar,1.0,Good,41,PM2.5
2023-09-22,Ulhasnagar,1.0,Good,46,PM2.5
2023-09-23,Ulhasnagar,1.0,Good,37,PM2.5
2023-09-24,Ulhasnagar,1.0,Satisfactory,62,PM2.5
2023-09-25,Ulhasnagar,1.0,Satisfactory,64,PM2.5
2023-09-27,Ulhasnagar,1.0,Good,49,PM2.5
2023-09-29,Ulhasnagar,1.0,Satisfactory,60,PM2.5
2023-09-30,Ulhasnagar,1.0,Good,50,PM10
2023-10-01,Ulhasnagar,1.0,Satisfactory,73,CO
2023-10-02,Ulhasnagar,1.0,Satisfactory,94,PM10
2023-10-03,Ulhasnagar,1.0,Moderate,122,PM10
2023-10-04,Ulhasnagar,1.0,Moderate,121,PM10
2023-10-05,Ulhasnagar,1.0,Moderate,125,PM10
2023-10-06,Ulhasnagar,1.0,Moderate,124,PM10
2023-10-07,Ulhasnagar,1.0,Moderate,114,PM10
2023-10-08,Ulhasnagar,1.0,Moderate,112,PM10
2023-10-09,Ulhasnagar,1.0,Moderate,158,PM2.5
2023-10-10,Ulhasnagar,1.0,Moderate,158,PM2.5
2023-10-11,Ulhasnagar,1.0,Moderate,110,PM10
2023-10-12,Ulhasnagar,1.0,Satisfactory,100,PM10
2023-10-13,Ulhasnagar,1.0,Poor,209,PM2.5
2023-10-14,Ulhasnagar,1.0,Poor,204,PM2.5
2023-10-15,Ulhasnagar,1.0,Poor,220,PM2.5
2023-10-16,Ulhasnagar,1.0,Poor,235,PM2.5
2023-10-17,Ulhasnagar,1.0,Very Poor,304,O3
2023-10-18,Ulhasnagar,1.0,Poor,270,PM2.5
2023-10-19,Ulhasnagar,1.0,Moderate,179,PM2.5
2023-10-21,Ulhasnagar,1.0,Poor,234,PM2.5
2023-10-22,Ulhasnagar,1.0,Poor,213,PM2.5
2023-10-23,Ulhasnagar,1.0,Poor,226,PM2.5
2023-10-24,Ulhasnagar,1.0,Moderate,180,PM2.5
2023-10-25,Ulhasnagar,1.0,Moderate,160,PM2.5
2023-10-26,Ulhasnagar,1.0,Moderate,150,PM2.5
2023-10-27,Ulhasnagar,1.0,Moderate,129,PM10
2023-10-28,Ulhasnagar,1.0,Moderate,141,PM2.5
2023-10-29,Ulhasnagar,1.0,Moderate,140,PM2.5
2023-10-30,Ulhasnagar,1.0,Moderate,183,PM2.5
2023-10-31,Ulhasnagar,1.0,Poor,220,PM2.5
2023-11-02,Ulhasnagar,1.0,Poor,209,PM2.5
2023-11-03,Ulhasnagar,1.0,Poor,231,PM2.5
2023-11-04,Ulhasnagar,1.0,Poor,223,PM2.5
2023-11-05,Ulhasnagar,1.0,Poor,263,PM2.5
2023-11-06,Ulhasnagar,1.0,Poor,269,PM2.5
2023-11-07,Ulhasnagar,1.0,Poor,242,PM2.5
