date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2022-08-28,Vellore,1.0,Good,35,SO2
2022-08-29,Vellore,1.0,Good,33,SO2
2022-08-31,Vellore,1.0,Good,50,PM10
2022-09-02,Vellore,1.0,Good,39,SO2
2022-09-03,Vellore,1.0,Satisfactory,55,PM10
2022-09-04,Vellore,1.0,Satisfactory,57,PM10
2022-09-05,Vellore,1.0,Good,41,PM10
2022-09-06,Vellore,1.0,Good,44,PM10
2022-09-07,Vellore,1.0,Good,46,CO
2022-09-10,Vellore,1.0,Good,40,PM10
2022-09-11,Vellore,1.0,Good,34,SO2
2022-09-12,Vellore,1.0,Good,43,PM10
2022-09-13,Vellore,1.0,Good,45,CO
2022-09-14,Vellore,1.0,Satisfactory,58,PM10
2022-09-15,Vellore,1.0,Satisfactory,54,PM10
2022-09-16,Vellore,1.0,Satisfactory,61,PM10
2022-09-17,Vellore,1.0,Satisfactory,60,PM10
2022-10-22,Vellore,1.0,Satisfactory,62,PM10
2022-10-23,Vellore,1.0,Satisfactory,82,PM10
2022-10-25,Vellore,1.0,Moderate,117,PM2.5
2022-10-26,Vellore,1.0,Moderate,140,PM2.5
2022-10-27,Vellore,1.0,Satisfactory,78,PM10
2022-10-29,Vellore,1.0,Satisfactory,52,PM10
2022-10-30,Vellore,1.0,Satisfactory,77,PM10
2022-10-31,Vellore,1.0,Satisfactory,96,PM2.5
2022-11-01,Vellore,1.0,Moderate,102,PM2.5
2022-11-02,Vellore,1.0,Good,20,SO2
2022-11-03,Vellore,1.0,Good,36,PM10
2022-11-04,Vellore,1.0,Good,40,PM10
2022-11-05,Vellore,1.0,Good,43,PM10
2022-11-06,Vellore,1.0,Satisfactory,66,PM10
2022-11-08,Vellore,1.0,Satisfactory,96,PM10
2022-11-09,Vellore,1.0,Satisfactory,99,PM10
2022-11-10,Vellore,1.0,Satisfactory,86,PM10
2022-11-15,Vellore,1.0,Good,44,PM10
2022-11-16,Vellore,1.0,Moderate,131,PM2.5
2022-11-17,Vellore,1.0,Moderate,144,PM2.5
2022-11-18,Vellore,1.0,Moderate,122,PM10
2022-11-22,Vellore,1.0,Satisfactory,83,PM10
2022-11-23,Vellore,1.0,Good,39,PM2.5
2022-11-24,Vellore,1.0,Satisfactory,54,PM2.5
2022-11-25,Vellore,1.0,Moderate,106,PM2.5
2022-12-08,Vellore,1.0,Moderate,168,PM2.5
2022-12-14,Vellore,1.0,Good,49,PM10
2022-12-20,Vellore,1.0,Satisfactory,94,PM10
