date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2020-01-21,Vijayapura,1.0,Satisfactory,64,PM2.5
2020-01-22,Vijayapura,1.0,Satisfactory,71,O3
2020-01-23,Vijayapura,1.0,Satisfactory,56,CO
2020-01-24,Vijayapura,1.0,Satisfactory,54,PM2.5
2020-01-25,Vijayapura,1.0,Satisfactory,65,PM2.5
2020-01-26,Vijayapura,1.0,Satisfactory,64,PM2.5
2020-01-29,Vijayapura,1.0,Moderate,102,O3
2020-01-30,Vijayapura,1.0,Satisfactory,71,O3
2020-01-31,Vijayapura,1.0,Satisfactory,79,PM2.5
2020-02-01,Vijayapura,1.0,Satisfactory,88,PM2.5
2020-02-02,Vijayapura,1.0,Satisfactory,79,PM2.5
2020-02-03,Vijayapura,1.0,Satisfactory,80,PM2.5
2020-02-04,Vijayapura,1.0,Satisfactory,81,PM2.5
2020-02-05,Vijayapura,1.0,Satisfactory,72,O3
2020-02-08,Vijayapura,1.0,Moderate,118,PM2.5
2020-02-09,Vijayapura,1.0,Satisfactory,94,PM2.5
2020-02-10,Vijayapura,1.0,Satisfactory,78,PM2.5
2020-02-11,Vijayapura,1.0,Satisfactory,83,PM2.5
2020-02-12,Vijayapura,1.0,Satisfactory,61,PM2.5
2020-02-13,Vijayapura,1.0,Satisfactory,73,PM2.5
2020-02-15,Vijayapura,1.0,Moderate,166,PM2.5
2020-02-18,Vijayapura,1.0,Moderate,129,PM2.5
2020-02-19,Vijayapura,1.0,Moderate,133,PM2.5
2020-02-20,Vijayapura,1.0,Moderate,108,PM2.5
2020-02-21,Vijayapura,1.0,Satisfactory,98,PM2.5
2020-02-22,Vijayapura,1.0,Satisfactory,74,PM2.5
2020-02-23,Vijayapura,1.0,Satisfactory,77,PM2.5
2020-02-24,Vijayapura,1.0,Satisfactory,67,PM2.5
2020-02-25,Vijayapura,1.0,Moderate,116,PM2.5
2020-02-26,Vijayapura,1.0,Moderate,167,PM2.5
2020-02-27,Vijayapura,1.0,Moderate,168,PM2.5
2020-02-28,Vijayapura,1.0,Moderate,107,PM2.5
2020-02-29,Vijayapura,1.0,Satisfactory,95,PM2.5
2020-03-01,Vijayapura,1.0,Satisfactory,97,PM2.5
2020-03-02,Vijayapura,1.0,Satisfactory,76,PM2.5
2020-03-03,Vijayapura,1.0,Satisfactory,81,PM2.5
2020-03-04,Vijayapura,1.0,Satisfactory,92,O3
2020-03-05,Vijayapura,1.0,Satisfactory,86,PM2.5
2020-03-10,Vijayapura,1.0,Satisfactory,69,PM2.5
2020-03-11,Vijayapura,1.0,Satisfactory,57,PM2.5
2020-03-12,Vijayapura,1.0,Good,50,PM2.5
2020-03-14,Vijayapura,1.0,Satisfactory,62,CO
2020-03-15,Vijayapura,1.0,Satisfactory,69,PM2.5
2020-03-16,Vijayapura,1.0,Satisfactory,68,PM2.5
2020-03-17,Vijayapura,1.0,Satisfactory,70,PM2.5
2020-03-18,Vijayapura,1.0,Satisfactory,70,PM2.5
2020-03-19,Vijayapura,1.0,Moderate,169,O3
2020-03-20,Vijayapura,1.0,Moderate,111,O3
2020-03-21,Vijayapura,1.0,Moderate,101,O3
2020-03-22,Vijayapura,1.0,Moderate,121,O3
2020-03-23,Vijayapura,1.0,Satisfactory,92,O3
2020-03-24,Vijayapura,1.0,Satisfactory,88,O3
2020-03-25,Vijayapura,1.0,Moderate,113,O3
2020-05-30,Vijayapura,1.0,Satisfactory,71,O3
2020-05-31,Vijayapura,1.0,Satisfactory,72,O3
2020-06-01,Vijayapura,1.0,Satisfactory,71,O3
2020-06-05,Vijayapura,1.0,Satisfactory,94,O3
2020-06-06,Vijayapura,1.0,Moderate,169,O3
2020-06-07,Vijayapura,1.0,Moderate,118,O3
2020-06-08,Vijayapura,1.0,Moderate,142,O3
2020-06-09,Vijayapura,1.0,Moderate,157,O3
2020-06-10,Vijayapura,1.0,Satisfactory,60,NO2
2020-06-15,Vijayapura,1.0,Satisfactory,55,O3
2020-06-16,Vijayapura,1.0,Good,37,CO
2020-06-17,Vijayapura,1.0,Good,33,O3
2020-06-18,Vijayapura,1.0,Good,35,CO
2020-06-19,Vijayapura,1.0,Satisfactory,52,PM2.5
2020-06-20,Vijayapura,1.0,Satisfactory,94,PM2.5
2020-06-21,Vijayapura,1.0,Good,36,CO
2020-06-22,Vijayapura,1.0,Satisfactory,58,PM2.5
2020-06-23,Vijayapura,1.0,Good,37,CO
2020-06-24,Vijayapura,1.0,Good,40,O3
2020-06-25,Vijayapura,1.0,Good,33,CO
2020-06-26,Vijayapura,1.0,Good,44,O3
2020-06-27,Vijayapura,1.0,Good,45,CO
2020-06-28,Vijayapura,1.0,Good,40,CO
2020-06-29,Vijayapura,1.0,Satisfactory,57,PM2.5
2020-06-30,Vijayapura,1.0,Good,34,CO
2020-07-01,Vijayapura,1.0,Good,34,CO
2020-07-02,Vijayapura,1.0,Good,34,CO
2020-07-03,Vijayapura,1.0,Good,35,O3
2020-07-04,Vijayapura,1.0,Good,34,CO
2020-07-05,Vijayapura,1.0,Good,34,CO
2020-07-06,Vijayapura,1.0,Good,40,O3
2020-07-07,Vijayapura,1.0,Satisfactory,54,CO
2020-07-08,Vijayapura,1.0,Satisfactory,81,CO
2020-07-09,Vijayapura,1.0,Good,39,PM2.5
2020-07-14,Vijayapura,1.0,Satisfactory,51,O3
2020-07-15,Vijayapura,1.0,Good,46,O3
2020-07-16,Vijayapura,1.0,Good,49,O3
2020-07-17,Vijayapura,1.0,Satisfactory,67,O3
2020-07-18,Vijayapura,1.0,Good,43,O3
2020-07-19,Vijayapura,1.0,Good,36,O3
2020-07-20,Vijayapura,1.0,Good,35,CO
2020-07-21,Vijayapura,1.0,Good,39,CO
2020-07-22,Vijayapura,1.0,Good,45,O3
2020-07-23,Vijayapura,1.0,Good,36,CO
2020-07-24,Vijayapura,1.0,Satisfactory,51,O3
2020-07-25,Vijayapura,1.0,Satisfactory,51,O3
2020-07-26,Vijayapura,1.0,Satisfactory,68,O3
2020-07-27,Vijayapura,1.0,Good,49,O3
2020-07-28,Vijayapura,1.0,Good,42,O3
2020-07-29,Vijayapura,1.0,Satisfactory,55,PM2.5
2020-07-30,Vijayapura,1.0,Good,40,CO
2020-08-01,Vijayapura,1.0,Satisfactory,68,O3
2020-08-02,Vijayapura,1.0,Satisfactory,77,O3
2020-08-03,Vijayapura,1.0,Satisfactory,78,O3
2020-08-04,Vijayapura,1.0,Moderate,107,O3
2020-08-05,Vijayapura,1.0,Satisfactory,83,O3
2020-08-06,Vijayapura,1.0,Moderate,106,O3
2020-08-07,Vijayapura,1.0,Moderate,101,O3
2020-08-08,Vijayapura,1.0,Satisfactory,85,O3
2020-08-09,Vijayapura,1.0,Satisfactory,67,O3
2020-08-10,Vijayapura,1.0,Satisfactory,65,O3
2020-08-11,Vijayapura,1.0,Satisfactory,71,O3
2020-08-12,Vijayapura,1.0,Satisfactory,94,O3
2020-08-13,Vijayapura,1.0,Satisfactory,75,O3
2020-08-14,Vijayapura,1.0,Moderate,111,O3
2020-08-15,Vijayapura,1.0,Satisfactory,83,O3
2020-08-16,Vijayapura,1.0,Satisfactory,61,O3
2020-08-17,Vijayapura,1.0,Satisfactory,68,O3
2020-08-18,Vijayapura,1.0,Good,49,O3
2020-08-19,Vijayapura,1.0,Good,36,CO
2020-08-20,Vijayapura,1.0,Good,46,O3
2020-08-21,Vijayapura,1.0,Satisfactory,69,O3
2020-08-22,Vijayapura,1.0,Satisfactory,67,O3
2020-08-23,Vijayapura,1.0,Satisfactory,64,O3
2020-08-24,Vijayapura,1.0,Satisfactory,60,O3
2020-08-25,Vijayapura,1.0,Good,50,O3
2020-08-26,Vijayapura,1.0,Good,38,O3
2020-08-29,Vijayapura,1.0,Satisfactory,60,O3
2020-08-30,Vijayapura,1.0,Good,50,O3
2020-08-31,Vijayapura,1.0,Good,47,O3
2020-09-01,Vijayapura,1.0,Good,42,O3
2020-09-02,Vijayapura,1.0,Good,42,PM2.5
2020-09-03,Vijayapura,1.0,Good,44,PM2.5
2020-09-19,Vijayapura,1.0,Good,48,CO
2020-09-20,Vijayapura,1.0,Good,40,O3
2020-09-21,Vijayapura,1.0,Satisfactory,77,O3
2020-09-22,Vijayapura,1.0,Satisfactory,68,O3
2020-09-23,Vijayapura,1.0,Satisfactory,91,O3
2020-09-24,Vijayapura,1.0,Satisfactory,62,O3
2020-09-25,Vijayapura,1.0,Satisfactory,58,O3
2020-09-26,Vijayapura,1.0,Good,30,O3
2020-09-27,Vijayapura,1.0,Good,37,O3
2020-09-28,Vijayapura,1.0,Good,46,O3
2020-09-29,Vijayapura,1.0,Satisfactory,51,O3
2020-09-30,Vijayapura,1.0,Satisfactory,54,O3
2020-10-01,Vijayapura,1.0,Satisfactory,52,O3
2020-10-02,Vijayapura,1.0,Satisfactory,55,O3
2020-10-03,Vijayapura,1.0,Satisfactory,59,O3
2020-10-04,Vijayapura,1.0,Satisfactory,68,O3
2020-10-05,Vijayapura,1.0,Satisfactory,53,O3
2020-10-06,Vijayapura,1.0,Satisfactory,60,O3
2020-10-07,Vijayapura,1.0,Satisfactory,72,O3
2020-10-08,Vijayapura,1.0,Satisfactory,82,O3
2020-10-09,Vijayapura,1.0,Satisfactory,67,O3
2020-10-10,Vijayapura,1.0,Good,49,O3
2020-10-11,Vijayapura,1.0,Good,47,O3
2020-10-12,Vijayapura,1.0,Good,41,CO
2020-10-13,Vijayapura,1.0,Good,45,CO
2020-10-14,Vijayapura,1.0,Good,45,O3
2020-10-15,Vijayapura,1.0,Good,49,O3
2020-10-16,Vijayapura,1.0,Satisfactory,61,O3
2020-10-17,Vijayapura,1.0,Satisfactory,61,O3
2020-10-18,Vijayapura,1.0,Good,48,O3
2020-10-19,Vijayapura,1.0,Good,41,PM2.5
2020-10-20,Vijayapura,1.0,Good,50,PM2.5
2020-10-21,Vijayapura,1.0,Satisfactory,53,PM2.5
2020-10-22,Vijayapura,1.0,Satisfactory,63,O3
2020-10-24,Vijayapura,1.0,Satisfactory,71,PM10
2020-10-25,Vijayapura,1.0,Satisfactory,68,O3
2020-10-26,Vijayapura,1.0,Satisfactory,70,O3
2020-10-27,Vijayapura,1.0,Satisfactory,69,PM2.5
2020-10-28,Vijayapura,1.0,Satisfactory,74,PM10
2020-10-29,Vijayapura,1.0,Satisfactory,71,PM2.5
2020-10-30,Vijayapura,1.0,Satisfactory,76,PM2.5
2020-10-31,Vijayapura,1.0,Satisfactory,81,PM10
2020-11-04,Vijayapura,1.0,Satisfactory,95,PM10
2020-11-05,Vijayapura,1.0,Satisfactory,87,PM10
2020-11-06,Vijayapura,1.0,Satisfactory,88,PM10
