date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2017-05-03,Vijayawada,1.0,Satisfactory,64,PM10
2017-05-04,Vijayawada,1.0,Satisfactory,53,PM10
2017-05-05,Vijayawada,1.0,Satisfactory,75,O3
2017-05-06,Vijayawada,1.0,Good,50,PM10
2017-05-07,Vijayawada,1.0,Satisfactory,56,PM10
2017-05-08,Vijayawada,1.0,Satisfactory,55,PM10
2017-05-09,Vijayawada,1.0,Satisfactory,84,PM2.5
2017-05-10,Vijayawada,1.0,Satisfactory,64,PM10
2017-05-11,Vijayawada,1.0,Satisfactory,77,PM2.5
2017-05-12,Vijayawada,1.0,Satisfactory,51,PM10
2017-05-13,Vijayawada,1.0,Good,45,PM10
2017-05-14,Vijayawada,1.0,Satisfactory,71,PM10
2017-05-15,Vijayawada,1.0,Satisfactory,90,PM2.5
2017-05-16,Vijayawada,1.0,Moderate,101,PM10
2017-05-17,Vijayawada,1.0,Moderate,110,PM2.5
2017-05-18,Vijayawada,1.0,Moderate,168,PM10
2017-06-07,Vijayawada,1.0,Moderate,112,PM10
2017-06-09,Vijayawada,1.0,Satisfactory,63,CO
2017-06-10,Vijayawada,1.0,Satisfactory,83,PM10
2017-06-11,Vijayawada,1.0,Good,47,PM10
2017-06-12,Vijayawada,1.0,Good,45,CO
2017-06-13,Vijayawada,1.0,Satisfactory,52,PM10
2017-06-14,Vijayawada,1.0,Satisfactory,67,CO
2017-06-19,Vijayawada,1.0,Good,40,NO2
2017-06-20,Vijayawada,1.0,Good,46,PM10
2017-06-21,Vijayawada,1.0,Satisfactory,54,PM10
2017-06-22,Vijayawada,1.0,Poor,211,PM2.5
2017-06-23,Vijayawada,1.0,Satisfactory,55,PM10
2017-06-24,Vijayawada,1.0,Satisfactory,67,PM10
2017-06-25,Vijayawada,1.0,Moderate,108,PM10
2017-06-26,Vijayawada,1.0,Satisfactory,56,PM10
2017-06-27,Vijayawada,1.0,Good,49,PM10
2017-06-28,Vijayawada,1.0,Satisfactory,68,PM10
2017-06-29,Vijayawada,1.0,Moderate,121,PM10
2017-06-30,Vijayawada,1.0,Moderate,116,PM10
2017-07-05,Vijayawada,1.0,Moderate,128,NO2
2017-07-06,Vijayawada,1.0,Moderate,177,CO
2017-07-08,Vijayawada,1.0,Satisfactory,68,PM10
2017-07-09,Vijayawada,1.0,Satisfactory,76,PM10
2017-07-11,Vijayawada,1.0,Good,50,CO
2017-07-14,Vijayawada,1.0,Good,38,CO
2017-07-15,Vijayawada,1.0,Satisfactory,89,PM10
2017-07-16,Vijayawada,1.0,Satisfactory,88,PM10
2017-07-18,Vijayawada,1.0,Poor,245,PM10
2017-07-19,Vijayawada,1.0,Good,39,CO
2017-07-22,Vijayawada,1.0,Satisfactory,96,PM10
2017-07-23,Vijayawada,1.0,Moderate,104,PM10
2017-07-24,Vijayawada,1.0,Satisfactory,77,PM10
2017-07-25,Vijayawada,1.0,Satisfactory,77,PM10
2017-07-26,Vijayawada,1.0,Satisfactory,85,PM10
2017-07-29,Vijayawada,1.0,Satisfactory,94,PM10
2017-08-01,Vijayawada,1.0,Satisfactory,69,PM10
2017-08-05,Vijayawada,1.0,Satisfactory,72,CO
2017-08-06,Vijayawada,1.0,Satisfactory,94,PM10
2017-08-07,Vijayawada,1.0,Satisfactory,93,PM10
2017-08-08,Vijayawada,1.0,Satisfactory,57,PM10
2017-08-09,Vijayawada,1.0,Satisfactory,53,PM10
2017-08-10,Vijayawada,1.0,Satisfactory,67,PM10
2017-08-11,Vijayawada,1.0,Satisfactory,76,PM10
2017-08-17,Vijayawada,1.0,Moderate,108,PM10
2017-08-18,Vijayawada,1.0,Satisfactory,62,CO
2017-08-30,Vijayawada,1.0,Satisfactory,56,CO
2017-09-02,Vijayawada,1.0,Moderate,104,PM10
2017-09-03,Vijayawada,1.0,Satisfactory,57,PM10
2017-09-04,Vijayawada,1.0,Satisfactory,67,PM10
2017-09-05,Vijayawada,1.0,Satisfactory,66,CO
2017-09-06,Vijayawada,1.0,Satisfactory,68,CO
2017-09-07,Vijayawada,1.0,Satisfactory,88,CO
2017-09-09,Vijayawada,1.0,Satisfactory,68,CO
2017-09-12,Vijayawada,1.0,Satisfactory,60,CO
2017-09-13,Vijayawada,1.0,Satisfactory,51,CO
2017-09-14,Vijayawada,1.0,Satisfactory,55,PM10
2017-09-15,Vijayawada,1.0,Satisfactory,64,CO
2017-09-16,Vijayawada,1.0,Satisfactory,54,PM10
2017-09-19,Vijayawada,1.0,Satisfactory,56,CO
2017-09-20,Vijayawada,1.0,Satisfactory,57,CO
2017-09-21,Vijayawada,1.0,Satisfactory,63,PM10
2017-09-22,Vijayawada,1.0,Satisfactory,63,CO
2017-09-24,Vijayawada,1.0,Satisfactory,91,PM10
2017-09-25,Vijayawada,1.0,Satisfactory,80,CO
2017-09-26,Vijayawada,1.0,Satisfactory,65,CO
2017-09-27,Vijayawada,1.0,Satisfactory,96,PM10
2017-09-28,Vijayawada,1.0,Satisfactory,88,CO
2017-09-29,Vijayawada,1.0,Satisfactory,82,CO
2017-09-30,Vijayawada,1.0,Satisfactory,79,CO
2017-10-02,Vijayawada,1.0,Satisfactory,81,CO
2017-10-03,Vijayawada,1.0,Satisfactory,71,PM10
2017-10-05,Vijayawada,1.0,Satisfactory,75,PM2.5
2017-10-06,Vijayawada,1.0,Satisfactory,71,CO
2017-10-07,Vijayawada,1.0,Satisfactory,56,PM10
2017-10-10,Vijayawada,1.0,Satisfactory,64,PM10
2017-10-11,Vijayawada,1.0,Satisfactory,56,PM10
2017-10-12,Vijayawada,1.0,Satisfactory,60,PM10
2017-10-13,Vijayawada,1.0,Satisfactory,64,PM10
2017-10-15,Vijayawada,1.0,Satisfactory,78,CO
2017-10-16,Vijayawada,1.0,Satisfactory,74,CO
2017-10-17,Vijayawada,1.0,Moderate,115,PM10
2017-10-18,Vijayawada,1.0,Satisfactory,95,PM10
2017-10-20,Vijayawada,1.0,Poor,235,PM2.5
2017-10-21,Vijayawada,1.0,Moderate,134,PM2.5
2017-10-22,Vijayawada,1.0,Satisfactory,91,PM10
2017-10-23,Vijayawada,1.0,Satisfactory,81,PM10
2017-10-24,Vijayawada,1.0,Satisfactory,85,CO
2017-10-25,Vijayawada,1.0,Satisfactory,77,CO
2017-10-26,Vijayawada,1.0,Satisfactory,85,CO
2017-10-27,Vijayawada,1.0,Satisfactory,84,PM10
2017-10-28,Vijayawada,1.0,Satisfactory,83,PM10
2017-10-29,Vijayawada,1.0,Satisfactory,81,PM10
2017-10-30,Vijayawada,1.0,Moderate,105,PM10
2017-10-31,Vijayawada,1.0,Moderate,116,PM2.5
2017-11-01,Vijayawada,1.0,Satisfactory,93,PM2.5
2017-11-02,Vijayawada,1.0,Satisfactory,87,PM10
2017-11-03,Vijayawada,1.0,Moderate,103,PM10
2017-11-04,Vijayawada,1.0,Satisfactory,82,PM10
2017-11-05,Vijayawada,1.0,Satisfactory,67,PM2.5
2017-11-06,Vijayawada,1.0,Satisfactory,66,PM10
2017-11-07,Vijayawada,1.0,Satisfactory,76,PM10
2017-11-08,Vijayawada,1.0,Satisfactory,84,PM10
2017-11-09,Vijayawada,1.0,Satisfactory,96,PM10
2017-11-10,Vijayawada,1.0,Satisfactory,95,PM10
2017-11-11,Vijayawada,1.0,Moderate,112,PM2.5
2017-11-13,Vijayawada,1.0,Satisfactory,100,PM2.5
2017-11-14,Vijayawada,1.0,Satisfactory,81,PM10
2017-11-15,Vijayawada,1.0,Satisfactory,73,PM10
2017-11-16,Vijayawada,1.0,Satisfactory,79,CO
2017-11-17,Vijayawada,1.0,Satisfactory,85,CO
2017-11-18,Vijayawada,1.0,Satisfactory,93,CO
2017-11-19,Vijayawada,1.0,Satisfactory,90,CO
2017-11-21,Vijayawada,1.0,Satisfactory,79,CO
2017-11-22,Vijayawada,1.0,Moderate,107,PM10
2017-11-23,Vijayawada,1.0,Moderate,124,PM2.5
2017-11-24,Vijayawada,1.0,Moderate,106,PM2.5
2017-11-25,Vijayawada,1.0,Moderate,102,PM2.5
2017-11-26,Vijayawada,1.0,Satisfactory,93,PM10
2017-11-27,Vijayawada,1.0,Moderate,114,PM2.5
2017-11-28,Vijayawada,1.0,Satisfactory,86,PM10
2017-11-29,Vijayawada,1.0,Satisfactory,98,PM10
2017-11-30,Vijayawada,1.0,Moderate,106,PM2.5
2017-12-01,Vijayawada,1.0,Moderate,102,PM10
2017-12-02,Vijayawada,1.0,Satisfactory,89,PM10
2017-12-03,Vijayawada,1.0,Satisfactory,68,PM2.5
2017-12-04,Vijayawada,1.0,Satisfactory,83,PM10
2017-12-05,Vijayawada,1.0,Satisfactory,86,PM10
2017-12-06,Vijayawada,1.0,Satisfactory,95,PM2.5
2017-12-07,Vijayawada,1.0,Satisfactory,99,PM2.5
2017-12-08,Vijayawada,1.0,Satisfactory,65,NO2
2017-12-09,Vijayawada,1.0,Satisfactory,78,NO2
2017-12-10,Vijayawada,1.0,Satisfactory,84,NO2
2017-12-11,Vijayawada,1.0,Satisfactory,80,NO2
2017-12-12,Vijayawada,1.0,Satisfactory,65,PM10
2017-12-13,Vijayawada,1.0,Satisfactory,73,PM2.5
2017-12-14,Vijayawada,1.0,Satisfactory,65,CO
2017-12-15,Vijayawada,1.0,Satisfactory,59,PM10
2017-12-16,Vijayawada,1.0,Satisfactory,71,PM10
2017-12-17,Vijayawada,1.0,Satisfactory,67,PM2.5
2017-12-18,Vijayawada,1.0,Moderate,108,PM2.5
2017-12-19,Vijayawada,1.0,Satisfactory,86,PM10
2017-12-20,Vijayawada,1.0,Satisfactory,66,PM10
2017-12-21,Vijayawada,1.0,Satisfactory,64,NO2
2017-12-22,Vijayawada,1.0,Satisfactory,77,NO2
2017-12-23,Vijayawada,1.0,Satisfactory,73,PM10
2017-12-24,Vijayawada,1.0,Satisfactory,76,PM10
2017-12-25,Vijayawada,1.0,Satisfactory,81,PM10
2017-12-26,Vijayawada,1.0,Satisfactory,88,PM10
2017-12-28,Vijayawada,1.0,Moderate,103,NO2
2017-12-29,Vijayawada,1.0,Satisfactory,93,PM10
2017-12-30,Vijayawada,1.0,Satisfactory,93,PM10
2017-12-31,Vijayawada,1.0,Satisfactory,83,PM10
2018-01-01,Vijayawada,1.0,Satisfactory,98,PM10
2018-01-02,Vijayawada,1.0,Satisfactory,85,PM10
2018-01-03,Vijayawada,1.0,Satisfactory,82,PM10
2018-01-04,Vijayawada,1.0,Moderate,116,PM10
2018-01-05,Vijayawada,1.0,Moderate,156,PM2.5
2018-01-06,Vijayawada,1.0,Moderate,126,PM2.5
2018-01-07,Vijayawada,1.0,Satisfactory,92,PM2.5
2018-01-08,Vijayawada,1.0,Satisfactory,91,PM10
2018-01-09,Vijayawada,1.0,Satisfactory,90,PM10
2018-01-10,Vijayawada,1.0,Satisfactory,84,PM10
2018-01-11,Vijayawada,1.0,Satisfactory,87,PM10
2018-01-12,Vijayawada,1.0,Satisfactory,93,PM2.5
2018-01-13,Vijayawada,1.0,Satisfactory,84,PM2.5
2018-01-14,Vijayawada,1.0,Moderate,129,PM2.5
2018-01-15,Vijayawada,1.0,Satisfactory,90,PM2.5
2018-01-16,Vijayawada,1.0,Satisfactory,74,PM2.5
2018-01-17,Vijayawada,1.0,Moderate,109,PM2.5
2018-01-18,Vijayawada,1.0,Moderate,116,PM2.5
2018-01-19,Vijayawada,1.0,Satisfactory,100,PM2.5
2018-01-20,Vijayawada,1.0,Satisfactory,72,PM10
2018-01-21,Vijayawada,1.0,Satisfactory,88,PM2.5
2018-01-22,Vijayawada,1.0,Moderate,101,PM2.5
2018-01-23,Vijayawada,1.0,Satisfactory,96,PM2.5
2018-01-24,Vijayawada,1.0,Satisfactory,85,PM2.5
2018-01-25,Vijayawada,1.0,Satisfactory,78,PM2.5
2018-01-26,Vijayawada,1.0,Satisfactory,77,PM10
2018-01-27,Vijayawada,1.0,Satisfactory,81,PM10
2018-01-28,Vijayawada,1.0,Satisfactory,100,PM10
2018-01-29,Vijayawada,1.0,Satisfactory,99,PM10
2018-01-30,Vijayawada,1.0,Moderate,113,PM2.5
2018-01-31,Vijayawada,1.0,Moderate,117,PM10
2018-02-01,Vijayawada,1.0,Satisfactory,90,PM10
2018-02-02,Vijayawada,1.0,Moderate,105,PM10
2018-02-03,Vijayawada,1.0,Satisfactory,80,PM10
2018-02-04,Vijayawada,1.0,Moderate,128,PM2.5
2018-02-05,Vijayawada,1.0,Moderate,104,PM2.5
2018-02-06,Vijayawada,1.0,Satisfactory,90,PM10
2018-02-07,Vijayawada,1.0,Satisfactory,97,PM10
2018-02-08,Vijayawada,1.0,Moderate,107,PM10
2018-02-09,Vijayawada,1.0,Satisfactory,73,PM10
2018-02-10,Vijayawada,1.0,Satisfactory,83,PM10
2018-02-11,Vijayawada,1.0,Moderate,143,PM2.5
2018-02-16,Vijayawada,1.0,Satisfactory,93,PM10
2018-02-17,Vijayawada,1.0,Satisfactory,72,PM10
2018-02-18,Vijayawada,1.0,Satisfactory,81,PM10
2018-02-19,Vijayawada,1.0,Moderate,107,PM2.5
2018-02-20,Vijayawada,1.0,Moderate,103,PM10
2018-02-21,Vijayawada,1.0,Satisfactory,74,PM10
2018-02-22,Vijayawada,1.0,Satisfactory,61,PM2.5
2018-02-23,Vijayawada,1.0,Satisfactory,90,PM2.5
2018-02-24,Vijayawada,1.0,Satisfactory,93,PM2.5
2018-02-27,Vijayawada,1.0,Satisfactory,73,PM10
2018-02-28,Vijayawada,1.0,Satisfactory,84,PM10
2018-03-01,Vijayawada,1.0,Satisfactory,78,PM10
2018-03-02,Vijayawada,1.0,Satisfactory,72,PM10
2018-03-03,Vijayawada,1.0,Satisfactory,71,PM10
2018-03-04,Vijayawada,1.0,Satisfactory,77,PM10
2018-03-05,Vijayawada,1.0,Satisfactory,66,PM10
2018-03-06,Vijayawada,1.0,Satisfactory,68,PM10
2018-03-07,Vijayawada,1.0,Satisfactory,73,PM10
2018-03-08,Vijayawada,1.0,Satisfactory,82,PM10
2018-03-09,Vijayawada,1.0,Satisfactory,82,PM10
2018-03-10,Vijayawada,1.0,Satisfactory,83,PM10
2018-03-11,Vijayawada,1.0,Satisfactory,80,PM10
2018-03-12,Vijayawada,1.0,Satisfactory,70,PM10
2018-03-13,Vijayawada,1.0,Satisfactory,65,CO
2018-03-14,Vijayawada,1.0,Satisfactory,56,PM10
2018-03-15,Vijayawada,1.0,Satisfactory,59,PM10
2018-03-16,Vijayawada,1.0,Satisfactory,55,CO
2018-03-17,Vijayawada,1.0,Satisfactory,71,CO
2018-03-18,Vijayawada,1.0,Satisfactory,93,NO2
2018-03-19,Vijayawada,1.0,Satisfactory,75,PM10
2018-03-20,Vijayawada,1.0,Satisfactory,71,PM10
2018-03-21,Vijayawada,1.0,Satisfactory,71,PM10
2018-03-22,Vijayawada,1.0,Satisfactory,75,PM10
2018-03-23,Vijayawada,1.0,Satisfactory,77,PM10
2018-03-24,Vijayawada,1.0,Satisfactory,77,PM10
2018-03-25,Vijayawada,1.0,Satisfactory,84,CO
2018-03-26,Vijayawada,1.0,Satisfactory,76,PM10
2018-03-27,Vijayawada,1.0,Satisfactory,70,PM10
2018-03-28,Vijayawada,1.0,Satisfactory,65,PM10
2018-03-29,Vijayawada,1.0,Satisfactory,57,PM10
2018-03-30,Vijayawada,1.0,Satisfactory,67,PM10
2018-03-31,Vijayawada,1.0,Satisfactory,66,CO
2018-04-01,Vijayawada,1.0,Satisfactory,59,PM10
2018-04-02,Vijayawada,1.0,Satisfactory,74,CO
2018-04-05,Vijayawada,1.0,Satisfactory,58,PM10
2018-04-06,Vijayawada,1.0,Satisfactory,65,PM10
2018-04-07,Vijayawada,1.0,Satisfactory,64,PM10
2018-04-08,Vijayawada,1.0,Satisfactory,70,PM10
2018-04-10,Vijayawada,1.0,Satisfactory,72,PM10
2018-04-13,Vijayawada,1.0,Satisfactory,52,CO
2018-04-17,Vijayawada,1.0,Good,41,PM10
2018-04-18,Vijayawada,1.0,Satisfactory,70,CO
2018-04-20,Vijayawada,1.0,Satisfactory,75,CO
2018-04-21,Vijayawada,1.0,Satisfactory,61,PM10
2018-04-24,Vijayawada,1.0,Satisfactory,59,PM10
2018-04-26,Vijayawada,1.0,Satisfactory,60,PM10
2018-04-27,Vijayawada,1.0,Satisfactory,59,OZONE
2018-04-28,Vijayawada,1.0,Good,48,PM10
2018-04-29,Vijayawada,1.0,Satisfactory,59,CO
2018-05-01,Vijayawada,1.0,Satisfactory,60,PM10
2018-05-04,Vijayawada,1.0,Satisfactory,60,PM10
2018-05-05,Vijayawada,1.0,Satisfactory,55,PM10
2018-05-06,Vijayawada,1.0,Good,44,PM10
2018-05-10,Vijayawada,1.0,Satisfactory,50,PM10
2018-05-18,Vijayawada,1.0,Good,42,CO
2018-05-19,Vijayawada,1.0,Satisfactory,64,PM10
2018-05-20,Vijayawada,1.0,Satisfactory,69,PM10
2018-05-21,Vijayawada,1.0,Satisfactory,62,PM10
2018-05-22,Vijayawada,1.0,Satisfactory,56,PM10
2018-05-23,Vijayawada,1.0,Satisfactory,64,PM10
2018-05-24,Vijayawada,1.0,Satisfactory,51,PM10
2018-05-25,Vijayawada,1.0,Good,47,PM10
2018-05-26,Vijayawada,1.0,Good,44,PM10
2018-05-27,Vijayawada,1.0,Good,43,PM10
2018-05-28,Vijayawada,1.0,Good,43,PM10
2018-05-29,Vijayawada,1.0,Satisfactory,61,PM10
2018-05-30,Vijayawada,1.0,Satisfactory,69,PM10
2018-05-31,Vijayawada,1.0,Satisfactory,70,PM10
2018-06-01,Vijayawada,1.0,Satisfactory,72,PM10
2018-06-02,Vijayawada,1.0,Satisfactory,59,PM10
2018-06-03,Vijayawada,1.0,Satisfactory,60,PM10
2018-06-04,Vijayawada,1.0,Satisfactory,63,PM10
2018-06-05,Vijayawada,1.0,Satisfactory,70,PM10
2018-06-06,Vijayawada,1.0,Satisfactory,68,PM10
2018-06-07,Vijayawada,1.0,Good,45,PM10
2018-06-08,Vijayawada,1.0,Good,46,PM10
2018-06-09,Vijayawada,1.0,Good,35,PM10
2018-06-10,Vijayawada,1.0,Good,41,PM10
2018-06-11,Vijayawada,1.0,Good,49,PM10
2018-06-12,Vijayawada,1.0,Satisfactory,58,PM10
2018-06-14,Vijayawada,1.0,Satisfactory,73,PM10
2018-06-19,Vijayawada,1.0,Satisfactory,56,PM10
2018-06-20,Vijayawada,1.0,Satisfactory,56,PM10
2018-06-22,Vijayawada,1.0,Satisfactory,57,PM10
2018-06-23,Vijayawada,1.0,Satisfactory,55,PM10
