date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2019-09-23,Yadgir,1.0,Good,42,PM10
2019-09-24,Yadgir,1.0,Satisfactory,52,OZONE
2019-09-25,Yadgir,1.0,Satisfactory,54,OZONE
2019-09-26,Yadgir,1.0,Good,46,OZONE
2019-09-27,Yadgir,1.0,Good,37,OZONE
2019-09-28,Yadgir,1.0,Good,42,OZONE
2019-09-29,Yadgir,1.0,Good,37,OZONE
2019-10-01,Yadgir,1.0,Satisfactory,62,OZONE
2019-10-02,Yadgir,1.0,Satisfactory,59,OZONE
2019-10-03,Yadgir,1.0,Satisfactory,59,OZONE
2019-10-04,Yadgir,1.0,Satisfactory,54,OZONE
2019-10-05,Yadgir,1.0,Satisfactory,77,OZONE
2019-10-06,Yadgir,1.0,Satisfactory,66,OZONE
2019-10-07,Yadgir,1.0,Satisfactory,83,OZONE
2019-10-08,Yadgir,1.0,Satisfactory,57,OZONE
2019-10-10,Yadgir,1.0,Satisfactory,67,OZONE
2019-10-11,Yadgir,1.0,Satisfactory,79,OZONE
2019-10-12,Yadgir,1.0,Satisfactory,71,OZONE
2019-10-13,Yadgir,1.0,Satisfactory,53,OZONE
2019-10-14,Yadgir,1.0,Satisfactory,51,OZONE
2019-10-15,Yadgir,1.0,Satisfactory,89,PM2.5
2019-10-16,Yadgir,1.0,Satisfactory,75,OZONE
2019-10-17,Yadgir,1.0,Moderate,102,PM2.5
2019-10-18,Yadgir,1.0,Good,38,OZONE
2019-10-19,Yadgir,1.0,Good,46,OZONE
2019-10-20,Yadgir,1.0,Good,47,OZONE
2019-10-21,Yadgir,1.0,Good,41,OZONE
2019-10-22,Yadgir,1.0,Satisfactory,57,OZONE
2019-10-23,Yadgir,1.0,Good,37,CO
2019-10-24,Yadgir,1.0,Good,26,OZONE
2019-10-25,Yadgir,1.0,Good,40,OZONE
2019-10-26,Yadgir,1.0,Good,38,OZONE
2019-10-27,Yadgir,1.0,Good,48,OZONE
2019-10-28,Yadgir,1.0,Good,38,OZONE
2019-10-29,Yadgir,1.0,Satisfactory,54,OZONE
2019-10-31,Yadgir,1.0,Good,39,OZONE
2019-11-01,Yadgir,1.0,Good,49,OZONE
2019-11-02,Yadgir,1.0,Good,38,OZONE
2019-11-03,Yadgir,1.0,Good,47,OZONE
2019-11-04,Yadgir,1.0,Satisfactory,52,OZONE
2019-11-05,Yadgir,1.0,Satisfactory,86,OZONE
2019-11-06,Yadgir,1.0,Moderate,107,PM2.5
2019-11-07,Yadgir,1.0,Satisfactory,84,PM2.5
2019-11-08,Yadgir,1.0,Satisfactory,69,PM2.5
2019-11-09,Yadgir,1.0,Satisfactory,76,OZONE
2019-11-10,Yadgir,1.0,Moderate,163,OZONE
2019-11-11,Yadgir,1.0,Satisfactory,90,OZONE
2019-11-12,Yadgir,1.0,Satisfactory,86,OZONE
2019-11-13,Yadgir,1.0,Satisfactory,90,OZONE
2019-11-14,Yadgir,1.0,Satisfactory,82,OZONE
2019-11-15,Yadgir,1.0,Satisfactory,98,PM2.5
2019-11-16,Yadgir,1.0,Moderate,105,PM2.5
2019-11-17,Yadgir,1.0,Satisfactory,93,PM2.5
2019-11-18,Yadgir,1.0,Moderate,146,PM2.5
2019-11-19,Yadgir,1.0,Moderate,117,PM2.5
2019-11-20,Yadgir,1.0,Moderate,103,PM2.5
2019-11-21,Yadgir,1.0,Moderate,155,PM2.5
2019-11-22,Yadgir,1.0,Moderate,111,PM2.5
2019-11-23,Yadgir,1.0,Satisfactory,79,PM2.5
2019-11-24,Yadgir,1.0,Satisfactory,98,PM2.5
2019-11-25,Yadgir,1.0,Moderate,103,PM2.5
2019-11-26,Yadgir,1.0,Moderate,128,PM2.5
2019-11-27,Yadgir,1.0,Moderate,110,PM2.5
2019-11-28,Yadgir,1.0,Satisfactory,82,PM2.5
2019-11-29,Yadgir,1.0,Satisfactory,71,PM2.5
2019-11-30,Yadgir,1.0,Satisfactory,63,PM2.5
2019-12-01,Yadgir,1.0,Satisfactory,63,PM10
2019-12-02,Yadgir,1.0,Good,41,PM2.5
2019-12-03,Yadgir,1.0,Good,50,PM2.5
2019-12-04,Yadgir,1.0,Moderate,107,PM2.5
2019-12-05,Yadgir,1.0,Moderate,130,PM2.5
2019-12-06,Yadgir,1.0,Moderate,148,PM2.5
2019-12-07,Yadgir,1.0,Moderate,151,PM2.5
2019-12-08,Yadgir,1.0,Satisfactory,76,PM2.5
2019-12-09,Yadgir,1.0,Satisfactory,75,O3
2019-12-10,Yadgir,1.0,Satisfactory,64,O3
2019-12-11,Yadgir,1.0,Satisfactory,60,PM10
2019-12-12,Yadgir,1.0,Satisfactory,67,PM10
2019-12-13,Yadgir,1.0,Satisfactory,62,PM10
2019-12-14,Yadgir,1.0,Satisfactory,56,PM10
2019-12-15,Yadgir,1.0,Satisfactory,63,O3
2019-12-16,Yadgir,1.0,Satisfactory,60,PM2.5
2019-12-17,Yadgir,1.0,Satisfactory,73,O3
2019-12-18,Yadgir,1.0,Satisfactory,97,PM2.5
2019-12-19,Yadgir,1.0,Moderate,105,PM2.5
2019-12-21,Yadgir,1.0,Moderate,123,PM2.5
2019-12-22,Yadgir,1.0,Moderate,128,PM2.5
2019-12-23,Yadgir,1.0,Moderate,102,PM2.5
2019-12-24,Yadgir,1.0,Satisfactory,90,PM2.5
2019-12-25,Yadgir,1.0,Satisfactory,83,PM2.5
2019-12-26,Yadgir,1.0,Satisfactory,93,PM2.5
2019-12-27,Yadgir,1.0,Satisfactory,71,PM2.5
2019-12-28,Yadgir,1.0,Moderate,165,PM2.5
2019-12-29,Yadgir,1.0,Moderate,123,PM2.5
2019-12-30,Yadgir,1.0,Moderate,121,PM2.5
2019-12-31,Yadgir,1.0,Satisfactory,84,PM2.5
2020-01-01,Yadgir,1.0,Satisfactory,66,PM2.5
2020-01-02,Yadgir,1.0,Satisfactory,56,PM2.5
2020-01-03,Yadgir,1.0,Satisfactory,52,PM10
2020-01-04,Yadgir,1.0,Satisfactory,79,PM2.5
2020-01-05,Yadgir,1.0,Satisfactory,97,PM2.5
2020-01-06,Yadgir,1.0,Satisfactory,99,PM2.5
2020-01-07,Yadgir,1.0,Satisfactory,69,PM2.5
2020-01-08,Yadgir,1.0,Satisfactory,63,PM2.5
2020-01-09,Yadgir,1.0,Satisfactory,72,PM2.5
2020-01-10,Yadgir,1.0,Moderate,133,PM2.5
2020-01-11,Yadgir,1.0,Moderate,108,PM2.5
2020-01-12,Yadgir,1.0,Moderate,109,PM2.5
2020-01-13,Yadgir,1.0,Moderate,102,PM2.5
2020-01-14,Yadgir,1.0,Satisfactory,92,PM2.5
2020-01-15,Yadgir,1.0,Satisfactory,75,PM2.5
2020-01-16,Yadgir,1.0,Good,50,PM2.5
2020-01-17,Yadgir,1.0,Satisfactory,60,PM2.5
2020-01-18,Yadgir,1.0,Satisfactory,59,PM10
2020-01-19,Yadgir,1.0,Satisfactory,56,PM10
2020-01-20,Yadgir,1.0,Satisfactory,64,PM10
2020-01-21,Yadgir,1.0,Satisfactory,62,PM10
2020-01-22,Yadgir,1.0,Satisfactory,55,PM2.5
2020-01-23,Yadgir,1.0,Satisfactory,59,PM10
2020-01-24,Yadgir,1.0,Satisfactory,70,PM10
2020-01-25,Yadgir,1.0,Satisfactory,68,PM10
2020-01-26,Yadgir,1.0,Satisfactory,86,PM10
2020-01-27,Yadgir,1.0,Satisfactory,93,PM2.5
2020-01-28,Yadgir,1.0,Satisfactory,87,PM2.5
2020-01-29,Yadgir,1.0,Satisfactory,83,PM10
2020-01-30,Yadgir,1.0,Satisfactory,76,PM10
2020-01-31,Yadgir,1.0,Moderate,123,PM2.5
2020-02-01,Yadgir,1.0,Satisfactory,92,PM2.5
2020-02-02,Yadgir,1.0,Satisfactory,73,PM2.5
2020-02-03,Yadgir,1.0,Satisfactory,65,PM2.5
2020-02-19,Yadgir,1.0,Satisfactory,71,PM10
2020-02-20,Yadgir,1.0,Satisfactory,71,O3
2020-02-21,Yadgir,1.0,Satisfactory,61,O3
2020-02-22,Yadgir,1.0,Satisfactory,56,O3
2020-02-23,Yadgir,1.0,Satisfactory,52,O3
2020-02-24,Yadgir,1.0,Satisfactory,65,O3
2020-02-25,Yadgir,1.0,Satisfactory,66,O3
2020-02-26,Yadgir,1.0,Satisfactory,82,PM10
2020-02-27,Yadgir,1.0,Satisfactory,77,PM10
2020-02-28,Yadgir,1.0,Satisfactory,74,PM10
2020-02-29,Yadgir,1.0,Satisfactory,74,PM10
2020-03-01,Yadgir,1.0,Satisfactory,72,PM10
2020-03-02,Yadgir,1.0,Satisfactory,67,PM10
2020-03-03,Yadgir,1.0,Satisfactory,73,PM10
2020-03-04,Yadgir,1.0,Satisfactory,62,PM10
2020-03-05,Yadgir,1.0,Satisfactory,71,PM10
2020-03-06,Yadgir,1.0,Satisfactory,79,PM10
2020-03-07,Yadgir,1.0,Satisfactory,77,PM10
2020-03-08,Yadgir,1.0,Satisfactory,55,PM10
2020-03-09,Yadgir,1.0,Satisfactory,55,PM10
2020-03-10,Yadgir,1.0,Satisfactory,59,PM2.5
2020-03-11,Yadgir,1.0,Satisfactory,61,PM10
2020-03-12,Yadgir,1.0,Satisfactory,55,PM10
2020-03-13,Yadgir,1.0,Good,41,PM2.5
2020-03-14,Yadgir,1.0,Satisfactory,51,PM10
2020-03-15,Yadgir,1.0,Satisfactory,58,PM10
2020-03-16,Yadgir,1.0,Good,45,PM10
2020-03-17,Yadgir,1.0,Good,46,PM10
2020-03-19,Yadgir,1.0,Satisfactory,59,O3
2020-03-20,Yadgir,1.0,Satisfactory,73,O3
2020-03-21,Yadgir,1.0,Satisfactory,65,PM10
2020-03-22,Yadgir,1.0,Satisfactory,66,PM10
2020-03-23,Yadgir,1.0,Satisfactory,59,O3
2020-03-24,Yadgir,1.0,Satisfactory,64,PM10
2020-03-25,Yadgir,1.0,Satisfactory,55,PM10
2020-03-26,Yadgir,1.0,Good,46,PM10
2020-03-27,Yadgir,1.0,Satisfactory,58,PM10
2020-03-28,Yadgir,1.0,Satisfactory,60,PM10
2020-03-29,Yadgir,1.0,Satisfactory,66,PM10
2020-03-30,Yadgir,1.0,Satisfactory,62,PM10
2020-03-31,Yadgir,1.0,Satisfactory,60,PM10
2020-04-01,Yadgir,1.0,Satisfactory,62,PM10
2020-04-02,Yadgir,1.0,Satisfactory,68,PM10
2020-04-03,Yadgir,1.0,Satisfactory,72,PM10
2020-04-04,Yadgir,1.0,Satisfactory,63,PM10
2020-04-05,Yadgir,1.0,Satisfactory,60,PM10
2020-04-06,Yadgir,1.0,Satisfactory,56,PM10
2020-04-07,Yadgir,1.0,Good,42,PM10
2020-04-08,Yadgir,1.0,Good,32,PM2.5
2020-04-11,Yadgir,1.0,Good,37,PM10
2020-04-12,Yadgir,1.0,Good,38,PM10
2020-04-13,Yadgir,1.0,Satisfactory,56,PM10
2020-04-14,Yadgir,1.0,Satisfactory,72,PM10
2020-04-15,Yadgir,1.0,Satisfactory,72,PM10
2020-04-16,Yadgir,1.0,Satisfactory,74,PM10
2020-04-17,Yadgir,1.0,Satisfactory,65,PM10
2020-04-18,Yadgir,1.0,Satisfactory,58,PM10
2020-05-02,Yadgir,1.0,Satisfactory,51,PM10
2020-05-03,Yadgir,1.0,Satisfactory,52,PM10
2020-05-04,Yadgir,1.0,Satisfactory,57,PM10
2020-05-05,Yadgir,1.0,Satisfactory,76,PM10
2020-05-06,Yadgir,1.0,Satisfactory,62,PM10
2020-05-07,Yadgir,1.0,Satisfactory,58,PM10
2020-05-12,Yadgir,1.0,Good,36,PM2.5
2020-05-13,Yadgir,1.0,Good,48,PM10
2020-05-14,Yadgir,1.0,Satisfactory,54,PM10
2020-05-15,Yadgir,1.0,Good,32,PM10
2020-05-16,Yadgir,1.0,Good,28,PM2.5
2020-05-23,Yadgir,1.0,Satisfactory,78,PM10
2020-05-24,Yadgir,1.0,Satisfactory,84,PM10
2020-05-25,Yadgir,1.0,Satisfactory,80,PM10
2020-05-30,Yadgir,1.0,Good,38,PM10
2020-05-31,Yadgir,1.0,Good,35,PM10
2020-06-01,Yadgir,1.0,Good,26,PM2.5
2020-06-10,Yadgir,1.0,Good,39,PM10
2020-06-11,Yadgir,1.0,Good,22,SO2
2020-06-12,Yadgir,1.0,Good,20,PM2.5
2020-06-20,Yadgir,1.0,Good,47,PM10
2020-06-21,Yadgir,1.0,Good,47,PM10
2020-06-22,Yadgir,1.0,Good,46,PM10
2020-06-23,Yadgir,1.0,Good,48,PM10
2020-06-25,Yadgir,1.0,Satisfactory,54,O3
2020-06-26,Yadgir,1.0,Satisfactory,62,O3
2020-06-28,Yadgir,1.0,Good,37,PM10
2020-06-29,Yadgir,1.0,Good,30,PM10
2020-06-30,Yadgir,1.0,Satisfactory,68,PM2.5
2020-07-01,Yadgir,1.0,Good,28,SO2
2020-07-02,Yadgir,1.0,Good,27,SO2
2020-07-03,Yadgir,1.0,Good,40,PM2.5
2020-07-04,Yadgir,1.0,Good,32,PM10
2020-07-05,Yadgir,1.0,Good,25,PM10
2020-07-07,Yadgir,1.0,Good,45,PM10
2020-10-11,Yadgir,1.0,Good,27,O3
2020-10-12,Yadgir,1.0,Good,21,NO2
2020-10-14,Yadgir,1.0,Good,26,PM10
2020-10-18,Yadgir,1.0,Satisfactory,57,PM10
2020-10-19,Yadgir,1.0,Good,40,PM10
2020-10-20,Yadgir,1.0,Good,32,PM10
2020-10-21,Yadgir,1.0,Good,40,PM2.5
2020-10-22,Yadgir,1.0,Satisfactory,62,PM2.5
2020-10-23,Yadgir,1.0,Satisfactory,99,PM2.5
2020-10-24,Yadgir,1.0,Satisfactory,78,PM10
2020-10-25,Yadgir,1.0,Satisfactory,64,PM10
2020-10-28,Yadgir,1.0,Satisfactory,77,PM10
2020-10-30,Yadgir,1.0,Satisfactory,90,PM10
2020-10-31,Yadgir,1.0,Moderate,151,O3
2020-11-01,Yadgir,1.0,Moderate,173,O3
2020-11-02,Yadgir,1.0,Moderate,118,O3
2020-11-03,Yadgir,1.0,Moderate,111,O3
2020-11-04,Yadgir,1.0,Moderate,105,O3
2020-11-05,Yadgir,1.0,Moderate,102,O3
2020-11-06,Yadgir,1.0,Moderate,107,O3
2020-11-07,Yadgir,1.0,Satisfactory,97,PM10
2020-11-08,Yadgir,1.0,Moderate,104,O3
2020-11-09,Yadgir,1.0,Moderate,114,O3
2020-11-10,Yadgir,1.0,Moderate,116,PM2.5
2020-11-22,Yadgir,1.0,Satisfactory,76,O3
2020-11-23,Yadgir,1.0,Satisfactory,68,PM10
2020-11-24,Yadgir,1.0,Satisfactory,92,O3
2020-11-25,Yadgir,1.0,Satisfactory,73,O3
2020-11-26,Yadgir,1.0,Satisfactory,56,O3
2020-12-03,Yadgir,1.0,Satisfactory,69,O3
2020-12-04,Yadgir,1.0,Satisfactory,59,O3
2020-12-05,Yadgir,1.0,Satisfactory,75,O3
2020-12-06,Yadgir,1.0,Satisfactory,80,O3
2020-12-07,Yadgir,1.0,Satisfactory,69,O3
2020-12-08,Yadgir,1.0,Satisfactory,72,O3
2020-12-09,Yadgir,1.0,Satisfactory,74,O3
