date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
2019-01-07,Yamunanagar,1.0,Poor,296,PM2.5
2019-01-08,Yamunanagar,1.0,Poor,231,PM2.5
2019-01-09,Yamunanagar,1.0,Poor,258,PM2.5
2019-01-10,Yamunanagar,1.0,Poor,216,PM2.5
2019-01-11,Yamunanagar,1.0,Very Poor,349,PM2.5
2019-01-12,Yamunanagar,1.0,Very Poor,341,PM2.5
2019-01-13,Yamunanagar,1.0,Very Poor,304,PM2.5
2019-01-14,Yamunanagar,1.0,Moderate,127,PM2.5
2019-01-15,Yamunanagar,1.0,Moderate,156,PM2.5
2019-01-16,Yamunanagar,1.0,Very Poor,302,PM2.5
2019-01-17,Yamunanagar,1.0,Very Poor,333,PM2.5
2019-01-18,Yamunanagar,1.0,Poor,299,PM2.5
2019-01-19,Yamunanagar,1.0,Poor,220,PM2.5
2019-01-22,Yamunanagar,1.0,Moderate,140,PM2.5
2019-01-23,Yamunanagar,1.0,Satisfactory,73,PM10
2019-01-24,Yamunanagar,1.0,Moderate,153,PM2.5
2019-01-25,Yamunanagar,1.0,Satisfactory,86,PM10
2019-01-26,Yamunanagar,1.0,Moderate,113,PM2.5
2019-01-27,Yamunanagar,1.0,Satisfactory,91,PM10
2019-01-28,Yamunanagar,1.0,Satisfactory,93,PM10
2019-01-29,Yamunanagar,1.0,Moderate,159,PM2.5
2019-01-30,Yamunanagar,1.0,Moderate,166,PM2.5
2019-01-31,Yamunanagar,1.0,Poor,294,PM2.5
2019-02-01,Yamunanagar,1.0,Moderate,195,PM2.5
2019-02-02,Yamunanagar,1.0,Moderate,124,PM2.5
2019-02-03,Yamunanagar,1.0,Moderate,101,PM2.5
2019-02-04,Yamunanagar,1.0,Poor,232,PM2.5
2019-02-05,Yamunanagar,1.0,Poor,251,PM2.5
2019-02-06,Yamunanagar,1.0,Poor,280,PM2.5
2019-02-07,Yamunanagar,1.0,Moderate,131,PM2.5
2019-02-09,Yamunanagar,1.0,Satisfactory,80,PM10
2019-02-10,Yamunanagar,1.0,Moderate,120,PM2.5
2019-02-11,Yamunanagar,1.0,Moderate,174,PM2.5
2019-02-12,Yamunanagar,1.0,Moderate,178,PM2.5
2019-02-13,Yamunanagar,1.0,Poor,244,PM2.5
2019-02-14,Yamunanagar,1.0,Poor,261,PM2.5
2019-02-15,Yamunanagar,1.0,Moderate,103,PM2.5
2019-02-16,Yamunanagar,1.0,Satisfactory,84,PM10
2019-02-17,Yamunanagar,1.0,Satisfactory,80,PM10
2019-02-18,Yamunanagar,1.0,Moderate,146,PM2.5
2019-02-19,Yamunanagar,1.0,Satisfactory,67,OZONE
2019-02-20,Yamunanagar,1.0,Moderate,147,PM10
2019-02-21,Yamunanagar,1.0,Moderate,107,PM10
2019-02-22,Yamunanagar,1.0,Moderate,124,PM10
2019-02-23,Yamunanagar,1.0,Satisfactory,79,CO
2019-02-24,Yamunanagar,1.0,Satisfactory,100,PM10
2019-02-25,Yamunanagar,1.0,Moderate,152,PM2.5
2019-02-26,Yamunanagar,1.0,Moderate,169,PM2.5
2019-02-28,Yamunanagar,1.0,Satisfactory,73,PM10
2019-03-01,Yamunanagar,1.0,Satisfactory,94,PM10
2019-03-03,Yamunanagar,1.0,Satisfactory,87,PM2.5
2019-03-04,Yamunanagar,1.0,Satisfactory,76,PM10
2019-03-05,Yamunanagar,1.0,Satisfactory,71,PM10
2019-03-06,Yamunanagar,1.0,Satisfactory,97,PM10
2019-03-07,Yamunanagar,1.0,Moderate,167,OZONE
2019-03-08,Yamunanagar,1.0,Moderate,134,PM10
2019-03-09,Yamunanagar,1.0,Moderate,105,PM10
2019-03-10,Yamunanagar,1.0,Moderate,168,OZONE
2019-03-11,Yamunanagar,1.0,Moderate,137,PM10
2019-03-12,Yamunanagar,1.0,Satisfactory,99,PM10
2019-03-13,Yamunanagar,1.0,Moderate,191,PM10
2019-03-15,Yamunanagar,1.0,Satisfactory,98,PM2.5
2019-03-16,Yamunanagar,1.0,Satisfactory,93,OZONE
2019-03-17,Yamunanagar,1.0,Moderate,155,OZONE
2019-03-18,Yamunanagar,1.0,Moderate,118,PM10
2019-03-19,Yamunanagar,1.0,Moderate,122,PM10
2019-03-20,Yamunanagar,1.0,Moderate,178,PM10
2019-03-21,Yamunanagar,1.0,Moderate,109,PM10
2019-03-22,Yamunanagar,1.0,Satisfactory,92,PM10
2019-03-23,Yamunanagar,1.0,Moderate,111,PM10
2019-03-24,Yamunanagar,1.0,Moderate,105,PM10
2019-03-25,Yamunanagar,1.0,Moderate,122,PM10
2019-03-26,Yamunanagar,1.0,Moderate,121,PM10
2019-03-27,Yamunanagar,1.0,Moderate,136,PM10
2019-03-28,Yamunanagar,1.0,Moderate,183,OZONE
2019-03-29,Yamunanagar,1.0,Moderate,177,PM2.5
2019-03-30,Yamunanagar,1.0,Poor,207,PM2.5
2019-03-31,Yamunanagar,1.0,Moderate,134,PM10
2019-04-01,Yamunanagar,1.0,Moderate,167,OZONE
2019-04-02,Yamunanagar,1.0,Moderate,161,PM10
2019-04-03,Yamunanagar,1.0,Moderate,158,OZONE
2019-04-04,Yamunanagar,1.0,Moderate,196,PM2.5
2019-04-05,Yamunanagar,1.0,Moderate,196,PM2.5
2019-04-06,Yamunanagar,1.0,Poor,236,PM2.5
2019-04-07,Yamunanagar,1.0,Poor,225,PM2.5
2019-04-08,Yamunanagar,1.0,Moderate,189,PM10
2019-04-09,Yamunanagar,1.0,Moderate,176,PM2.5
2019-04-10,Yamunanagar,1.0,Moderate,173,OZONE
2019-04-11,Yamunanagar,1.0,Moderate,183,PM2.5
2019-04-12,Yamunanagar,1.0,Moderate,166,PM10
2019-04-13,Yamunanagar,1.0,Moderate,186,PM10
2019-04-14,Yamunanagar,1.0,Moderate,136,PM10
2019-04-15,Yamunanagar,1.0,Moderate,141,PM10
2019-04-16,Yamunanagar,1.0,Moderate,176,PM10
2019-04-17,Yamunanagar,1.0,Moderate,127,PM10
2019-04-18,Yamunanagar,1.0,Satisfactory,61,OZONE
2019-04-19,Yamunanagar,1.0,Moderate,113,PM2.5
2019-04-20,Yamunanagar,1.0,Moderate,125,PM2.5
2019-04-21,Yamunanagar,1.0,Poor,230,PM2.5
2019-04-22,Yamunanagar,1.0,Moderate,129,PM2.5
2019-04-23,Yamunanagar,1.0,Moderate,173,PM2.5
2019-04-24,Yamunanagar,1.0,Poor,257,PM2.5
2019-04-25,Yamunanagar,1.0,Poor,225,PM2.5
2019-04-26,Yamunanagar,1.0,Poor,265,PM2.5
2019-04-27,Yamunanagar,1.0,Moderate,174,PM10
2019-04-28,Yamunanagar,1.0,Poor,202,PM10
2019-04-29,Yamunanagar,1.0,Moderate,163,PM10
2019-04-30,Yamunanagar,1.0,Moderate,182,PM2.5
2019-05-01,Yamunanagar,1.0,Moderate,139,PM2.5
2019-05-02,Yamunanagar,1.0,Moderate,120,PM10
2019-05-03,Yamunanagar,1.0,Moderate,106,PM2.5
2019-05-04,Yamunanagar,1.0,Moderate,135,PM2.5
2019-05-05,Yamunanagar,1.0,Moderate,157,PM2.5
2019-05-06,Yamunanagar,1.0,Poor,219,PM2.5
2019-05-07,Yamunanagar,1.0,Moderate,149,PM2.5
2019-05-08,Yamunanagar,1.0,Poor,226,PM2.5
2019-05-09,Yamunanagar,1.0,Poor,201,PM2.5
2019-05-10,Yamunanagar,1.0,Poor,247,PM2.5
2019-05-11,Yamunanagar,1.0,Moderate,145,PM2.5
2019-05-12,Yamunanagar,1.0,Poor,202,PM2.5
2019-05-13,Yamunanagar,1.0,Moderate,121,PM2.5
2019-05-14,Yamunanagar,1.0,Moderate,175,PM2.5
2019-05-15,Yamunanagar,1.0,Poor,213,PM2.5
2019-05-16,Yamunanagar,1.0,Poor,293,PM2.5
2019-05-17,Yamunanagar,1.0,Very Poor,303,PM2.5
2019-05-18,Yamunanagar,1.0,Moderate,178,PM2.5
2019-05-19,Yamunanagar,1.0,Moderate,156,PM2.5
2019-05-20,Yamunanagar,1.0,Moderate,176,PM2.5
2019-05-21,Yamunanagar,1.0,Poor,237,PM2.5
2019-05-22,Yamunanagar,1.0,Poor,201,PM2.5
2019-05-23,Yamunanagar,1.0,Poor,238,PM2.5
2019-05-24,Yamunanagar,1.0,Moderate,162,PM2.5
2019-05-25,Yamunanagar,1.0,Moderate,116,PM10
2019-05-26,Yamunanagar,1.0,Moderate,122,PM10
2019-05-27,Yamunanagar,1.0,Moderate,146,PM2.5
2019-05-28,Yamunanagar,1.0,Moderate,121,PM10
2019-05-29,Yamunanagar,1.0,Moderate,123,PM10
2019-05-30,Yamunanagar,1.0,Moderate,188,PM2.5
2019-05-31,Yamunanagar,1.0,Poor,214,PM2.5
2019-06-01,Yamunanagar,1.0,Poor,236,PM2.5
2019-06-02,Yamunanagar,1.0,Moderate,195,PM2.5
2019-06-03,Yamunanagar,1.0,Moderate,171,PM10
2019-06-04,Yamunanagar,1.0,Moderate,158,PM10
2019-06-05,Yamunanagar,1.0,Poor,244,PM2.5
2019-06-06,Yamunanagar,1.0,Moderate,198,PM2.5
2019-06-07,Yamunanagar,1.0,Poor,209,OZONE
2019-06-08,Yamunanagar,1.0,Poor,225,OZONE
2019-06-09,Yamunanagar,1.0,Moderate,190,OZONE
2019-06-10,Yamunanagar,1.0,Moderate,158,PM2.5
2019-06-12,Yamunanagar,1.0,Moderate,154,PM10
2019-06-13,Yamunanagar,1.0,Moderate,161,PM2.5
2019-06-14,Yamunanagar,1.0,Poor,267,PM2.5
2019-06-15,Yamunanagar,1.0,Moderate,161,PM10
2019-06-16,Yamunanagar,1.0,Moderate,186,PM10
2019-06-17,Yamunanagar,1.0,Moderate,138,PM10
2019-06-18,Yamunanagar,1.0,Moderate,117,PM10
2019-06-19,Yamunanagar,1.0,Moderate,150,PM2.5
2019-06-20,Yamunanagar,1.0,Poor,218,PM2.5
2019-06-21,Yamunanagar,1.0,Moderate,180,PM2.5
2019-06-22,Yamunanagar,1.0,Moderate,172,PM2.5
2019-06-23,Yamunanagar,1.0,Moderate,108,PM10
2019-06-24,Yamunanagar,1.0,Moderate,104,PM10
2019-06-25,Yamunanagar,1.0,Moderate,105,PM10
2019-06-26,Yamunanagar,1.0,Moderate,106,PM10
2019-06-27,Yamunanagar,1.0,Moderate,187,PM10
2019-06-28,Yamunanagar,1.0,Moderate,137,PM10
2019-06-29,Yamunanagar,1.0,Moderate,187,PM2.5
2019-06-30,Yamunanagar,1.0,Poor,244,PM2.5
2019-07-01,Yamunanagar,1.0,Moderate,152,PM2.5
2019-07-02,Yamunanagar,1.0,Moderate,168,OZONE
2019-07-03,Yamunanagar,1.0,Moderate,145,PM2.5
2019-07-04,Yamunanagar,1.0,Moderate,148,PM2.5
2019-07-06,Yamunanagar,1.0,Moderate,135,PM2.5
2019-07-07,Yamunanagar,1.0,Moderate,153,OZONE
2019-07-08,Yamunanagar,1.0,Moderate,179,OZONE
2019-07-09,Yamunanagar,1.0,Satisfactory,99,PM2.5
2019-07-10,Yamunanagar,1.0,Moderate,186,OZONE
2019-07-11,Yamunanagar,1.0,Moderate,177,PM2.5
2019-07-12,Yamunanagar,1.0,Moderate,167,PM2.5
2019-07-13,Yamunanagar,1.0,Poor,238,PM2.5
2019-07-14,Yamunanagar,1.0,Poor,249,PM2.5
2019-07-15,Yamunanagar,1.0,Satisfactory,86,OZONE
2019-07-16,Yamunanagar,1.0,Moderate,146,PM2.5
2019-07-17,Yamunanagar,1.0,Satisfactory,89,PM10
2019-07-18,Yamunanagar,1.0,Moderate,125,PM2.5
2019-07-19,Yamunanagar,1.0,Moderate,162,PM2.5
2019-07-20,Yamunanagar,1.0,Moderate,171,PM2.5
2019-07-21,Yamunanagar,1.0,Moderate,185,PM2.5
2019-07-22,Yamunanagar,1.0,Moderate,138,PM2.5
2019-07-23,Yamunanagar,1.0,Moderate,150,OZONE
2019-07-24,Yamunanagar,1.0,Moderate,135,PM2.5
2019-07-25,Yamunanagar,1.0,Satisfactory,84,PM10
2019-07-26,Yamunanagar,1.0,Satisfactory,55,OZONE
2019-07-27,Yamunanagar,1.0,Satisfactory,52,OZONE
2019-07-28,Yamunanagar,1.0,Satisfactory,53,OZONE
2019-07-29,Yamunanagar,1.0,Satisfactory,63,OZONE
2019-07-30,Yamunanagar,1.0,Satisfactory,90,PM10
2019-07-31,Yamunanagar,1.0,Satisfactory,70,PM10
2019-08-01,Yamunanagar,1.0,Satisfactory,90,PM10
2019-08-02,Yamunanagar,1.0,Satisfactory,80,PM10
2019-08-03,Yamunanagar,1.0,Satisfactory,73,PM10
2019-08-04,Yamunanagar,1.0,Satisfactory,91,PM10
2019-08-05,Yamunanagar,1.0,Satisfactory,77,OZONE
2019-08-06,Yamunanagar,1.0,Satisfactory,67,PM10
2019-08-07,Yamunanagar,1.0,Satisfactory,100,PM10
2019-08-08,Yamunanagar,1.0,Satisfactory,93,OZONE
2019-08-09,Yamunanagar,1.0,Satisfactory,72,PM10
2019-08-10,Yamunanagar,1.0,Satisfactory,80,PM10
2019-08-11,Yamunanagar,1.0,Satisfactory,89,PM10
2019-08-12,Yamunanagar,1.0,Satisfactory,86,PM10
2019-08-13,Yamunanagar,1.0,Moderate,104,PM2.5
2019-08-14,Yamunanagar,1.0,Satisfactory,59,PM10
2019-08-15,Yamunanagar,1.0,Satisfactory,78,PM10
2019-08-16,Yamunanagar,1.0,Satisfactory,60,OZONE
2019-08-17,Yamunanagar,1.0,Satisfactory,54,PM10
2019-08-18,Yamunanagar,1.0,Good,31,CO
2019-08-19,Yamunanagar,1.0,Good,32,OZONE
2019-08-20,Yamunanagar,1.0,Satisfactory,81,PM10
2019-08-21,Yamunanagar,1.0,Satisfactory,59,PM10
2019-08-22,Yamunanagar,1.0,Moderate,107,PM10
2019-08-23,Yamunanagar,1.0,Moderate,144,PM2.5
2019-08-24,Yamunanagar,1.0,Moderate,146,PM2.5
2019-08-25,Yamunanagar,1.0,Satisfactory,94,PM10
